name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,12/31/2005
TotalAssets,"19,233,000,000","19,384,000,000","19,221,000,000","18,973,000,000","18,005,000,000","17,974,000,000","17,536,000,000","17,542,000,000","17,465,000,000","17,553,000,000","17,191,000,000","17,163,000,000","17,092,000,000","15,542,340,000","14,942,593,000","14,258,850,000","13,651,045,000","12,996,327,000","12,547,332,000","12,308,537,000","12,248,953,000","10,387,515,000","10,673,142,000","10,712,440,000","8,373,109,000","8,516,783,000","7,570,718,000","8,011,598,000","5,709,531,000","3,748,278,000","3,470,855,000","1,873,000,000","1,762,342,000","1,737,300,000","1,803,032,000","1,726,645,000","1,776,345,000","1,743,492,000","1,796,996,000","1,769,503,000","1,883,218,000","1,859,473,000","1,918,950,000","1,920,722,000","1,975,525,000","1,978,835,000","2,020,619,000","1,855,370,000","1,922,497,000","1,904,978,000","1,961,827,000","1,935,379,000","2,014,020,000","1,858,114,000","309,139,000"
	CurrentAssets,"2,448,000,000","2,707,000,000","2,589,000,000","2,435,000,000","2,090,000,000","2,356,000,000","2,035,000,000","2,062,000,000","2,065,000,000","2,139,000,000","1,754,000,000","1,216,000,000","1,127,000,000","958,260,000","808,392,000","645,986,000","502,216,000","493,475,000","642,784,000","624,358,000","512,432,000","486,520,000","702,960,000","686,202,000","530,091,000","613,128,000","623,219,000","945,700,000","732,887,000","532,544,000","536,367,000","198,919,000","135,818,000","109,510,000","164,547,000","78,153,000","118,346,000","78,653,000","121,949,000","83,257,000","185,669,000","152,931,000","195,177,000","160,843,000","241,486,000","246,103,000","288,285,000","248,259,000","203,059,000","198,917,000","198,884,000","187,054,000","216,343,000","361,324,000","18,048,000"
		CashCashEquivalentsAndShortTermInvestments,"1,734,000,000","1,781,000,000","1,707,000,000","1,016,000,000","0","0","0",,,"0","0","0","0","0","12,469,000","12,262,000","9,815,000","146,221,000","170,433,000","194,914,000","171,464,000","248,830,000","252,648,000","307,487,000","325,342,000","351,032,000","339,895,000","355,304,000","456,852,000","419,292,000","369,100,000","170,951,000","59,444,000","81,415,000","94,498,000","55,327,000","46,892,000","53,349,000","57,028,000","60,078,000","118,405,000","117,542,000","121,613,000","128,767,000","169,943,000","7,000","11,000","8,000","10,000","13,000","9,000","19,000","12,000","7,000","5,000"
			CashAndCashEquivalents,"1,734,000,000","1,781,000,000","1,707,000,000","1,016,000,000","0","0","0",,,"0","0","0","0","0","12,469,000","12,262,000","9,815,000","146,221,000","170,433,000","194,914,000","171,464,000","248,830,000","252,648,000","307,487,000","325,342,000","351,032,000","339,895,000","355,304,000","456,852,000","419,292,000","369,100,000","170,951,000","59,444,000","81,415,000","94,498,000","55,327,000","46,892,000","53,349,000","57,028,000","60,078,000","118,405,000","117,542,000","121,613,000","128,767,000","169,943,000","7,000","11,000","8,000","10,000","13,000","9,000","19,000","12,000","7,000","5,000"
		Receivables,"297,000,000","402,000,000","344,000,000","409,000,000","321,000,000","462,000,000","246,000,000","260,000,000","354,000,000","354,000,000","190,000,000","179,000,000","190,000,000","189,532,000","107,745,000","71,675,000","14,544,000","2,013,000","2,661,000","2,494,000","26,197,000","310,000","19,669,000",,,,"21,214,000","27,396,000","1,265,000","2,049,000","30,135,000","3,153,000","8,721,000","1,545,000","2,768,000","622,000","5,919,000","5,633,000","722,000","663,000","1,362,000","13,981,000","4,380,000","12,532,000","9,735,000","4,704,000","9,147,000","23,859,000","6,085,000","5,584,000","6,859,000","5,051,000","4,979,000","5,226,000","5,000"
			AccountsReceivable,"286,000,000","388,000,000","328,000,000","400,000,000","300,000,000","444,000,000","235,000,000","238,000,000","346,000,000","348,000,000","172,000,000","164,000,000","181,000,000","187,287,000","95,171,000","67,442,000","14,544,000","2,013,000","2,661,000","2,494,000","26,197,000","310,000","19,669,000",,,,"21,214,000","27,396,000","1,265,000","2,049,000","25,144,000","26,000","21,000","853,000","1,463,000","208,000","982,000","1,378,000","722,000","663,000","684,000","13,981,000","4,380,000","12,532,000","9,735,000","4,704,000","9,147,000","23,859,000","6,085,000","610,000","1,439,000",,,,
			AccruedInterestReceivable,,,,,,,,,,,,,,,"93,000","116,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,991,000","3,127,000","8,700,000","692,000","1,305,000","414,000","4,937,000","4,255,000",,,,,,,,,,,,,,,,,
			OtherReceivables,"11,000,000","14,000,000","16,000,000","9,000,000","21,000,000","18,000,000","11,000,000","22,000,000","8,000,000","6,000,000","18,000,000","15,000,000","9,000,000","2,245,000","12,481,000","4,117,000",,,,,,,,,,,,,,,,,,,,,,,,,"678,000",,,,,,,,,"4,974,000","5,420,000",,,,
		Inventory,"98,000,000","116,000,000","103,000,000","104,000,000","109,000,000","99,000,000","88,000,000","87,000,000","83,000,000","95,000,000","77,000,000","93,000,000","87,000,000","97,431,000","60,520,000","48,331,000","28,543,000","16,667,000","7,145,000","12,462,000","16,281,000","4,293,000","13,239,000","5,800,000","4,072,000","10,430,000","14,158,000","11,730,000","4,605,000","7,045,000","6,457,000","1,808,000","2,253,000","4,842,000","4,573,000","437,000","2,318,000","1,212,000","901,000","501,000","216,000","2,840,000",,,,,,,,,,,,,
			RawMaterials,"80,000,000","80,000,000","81,000,000","79,000,000","74,000,000","65,000,000","58,000,000","55,000,000","53,000,000","52,000,000","48,000,000","47,000,000","46,000,000","37,266,000","30,561,000","25,458,000","22,363,000","7,253,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"18,000,000","36,000,000","22,000,000","25,000,000","35,000,000","34,000,000","30,000,000","32,000,000","30,000,000","43,000,000","29,000,000","46,000,000","41,000,000","60,165,000","29,959,000","22,873,000","6,180,000","9,414,000","7,145,000","12,462,000","16,281,000","4,293,000","13,239,000","5,800,000","4,072,000","10,430,000","14,158,000","11,730,000","4,605,000","7,045,000",,,,,,,,,,,,,,,,,,,,,,,,,
