name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
TotalRevenue,"6,807,000,000","1,718,000,000","1,908,000,000","1,476,000,000","1,705,000,000","1,749,000,000","1,897,000,000","1,529,000,000","1,407,000,000","1,593,000,000","1,518,000,000","903,000,000","992,000,000","891,000,000","550,613,000","331,409,000","151,171,000","67,047,000","67,272,000","67,537,000","67,689,000","67,530,000","66,559,000","67,590,000","67,328,000","67,221,000","66,999,000","67,446,000","67,637,000","66,074,000","67,301,000","66,308,000","61,396,000","69,323,000","70,824,000","64,907,000","73,609,000","74,450,000","72,124,000","66,617,000","129,764,000","130,778,000","130,013,000","128,533,000","95,695,000","62,549,000",,,,,,,,,,,,,,,,
	OperatingRevenue,"6,755,000,000","1,704,000,000","1,895,000,000","1,463,000,000","1,693,000,000","1,738,000,000","1,886,000,000","1,520,000,000","1,398,000,000","1,583,000,000","1,507,000,000","899,000,000","990,000,000","891,000,000","550,613,000","331,409,000","151,171,000","67,019,000","67,272,000","67,537,000","67,689,000","67,530,000","66,559,000","67,590,000","67,328,000","67,221,000","66,999,000","67,446,000","67,637,000","66,074,000","67,301,000","66,308,000","61,396,000","69,323,000","70,824,000","64,907,000","73,609,000","74,450,000","72,124,000","66,617,000","129,764,000","130,778,000","130,013,000","128,533,000","95,695,000","62,549,000",,,,,,,,,,,,,,,,
CostOfRevenue,"3,752,000,000","837,000,000","1,011,000,000","886,000,000","1,018,000,000","993,000,000","1,218,000,000","863,000,000","804,000,000","942,000,000","840,000,000","577,000,000","663,000,000","579,000,000","262,152,000","204,622,000","77,478,000","23,292,000","18,147,000","16,687,000","15,991,000","14,879,000","14,780,000","14,781,000","14,722,000","14,318,000","14,336,000","14,491,000","14,355,000","10,650,000","42,551,000","0","0","0","0","0","0","0","-29,274,000","8,882,000","9,253,000","11,139,000","9,678,000","7,562,000","8,719,000","6,557,000",,,,,,,,,,,,,,,,
GrossProfit,"3,055,000,000","881,000,000","897,000,000","590,000,000","687,000,000","756,000,000","679,000,000","666,000,000","603,000,000","651,000,000","678,000,000","326,000,000","329,000,000","312,000,000","288,461,000","126,787,000","73,693,000","43,755,000","49,125,000","50,850,000","51,698,000","52,651,000","51,779,000","52,809,000","52,606,000","52,903,000","52,663,000","52,955,000","53,282,000","55,424,000","24,750,000","66,308,000","61,396,000","69,323,000","70,824,000","64,907,000","73,609,000","74,450,000","101,398,000","57,735,000","120,511,000","119,639,000","120,335,000","120,971,000","86,976,000","55,992,000",,,,,,,,,,,,,,,,
OperatingExpense,"904,000,000","212,000,000","220,000,000","243,000,000","229,000,000","191,000,000","155,000,000","166,000,000","148,000,000","143,000,000","139,000,000","128,000,000","129,000,000","93,000,000","89,054,000","78,889,000","61,099,000","53,218,000","67,864,000","14,929,000","55,722,000","63,227,000","47,957,000","54,865,000","60,332,000","47,817,000","47,235,000","76,312,000","73,709,000","40,508,000","5,148,000","65,536,000","43,121,000","44,432,000","33,780,000","35,384,000","36,677,000","33,323,000","60,689,000","21,361,000","18,534,000","17,902,000","16,461,000","14,604,000","12,694,000","12,596,000","3,797,000","10,026,000","2,748,000","4,100,000","4,588,000","3,167,000","2,874,000","1,886,000",,,,,,,,
	SellingGeneralAndAdministration,"116,000,000","27,000,000","22,000,000","37,000,000","30,000,000","24,000,000","22,000,000","22,000,000","20,000,000","22,000,000","20,000,000","24,000,000","26,000,000","25,000,000","25,496,000","27,520,000","25,226,000","25,003,000","45,740,000","29,630,000","39,126,000","26,467,000","31,627,000","28,614,000","31,240,000","34,167,000","34,259,000","46,445,000","42,500,000","26,322,000","55,279,000","37,491,000","6,917,000","6,793,000","6,962,000","5,824,000","6,390,000","6,827,000","6,055,000","6,196,000","7,201,000","7,013,000","6,430,000","5,699,000","5,537,000","5,947,000","-4,628,000","8,152,000","2,729,000","4,081,000","4,812,000","3,027,000","2,785,000","1,866,000",,,,,,,,
		GeneralAndAdministrativeExpense,"116,000,000","27,000,000","22,000,000","37,000,000","30,000,000","24,000,000","22,000,000","22,000,000","20,000,000","22,000,000","20,000,000","24,000,000","26,000,000","25,000,000","25,496,000","27,520,000","25,226,000","25,003,000","45,740,000","29,630,000","39,126,000","26,467,000","31,627,000","28,614,000","31,240,000","34,167,000","34,259,000","46,445,000","42,500,000","26,322,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"116,000,000","27,000,000","22,000,000","37,000,000","30,000,000","24,000,000","22,000,000","22,000,000","20,000,000","22,000,000","20,000,000","24,000,000","26,000,000","25,000,000","25,496,000","27,520,000","25,226,000","25,003,000","45,740,000","29,630,000","39,126,000","26,467,000","31,627,000","28,614,000","31,240,000","34,167,000","34,259,000","46,445,000","42,500,000","26,322,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,331,000","15,503,000","17,900,000","6,976,000","9,894,000","12,121,000","7,482,000","4,837,000","4,627,000","772,000","326,000","0","0","0","0",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,652,000","10,616,000","10,629,000","10,698,000","10,766,000","10,743,000","10,737,000","10,638,000","10,538,000","10,561,000","10,563,000","10,031,000","8,905,000","7,157,000","6,649,000","6,083,000","1,874,000","19,000","19,000","-96,000","67,000","43,000","20,000",,,,,,,,
