name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"4,769,900,000","4,811,600,000","4,479,500,000","4,089,900,000","3,675,400,000","3,543,200,000","3,204,000,000","2,943,000,000","3,629,400,000","3,224,500,000","2,527,700,000","2,379,500,000","2,971,400,000","2,876,383,000","2,572,510,000","2,209,610,000","2,227,614,000","2,108,164,000","1,971,280,000","1,849,477,000","1,771,067,000","1,611,300,000","1,517,500,000","1,260,600,000","1,017,500,000","822,500,000","692,700,000","611,300,000","528,100,000","500,800,000","621,100,000","553,700,000","567,400,000","542,800,000","466,100,000","481,900,000"
	OperatingRevenue,"4,769,900,000","4,811,600,000","4,479,500,000","4,089,900,000","3,675,400,000","3,543,200,000","3,204,000,000","2,943,000,000","3,629,400,000","3,224,500,000","2,527,700,000","2,379,500,000","2,971,400,000","2,876,383,000","2,572,510,000","2,209,610,000","2,227,614,000","2,108,164,000","1,971,280,000","1,849,477,000","1,771,067,000","1,611,300,000","1,517,500,000","1,260,600,000","1,017,500,000","822,500,000","692,700,000","611,300,000","528,100,000","500,800,000","621,100,000","553,700,000","567,400,000","542,800,000","466,100,000","481,900,000"
CostOfRevenue,"3,408,400,000","3,439,900,000","3,304,800,000","2,941,900,000","2,518,100,000","2,536,500,000","2,384,500,000","2,197,400,000","2,731,700,000","2,547,400,000","1,999,000,000","1,875,600,000","2,401,400,000","2,293,130,000","2,049,921,000","1,770,694,000","1,804,486,000","1,732,654,000","1,611,805,000","1,527,620,000","1,343,134,000","1,206,900,000","1,144,200,000","935,300,000","750,000,000","601,700,000","494,400,000","432,100,000","370,400,000","351,300,000","429,500,000","376,500,000","386,200,000","375,100,000","324,100,000","333,200,000"
GrossProfit,"1,361,500,000","1,371,700,000","1,174,700,000","1,148,000,000","1,157,300,000","1,006,700,000","819,500,000","745,600,000","897,700,000","677,100,000","528,700,000","503,900,000","570,000,000","583,253,000","522,589,000","438,916,000","423,128,000","375,510,000","359,475,000","321,857,000","427,933,000","404,400,000","373,300,000","325,300,000","267,500,000","220,800,000","198,300,000","179,200,000","157,700,000","149,500,000","191,600,000","177,200,000","181,200,000","167,700,000","142,000,000","148,700,000"
OperatingExpense,"719,300,000","717,500,000","665,700,000","642,300,000","574,700,000","504,800,000","411,200,000","378,800,000","473,400,000","402,000,000","332,600,000","324,000,000","325,100,000","253,867,000","246,958,000","229,450,000","237,438,000","229,316,000","231,824,000","222,001,000","252,496,000","236,600,000","221,800,000","197,800,000","170,400,000","144,800,000","136,800,000","130,300,000","116,400,000","134,800,000","154,000,000","146,200,000","143,900,000","133,600,000","106,700,000","94,500,000"
	SellingGeneralAndAdministration,"664,800,000","667,100,000","625,400,000","589,400,000","532,000,000","461,900,000","379,000,000","353,700,000","427,700,000","376,600,000","310,500,000","289,000,000","312,300,000","286,056,000","242,513,000","214,887,000","221,676,000","213,810,000","211,802,000","207,103,000","176,484,000","173,400,000","160,400,000","143,200,000","140,600,000","121,600,000","114,900,000","109,600,000","97,600,000","115,400,000","131,000,000","124,500,000","119,500,000","108,100,000","85,700,000","73,700,000"
	ResearchAndDevelopment,"60,900,000","60,900,000","55,100,000","54,900,000","48,100,000","42,800,000","33,800,000","29,300,000","33,000,000","28,700,000","23,200,000","16,600,000","12,800,000","17,392,000","15,081,000","15,386,000","16,315,000","20,219,000","19,929,000","17,325,000","16,463,000","15,800,000","16,200,000","15,800,000",,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,"59,549,000","47,400,000","45,200,000","38,800,000","29,800,000","23,200,000","21,900,000","20,700,000","18,800,000","19,400,000","23,000,000","21,700,000","24,400,000","25,500,000","21,000,000","20,800,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,"59,549,000","47,400,000","45,200,000","38,800,000","29,800,000","23,200,000","21,900,000","20,700,000","18,800,000","19,400,000","23,000,000","21,700,000","24,400,000","25,500,000","21,000,000","20,800,000"
	OtherOperatingExpenses,"-6,400,000","-10,500,000","-14,800,000","-2,000,000","-5,400,000","100,000","-1,600,000","-4,200,000","12,700,000","-3,300,000","-1,100,000","18,400,000",,"-49,581,000","-10,636,000","-823,000","-553,000","-4,713,000","93,000","-2,427,000",,,,,,,,,,,,,,,,
OperatingIncome,"642,200,000","654,200,000","509,000,000","505,700,000","582,600,000","501,900,000","408,300,000","366,800,000","424,300,000","275,100,000","196,100,000","179,900,000","244,900,000","329,386,000","275,631,000","209,466,000","185,690,000","146,194,000","127,651,000","99,856,000","175,437,000","167,800,000","151,500,000","127,500,000","97,100,000","76,000,000","61,500,000","48,900,000","41,300,000","14,700,000","37,600,000","31,000,000","37,300,000","34,100,000","35,300,000","54,200,000"
NetNonOperatingInterestIncomeExpense,"-62,700,000","-58,200,000","-53,500,000","-33,500,000","-30,600,000","-34,000,000","-32,200,000","-33,800,000","-25,500,000","-21,200,000","-8,300,000","-9,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"6,000,000","7,900,000","11,200,000","500,000","1,300,000","700,000","1,500,000","500,000","500,000","500,000","300,000",,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"68,700,000","66,100,000","64,700,000","34,000,000","31,900,000","34,700,000","33,700,000","34,300,000","26,000,000","21,700,000","8,600,000","9,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,"21,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-9,400,000","-700,000","-9,600,000","-4,000,000","-141,500,000",,,,,,,"27,000,000","500,000","49,581,000","10,636,000","823,000","553,000","4,713,000","-93,000","-30,384,000","3,446,000","6,800,000","11,400,000","5,900,000","4,000,000","2,800,000","2,000,000","2,400,000","3,600,000","300,000","2,500,000","14,900,000","-5,100,000","2,100,000","3,600,000","-2,300,000"
	SpecialIncomeCharges,,,"0","0","-141,500,000",,,,,,"0","27,000,000","500,000","49,581,000","10,636,000","823,000","553,000","4,713,000","-93,000","-30,384,000","3,446,000","6,800,000","11,400,000","5,900,000","4,000,000","2,800,000","2,000,000","2,400,000","3,600,000","300,000","2,500,000","14,900,000","-5,100,000","2,100,000","3,600,000","-2,300,000"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,"32,811,000",,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,"0","0","141,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,"-27,000,000",,,,,,,,"-2,427,000",,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-600,000","-700,000","-9,600,000","-4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"570,100,000","595,300,000","445,900,000","468,200,000","410,500,000","467,900,000","376,100,000","333,000,000","398,800,000","253,900,000","187,800,000","197,900,000","217,800,000","319,342,000","255,317,000","193,558,000","170,340,000","131,733,000","110,500,000","37,925,000","150,865,000","155,500,000","140,300,000","116,800,000","92,100,000","72,900,000","58,800,000","46,900,000","39,700,000","10,600,000","36,600,000","43,500,000","28,600,000","31,900,000","34,700,000","46,800,000"
TaxProvision,"112,000,000","121,600,000","87,300,000","102,900,000","159,700,000","148,300,000","124,400,000","97,800,000","131,500,000","72,000,000","57,200,000","46,100,000","68,300,000","106,321,000","78,031,000","60,224,000","52,026,000","42,813,000","38,122,000","13,084,000","54,685,000","59,700,000","55,400,000","46,100,000","36,400,000","28,800,000","23,200,000","18,500,000","15,500,000","4,000,000","13,900,000","16,500,000","11,200,000","13,100,000","15,000,000","22,700,000"
