name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
TotalRevenue,"21,126,000,000","5,391,000,000","5,647,000,000","4,949,000,000","5,139,000,000","4,989,000,000","4,433,000,000","4,539,000,000","5,215,000,000","5,207,000,000","4,758,000,000","4,571,000,000","4,794,000,000","5,132,000,000","4,635,000,000","4,700,000,000","4,719,000,000","4,169,000,000","3,659,000,000","5,532,000,000","6,549,000,000","6,207,000,000","5,478,000,000","6,155,000,000","6,086,000,000","6,371,000,000","5,558,000,000","5,223,000,000","6,541,000,000","6,691,000,000","3,417,000,000","5,844,000,000","6,275,000,000","6,047,000,000","4,488,000,000","6,689,000,000","6,892,000,000","8,156,000,000","7,426,000,000","6,566,000,000","8,539,000,000","9,013,000,000","6,715,000,000","9,870,000,000","8,603,000,000","8,106,000,000","-4,734,000,000","2,770,000,000","8,148,680,400","3,089,457,000","5,862,701,150","6,836,676,000","13,033,405,000","11,619,742,400","10,797,912,900","8,089,897,500","8,802,914,400","21,787,393,200","14,137,374,350","15,499,506,400","14,081,998,930","17,062,366,500","12,108,774,100","11,757,047,850","13,491,495,000","16,551,303,300","1,355,480,590","15,161,220,810","15,529,397,040","16,782,524,700","22,040,823,460","14,816,411,370","14,386,778,000","19,774,612,000","19,049,980,420","15,331,012,800","20,301,916,800","21,428,342,000"
	OperatingRevenue,"21,126,000,000","5,391,000,000","5,647,000,000","4,949,000,000","5,139,000,000","4,989,000,000","4,433,000,000","4,539,000,000","5,215,000,000","5,207,000,000","4,758,000,000","4,571,000,000","4,794,000,000","5,132,000,000","4,635,000,000","4,700,000,000","4,719,000,000","4,169,000,000","3,659,000,000","5,532,000,000","6,549,000,000","6,207,000,000","5,478,000,000","6,155,000,000","6,086,000,000","6,371,000,000","5,558,000,000","5,223,000,000","6,541,000,000","6,691,000,000","3,417,000,000","5,844,000,000","6,275,000,000","6,047,000,000","4,488,000,000","6,689,000,000","6,892,000,000","8,156,000,000","7,426,000,000","6,566,000,000","8,539,000,000","9,013,000,000","6,715,000,000","9,870,000,000","8,603,000,000","8,106,000,000","-4,734,000,000","2,770,000,000","8,148,680,400","3,089,457,000","5,862,701,150","6,836,676,000","13,033,405,000","11,619,742,400","10,797,912,900","8,089,897,500","8,802,914,400","21,787,393,200","14,137,374,350","15,499,506,400","14,081,998,930","17,062,366,500","12,108,774,100","11,757,047,850","13,491,495,000","16,551,303,300","1,355,480,590","15,161,220,810","15,529,397,040","16,782,524,700","22,040,823,460","14,816,411,370","14,386,778,000","19,774,612,000","19,049,980,420","15,331,012,800","20,301,916,800","21,428,342,000"
PretaxIncome,"4,859,000,000","1,201,000,000","1,214,000,000","1,142,000,000","1,302,000,000","1,062,000,000","595,000,000","671,000,000","1,052,000,000","1,054,000,000","141,000,000","400,000,000","582,000,000","670,000,000","-2,203,000,000","222,000,000","199,000,000","-484,000,000","-6,441,000,000","852,000,000","1,656,000,000","1,511,000,000","892,000,000","1,338,000,000","-346,000,000","1,743,000,000","-333,000,000","907,000,000","1,639,000,000","1,891,000,000","432,000,000","420,000,000","1,131,000,000","198,000,000","-989,000,000","844,000,000","1,640,000,000","1,966,000,000","1,602,000,000","1,001,000,000","1,909,000,000","2,975,000,000","1,460,000,000","3,543,000,000","1,507,000,000","1,567,000,000","-11,356,000,000","-2,858,000,000","1,514,085,300","-2,598,516,000","-1,700,429,550","1,268,505,700","4,050,494,000","3,550,814,400","3,401,071,500","1,838,670,000","2,377,179,000","3,467,095,200","1,190,480,100","2,369,417,200","1,131,326,090","2,546,496,900","1,262,981,730","1,455,456,480","1,944,303,750","2,497,307,400","-3,392,026,710","2,359,995,130","1,662,271,200","1,027,060,820","-1,793,627,690","-1,734,258,960","-161,167,400","453,816,000","-1,363,841,190","-183,206,900","1,624,656,000","1,999,816,000"
TaxProvision,"872,000,000","-110,000,000","361,000,000","256,000,000","365,000,000","313,000,000","340,000,000","261,000,000","398,000,000","362,000,000","2,234,000,000","153,000,000","276,000,000","78,000,000","414,000,000","185,000,000","21,000,000","-179,000,000","-627,000,000","83,000,000","590,000,000","477,000,000","189,000,000","366,000,000","307,000,000","543,000,000","-63,000,000","365,000,000","475,000,000","510,000,000","100,000,000","101,000,000","311,000,000","-16,000,000","-397,000,000","332,000,000","271,000,000","465,000,000","405,000,000","117,000,000","187,000,000","839,000,000","461,000,000","427,000,000","-34,000,000","981,000,000","-3,177,000,000","-1,261,000,000","297,300,150","-454,244,400","-805,897,000","-32,555,600","862,379,000","821,475,200","803,890,500","368,235,000","502,393,500","860,904,000","80,020,850","437,152,300","212,684,180","630,344,700","312,831,360","114,642,120","442,057,500","569,295,000","-1,025,514,160","316,600,800","318,939,840","376,543,980","-315,704,850","409,969,380","416,965,200","87,401,600","-537,546,170","116,733,600","335,702,400","571,376,000"
NetIncomeCommonStockholders,"3,984,000,000","1,314,000,000","852,000,000","881,000,000","937,000,000","749,000,000","259,000,000","424,000,000","647,000,000","694,000,000","-2,126,000,000","244,000,000","303,000,000","596,000,000","-2,619,000,000","41,000,000","170,000,000","-302,000,000","-5,828,000,000","779,000,000","1,029,000,000","1,028,000,000","641,000,000","985,000,000","-752,000,000","785,000,000","-598,000,000","454,000,000","931,000,000","1,303,000,000","32,000,000","254,000,000","788,000,000","44,000,000","-637,000,000","683,000,000","768,000,000","1,139,000,000","841,000,000","609,000,000","1,593,000,000","2,055,000,000","793,000,000","2,354,000,000","1,571,000,000","2,006,000,000","-6,024,000,000","-1,261,000,000","1,216,785,150","-2,144,271,600","-894,532,550","1,301,061,300","3,188,115,000","2,729,339,200","4,671,016,200","1,895,032,500","2,161,517,400","2,606,191,200","1,120,569,550","1,916,744,700","917,360,680","1,910,171,700","950,086,920","1,352,029,350","1,454,793,750","1,858,431,900","-3,269,860,190","2,043,394,330","1,343,331,360","650,516,840","-956,807,050","-2,144,228,340","-578,132,600","366,414,400","-826,295,020","-299,940,500","1,288,953,600","1,428,440,000"
	NetIncome,"3,984,000,000","1,314,000,000","852,000,000","881,000,000","937,000,000","749,000,000","259,000,000","424,000,000","647,000,000","694,000,000","-2,126,000,000","244,000,000","303,000,000","596,000,000","-2,619,000,000","41,000,000","170,000,000","-302,000,000","-5,828,000,000","779,000,000","1,051,000,000","1,054,000,000","691,000,000","1,025,000,000","-700,000,000","859,000,000","-476,000,000","454,000,000","1,045,000,000","1,303,000,000","263,000,000","254,000,000","788,000,000","44,000,000","-637,000,000","683,000,000","768,000,000","1,139,000,000","841,000,000","609,000,000","1,593,000,000","2,055,000,000","793,000,000","2,354,000,000","1,571,000,000","2,006,000,000","-6,024,000,000","-1,261,000,000","1,216,785,150","-2,144,271,600","-894,532,550","1,301,061,300","3,188,115,000","2,729,339,200","4,671,016,200","1,895,032,500","2,161,517,400","2,606,191,200","1,120,569,550","1,916,744,700","917,360,680","1,910,171,700","950,086,920","1,352,029,350","1,454,793,750","1,858,431,900","-3,269,860,190","2,043,394,330","1,343,331,360","650,516,840","-956,807,050","-2,144,228,340","-578,132,600","366,414,400","-826,295,020","-299,940,500","1,288,953,600","1,428,440,000"
		NetIncomeIncludingNoncontrollingInterests,"3,987,000,000","1,311,000,000","853,000,000","886,000,000","937,000,000","749,000,000","255,000,000","410,000,000","654,000,000","692,000,000","-2,093,000,000","247,000,000","306,000,000","592,000,000","-2,617,000,000","37,000,000","178,000,000","-305,000,000","-5,814,000,000","769,000,000","1,066,000,000","1,034,000,000","693,000,000","1,078,000,000","-662,000,000","1,215,000,000","-272,000,000","692,000,000","1,164,000,000","1,381,000,000","332,000,000","319,000,000","820,000,000","214,000,000","-592,000,000","512,000,000","1,369,000,000","1,501,000,000","1,197,000,000","884,000,000","1,722,000,000","2,117,000,000","999,000,000","3,304,000,000","1,554,000,000","554,000,000","-8,710,000,000","-1,597,000,000","1,546,778,100","-2,070,878,400","1,098,957,100","2,066,117,900","4,523,214,500","3,654,106,400","5,579,393,100","2,521,282,500","2,966,572,350","3,922,330,800","1,636,941,650","2,426,324,600","1,624,599,640","2,211,588,900","1,203,734,720","1,557,637,500","2,001,746,250","1,977,351,300","-3,279,059,350","2,069,777,730","1,387,928,880","691,005,440","-976,343,710","-2,125,057,110","-628,405,000","401,711,200","-866,045,650","-163,751,300","1,373,328,000","1,475,474,000"
			NetIncomeContinuousOperations,"3,987,000,000","1,311,000,000","853,000,000","886,000,000","937,000,000","749,000,000","255,000,000","410,000,000","654,000,000","692,000,000","-2,093,000,000","247,000,000","306,000,000","592,000,000","-2,617,000,000","37,000,000","178,000,000","-305,000,000","-5,814,000,000","769,000,000","1,066,000,000","1,034,000,000","703,000,000","972,000,000","-653,000,000","1,200,000,000","-270,000,000","542,000,000","1,164,000,000","1,381,000,000","332,000,000","319,000,000","820,000,000","214,000,000","-592,000,000","512,000,000","1,369,000,000","1,501,000,000","1,197,000,000","884,000,000","1,722,000,000","2,136,000,000","999,000,000","3,116,000,000","1,541,000,000","586,000,000","-8,179,000,000","-1,597,000,000","1,216,785,150","-2,144,271,600","-894,532,550","1,301,061,300","3,188,115,000","2,729,339,200","2,597,181,000","1,470,435,000","1,874,785,500","2,606,191,200","1,110,459,250","1,932,264,900","918,641,910","1,916,152,200","950,150,370","1,340,814,360","1,502,246,250","1,928,012,400","-2,366,512,550","2,043,394,330","1,343,331,360","650,516,840","-1,477,922,840","-2,144,228,340","-578,132,600","366,414,400","-826,295,020","-299,940,500","1,288,953,600","1,428,440,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,"0","0","0","0","-10,000,000","106,000,000","-9,000,000","15,000,000","-2,000,000","150,000,000",,,,,,,"0","0","0","0","0","0","0","-19,000,000","0","188,000,000","13,000,000","-32,000,000",,,,,,,,,"2,074,433,700","424,597,500","286,731,900","23,479,200","9,850,150","-15,520,200","-1,281,230","-20,333,700","-596,000","11,214,990","-47,452,500","-64,520,100",,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-598,500",,,"-23,479,200","260,150",,,"14,353,200","532,550",,,"-5,060,400",,,,,,,,,,,,
		MinorityInterests,"-3,000,000","3,000,000","-1,000,000","-5,000,000","0","0","4,000,000","14,000,000","-7,000,000","2,000,000","-33,000,000","-3,000,000","-3,000,000","4,000,000","-2,000,000","4,000,000","-8,000,000","3,000,000","-14,000,000","10,000,000","-15,000,000","20,000,000","-2,000,000","-53,000,000","-38,000,000","-356,000,000","-204,000,000","-238,000,000","-119,000,000","-78,000,000","-69,000,000","-65,000,000","-32,000,000","-170,000,000","-45,000,000","171,000,000","-601,000,000","-362,000,000","-356,000,000","-275,000,000","-129,000,000","-62,000,000","-206,000,000","-950,000,000","17,000,000","1,452,000,000","2,686,000,000","336,000,000","-329,992,950","-73,393,200","-1,993,489,650","-765,056,600","-1,335,099,500","-924,767,200","-908,376,900","-626,250,000","-805,054,950","-1,316,139,600","-516,372,100","-509,579,900","-707,238,960","-301,417,200","-253,647,800","-205,608,150","-546,952,500","-118,919,400","9,199,160","-26,383,400","-44,597,520","-40,488,600","19,536,660","-19,171,230","50,272,400","-35,296,800","39,750,630","-136,189,200","-84,374,400","-47,034,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,"25,000,000",,,"28,000,000","122,000,000",,"114,000,000",,"117,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,,,,,"22,000,000","26,000,000","25,000,000","40,000,000","52,000,000","46,000,000","10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"3,984,000,000","1,314,000,000","852,000,000","881,000,000","937,000,000","749,000,000","259,000,000","424,000,000","647,000,000","694,000,000","-2,126,000,000","244,000,000","303,000,000","596,000,000","-2,619,000,000","41,000,000","170,000,000","-302,000,000","-5,828,000,000","779,000,000","1,029,000,000","1,028,000,000","641,000,000","985,000,000","-752,000,000","785,000,000","-598,000,000","454,000,000","931,000,000","1,303,000,000","32,000,000","254,000,000","788,000,000","44,000,000","-637,000,000","683,000,000","768,000,000","1,139,000,000","841,000,000","609,000,000","1,593,000,000","2,055,000,000","793,000,000","2,354,000,000","1,571,000,000","2,006,000,000","-6,024,000,000","-1,261,000,000","1,216,785,150","-2,144,271,600","-894,532,550","1,301,061,300","3,188,115,000","2,729,339,200","4,671,016,200","1,895,032,500","2,161,517,400","2,606,191,200","1,120,569,550","1,916,744,700","917,360,680","1,910,171,700","950,086,920","1,352,029,350","1,454,793,750","1,858,431,900","-3,269,860,190","2,043,394,330","1,343,331,360","650,516,840","-956,807,050","-2,144,228,340","-578,132,600","366,414,400","-826,295,020","-299,940,500","1,288,953,600","1,428,440,000"
BasicEPS,,"0.53","0.34","0.35","0.37","0.29","0.082","0.17","0.413","0.27","-0.83","0.1","0.13","0.27","-1.081","0.019","0.077","-0.145","-3.165","0.441","0.591","0.591","0.506","0.572","-0.431","0.45","0.075","0.244","0.506","0.714","0.156","0.146","0.439","0.027",,"0.494","0.439","0.833",,"0.439","1.053","1.501",,"1.721","1.099","1.465",,"-1.117","1.084","-1.919",,"1.162","2.746","2.344",,"1.596","1.779","2.115",,"1.528","0.75","1.502",,"1.062","1.152","1.472",,"1.519","0.996","0.484",,"-1.655","-0.448","0.283",,"-0.229","0.99","1.09"
DilutedEPS,,"0.52","0.33","0.34","0.36","0.29","0.082","0.16","0.413","0.26","-0.83","0.09","0.13","0.261","-1.081","0.019","0.077","-0.145","-3.165","0.422","0.572","0.581","0.497","0.572","-0.431","0.45","0.075","0.244","0.488","0.696","0.156","0.146","0.421","0.027",,"0.485","0.439","0.824",,"0.439","1.053","1.492",,"1.657","1.08","1.465",,"-1.117","1.028","-1.919",,"1.079","2.581","2.215",,"1.531","1.706","2.024",,"1.491","0.722","1.492",,"1.053","1.079","1.353",,"1.5","0.996","0.484",,"-1.655","-0.448","0.283",,"-0.229","0.98","1.081"
BasicAverageShares,,"2,465,900,000","2,472,800,000","2,505,000,000","2,546,100,000","2,573,100,000","2,550,584,029","2,564,100,000","2,550,043,769","2,586,400,000","2,565,700,000","2,565,500,000","2,309,600,000","2,203,187,094","2,178,418,210","2,168,676,473","2,091,778,932","2,052,708,348","1,841,810,106","1,747,855,959","1,749,775,274","1,728,982,698","1,717,360,181","1,715,334,237","1,732,714,699","1,728,662,812","1,708,083,493","1,706,057,550","1,679,293,772","1,824,688,932","1,421,728,156","1,409,712,937","1,400,537,678","1,359,030,556",,"1,314,683,473","1,309,986,615","1,293,711,454",,"1,300,483,669","1,319,598,790","1,304,634,381",,"1,285,300,800","1,282,133,151","1,279,402,420",,"1,129,539,864","1,123,969,171","1,118,289,249",,"1,124,187,629","1,161,762,498","1,164,602,459",,"1,184,482,186","1,215,721,756","1,232,106,147",,"1,209,168,000","1,231,669,229","1,239,642,966",,"1,229,368,406","1,237,955,781","1,260,907,464",,"1,344,296,593","1,343,881,192","1,343,853,759",,"1,299,108,533","1,299,002,058","1,298,791,795",,"1,299,746,367","1,306,436,664","1,312,826,576"
DilutedAverageShares,,"2,527,600,000","2,559,000,000","2,570,200,000","2,596,500,000","2,621,800,000","2,550,584,029","2,619,900,000","2,550,043,769","2,653,700,000","2,565,720,000","2,626,100,000","2,354,100,000","2,264,228,404","2,178,418,210","2,226,401,446","2,140,176,710","2,052,708,348","1,841,810,106","1,807,034,831","1,798,291,286","1,762,890,592","1,745,403,502","1,735,700,299","1,732,714,699","1,735,700,299","1,710,749,208","1,709,256,407","1,707,550,350","1,824,688,932","1,427,298,849","1,417,468,215","1,438,221,776","1,373,339,591",,"1,337,075,473","1,319,271,103","1,297,862,166",,"1,306,382,049","1,326,043,317","1,312,717,347",,"1,343,192,312","1,307,802,029","1,284,973,112",,"1,129,539,864","1,183,141,242","1,118,289,249",,"1,209,714,147","1,235,055,337","1,233,963,044",,"1,239,970,654","1,267,059,512","1,288,031,532",,"1,294,257,600","1,309,112,781","1,308,457,405",,"1,306,002,026","1,370,135,071","1,387,119,759",,"1,365,785,757","1,349,258,346","1,346,054,853",,"1,299,703,207","1,304,755,496","1,306,959,320",,"1,308,332,797","1,306,436,664","1,312,826,576"
