name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
TotalAssets,"24,732,000,000","26,294,000,000","13,732,000,000","12,119,326,000","12,641,876,000","11,799,963,000","9,591,164,000","8,589,437,000","6,849,576,000","5,368,494,000","3,171,085,000","2,815,203,000","1,508,229,000","1,390,072,000","232,385,000"
	CurrentAssets,"1,055,000,000","1,409,000,000","592,000,000","546,494,000","1,314,550,000","1,188,396,000","520,875,000","458,882,000","411,023,000","330,633,000","217,258,000","278,783,000","109,442,000","63,765,000","59,192,000"
		CashCashEquivalentsAndShortTermInvestments,"70,000,000","0","0","53,261,000","228,550,000","21,000","21,000","2,880,000","342,000","384,000","4,543,000","130,901,000","30,424,000","1,122,000","9,182,000"
			CashAndCashEquivalents,"70,000,000","0","0","53,261,000","228,550,000","21,000","21,000","2,880,000","342,000","384,000","3,234,000","17,752,000","30,424,000","1,122,000","9,182,000"
			OtherShortTermInvestments,,,,,,,,,"0","0","1,309,000","113,149,000",,,
		Receivables,"888,000,000","831,000,000","543,000,000","458,369,000","394,580,000","660,265,000","471,735,000","400,791,000","367,667,000","268,552,000","169,535,000","141,940,000","57,918,000","51,391,000","44,312,000"
			AccountsReceivable,"888,000,000","831,000,000","543,000,000","458,369,000","394,580,000","660,265,000","471,735,000","400,791,000","367,667,000","268,552,000","169,535,000","141,940,000","57,918,000","51,391,000","44,312,000"
		Inventory,"30,000,000","35,000,000","14,000,000",,,,,,,,,,"1,459,000","1,309,000","1,018,000"
		PrepaidAssets,"61,000,000","59,000,000","35,000,000","31,313,000","38,922,000","37,759,000","18,460,000","19,269,000","12,523,000","12,126,000","13,896,000","5,942,000","4,017,000","3,848,000","1,674,000"
		CurrentDeferredAssets,,,,,,"0","30,069,000","0","28,793,000","42,716,000","29,284,000","0","13,502,000","82,000","3,006,000"
			CurrentDeferredTaxesAssets,,,,,,"0","30,069,000","0","28,793,000","42,716,000","29,284,000","0","13,502,000","82,000","3,006,000"
		HedgingAssetsCurrent,"6,000,000","484,000,000","0","3,551,000","652,498,000","490,351,000","590,000","35,942,000","1,698,000","6,855,000",,,,,
		OtherCurrentAssets,,,,,,,,,,,"1,309,000","113,149,000","2,122,000","6,013,000",
	TotalNonCurrentAssets,"23,677,000,000","24,885,000,000","13,140,000,000","11,572,832,000","11,327,326,000","10,611,567,000","9,070,289,000","8,130,555,000","6,438,553,000","5,037,861,000","2,953,827,000","2,536,420,000","1,398,787,000","1,326,307,000","173,193,000"
		NetPPE,"21,327,000,000","22,313,000,000","13,041,000,000","11,302,433,000","10,976,947,000","10,206,014,000","8,946,048,000","7,993,424,000","6,290,118,000","4,913,787,000","2,856,289,000","2,401,404,000","1,394,994,000","1,320,655,000","170,583,000"
			GrossPPE,"29,348,000,000","32,014,000,000","21,501,000,000","18,692,277,000","16,024,757,000","13,996,967,000","11,330,156,000","9,558,740,000","7,406,663,000","5,644,296,000","3,373,710,000","2,708,394,000","1,562,103,000","1,404,753,000","184,919,000"
				MineralProperties,"28,785,000,000","31,706,000,000","21,267,000,000","18,476,279,000","15,846,307,000","13,867,831,000","11,215,373,000","9,455,599,000","7,347,460,000","5,616,249,000",,,,,
				LandAndImprovements,,,,,,,,,,,,,"1,555,018,000","1,399,218,000","179,688,000"
				MachineryFurnitureEquipment,,,,,,,,,,"28,047,000","15,706,000","14,820,000",,,
				OtherProperties,"563,000,000","308,000,000","234,000,000","215,998,000","178,450,000","129,136,000","114,783,000","103,141,000","59,203,000","28,047,000","3,358,004,000","2,693,574,000","7,085,000","5,535,000","5,231,000"
			AccumulatedDepreciation,"-8,021,000,000","-9,701,000,000","-8,460,000,000","-7,389,844,000","-5,047,810,000","-3,790,953,000","-2,384,108,000","-1,565,316,000","-1,116,545,000","-730,509,000","-517,421,000","-306,990,000","-167,109,000","-84,098,000","-14,336,000"
		GoodwillAndOtherIntangibleAssets,"1,934,000,000","2,243,000,000","26,000,000","24,232,000","25,693,000","27,154,000","28,615,000","30,076,000","33,425,000","34,973,000","36,522,000","37,768,000",,,
			Goodwill,"1,917,000,000","2,224,000,000",,,,,,,,,,,,,
			OtherIntangibleAssets,"17,000,000","19,000,000",,,,,,,"33,425,000","34,973,000","36,522,000","37,768,000",,,
		InvestmentsAndAdvances,,,,,,,,,"0","0","0","0",,,
		FinancialAssets,"11,000,000","211,000,000",,"0","167,038,000","262,349,000","966,000","2,769,000","7,944,000","2,233,000","23,614,000","61,157,000",,,
		NonCurrentDeferredAssets,"7,000,000","10,000,000","13,000,000","10,909,000","15,585,000","68,443,000","73,048,000","77,609,000","65,641,000","52,828,000","20,676,000","15,701,000",,,"1,898,000"
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,,"1,898,000"
		NonCurrentPrepaidAssets,,,"0","43,000,000",,,,"0",,,,,,,
		OtherNonCurrentAssets,"398,000,000","108,000,000","60,000,000","192,258,000","142,063,000","47,607,000","21,612,000","26,677,000","41,425,000","34,040,000","16,726,000","20,390,000","3,793,000","5,652,000","712,000"
TotalLiabilitiesNetMinorityInterest,"6,950,000,000","7,526,000,000","4,817,000,000","4,496,633,000","5,699,325,000","6,519,175,000","5,833,215,000","5,123,241,000","3,868,837,000","2,984,620,000","1,835,657,000","1,490,049,000","732,831,000","814,916,000","122,715,000"
	CurrentLiabilities,"1,182,000,000","1,356,000,000","1,165,000,000","753,186,000","596,420,000","1,427,193,000","756,868,000","740,086,000","701,477,000","506,989,000","337,014,000","270,818,000","128,642,000","70,501,000","40,346,000"
		PayablesAndAccruedExpenses,"979,000,000","1,131,000,000","704,000,000","648,476,000","580,722,000","1,151,177,000","656,543,000","678,815,000","581,935,000","313,625,000","211,085,000","184,256,000","69,171,000","51,025,000","20,193,000"
			Payables,"321,000,000","303,000,000","226,000,000","160,042,000","182,987,000","258,478,000","191,553,000","193,402,000","169,413,000","98,546,000","46,803,000","30,060,000","16,341,000","19,750,000","5,897,000"
				AccountsPayable,"321,000,000","303,000,000","226,000,000","160,042,000","182,987,000","258,478,000","191,553,000","193,217,000","23,198,000","39,943,000","15,734,000","7,774,000","16,341,000","19,750,000","5,897,000"
				DuetoRelatedPartiesCurrent,,,,,,,"0","185,000","154,000","1,197,000",,,,,
				OtherPayable,,,,,,,,,"146,061,000","57,406,000","31,069,000","22,286,000",,,
			CurrentAccruedExpenses,"658,000,000","828,000,000","478,000,000","488,434,000","397,735,000","892,699,000","464,990,000","485,413,000","412,522,000","215,079,000","164,282,000","154,196,000","52,830,000","31,275,000","14,296,000"
				InterestPayable,"60,000,000","70,000,000","36,000,000","31,719,000","68,925,000","69,264,000","70,000,000","64,304,000","52,733,000",,,,,,
		CurrentProvisions,"9,000,000","11,000,000","12,000,000","10,035,000","8,626,000","9,146,000","4,481,000","3,308,000","7,445,000",,,,,,
		CurrentDebtAndCapitalLeaseObligation,,"159,000,000","116,000,000",,,"92,541,000","36,718,000","24,275,000","39,241,000","12,314,000","3,415,000","9,434,000","7,651,000","2,358,000","83,000"
			CurrentDebt,,"159,000,000","116,000,000",,,"92,541,000","36,718,000","24,275,000","39,241,000","12,314,000","3,415,000","9,434,000","7,651,000","2,358,000","83,000"
				LineOfCredit,"0","159,000,000","116,000,000",,,"92,541,000","36,718,000","24,275,000","39,241,000",,,,,,
			BankIndebtedness,,,,,,,,,,"12,314,000",,,,,
		CurrentDeferredLiabilities,,,,,,"162,566,000","0","8,566,000",,,"0","37,205,000",,,
			CurrentDeferredTaxesLiabilities,,,,,,"162,566,000","0","8,566,000",,,"0","37,205,000",,,
		OtherCurrentLiabilities,"194,000,000","55,000,000","333,000,000","94,675,000","7,072,000","11,763,000","59,126,000","25,122,000","72,856,000","181,050,000","122,514,000","39,923,000","51,820,000","17,118,000","20,070,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"5,768,000,000","6,170,000,000","3,652,000,000","3,743,447,000","5,102,905,000","5,091,982,000","5,076,347,000","4,383,155,000","3,167,360,000","2,477,631,000","1,498,643,000","1,219,231,000","604,189,000","744,415,000","82,369,000"
		LongTermProvisions,"152,000,000","168,000,000","172,000,000","140,965,000","140,344,000","136,477,000","97,185,000","83,382,000","52,670,000","36,574,000",,,,,
		LongTermDebtAndCapitalLeaseObligation,"3,955,000,000","4,194,000,000","2,691,000,000","2,740,580,000","3,332,188,000","3,517,320,000","3,630,421,000","3,101,103,000","2,080,141,000","1,668,521,000","866,020,000","645,468,000","325,404,000","495,100,000","72,000,000"
			LongTermDebt,"3,955,000,000","4,194,000,000","2,691,000,000","2,740,580,000","3,332,188,000","3,517,320,000","3,630,421,000","3,101,103,000","2,080,141,000","1,668,521,000","866,020,000","645,468,000","325,404,000","495,100,000","72,000,000"
		NonCurrentDeferredLiabilities,"1,654,000,000","1,808,000,000","687,000,000","766,032,000","1,630,373,000","1,438,185,000","1,334,653,000","1,186,621,000","1,002,295,000","720,889,000","603,286,000","573,763,000","259,070,000","241,752,000",
			NonCurrentDeferredTaxesLiabilities,"1,654,000,000","1,808,000,000","687,000,000","766,032,000","1,630,373,000","1,438,185,000","1,334,653,000","1,186,621,000","1,002,295,000","720,889,000","603,286,000","573,763,000","259,070,000","241,752,000",
		EmployeeBenefits,,,,,,,,,,,,"15,468,000",,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,,,,,,,,,,,,"15,468,000",,,
		DerivativeProductLiabilities,"7,000,000","0","102,000,000","95,870,000",,"0","14,088,000","12,049,000","32,254,000","51,647,000","29,337,000","0",,,
		OtherNonCurrentLiabilities,,,,,,,,,,"36,574,000","20,184,000","573,763,000","19,715,000","7,563,000","10,369,000"
TotalEquityGrossMinorityInterest,"17,782,000,000","18,768,000,000","8,915,000,000","7,622,693,000","6,942,551,000","5,280,788,000","3,757,949,000","3,466,196,000","2,980,739,000","2,383,874,000","1,335,428,000","1,325,154,000","775,398,000","575,156,000","109,670,000"
	StockholdersEquity,"17,782,000,000","18,768,000,000","8,915,000,000","7,622,693,000","6,942,551,000","5,280,788,000","3,757,949,000","3,466,196,000","2,980,739,000","2,383,874,000","1,335,428,000","1,325,154,000","775,398,000","575,156,000","109,670,000"
		CapitalStock,"0","0","0","146,000","129,000","113,000","105,000","105,000","104,000","103,000","86,000","85,000","76,000","59,000","138,000"
			PreferredStock,,,,,,,,,,,,"0",,,"130,000"
			CommonStock,"0","0","0","146,000","129,000","113,000","105,000","105,000","104,000","103,000","86,000","85,000","76,000","59,000","8,000"
		RetainedEarnings,"3,320,000,000","4,126,000,000","1,840,000,000","883,195,000","2,345,641,000","2,279,741,000","1,741,566,000","1,490,563,000","1,058,874,000","510,737,000","306,367,000","316,169,000","37,467,000","12,152,000","-6,272,000"
		AdditionalPaidInCapital,"14,608,000,000","14,773,000,000","7,142,000,000","6,782,914,000","4,628,390,000","3,027,412,000","2,027,162,000","1,982,714,000","1,925,757,000","1,874,649,000","1,029,392,000","1,009,025,000","752,380,000","575,389,000","135,876,000"
		TreasuryStock,"146,000,000","131,000,000","67,000,000","43,562,000","31,609,000","26,478,000","10,884,000","7,186,000","3,996,000","1,615,000","417,000","125,000",,,
		GainsLossesNotAffectingRetainedEarnings,,,,,,,,,,,,"0","-14,525,000","-12,444,000","-20,072,000"
TotalCapitalization,"21,737,000,000","22,962,000,000","11,606,000,000","10,363,273,000","10,274,739,000","8,798,108,000","7,388,370,000","6,567,299,000","5,060,880,000","4,052,395,000","2,201,448,000","1,970,622,000","1,100,802,000","1,070,256,000","181,670,000"
PreferredStockEquity,,,,,,,,,,,,,,,"130,000"
CommonStockEquity,"17,782,000,000","18,768,000,000","8,915,000,000","7,622,693,000","6,942,551,000","5,280,788,000","3,757,949,000","3,466,196,000","2,980,739,000","2,383,874,000","1,335,428,000","1,325,154,000","775,398,000","575,156,000","109,540,000"
NetTangibleAssets,"15,848,000,000","16,525,000,000","8,889,000,000","7,598,461,000","6,916,858,000","5,253,634,000","3,729,334,000","3,436,120,000","2,947,314,000","2,348,901,000","1,298,906,000","1,287,386,000","775,398,000","575,156,000","109,670,000"
WorkingCapital,"-127,000,000","53,000,000","-573,000,000","-206,692,000","718,130,000","-238,797,000","-235,993,000","-281,204,000","-290,454,000","-176,356,000","-119,756,000","7,965,000","-19,200,000","-6,736,000","18,846,000"
