name,ttm,03/31/2020,12/31/2019,09/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalRevenue,"13,121,119,000","3,085,267,000","2,938,000,000",,"3,094,148,000","3,015,490,123.761","3,764,953,015.842","3,724,964,748.553","3,461,319,269.938","2,519,586,633.835","3,510,217,286.261","3,658,841,185.7","3,337,706,102.049","2,236,890,351.27","3,506,844,725.031","3,614,687,045.481","3,306,800,533.63","3,112,133,376.998","3,581,253,769.147","3,779,811,779.862","3,357,212,724.83","2,627,593,759.195","4,078,752,052.276","4,154,119,327.819","3,638,064,917.139","3,935,477,303.188","4,019,034,090.041","3,733,203,532.762","3,395,843,645.777","3,769,431,154.348","3,983,438,945.691","3,771,311,071.517","3,533,268,216.449","3,672,571,860.989","3,614,293,050.054","4,052,139,661.179","3,426,541,081.49","3,739,489,839.225","3,832,869,620.454","3,704,132,887.847","3,139,847,919.516","2,847,099,034.041","4,171,276,551.637","4,248,805,751.574","3,772,522,023.553","12,162,527,280.408","6,204,830,428.617","6,348,211,000","5,400,459,000","6,077,717,000","6,101,213,000","4,912,924,000","4,300,672,000","4,825,322,000","4,651,489,000","4,613,517,000","3,928,749,000","4,055,707,000","4,298,068,000","4,375,937,000","2,585,242,000","2,262,635,000","2,047,409,000","2,047,409,000","1,808,960,000","1,884,434,000","1,834,365,000","1,855,004,000","1,596,648,000","1,599,859,000","1,720,850,000","1,741,503,000","1,571,060,000","1,753,234,000","1,757,973,000","1,815,612,000","1,581,438,000","1,549,552,000","1,393,959,000","1,360,468,000","1,325,090,000","1,276,671,000","1,239,300,000","1,198,300,000","1,119,400,000"
	OperatingRevenue,"13,121,119,000","3,085,267,000","2,938,000,000",,"3,094,148,000","3,015,490,123.761","3,764,953,015.842","3,724,964,748.553","3,461,319,269.938","2,519,586,633.835","3,510,217,286.261","3,658,841,185.7","3,337,706,102.049","2,236,890,351.27","3,506,844,725.031","3,614,687,045.481","3,306,800,533.63","3,112,133,376.998","3,581,253,769.147","3,779,811,779.862","3,357,212,724.83","2,627,593,759.195","4,078,752,052.276","4,154,119,327.819","3,638,064,917.139","3,935,477,303.188","4,019,034,090.041","3,733,203,532.762","3,395,843,645.777","3,769,431,154.348","3,983,438,945.691","3,771,311,071.517","3,533,268,216.449","3,672,571,860.989","3,614,293,050.054","4,052,139,661.179","3,426,541,081.49","3,739,489,839.225","3,832,869,620.454","3,704,132,887.847","3,139,847,919.516","2,847,099,034.041","4,171,276,551.637","4,248,805,751.574","3,772,522,023.553","12,162,527,280.408","6,204,830,428.617","6,348,211,000","5,400,459,000","6,077,717,000","6,101,213,000","4,912,924,000","4,300,672,000","4,825,322,000","4,651,489,000","4,613,517,000","3,928,749,000","4,055,707,000","4,298,068,000","4,375,937,000","2,585,242,000","2,262,635,000","2,047,409,000","2,047,409,000","1,808,960,000","1,884,434,000","1,834,365,000","1,855,004,000","1,596,648,000","1,599,859,000","1,720,850,000","1,741,503,000","1,571,060,000","1,753,234,000","1,757,973,000","1,815,612,000","1,581,438,000","1,549,552,000","1,393,959,000","1,360,468,000","1,325,090,000","1,276,671,000","1,239,300,000","1,198,300,000","1,119,400,000"
CostOfRevenue,"8,822,128,000","2,119,721,000","1,976,000,000",,"2,122,593,000","2,003,193,571.624","2,449,800,538.197","2,422,310,929.303","2,361,943,525.989","1,645,070,881.989","2,255,143,338.768","2,386,405,271.985","2,263,531,620.37","1,384,436,692.179","2,231,962,684.568","2,323,643,736.407","2,242,785,254.63","2,036,196,372.95","2,365,470,413.229","2,499,247,743.198","2,337,476,656.947","1,699,031,867.752","2,697,634,779.784","2,822,926,573.901","2,639,253,708.122","2,670,092,608.086","2,722,247,907.569","2,532,166,722.98","2,466,060,227.374","2,616,482,408.006","2,760,113,517.086","2,636,807,634.112","2,583,707,755.421","2,692,290,421.156","2,534,056,679.87","2,910,415,414.304","2,451,433,857.539","2,775,385,248.766","2,716,601,238.685","2,593,295,977.478","2,293,765,914.223","2,107,626,599.539","2,865,592,113.544","2,948,633,583.732","2,695,281,484.674","8,405,804,834.077","4,153,215,131.97","4,245,403,000","3,806,802,000","4,203,121,000","4,083,858,000","3,165,091,000","2,806,605,000","3,222,306,000","2,905,786,000","2,860,137,000","2,515,485,000","2,654,425,000","2,489,581,000","2,585,820,000","1,538,372,000","1,284,849,000","1,145,732,000","1,145,732,000","1,032,963,000","1,085,713,000","1,043,323,000","1,067,776,000","936,498,000","933,724,000","959,399,000","946,297,000","865,534,000","987,831,000","989,775,000","1,020,839,000","887,373,000","409,477,000","761,537,000","743,808,000","741,560,000","288,964,000","679,800,000","646,600,000","638,100,000"
GrossProfit,"4,298,991,000","965,546,000","962,000,000",,"971,555,000","1,012,296,498.755","1,315,152,477.645","1,302,653,819.25","1,099,375,743.949","874,515,751.846","1,255,073,947.492","1,272,435,913.715","1,074,174,481.679","852,453,710.72","1,274,882,040.464","1,291,043,309.074","1,064,015,279","1,075,937,063.172","1,215,783,296.795","1,280,564,036.664","1,019,736,067.883","928,561,891.443","1,381,117,272.492","1,331,192,753.918","998,811,209.017","1,265,384,695.102","1,296,786,182.472","1,201,036,809.781","929,783,418.403","1,152,948,746.342","1,223,325,428.605","1,134,503,437.405","949,560,461.028","980,281,439.833","1,080,236,370.184","1,141,724,246.875","975,107,223.951","964,104,590.459","1,116,268,381.769","1,110,836,910.369","846,082,005.293","739,472,434.502","1,305,684,438.094","1,300,172,167.843","1,077,240,538.879","3,756,722,446.331","2,051,615,296.647","2,102,808,000","1,593,657,000","1,874,596,000","2,017,355,000","1,747,833,000","1,494,067,000","1,603,016,000","1,745,703,000","1,753,380,000","1,413,264,000","1,401,282,000","1,808,487,000","1,790,117,000","1,046,870,000","977,786,000","901,677,000","901,677,000","775,997,000","798,721,000","791,042,000","787,228,000","660,150,000","666,135,000","761,451,000","795,206,000","705,526,000","765,403,000","768,198,000","794,773,000","694,065,000","1,140,075,000","632,422,000","616,660,000","583,530,000","987,707,000","559,500,000","551,700,000","481,300,000"
OperatingExpense,"2,986,481,000","747,860,000","708,000,000",,"733,379,000","670,021,205.154","822,491,753.817","809,278,682.635","759,278,093.727","579,393,857.869","764,139,272.373","783,363,071.151","700,485,993.968","520,174,876.515","735,144,739.539","762,258,097.086","693,915,452.262","701,551,193.673","784,890,538.051","791,782,840.347","688,620,712.25","611,430,688.541","896,611,100.02","875,304,541.445","727,566,599.809","900,290,852.487","827,892,810.106","773,790,633.723","685,043,778.858","862,591,924.535","804,206,352.292","770,890,510.56","707,013,088.494","756,302,637.255","802,520,345.697","886,357,845.481","802,455,638.718","822,154,092.006","826,796,013.975","820,877,437.218","692,944,647.236","693,978,710.39","899,142,499.648","883,236,133.242","741,576,441.333","2,509,883,626.145","1,095,845,020.813","1,204,092,000","1,132,225,000","1,246,165,000","1,077,545,000","942,234,000","936,203,000","932,992,000","925,005,000","891,948,000","857,247,000","878,240,000","1,037,494,000","1,038,681,000","606,641,000","502,519,000","406,410,000","406,410,000","383,164,000","436,984,000","386,320,000","397,297,000","359,642,000","414,133,000","407,456,000","391,756,000","385,487,000","374,875,000","358,444,000","335,463,000","304,087,000","731,084,000","197,968,000","200,851,000","186,571,000","636,523,000","171,800,000","167,000,000","164,300,000"
	SellingGeneralAndAdministration,"3,048,231,403.142",,"708,000,000",,,"784,231,403.142",,,,"579,393,857.869",,,,,,,"693,915,452.262",,,,,,,,,,,"773,790,633.723","685,043,778.858","862,591,924.535","804,206,352.292","770,890,510.56","707,013,088.494","756,302,637.255","802,520,345.697","886,357,845.481","802,455,638.718","822,154,092.006","826,796,093.378","820,877,437.218","692,944,647.236","693,978,636.353","899,142,499.648","883,236,133.242","741,576,441.333","2,509,883,626.145","1,095,845,020.813","1,204,092,000","1,132,225,000","1,246,166,000","1,077,545,000","942,234,000","936,203,000","947,992,000","925,005,000","895,383,000","860,478,000","879,241,000","1,037,494,000","1,038,681,000","606,641,000","502,519,000","406,410,000","406,410,000","383,164,000","436,984,000","386,320,000","397,297,000","359,642,000","414,133,000","407,455,000","391,755,000","385,487,000","374,874,000","358,444,000","335,463,000","304,087,000","241,849,000","197,968,000","200,851,000","186,571,000","200,662,000","171,800,000","167,000,000","164,300,000"
		GeneralAndAdministrativeExpense,"1,110,095,074.013",,"166,000,000",,,"164,095,074.013",,,,"-160,834,262.736",,,,,,,"391,011,712.394",,,,,,,,,,,"461,533,549.386","374,574,992.088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,110,095,074.013",,"166,000,000",,,"164,095,074.013",,,,"-160,834,262.736",,,,,,,"391,011,712.394",,,,,,,,,,,"461,533,549.386","374,574,992.088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"1,938,136,329.129",,"542,000,000",,,"620,136,329.129",,,,"740,228,120.605",,,,,,,"302,903,739.868",,,,,,,,,,,"312,257,084.337","310,468,786.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,"747,860,000",,,"733,379,000",,"822,491,753.817","809,278,682.635","759,278,093.727",,"764,139,272.373","783,363,071.151","700,485,993.968",,"735,144,739.539","762,258,097.086",,,"784,890,538.051","791,782,840.347","688,620,712.25",,"896,611,100.02","875,304,541.445","727,566,599.809",,"827,892,810.106",,,,,,,,,,,,"-79.403",,,,,,,,,,,,,,,,,"-3,435,000","-3,231,000","-1,001,000",,,,,,,,,,,,,"1,000","1,000",,,,,,,,,,,,,
