name,ttm,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalRevenue,"2,151,909,000","2,020,437,000","1,903,339,000","1,790,147,000","1,875,197,000","1,817,057,000","1,556,618,000","1,414,398,000","1,377,283,000","1,000,989,000","813,177,000","689,445,000","448,929,000","304,423,000","264,760,000","214,787,000","121,055,000","99,107,000","91,461,000","113,738,000","109,700,000","102,200,000","106,700,000","101,800,000","102,300,000","85,800,000","57,100,000"
	OperatingRevenue,"2,151,909,000","2,020,437,000","1,903,339,000","1,790,147,000","1,875,197,000","1,817,057,000","1,556,618,000","1,414,398,000","1,377,283,000","1,000,989,000","813,177,000","689,445,000","448,929,000","304,423,000","264,760,000","214,787,000","121,055,000","99,107,000","91,461,000","113,738,000","109,700,000","102,200,000","106,700,000","101,800,000","102,300,000","85,800,000","57,100,000"
CostOfRevenue,"1,037,929,000","980,187,000","971,697,000","954,912,000","1,028,529,000","938,949,000","820,135,000","782,244,000","698,288,000","498,051,000","442,087,000","384,127,000","241,458,000","163,224,000","153,238,000","124,354,000","69,710,000","57,577,000","52,903,000","60,600,000","61,400,000","63,000,000","60,000,000","58,700,000","64,200,000","43,200,000","26,800,000"
GrossProfit,"1,113,980,000","1,040,250,000","931,642,000","835,235,000","846,668,000","878,108,000","736,483,000","632,154,000","678,995,000","502,938,000","371,090,000","305,318,000","207,471,000","141,199,000","111,522,000","90,433,000","51,345,000","41,530,000","38,558,000","53,138,000","48,300,000","39,200,000","46,700,000","43,100,000","38,100,000","42,600,000","30,300,000"
OperatingExpense,"760,896,000","712,930,000","709,058,000","837,154,000","684,541,000","653,689,000","528,586,000","445,206,000","394,157,000","253,850,000","188,843,000","188,399,000","101,918,000","89,289,000","59,254,000","47,971,000","31,907,000","38,182,000","34,040,000","40,508,000","41,500,000","42,000,000","38,600,000","35,300,000","34,100,000","25,100,000","19,200,000"
	SellingGeneralAndAdministration,"760,896,000","712,930,000","709,058,000","837,154,000","684,541,000","653,689,000","528,586,000","445,206,000","394,157,000","253,850,000","188,843,000","152,574,000","101,918,000","73,989,000","59,254,000","47,971,000","31,907,000","34,954,000","34,040,000","37,568,000","38,400,000","39,400,000","36,100,000","33,000,000","32,400,000","24,300,000","18,700,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,"2,940,000","3,100,000","2,600,000","2,500,000","2,300,000","1,700,000","800,000","500,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,"2,940,000","3,100,000","2,600,000","2,500,000","2,300,000","1,700,000","800,000","500,000"
	OtherOperatingExpenses,,,,,,,,,,,,"35,825,000",,"15,300,000",,,,"3,228,000",,,,,,,,,
OperatingIncome,"353,084,000","327,320,000","222,584,000","-1,919,000","162,127,000","224,419,000","207,897,000","186,948,000","284,838,000","249,088,000","182,247,000","116,919,000","105,553,000","51,910,000","52,268,000","42,462,000","19,438,000","3,348,000","4,518,000","12,630,000","6,800,000","-2,800,000","8,100,000","7,800,000","4,000,000","17,500,000","11,100,000"
NetNonOperatingInterestIncomeExpense,"4,351,000","1,367,000","-1,528,000","-6,541,000","-5,394,000","-4,013,000","-3,019,000","-3,623,000","-69,000","-332,000","1,885,000",,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"7,966,000","6,028,000","3,057,000","778,000","420,000","207,000","60,000","217,000","180,000","234,000","1,885,000",,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"3,615,000","4,661,000","4,585,000","7,319,000","5,814,000","4,220,000","3,079,000","3,840,000","249,000","566,000","0",,,,,,,,,,,,,,,,
