name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalAssets,"9,349,301,000","8,261,709,000","8,292,641,000","7,613,705,000","6,066,161,000","5,954,596,000","5,847,789,000","6,103,807,000","6,231,602,000","6,279,289,000","6,059,932,000","6,760,804,000","6,189,968,000","6,200,118,000","2,904,647,000","2,585,697,000","2,356,296,000","2,415,429,000","2,168,433,000"
	CurrentAssets,"293,953,000","275,432,000","285,646,000","208,257,000","183,542,000","95,963,000","115,628,000","437,726,000","467,380,000","322,943,000","114,976,000",,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"153,683,000","146,227,000","176,645,000","112,927,000","101,798,000","18,823,000","44,206,000","373,203,000","406,977,000","272,419,000","72,740,000","8,655,000","5,843,000","4,536,000","108,282,000",,,,
			CashAndCashEquivalents,"153,683,000","146,227,000","176,645,000","112,927,000","101,798,000","18,823,000","44,206,000","373,203,000","406,977,000","272,419,000","72,740,000","8,655,000","5,843,000","4,536,000","108,282,000",,,,
		Receivables,"140,270,000","129,205,000","109,001,000","95,330,000","81,744,000","77,140,000","71,422,000","64,523,000","1,722,000","1,591,000","1,841,000",,,"7,747,000","65,803,000",,,,
			AccountsReceivable,"140,270,000","129,205,000","109,001,000","95,330,000","81,744,000","77,140,000","71,422,000","64,523,000",,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,"58,681,000","48,933,000","40,395,000",,,,,,,,
		AssetsHeldForSaleCurrent,,,,"0",,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"9,055,348,000","7,986,277,000","8,006,995,000","7,405,448,000","5,882,619,000","5,858,633,000","5,732,161,000","5,666,081,000","5,764,222,000","5,956,346,000","5,944,956,000",,,,,,,,
		NetPPE,"9,847,000","1,101,000","1,155,000","1,093,000","1,448,000",,,,"5,606,399,000","5,756,760,000","5,698,167,000","6,491,191,000","6,022,056,000","6,056,096,000","2,622,484,000",,,"2,293,636,000",
			GrossPPE,"9,847,000","1,101,000","1,155,000","1,093,000","1,448,000",,,,"6,726,018,000","6,670,683,000","6,387,060,000","6,981,316,000","6,264,170,000","6,088,617,000","2,622,484,000",,,"2,293,636,000",
				Properties,,,,,,,,,"0","0","0","0","0",,,,,,
				LandAndImprovements,,,,,,,,,"851,679,000","851,679,000","835,407,000","900,213,000","825,560,000",,,,,,
				BuildingsAndImprovements,,,,,,,,,"5,233,692,000","5,226,269,000","5,017,569,000","5,528,567,000","4,978,124,000",,,,,,
				MachineryFurnitureEquipment,"2,368,000","1,101,000","1,155,000","1,093,000","1,448,000",,,,,,,,,,,,,,
				OtherProperties,"7,479,000",,,,,,,,,,,,,,,,,,
				Leases,,,,,,,,,"640,647,000","592,735,000","534,084,000","552,536,000","460,486,000",,,,,,
			AccumulatedDepreciation,,,,,,,,,"-1,119,619,000","-913,923,000","-688,893,000","-490,125,000","-242,114,000","-32,521,000",,,,,
		GoodwillAndOtherIntangibleAssets,"8,395,000","5,239,000","6,281,000","7,135,000","6,472,000","5,515,000","5,732,000","6,695,000","6,379,000","9,356,000","11,691,000","18,163,000","24,313,000","34,137,000",,,,,
			OtherIntangibleAssets,"8,395,000","5,239,000","6,281,000","7,135,000","6,472,000","5,515,000","5,732,000","6,695,000","6,379,000","9,356,000","11,691,000",,,,,,,,
		InvestmentProperties,"8,960,218,000","7,783,821,000","7,816,456,000","7,208,442,000","5,620,954,000","5,626,446,000","5,516,914,000","5,482,069,000",,,,,,,,,,,
		InvestmentsAndAdvances,"42,442,000","111,032,000","107,735,000","144,289,000","164,631,000","171,390,000","182,896,000","149,478,000","117,055,000","110,920,000","97,127,000",,,,,,,,
		FinancialAssets,"22,381,000","73,414,000","60,069,000","35,656,000","4,830,000",,,"4,000","699,000","52,528,000","108,027,000",,,,,,,,
		NonCurrentAccountsReceivable,,,,,,,,"13,000",,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,"0","27,500,000",,,,,,"35,236,000","21,760,000",,,,,,
		NonCurrentDeferredAssets,,,,,,"15,623,000","17,745,000","19,362,000",,,,,,,,,,,
		NonCurrentPrepaidAssets,"8,711,000","7,830,000","9,235,000","6,779,000","81,720,000","8,608,000","5,747,000","4,049,000",,,,,,,,,,,
		OtherNonCurrentAssets,"3,354,000","3,840,000","6,064,000","2,054,000","2,564,000","3,551,000","3,127,000","4,411,000","33,690,000","26,782,000","29,944,000",,,,,,,,
TotalLiabilitiesNetMinorityInterest,"4,978,367,000","4,413,279,000","4,390,592,000","4,599,634,000","3,784,613,000","3,640,872,000","3,480,581,000","3,713,348,000","3,915,647,000","3,980,120,000","3,767,547,000","4,480,590,000","3,566,365,000","3,153,836,000","2,497,922,000","2,649,311,000","2,339,809,000","2,398,378,000","1,459,183,000"
	CurrentLiabilities,"687,255,000","275,031,000","114,969,000","81,298,000","66,066,000","62,274,000","58,545,000","54,795,000","72,319,000","70,206,000","85,053,000",,,,,,,,
		PayablesAndAccruedExpenses,"127,255,000","130,031,000","114,969,000","81,298,000","66,066,000","62,274,000","58,545,000","54,795,000","56,180,000","70,206,000","85,053,000","92,071,000","3,187,602,000","2,841,438,000","84,418,000",,,,
			Payables,"115,548,000","119,374,000","105,140,000","71,737,000","56,038,000","52,618,000","49,282,000","44,592,000","45,399,000","70,206,000","85,053,000","92,071,000","3,173,639,000","2,841,438,000",,,,,
				AccountsPayable,"66,437,000","75,111,000","62,741,000","36,880,000","23,716,000","22,195,000","20,761,000","19,168,000","28,360,000","57,793,000","72,893,000","69,215,000","3,154,418,000","2,827,637,000",,,,,
				DividendsPayable,"49,111,000","44,263,000","42,399,000","34,857,000","32,322,000","30,423,000","28,521,000","25,424,000","17,039,000","12,413,000","12,160,000","22,856,000","19,221,000","13,801,000",,,,,
			CurrentAccruedExpenses,"11,707,000","10,657,000","9,829,000","9,561,000","10,028,000","9,656,000","9,263,000","10,203,000","10,781,000","12,789,000","26,263,000","22,982,000","13,963,000",,,,,,
				InterestPayable,"11,707,000","10,657,000","9,829,000","9,561,000","10,028,000","9,656,000","9,263,000","10,203,000","10,781,000","12,789,000","26,263,000","22,982,000","13,963,000",,,,,,
		CurrentDebtAndCapitalLeaseObligation,"560,000,000","145,000,000",,,,,,,,,"3,258,000,000","3,692,785,000",,,"2,223,500,000",,,,
			CurrentDebt,"560,000,000","145,000,000",,,,,,,,,"3,258,000,000","3,692,785,000",,,"2,223,500,000",,,,
				CurrentNotesPayable,,,,,,,,,,,"3,258,000,000","3,692,785,000",,,,,,,
				OtherCurrentBorrowings,"560,000,000","145,000,000",,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,,,,"16,139,000",,,,,,,,,,
			CurrentDeferredRevenue,,,,,,,,,"16,139,000",,,,,,,,,,
