name,ttm,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015
TotalRevenue,"92,154,000,000","92,154,000,000","90,621,000,000","78,660,000,000","61,642,000,000","50,911,000,000","54,142,000,000"
	OperatingRevenue,"92,154,000,000","92,154,000,000","90,621,000,000","78,660,000,000","61,642,000,000","50,911,000,000","54,142,000,000"
CostOfRevenue,"63,221,000,000","63,221,000,000","65,568,000,000","58,606,000,000","48,683,000,000","42,524,000,000","45,246,000,000"
GrossProfit,"28,933,000,000","28,933,000,000","25,053,000,000","20,054,000,000","12,959,000,000","8,387,000,000","8,896,000,000"
OperatingExpense,"26,311,000,000","26,311,000,000","25,244,000,000","23,387,000,000","16,211,000,000","8,901,000,000","9,212,000,000"
	SellingGeneralAndAdministration,"21,319,000,000","21,319,000,000","20,640,000,000","19,003,000,000","13,575,000,000","7,850,000,000","8,292,000,000"
	ResearchAndDevelopment,"4,992,000,000","4,992,000,000","4,604,000,000","4,384,000,000","2,636,000,000","1,051,000,000","920,000,000"
OperatingIncome,"2,622,000,000","2,622,000,000","-191,000,000","-3,333,000,000","-3,252,000,000","-514,000,000","-316,000,000"
NetNonOperatingInterestIncomeExpense,"-2,818,000,000","-2,818,000,000","-2,488,000,000","-2,406,000,000","-1,751,000,000","-680,000,000","-807,000,000"
	InterestExpenseNonOperating,"2,675,000,000","2,675,000,000","2,488,000,000","2,406,000,000","1,751,000,000","680,000,000","807,000,000"
	TotalOtherFinanceCost,"143,000,000","143,000,000","2,170,000,000",,,,
OtherIncomeExpense,"192,000,000","192,000,000","318,000,000","51,000,000","-353,000,000","-92,000,000","-92,000,000"
	GainOnSaleOfSecurity,"192,000,000","192,000,000","449,000,000","166,000,000","29,000,000","-70,000,000","-58,000,000"
	SpecialIncomeCharges,,,"0","0","-337,000,000","0","0"
		OtherSpecialCharges,,,,,"337,000,000",,
	OtherNonOperatingIncomeExpenses,,,"-131,000,000","-115,000,000","-45,000,000","-22,000,000","-34,000,000"
PretaxIncome,"-4,000,000","-4,000,000","-2,361,000,000","-5,688,000,000","-5,356,000,000","-1,286,000,000","-1,215,000,000"
TaxProvision,"-5,533,000,000","-5,533,000,000","-180,000,000","-1,833,000,000","-1,619,000,000","-118,000,000","-107,000,000"
NetIncomeCommonStockholders,"4,616,000,000","4,616,000,000","-2,310,000,000","-3,728,000,000","-1,672,000,000","-1,104,000,000","-1,221,000,000"
	NetIncome,"4,616,000,000","4,616,000,000","-2,310,000,000","-3,728,000,000","-1,672,000,000","-1,104,000,000","-1,221,000,000"
		NetIncomeIncludingNoncontrollingInterests,"5,529,000,000","5,529,000,000","-2,181,000,000","-3,855,000,000","-1,718,000,000","-1,104,000,000","-1,221,000,000"
			NetIncomeContinuousOperations,"5,529,000,000","5,529,000,000","-2,181,000,000","-3,855,000,000","-3,737,000,000","-1,168,000,000","-1,108,000,000"
			NetIncomeDiscontinuousOperations,,,,"0","2,019,000,000","64,000,000","-113,000,000"
		MinorityInterests,"-913,000,000","-913,000,000","-129,000,000","127,000,000","46,000,000","0","0"
AverageDilutionEarnings,"-84,000,000","-84,000,000",,,,,
DilutedNIAvailtoComStockholders,"4,532,000,000","4,532,000,000","-2,310,000,000","-3,728,000,000","-1,672,000,000","-1,104,000,000","-1,221,000,000"
BasicEPS,,,"-3.215","-5.189","-2.327","-1.537","-1.7"
DilutedEPS,,,"-3.215","-5.189","-2.327","-1.537","-1.7"
BasicAverageShares,,,"719,000,000","718,434,605","718,434,605","718,434,605","718,434,605"
DilutedAverageShares,,,"719,000,000","718,434,605","718,434,605","718,434,605","718,434,605"
TotalOperatingIncomeAsReported,"2,622,000,000","2,622,000,000","-191,000,000","-3,333,000,000","-3,252,000,000","-514,000,000","-316,000,000"
TotalExpenses,"89,532,000,000","89,532,000,000","90,812,000,000","81,993,000,000","64,894,000,000","51,425,000,000","54,458,000,000"
