name,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,01/31/2016
TotalAssets,"118,861,000,000","116,814,000,000","115,520,000,000","109,892,000,000","111,820,000,000","121,241,000,000","123,381,000,000","123,217,000,000","122,281,000,000","118,394,000,000","117,494,000,000","116,040,000,000","118,206,000,000","125,632,000,000","68,916,000,000","45,122,000,000"
	CurrentAssets,"36,868,000,000","34,772,000,000","35,316,000,000","33,655,000,000","36,138,000,000","42,959,000,000","43,125,000,000","41,231,000,000","38,957,000,000","34,525,000,000","32,205,000,000","30,384,000,000","30,773,000,000","36,407,000,000","24,247,000,000","23,573,000,000"
		CashCashEquivalentsAndShortTermInvestments,"9,302,000,000","8,555,000,000","9,193,000,000","9,040,000,000","9,676,000,000","17,474,000,000","17,816,000,000","17,726,000,000","16,129,000,000","13,714,000,000","11,228,000,000","11,174,000,000","11,449,000,000","10,679,000,000","7,226,000,000","6,322,000,000"
			CashAndCashEquivalents,"9,302,000,000","8,555,000,000","9,193,000,000","9,040,000,000","9,676,000,000","15,152,000,000","15,312,000,000","15,324,000,000","13,942,000,000","11,706,000,000","9,213,000,000","9,554,000,000","9,474,000,000","8,822,000,000","7,226,000,000","6,322,000,000"
			OtherShortTermInvestments,,,,"0","0","2,322,000,000","2,504,000,000","2,402,000,000","2,187,000,000","2,008,000,000","2,015,000,000","1,620,000,000","1,975,000,000","1,857,000,000",,"0"
		Receivables,"17,379,000,000","16,036,000,000","16,059,000,000","14,794,000,000","16,769,000,000","15,247,000,000","15,341,000,000","14,523,000,000","15,096,000,000","12,832,000,000","13,189,000,000","12,089,000,000","12,642,000,000","11,879,000,000","8,124,000,000","7,802,000,000"
			AccountsReceivable,"12,484,000,000","11,447,000,000","11,586,000,000","10,517,000,000","12,371,000,000","11,113,000,000","11,201,000,000","10,561,000,000","11,177,000,000","9,189,000,000","9,716,000,000","8,834,000,000","9,420,000,000","8,830,000,000","5,257,000,000","4,887,000,000"
				GrossAccountsReceivable,"12,578,000,000",,,,"12,456,000,000",,,,"11,575,000,000",,,,"9,759,000,000",,,"5,046,000,000"
				AllowanceForDoubtfulAccountsReceivable,"-94,000,000",,,,"-85,000,000",,,,"-398,000,000",,,,"-339,000,000",,,"-159,000,000"
			OtherReceivables,"4,895,000,000","4,589,000,000","4,473,000,000","4,277,000,000","4,398,000,000","4,134,000,000","4,140,000,000","3,962,000,000","3,919,000,000","3,643,000,000","3,473,000,000","3,255,000,000","3,222,000,000","3,049,000,000","2,867,000,000","2,915,000,000"
		Inventory,"3,281,000,000","3,257,000,000","3,135,000,000","3,360,000,000","3,649,000,000","3,793,000,000","3,642,000,000","2,933,000,000","2,678,000,000","2,582,000,000","2,594,000,000","2,466,000,000","2,538,000,000","3,504,000,000","1,446,000,000","1,619,000,000"
			RawMaterials,"1,590,000,000","1,491,000,000","1,441,000,000","1,561,000,000","1,794,000,000","1,727,000,000","1,502,000,000","1,136,000,000","967,000,000","787,000,000","926,000,000","872,000,000","925,000,000","973,000,000","503,000,000","657,000,000"
			WorkInProcess,"563,000,000","615,000,000","623,000,000","722,000,000","702,000,000","764,000,000","782,000,000","611,000,000","514,000,000","607,000,000","538,000,000","506,000,000","503,000,000","789,000,000","188,000,000","189,000,000"
			FinishedGoods,"1,128,000,000","1,151,000,000","1,070,000,000","1,077,000,000","1,153,000,000","1,302,000,000","1,358,000,000","1,186,000,000","1,197,000,000","1,188,000,000","1,130,000,000","1,088,000,000","1,110,000,000","1,742,000,000","755,000,000","773,000,000"
			OtherInventories,,,"1,000,000",,,,,,,,,,,,,
		RestrictedCash,,"654,000,000",,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,"0","5,904,000,000","4,125,000,000","4,333,000,000"
		OtherCurrentAssets,"6,906,000,000","6,270,000,000","6,929,000,000","6,461,000,000","6,044,000,000","6,445,000,000","6,326,000,000","6,049,000,000","5,054,000,000","5,397,000,000","5,194,000,000","4,655,000,000","4,144,000,000","4,441,000,000","3,326,000,000","3,497,000,000"
	TotalNonCurrentAssets,"81,993,000,000","82,042,000,000","80,204,000,000","76,237,000,000","75,682,000,000","78,282,000,000","80,256,000,000","81,986,000,000","83,324,000,000","83,869,000,000","85,289,000,000","85,656,000,000","87,433,000,000","89,225,000,000","44,669,000,000","21,549,000,000"
		NetPPE,"7,835,000,000","5,787,000,000","5,568,000,000","5,505,000,000","5,259,000,000","5,228,000,000","5,240,000,000","5,303,000,000","5,390,000,000","5,378,000,000","5,400,000,000","5,438,000,000","5,653,000,000","5,805,000,000","1,562,000,000","1,649,000,000"
			GrossPPE,"16,407,000,000","5,787,000,000","5,568,000,000","5,505,000,000","13,607,000,000","5,228,000,000","5,240,000,000","5,303,000,000","13,273,000,000","5,378,000,000","5,400,000,000","5,438,000,000","13,114,000,000","5,805,000,000","1,562,000,000","1,907,000,000"
				Properties,"0",,,,"0",,,,"0",,,,"0",,,"0"
				LandAndImprovements,"4,700,000,000",,,,"4,559,000,000",,,,"4,343,000,000",,,,"4,299,000,000",,,"919,000,000"
				MachineryFurnitureEquipment,"9,927,000,000",,,,"9,048,000,000",,,,"8,930,000,000",,,,"8,815,000,000",,,"988,000,000"
