name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2003
TotalAssets,"113,996,000,000","109,553,000,000","100,087,000,000","92,308,000,000","86,936,000,000","83,126,000,000","79,340,000,000","73,491,000,000","75,283,000,000","68,783,937,000","60,784,968,000","46,020,987,000","39,892,382,000","37,376,105,000","29,067,242,000","26,943,923,000","24,032,743,000"
	CashCashEquivalentsAndFederalFundsSold,"6,964,000,000","15,145,000,000","13,387,000,000","12,009,000,000","9,671,000,000","7,390,000,000","6,736,000,000","9,106,000,000","6,270,000,000","4,135,663,000","6,462,491,000","13,664,030,000","10,171,143,000","8,775,904,000","874,357,000","557,170,000",
		CashAndCashEquivalents,"6,924,000,000","13,299,000,000","13,306,000,000","11,914,000,000","9,572,000,000","7,284,000,000","6,554,000,000","9,106,000,000","3,926,000,000","2,849,843,000","5,098,733,000","13,020,719,000","9,121,143,000","2,505,304,000","874,357,000","557,170,000",
			CashFinancial,,"18,515,000,000","14,955,000,000","13,766,000,000","12,755,000,000","11,339,000,000","11,727,000,000","9,106,000,000","12,491,000,000",,,,,,,,
			CashEquivalents,,,,,,,,,,,,,"793,585,000","369,965,000",,"1,688,000",
			CashAndDueFromBanks,"6,924,000,000","13,299,000,000","13,306,000,000","11,914,000,000","9,572,000,000","7,284,000,000","6,554,000,000",,"3,926,000,000","2,849,843,000","5,098,733,000","13,020,719,000","8,327,558,000","2,135,339,000","874,357,000","555,482,000",
		RestrictedCashAndInvestments,"40,000,000","1,846,000,000","81,000,000","95,000,000","99,000,000","106,000,000","182,000,000",,"2,344,000,000","1,285,820,000","1,363,758,000","643,311,000",,,,,
			RestrictedCashAndCashEquivalents,"40,000,000","1,846,000,000","81,000,000","95,000,000","99,000,000","106,000,000","182,000,000",,"2,344,000,000","1,285,820,000","1,363,758,000","643,311,000",,,,,
		MoneyMarketInvestments,,,,,,,,,,,,,"1,050,000,000","6,270,600,000",,,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,"1,050,000,000","6,270,600,000",,,
	SecuritiesAndInvestments,"10,595,000,000","3,370,000,000","1,568,000,000","1,757,000,000","3,084,000,000","3,949,000,000","4,991,000,000",,"6,221,000,000","6,206,053,000","5,450,395,000","6,385,297,000","1,227,944,000","525,439,000","84,411,000","16,719,000",
		AvailableForSaleSecurities,"10,595,000,000","3,370,000,000","1,568,000,000","1,757,000,000","3,084,000,000","3,949,000,000","4,931,000,000",,"6,133,000,000","6,107,831,000","5,002,579,000","2,645,481,000","1,227,944,000","525,439,000","2,314,000","2,362,000",
		HeldToMaturitySecurities,,,,,,,"60,000,000",,"88,000,000","98,222,000","72,816,000","2,389,816,000",,,"82,097,000","14,357,000",
		OtherShortTermInvestments,,,,,,,,,"0","0","375,000,000","1,350,000,000",,,,,
	NetLoan,"92,511,000,000","87,471,000,000","81,627,000,000","75,087,000,000","70,516,000,000","68,223,000,000","64,123,000,000","60,810,000,000","59,292,000,000","55,131,739,000","45,532,295,000","21,867,185,000","23,842,026,000","23,048,642,000","22,910,267,000","21,964,318,000","-1,001,656,000"
		GrossLoan,"95,894,000,000","90,512,000,000","84,248,000,000","77,254,000,000","72,385,000,000","69,969,000,000","65,771,000,000","62,598,000,000","61,017,000,000","57,336,935,000","48,836,413,000","23,625,084,000","25,216,611,000","23,965,486,000","23,742,750,000","22,803,166,000",
			LoansHeldForSale,,,,,,,,,,"714,180,000","788,101,000",,,,"1,056,380,000","3,128,540,000",
			CommercialLoan,,,,,,,,,,,,,,,"59,089,000","0",
			ConsumerLoan,"94,521,000,000","89,695,000,000","83,825,000,000","76,980,000,000","72,149,000,000","69,645,000,000","65,488,000,000",,"54,386,000,000","56,606,065,000","48,048,312,000","23,625,084,000",,,"22,627,281,000","19,674,626,000",
			MortgageLoan,,"0",,,"0","122,000,000","148,000,000",,"322,000,000",,,,,,,,
			OtherLoanAssets,"1,373,000,000","817,000,000","423,000,000","274,000,000","236,000,000","202,000,000","135,000,000","62,598,000,000","6,309,000,000","16,690,000","48,263,513,000",,"25,216,611,000","23,965,486,000",,,
		AllowanceForLoansAndLeaseLosses,"3,383,000,000","3,041,000,000","2,621,000,000","2,167,000,000","1,869,000,000","1,746,000,000","1,648,000,000","1,788,000,000","1,725,000,000","2,205,196,000","3,304,118,000","1,757,899,000","1,374,585,000","916,844,000","832,483,000","838,848,000","1,001,656,000"
	Receivables,,,,,,,,,,,"0","1,692,051,000","159,021,000","139,414,000","3,293,850,000","2,912,092,000",
		AccountsReceivable,,,,,,,,,,,"0","1,692,051,000","159,021,000","139,414,000","123,955,000","127,240,000",
			GrossAccountsReceivable,,,,,,,,,,,,,"159,021,000","139,414,000","123,955,000","127,240,000",
		OtherReceivables,,,,,,,,,,,,,,,"3,169,895,000","2,784,852,000",
	NetPPE,"1,057,000,000","936,000,000","825,000,000","734,000,000","693,000,000","670,000,000","654,000,000","538,000,000","534,000,000","483,250,000","460,732,000","499,303,000","552,502,000","658,492,000","660,900,000","624,525,000",
		GrossPPE,"2,668,000,000","2,398,000,000","2,159,000,000","1,957,000,000","1,932,000,000","1,809,000,000","1,718,000,000",,"1,603,000,000","1,467,411,000","1,356,865,000","1,316,469,000",,,"1,264,974,000","1,169,329,000",
			LandAndImprovements,"42,000,000","42,000,000","42,000,000","42,000,000","42,000,000","43,000,000","43,000,000",,"42,000,000","41,816,000","41,816,000","41,816,000",,,"44,531,000","44,370,000",
			BuildingsAndImprovements,"693,000,000","671,000,000","641,000,000","617,000,000","607,000,000","589,000,000","547,000,000",,"516,000,000","502,109,000","496,352,000","494,511,000",,,"525,900,000","514,592,000",
			MachineryFurnitureEquipment,"1,933,000,000","1,685,000,000","1,474,000,000","1,296,000,000","1,281,000,000","1,175,000,000","1,126,000,000",,"1,043,000,000","923,486,000","812,579,000","490,594,000",,,"411,178,000","422,445,000",
			Leases,,,,,,,,,,,,,,,"7,924,000","9,774,000",
			OtherProperties,,,"2,000,000","2,000,000","2,000,000","2,000,000","2,000,000",,"2,000,000",,"6,118,000","289,548,000",,,"275,441,000","178,148,000",
		AccumulatedDepreciation,"-1,611,000,000","-1,462,000,000","-1,334,000,000","-1,223,000,000","-1,239,000,000","-1,139,000,000","-1,064,000,000",,"-1,069,000,000","-984,161,000","-896,133,000","-817,166,000",,,"-604,074,000","-544,804,000",
	GoodwillAndOtherIntangibleAssets,"410,000,000","416,000,000","418,000,000","421,000,000","423,000,000","433,000,000","469,000,000","475,000,000","476,000,000","443,439,000","444,394,000","451,057,000","458,740,000","353,464,000","734,905,000","322,044,000",
		Goodwill,"255,000,000","255,000,000","255,000,000","255,000,000","255,000,000","257,000,000","284,000,000",,"286,000,000","255,421,000","255,421,000","255,421,000",,,"533,728,000","255,421,000",
