name,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013
TotalAssets,"3,767,100,000","3,077,200,000","2,558,400,000","2,516,200,000","2,445,200,000","2,347,900,000","1,951,200,000","2,215,400,000"
	CurrentAssets,"1,672,200,000","1,485,800,000","1,358,300,000","1,383,000,000","1,294,600,000","1,230,000,000","926,100,000","1,254,800,000"
		CashCashEquivalentsAndShortTermInvestments,"61,600,000","112,800,000","237,500,000","302,100,000","243,000,000","251,300,000","86,500,000","550,200,000"
			CashAndCashEquivalents,"42,500,000","100,000,000","226,000,000","298,600,000","235,000,000","232,000,000","75,400,000","542,400,000"
				CashFinancial,"42,500,000","100,000,000","226,000,000","298,600,000","235,000,000","232,000,000","75,400,000","542,400,000"
			OtherShortTermInvestments,"19,100,000","12,800,000","11,500,000","3,500,000","8,000,000","19,300,000","11,100,000","7,800,000"
		Receivables,"417,500,000","401,900,000","350,000,000","372,900,000","348,000,000","333,800,000","293,800,000","227,900,000"
			AccountsReceivable,"328,800,000","322,300,000","277,900,000","284,300,000","273,400,000","263,600,000","231,700,000","182,200,000"
				GrossAccountsReceivable,"332,300,000","326,000,000","280,000,000","286,800,000","277,200,000","266,300,000","233,900,000","185,100,000"
				AllowanceForDoubtfulAccountsReceivable,"-3,500,000","-3,700,000","-2,100,000","-2,500,000","-3,800,000","-2,700,000","-2,200,000","-2,900,000"
			TaxesReceivable,"84,000,000","67,900,000","62,200,000","80,700,000","66,000,000","55,700,000","51,000,000","39,000,000"
			OtherReceivables,"4,700,000","11,700,000","9,900,000","7,900,000","8,600,000","14,500,000","11,100,000","6,700,000"
		Inventory,"1,166,300,000","946,200,000","752,500,000","689,800,000","685,900,000","630,200,000","532,700,000","465,000,000"
			RawMaterials,"674,300,000","606,700,000","488,800,000","431,800,000","471,000,000","424,600,000","373,400,000","332,500,000"
			FinishedGoods,"492,000,000","339,500,000","263,700,000","258,000,000","214,900,000","205,600,000","159,300,000","132,500,000"
		OtherCurrentAssets,"26,800,000","24,900,000","18,300,000","18,200,000","17,700,000","14,700,000","13,100,000","11,700,000"
	TotalNonCurrentAssets,"2,094,900,000","1,591,400,000","1,200,100,000","1,133,200,000","1,150,600,000","1,117,900,000","1,025,100,000","960,600,000"
		NetPPE,"1,242,100,000","905,100,000","766,800,000","673,200,000","636,600,000","586,900,000","515,300,000","448,400,000"
			GrossPPE,"2,467,000,000","2,003,700,000","1,730,300,000","1,603,000,000","1,497,800,000","1,321,400,000","1,167,800,000","1,027,500,000"
				Properties,"0","0","0","0","0","0","0","0"
				LandAndImprovements,"62,900,000","48,000,000","45,500,000","45,500,000","46,600,000","51,700,000","51,800,000","47,500,000"
				BuildingsAndImprovements,"399,200,000","353,000,000","311,800,000","291,100,000","287,400,000","275,400,000","243,800,000","215,800,000"
				MachineryFurnitureEquipment,"1,806,500,000","1,602,700,000","1,373,000,000","1,266,400,000","1,163,800,000","994,300,000","872,200,000","764,200,000"
				OtherProperties,"200,000",,,,,,,
				Leases,"198,200,000",,,,,,,
			AccumulatedDepreciation,"-1,224,900,000","-1,098,600,000","-963,500,000","-929,800,000","-861,200,000","-734,500,000","-652,500,000","-579,100,000"
