name,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013
TotalAssets,"3,767,100,000","3,804,700,000","3,505,300,000","3,358,100,000","3,077,200,000","2,972,900,000","2,671,700,000","2,643,700,000","2,558,400,000","2,575,800,000","2,252,000,000","2,545,600,000","2,516,200,000","2,426,000,000","2,204,800,000","2,293,700,000","2,445,200,000","2,347,900,000","2,223,500,000","2,230,000,000","2,347,900,000","2,115,500,000","1,895,900,000","2,019,700,000","1,951,200,000","1,875,100,000","1,779,000,000","1,768,000,000","2,215,400,000"
	CurrentAssets,"1,672,200,000","1,798,400,000","1,687,100,000","1,547,100,000","1,485,800,000","1,465,500,000","1,281,400,000","1,337,900,000","1,358,300,000","1,390,200,000","1,104,100,000","1,379,000,000","1,383,000,000","1,284,200,000","1,047,400,000","1,172,200,000","1,294,600,000","1,179,000,000","1,071,700,000","1,126,100,000","1,230,000,000","1,043,000,000","848,100,000","980,600,000","926,100,000","894,600,000","809,400,000","810,000,000","1,254,800,000"
		CashCashEquivalentsAndShortTermInvestments,"61,600,000","132,400,000","284,300,000","108,500,000","112,800,000","79,300,000","107,900,000","190,100,000","237,500,000","180,300,000","34,700,000","265,700,000","302,100,000","57,900,000","28,900,000","186,600,000","243,000,000","102,900,000","166,200,000","238,300,000","251,300,000","52,900,000","29,400,000","81,000,000","86,500,000","14,100,000","39,600,000","97,100,000","550,200,000"
			CashAndCashEquivalents,"42,500,000","123,900,000","270,400,000","95,600,000","100,000,000","61,500,000","89,600,000","172,800,000","226,000,000","163,000,000","29,100,000","255,900,000","298,600,000","45,200,000","22,200,000","183,200,000","235,000,000","94,400,000","157,100,000","235,300,000","232,000,000","45,100,000","22,100,000","76,900,000","75,400,000","6,600,000","29,700,000","91,700,000","542,400,000"
				CashFinancial,"42,500,000","123,900,000","270,400,000","95,600,000","100,000,000","61,500,000","89,600,000","172,800,000","226,000,000","163,000,000","29,100,000","255,900,000","298,600,000","45,200,000","22,200,000","183,200,000","235,000,000","94,400,000","157,100,000","235,300,000","232,000,000","45,100,000","22,100,000","76,900,000","75,400,000","6,600,000","29,700,000","91,700,000","542,400,000"
			OtherShortTermInvestments,"19,100,000","8,500,000","13,900,000","12,900,000","12,800,000","17,800,000","18,300,000","17,300,000","11,500,000","17,300,000","5,600,000","9,800,000","3,500,000","12,700,000","6,700,000","3,400,000","8,000,000","8,500,000","9,100,000","3,000,000","19,300,000","7,800,000","7,300,000","4,100,000","11,100,000","7,500,000","9,900,000","5,400,000","7,800,000"
		Receivables,"417,500,000","387,100,000","300,000,000","366,400,000","401,900,000","352,400,000","268,600,000","302,900,000","350,000,000","349,900,000","285,900,000","325,800,000","372,900,000","325,000,000","263,600,000","294,500,000","348,000,000","328,700,000","210,700,000","260,700,000","333,800,000","306,100,000","219,500,000","255,900,000","293,800,000","268,400,000","182,800,000","192,400,000","227,900,000"
			AccountsReceivable,"328,800,000","375,400,000","280,900,000","346,700,000","322,300,000","329,300,000","247,600,000","284,000,000","277,900,000","318,400,000","235,200,000","284,000,000","284,300,000","279,200,000","207,500,000","251,900,000","273,400,000","287,900,000","178,200,000","231,800,000","263,600,000","275,000,000","190,300,000","230,500,000","231,700,000","244,900,000","158,900,000","174,200,000","182,200,000"
				GrossAccountsReceivable,"332,300,000",,,,"326,000,000",,,,"280,000,000",,,,"286,800,000",,,,"277,200,000",,,,"266,300,000",,,,"233,900,000",,,,"185,100,000"
				AllowanceForDoubtfulAccountsReceivable,"-3,500,000",,,,"-3,700,000",,,,"-2,100,000",,,,"-2,500,000",,,,"-3,800,000",,,,"-2,700,000",,,,"-2,200,000",,,,"-2,900,000"
