name,ttm,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012
TotalRevenue,"6,052,700,000","1,615,900,000","1,643,600,000","1,459,500,000","1,333,700,000","1,505,900,000","1,394,200,000","1,207,000,000","1,136,700,000","1,263,200,000","1,240,500,000","1,027,000,000","956,200,000","1,305,300,000","1,080,200,000","856,100,000","929,900,000","1,108,800,000","1,010,200,000","812,100,000","898,100,000","1,068,100,000","918,000,000","780,000,000","758,600,000","902,900,000","866,000,000","620,900,000","804,300,000","791,500,000","733,900,000","608,100,000","762,700,000"
	OperatingRevenue,"6,052,700,000","1,615,900,000","1,643,600,000","1,459,500,000","1,333,700,000","1,505,900,000","1,394,200,000","1,207,000,000","1,126,300,000","1,215,600,000","1,240,500,000","1,027,000,000","956,200,000","1,259,000,000","1,080,200,000","856,100,000","929,900,000","1,056,000,000","1,010,200,000","812,100,000","898,100,000","1,024,700,000","918,000,000","780,000,000","758,600,000","902,900,000","866,000,000","620,900,000","804,300,000","791,500,000","733,900,000","608,100,000","762,700,000"
CostOfRevenue,"4,598,700,000","1,232,200,000","1,201,700,000","1,131,700,000","1,033,100,000","1,171,000,000","1,037,400,000","926,900,000","855,100,000","946,000,000","911,100,000","813,300,000","749,000,000","969,700,000","773,000,000","684,100,000","735,800,000","822,900,000","764,200,000","642,700,000","685,200,000","778,400,000","678,400,000","637,100,000","585,200,000","679,700,000","642,100,000","478,300,000","586,300,000","593,000,000","556,500,000","458,500,000","550,500,000"
GrossProfit,"1,454,000,000","383,700,000","441,900,000","327,800,000","300,600,000","334,900,000","356,800,000","280,100,000","281,600,000","317,200,000","329,400,000","213,700,000","207,200,000","335,600,000","307,200,000","172,000,000","194,100,000","285,900,000","246,000,000","169,400,000","212,900,000","289,700,000","239,600,000","142,900,000","173,400,000","223,200,000","223,900,000","142,600,000","218,000,000","198,500,000","177,400,000","149,600,000","212,200,000"
OperatingExpense,"878,400,000","222,800,000","233,800,000","214,500,000","207,300,000","210,700,000","196,700,000","179,300,000","187,200,000","162,700,000","163,300,000","164,400,000","164,100,000","158,700,000","145,700,000","158,100,000","166,700,000","153,100,000","134,400,000","139,600,000","145,000,000","124,800,000","132,800,000","137,300,000","145,000,000","133,300,000","131,000,000","116,900,000","137,600,000","125,300,000","116,100,000","117,900,000","124,800,000"
	SellingGeneralAndAdministration,"639,400,000","157,400,000","174,900,000","157,700,000","149,400,000","147,000,000","144,800,000","128,100,000","131,700,000","109,100,000","115,700,000","116,100,000","114,000,000","112,200,000","101,900,000","113,200,000","118,100,000","105,300,000","96,800,000","100,800,000","105,600,000","89,400,000","91,800,000","101,200,000","104,100,000","91,800,000","95,500,000","86,900,000","100,300,000","91,000,000","83,100,000","91,200,000","90,500,000"
		GeneralAndAdministrativeExpense,"256,900,000","68,500,000","70,300,000","65,900,000","52,200,000","58,900,000","58,000,000","49,100,000","48,700,000","40,300,000","38,400,000","44,100,000","43,500,000","45,200,000","38,600,000","39,400,000","40,700,000","42,700,000","32,800,000","37,200,000","30,800,000","34,900,000","37,500,000","35,200,000","36,800,000","36,400,000","38,700,000","33,700,000","35,000,000","35,700,000","32,300,000","29,600,000","29,900,000"
			OtherGandA,"256,900,000","68,500,000","70,300,000","65,900,000","52,200,000","58,900,000","58,000,000","49,100,000","48,700,000","40,300,000","38,400,000","44,100,000","43,500,000","45,200,000","38,600,000","39,400,000","40,700,000","42,700,000","32,800,000","37,200,000","30,800,000","34,900,000","37,500,000","35,200,000","36,800,000","36,400,000","38,700,000","33,700,000","35,000,000","35,700,000","32,300,000","29,600,000","29,900,000"
		SellingAndMarketingExpense,"382,500,000","88,900,000","104,600,000","91,800,000","97,200,000","88,100,000","86,800,000","79,000,000","83,000,000","68,800,000","77,300,000","72,000,000","70,500,000","67,000,000","63,300,000","73,800,000","77,400,000","62,600,000","64,000,000","63,600,000","74,800,000","54,500,000","54,300,000","66,000,000","67,300,000","55,400,000","56,800,000","53,200,000","65,300,000","55,300,000","50,800,000","61,600,000","60,600,000"
	ResearchAndDevelopment,"238,400,000","64,700,000","60,300,000","55,900,000","57,500,000","63,500,000","51,600,000","51,000,000","55,600,000","52,600,000","47,400,000","48,500,000","50,100,000","46,700,000","44,000,000","44,900,000","48,500,000","47,600,000","38,300,000","38,800,000","39,700,000","39,000,000","41,300,000","36,300,000","41,600,000","41,400,000","35,700,000","30,500,000","37,300,000","34,300,000","33,300,000","26,300,000","34,300,000"
	OtherOperatingExpenses,"600,000","700,000","-1,400,000","900,000","400,000","200,000","300,000","200,000","-100,000",,"200,000","-200,000",,"-200,000","-200,000",,"100,000","200,000","-700,000",,"-300,000","-3,600,000","-300,000","-200,000","-700,000","100,000","-200,000","-500,000",,"0","-300,000","400,000",
OperatingIncome,"575,600,000","160,900,000","208,100,000","113,300,000","93,300,000","124,200,000","160,100,000","100,800,000","94,400,000","154,500,000","166,100,000","49,300,000","43,100,000","176,900,000","161,500,000","13,900,000","27,400,000","132,800,000","111,600,000","29,800,000","67,900,000","164,900,000","106,800,000","5,600,000","28,400,000","89,900,000","92,900,000","25,700,000","80,400,000","73,200,000","61,300,000","31,700,000","87,400,000"
NetNonOperatingInterestIncomeExpense,"-88,700,000","-24,600,000","-23,800,000","-20,400,000","-19,900,000","-19,200,000","-16,900,000","-26,300,000","-11,500,000","-16,000,000","-14,600,000","-14,200,000","-13,100,000","-13,800,000","-15,900,000","-16,400,000","-15,100,000","-16,100,000","-14,200,000","-15,000,000","-13,800,000","-14,300,000","-14,400,000","-14,300,000","-13,600,000","-15,100,000","-15,000,000","-15,000,000","-16,100,000","-16,800,000","-11,700,000","-11,800,000","-20,100,000"
	InterestIncomeNonOperating,"2,200,000","300,000","300,000","800,000","800,000","700,000","400,000","-700,000","2,600,000","300,000","500,000","700,000","700,000","0","-100,000","900,000","700,000","800,000","1,100,000","800,000","800,000","800,000","800,000","600,000","500,000","500,000","300,000","500,000","1,200,000","500,000","200,000","400,000","800,000"
	InterestExpenseNonOperating,"86,400,000","23,500,000","23,100,000","20,100,000","19,700,000","17,600,000","16,100,000","14,900,000","13,200,000","14,200,000","14,300,000","13,900,000","13,100,000","13,300,000","14,000,000","16,500,000","15,200,000","16,300,000","15,500,000","15,000,000","14,500,000","14,700,000","14,800,000","14,200,000","13,700,000","14,600,000","14,800,000","15,600,000","17,200,000","16,700,000","11,300,000","11,200,000","19,600,000"
	TotalOtherFinanceCost,"4,500,000","1,400,000","1,000,000","1,100,000","1,000,000","2,300,000","1,200,000","10,700,000","900,000","2,100,000","800,000","1,000,000","700,000","500,000","1,800,000","800,000","600,000","600,000","-200,000","800,000","100,000","400,000","400,000","700,000","400,000","1,000,000","500,000","-100,000","100,000","600,000","600,000","1,000,000","1,300,000"
OtherIncomeExpense,"18,800,000","27,000,000","-100,000","21,900,000","-30,000,000","1,500,000","-13,200,000","-15,300,000","-49,700,000","44,400,000","-35,000,000","75,100,000","-45,500,000","15,800,000","-23,000,000","-82,500,000","98,000,000","-134,900,000","-10,500,000","-79,100,000","41,900,000","-102,100,000","-37,900,000","3,100,000","12,300,000","-64,600,000","-8,800,000","-14,200,000","-22,300,000","-5,700,000","-15,900,000","-27,900,000","8,300,000"
	GainOnSaleOfSecurity,"-18,800,000","-13,400,000",,"24,400,000","-29,800,000","1,900,000","-12,900,000","-15,100,000","-49,100,000","46,700,000","-35,000,000","76,000,000","-40,700,000","23,300,000","-23,100,000","-39,300,000","117,000,000","-67,300,000","-5,700,000","-79,100,000","41,900,000","-102,500,000","-38,300,000","2,900,000","12,300,000","-63,400,000","-9,900,000","-25,500,000","-2,700,000","-300,000","1,200,000","-9,200,000","13,100,000"
	SpecialIncomeCharges,"37,600,000","40,400,000","-100,000","-2,500,000","-200,000","-400,000","-300,000","-200,000","-600,000","-2,300,000","0","-900,000","-4,800,000","-7,500,000","100,000","-43,200,000","-19,000,000","-67,600,000","-4,800,000","0",,,"400,000","200,000",,"-1,200,000","1,100,000","11,300,000",,"-600,000","-17,100,000","-17,300,000",
		RestructuringAndMergernAcquisition,"2,400,000","0","100,000","2,300,000",,,,,,"2,100,000","0","0","0","-300,000","-400,000","100,000","-500,000","-2,700,000","4,800,000","0",,,"0","-200,000",,"-500,000","-1,100,000",,,"-800,000","17,100,000",,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,"0",,"0","0","300,000",,"-500,000","0","7,600,000",
		OtherSpecialCharges,"-40,000,000","-40,400,000",,"200,000","200,000","200,000","300,000","200,000","600,000","200,000",,"900,000","4,800,000","7,800,000","300,000","43,100,000","19,500,000",,,,,,"-400,000",,,"0",,"-11,000,000",,,,"9,700,000",
	OtherNonOperatingIncomeExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"-19,600,000","-4,800,000",,"-1,400,000","-4,800,000"
PretaxIncome,"505,700,000","163,300,000","184,200,000","114,800,000","43,400,000","106,500,000","130,000,000","59,200,000","33,200,000","182,900,000","116,500,000","110,200,000","-15,500,000","178,900,000","122,600,000","-85,000,000","110,600,000","-18,200,000","86,900,000","-64,300,000","96,000,000","48,500,000","54,500,000","-5,600,000","27,100,000","10,200,000","69,100,000","-3,500,000","41,300,000","50,700,000","33,700,000","-8,000,000","75,200,000"
TaxProvision,"135,100,000","45,100,000","48,900,000","21,500,000","19,600,000","23,800,000","39,800,000","18,200,000","19,800,000","67,800,000","38,700,000","10,100,000","3,000,000","42,500,000","43,900,000","-16,200,000","-100,000","10,500,000","21,400,000","4,000,000","12,900,000","40,000,000","17,300,000","-2,000,000","-900,000","16,500,000","20,900,000","4,400,000","15,600,000","14,900,000","2,000,000","-5,100,000","20,600,000"
NetIncomeCommonStockholders,"371,400,000","118,400,000","135,600,000","93,400,000","24,000,000","82,700,000","90,300,000","40,700,000","13,300,000","115,200,000","77,700,000","100,000,000","-18,700,000","136,600,000","78,700,000","-68,900,000","110,800,000","-28,700,000","65,500,000","-68,300,000","83,100,000","8,500,000","37,200,000","-3,500,000","28,000,000","-6,200,000","48,200,000","-7,800,000","25,700,000","35,600,000","31,700,000","-2,800,000","54,700,000"
	NetIncome,"371,400,000","118,400,000","135,600,000","93,400,000","24,000,000","82,700,000","90,300,000","40,700,000","13,300,000","115,200,000","77,700,000","100,000,000","-18,700,000","136,600,000","78,700,000","-68,900,000","110,800,000","-28,700,000","65,500,000","-68,300,000","83,100,000","8,500,000","37,200,000","-3,500,000","28,000,000","-6,200,000","48,200,000","-7,800,000","25,700,000","35,600,000","31,700,000","-2,800,000","54,700,000"
		NetIncomeIncludingNoncontrollingInterests,"370,600,000","118,200,000","135,300,000","93,300,000","23,800,000","82,700,000","90,200,000","41,000,000","13,400,000","115,100,000","77,800,000","100,100,000","-18,500,000","136,400,000","78,700,000","-68,800,000","110,700,000","-28,700,000","65,500,000","-68,300,000","83,100,000","8,500,000","37,200,000","-3,600,000","28,000,000","-6,300,000","48,200,000","-7,900,000","25,700,000","35,800,000","31,700,000","-2,900,000","54,600,000"
			NetIncomeContinuousOperations,"370,600,000","118,200,000","135,300,000","93,300,000","23,800,000","82,700,000","90,200,000","41,000,000","13,400,000","115,100,000","77,800,000","100,100,000","-18,500,000","136,400,000","78,700,000","-68,800,000","110,700,000","-28,700,000","65,500,000","-68,300,000","83,100,000","8,500,000","37,200,000","-3,600,000","28,000,000","-6,300,000","48,200,000","-7,900,000","25,700,000","35,800,000","31,700,000","-2,900,000","54,600,000"
		MinorityInterests,"800,000","200,000","300,000","100,000","200,000","0","100,000","-300,000","-100,000","100,000","-100,000","-100,000","-200,000","200,000","0","-100,000","100,000",,"0","0","0","0","0","100,000","0","100,000","0","100,000","0","-200,000","0","100,000","100,000"
DilutedNIAvailtoComStockholders,"371,400,000","118,400,000","135,600,000","93,400,000","24,000,000","82,700,000","90,300,000","40,700,000","13,300,000","115,200,000","77,700,000","100,000,000","-18,700,000","136,600,000","78,700,000","-68,900,000","110,800,000","-28,700,000","65,500,000","-68,300,000","83,100,000","8,500,000","37,200,000","-3,500,000","28,000,000","-6,200,000","48,200,000","-7,800,000","25,700,000","35,600,000","31,700,000","-2,800,000","54,700,000"
BasicEPS,,"1.34","1.51","0.97","0.25",,"0.93","0.41","0.13",,"0.75","0.9","-0.17",,"0.7","-0.61","0.96",,"0.56","-0.58","0.7",,"0.31","-0.03","0.24",,"0.41","-0.07","0.218",,"0.268","-0.024","0.463"
DilutedEPS,,"1.32","1.49","0.96","0.25",,"0.92","0.41","0.13",,"0.75","0.89","-0.17",,"0.7","-0.61","0.96",,"0.56","-0.58","0.7",,"0.31","-0.03","0.24",,"0.41","-0.07","0.218",,"0.268","-0.024","0.463"
BasicAverageShares,,"88,617,489","89,684,315","95,889,145","96,990,837",,"97,112,503","98,375,473","100,620,438",,"103,240,376","110,934,242","111,751,789",,"111,895,410","113,463,800","114,842,786",,"116,634,208","117,980,179","118,380,779",,"118,315,466","118,291,151","118,179,487",,"118,126,562","104,096,629","118,126,562",,"118,126,562","118,126,562","118,126,562"
DilutedAverageShares,,"89,888,161","90,829,230","96,886,605","97,771,532",,"98,619,401","99,938,657","101,821,392",,"104,227,543","111,774,375","111,751,789",,"112,235,474","113,463,800","115,126,024",,"117,090,313","118,539,790","118,902,510",,"118,325,873","118,929,261","118,939,914",,"118,131,341","111,111,596","118,126,562",,"118,126,562","118,126,562","118,126,562"
TotalOperatingIncomeAsReported,"604,300,000","197,400,000","208,000,000","109,900,000","89,000,000","126,500,000","157,100,000","102,800,000","86,200,000","152,700,000","162,000,000","44,900,000","40,500,000","167,400,000","163,000,000","-30,600,000","6,500,000","75,300,000","103,900,000","22,300,000","63,800,000","174,300,000","98,700,000","3,600,000","28,400,000","78,200,000","95,000,000","35,800,000","86,100,000","71,100,000","44,600,000","14,800,000","89,200,000"
TotalExpenses,"5,477,100,000","1,455,000,000","1,435,500,000","1,346,200,000","1,240,400,000","1,381,700,000","1,234,100,000","1,106,200,000","1,042,300,000","1,108,700,000","1,074,400,000","977,700,000","913,100,000","1,128,400,000","918,700,000","842,200,000","902,500,000","976,000,000","898,600,000","782,300,000","830,200,000","903,200,000","811,200,000","774,400,000","730,200,000","813,000,000","773,100,000","595,200,000","723,900,000","718,300,000","672,600,000","576,400,000","675,300,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"371,400,000","118,400,000","135,600,000","93,400,000","24,000,000","82,700,000","90,300,000","40,700,000","13,300,000","115,200,000","77,700,000","100,000,000","-18,700,000","136,600,000","78,700,000","-68,900,000","110,800,000","-28,700,000","65,500,000","-68,300,000","83,100,000","8,500,000","37,200,000","-3,500,000","28,000,000","-6,200,000","48,200,000","-7,800,000","25,700,000","35,600,000","31,700,000","-2,800,000","54,700,000"
