name,ttm,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989,03/31/1988,03/31/1987,03/31/1986
TotalRevenue,"20,042,000,000","20,753,000,000","24,556,000,000","7,607,000,000","7,106,000,000","12,173,000,000","12,998,000,000","14,993,000,000","15,877,000,000","16,042,000,000","16,128,000,000","16,739,900,000","16,499,500,000","14,856,600,000","14,615,600,000","14,058,600,000","14,767,600,000","11,346,500,000","11,426,000,000","10,687,000,000","9,370,694,000","7,660,000,000","6,600,800,000","5,616,000,000","4,242,400,000","3,372,500,000","2,582,700,000","2,479,800,000","2,113,400,000","1,737,800,000","1,500,400,000","1,304,400,000","1,152,400,000","1,031,500,000","838,600,000"
	OperatingRevenue,"20,042,000,000","20,753,000,000","24,556,000,000","7,607,000,000","7,106,000,000","12,173,000,000","12,998,000,000","14,993,000,000","15,877,000,000","16,042,000,000","16,128,000,000","16,739,900,000","16,499,500,000","14,856,600,000","14,615,600,000","14,058,600,000","14,767,600,000","11,346,500,000","11,426,000,000","10,524,000,000","9,370,694,000","7,660,000,000","6,600,800,000","5,616,000,000","4,242,400,000","3,372,500,000","2,582,700,000","2,479,800,000","2,113,400,000","1,737,800,000","1,500,400,000","1,304,400,000","1,152,400,000","1,031,500,000","838,600,000"
CostOfRevenue,"14,964,000,000","14,946,000,000","17,944,000,000","5,545,000,000","5,185,000,000","9,534,000,000","9,567,000,000","11,851,000,000","14,914,000,000","12,925,000,000","12,797,000,000","13,260,700,000","13,151,900,000","11,817,800,000","11,719,800,000","11,315,100,000","12,006,800,000","9,068,200,000","9,222,800,000","8,425,100,000","7,352,544,000","5,973,800,000","5,149,200,000","4,413,200,000","3,349,700,000","2,685,600,000","2,065,000,000","1,977,700,000","1,718,400,000","1,567,600,000","1,349,500,000","1,166,100,000","1,026,400,000","925,600,000","756,100,000"
GrossProfit,"5,078,000,000","5,807,000,000","6,612,000,000","2,062,000,000","1,921,000,000","2,639,000,000","3,431,000,000","3,142,000,000","963,000,000","3,117,000,000","3,331,000,000","3,479,200,000","3,347,600,000","3,038,800,000","2,895,800,000","2,743,500,000","2,760,800,000","2,278,300,000","2,203,200,000","2,261,900,000","2,018,150,000","1,686,200,000","1,451,600,000","1,202,800,000","892,700,000","686,900,000","517,700,000","502,100,000","395,000,000","170,200,000","150,900,000","138,300,000","126,000,000","105,900,000","82,500,000"
OperatingExpense,"3,894,000,000","3,927,000,000","3,974,000,000","1,926,000,000","1,698,000,000","2,514,000,000","2,296,000,000","2,271,000,000","2,287,000,000","2,018,000,000","2,068,000,000","2,291,700,000","2,125,600,000","1,990,000,000","1,934,000,000","1,858,800,000","1,830,600,000","1,527,200,000","1,563,900,000","1,445,900,000","1,325,090,000","1,140,800,000","989,600,000","818,300,000","631,000,000","483,800,000","357,700,000","357,700,000","266,800,000","63,600,000","54,900,000","50,500,000","48,300,000","42,200,000","34,100,000"
	SellingGeneralAndAdministration,"1,973,000,000","1,959,000,000","2,010,000,000","1,279,000,000","1,040,000,000","1,537,000,000","1,278,000,000","1,195,000,000","1,141,000,000","965,000,000","991,000,000","1,082,800,000","975,400,000","916,400,000","842,200,000","807,800,000","850,300,000","716,900,000","706,300,000","796,600,000","779,367,000","695,800,000","602,700,000","485,100,000","378,900,000","311,200,000","227,000,000","239,000,000","185,100,000","23,400,000","20,900,000","19,400,000","16,300,000","13,800,000","11,800,000"
	DepreciationAmortizationDepletionIncomeStatement,"1,921,000,000","1,968,000,000","1,964,000,000","647,000,000","658,000,000","977,000,000","1,018,000,000","1,076,000,000","1,152,000,000","1,073,000,000","1,097,000,000","1,185,500,000","1,198,600,000","1,073,600,000","1,091,800,000","1,051,000,000","980,300,000","810,300,000","857,600,000","649,300,000","545,723,000","445,000,000","386,900,000","333,200,000","252,100,000","172,600,000","130,700,000","118,700,000","81,700,000","40,200,000","34,000,000","31,100,000","32,000,000","28,400,000","22,300,000"
		DepreciationAndAmortizationInIncomeStatement,"1,921,000,000","1,968,000,000","1,964,000,000","647,000,000","658,000,000","977,000,000","1,018,000,000","1,076,000,000","1,152,000,000","1,073,000,000","1,097,000,000","1,185,500,000","1,198,600,000","1,073,600,000","1,091,800,000","1,051,000,000","980,300,000","810,300,000","857,600,000","649,300,000","545,723,000","445,000,000","386,900,000","333,200,000","252,100,000","172,600,000","130,700,000","118,700,000","81,700,000","40,200,000","34,000,000","31,100,000","32,000,000","28,400,000","22,300,000"
	OtherOperatingExpenses,,,,,,,,,"-6,000,000","-20,000,000","-20,000,000","23,400,000","-48,400,000",,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,184,000,000","1,880,000,000","2,638,000,000","136,000,000","223,000,000","125,000,000","1,135,000,000","871,000,000","-1,324,000,000","1,099,000,000","1,263,000,000","1,187,500,000","1,222,000,000","1,048,800,000","961,800,000","884,700,000","930,200,000","751,100,000","639,300,000","816,000,000","693,060,000","545,400,000","462,000,000","384,500,000","261,700,000","203,100,000","160,000,000","144,400,000","128,200,000","106,600,000","96,000,000","87,800,000","77,700,000","63,700,000","48,400,000"
NetNonOperatingInterestIncomeExpense,"-207,000,000","-206,000,000","-246,000,000","-82,000,000","-85,000,000","-128,000,000","-131,000,000","-161,000,000","-138,000,000","-131,000,000","-225,000,000","-219,500,000","-148,300,000","-125,700,000","-63,400,000","-140,700,000","-160,600,000","-134,300,000","-142,500,000",,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"166,000,000","128,000,000","89,000,000","35,000,000","38,000,000","20,000,000","16,000,000","22,000,000","38,000,000","37,000,000","27,000,000","41,000,000","37,100,000","49,500,000","40,800,000","16,100,000","9,200,000","8,500,000","12,300,000",,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"373,000,000","334,000,000","335,000,000","117,000,000","123,000,000","148,000,000","147,000,000","183,000,000","176,000,000","168,000,000","252,000,000","260,500,000","185,400,000","175,200,000","104,200,000","156,800,000","169,800,000","142,800,000","154,800,000",,,,,,,,,,,,,,,,
OtherIncomeExpense,"-2,289,000,000","-159,000,000","-721,000,000","-228,000,000","-128,000,000","-273,000,000","-94,000,000","-230,000,000","-2,885,000,000",,,"-18,900,000","-155,800,000","-316,100,000","-77,300,000","-28,600,000","-22,700,000","-5,200,000",,"-232,900,000","-41,065,000","14,600,000","-220,200,000","-40,900,000","4,700,000","-500,000",,"4,200,000","2,400,000","9,800,000","18,900,000","6,000,000","3,200,000","3,900,000","900,000"
	GainOnSaleOfSecurity,,"-31,000,000","71,000,000","8,000,000","1,000,000","-11,000,000","-15,000,000","-17,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,"9,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-2,603,000,000","-465,000,000","-803,000,000","-238,000,000","-137,000,000","-261,000,000","-76,000,000","-264,000,000","-2,885,000,000","0","0","-18,900,000","-155,800,000","-316,100,000","-77,300,000","-28,600,000","-22,700,000","-5,200,000","0","-232,900,000","-41,065,000","14,600,000","-220,200,000","-40,900,000","4,700,000","-500,000",,"4,200,000","2,400,000","9,800,000","18,900,000","6,000,000","3,200,000","3,900,000","900,000"
		RestructuringAndMergernAcquisition,"295,000,000","465,000,000","803,000,000","238,000,000","23,000,000","261,000,000","76,000,000","264,000,000","140,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,"0","0","2,745,000,000","0","0","18,900,000",,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,"95,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,,"0","-19,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"345,000,000","337,000,000","11,000,000","2,000,000","8,000,000","-1,000,000","-3,000,000","42,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"-1,312,000,000","1,515,000,000","1,671,000,000","-174,000,000","10,000,000","-276,000,000","910,000,000","480,000,000","-4,347,000,000","968,000,000","1,038,000,000","949,100,000","917,900,000","607,000,000","821,100,000","715,400,000","746,900,000","611,600,000","496,800,000","330,300,000","611,472,000","511,400,000","190,900,000","303,300,000","231,400,000","173,700,000","149,100,000","128,200,000","109,200,000","102,600,000","103,200,000","84,500,000","71,300,000","58,100,000","42,700,000"
TaxProvision,"274,000,000","288,000,000","-111,000,000","-74,000,000","-62,000,000","-312,000,000","289,000,000","-35,000,000","-121,000,000","243,000,000","204,000,000","-166,100,000","373,300,000","218,200,000","244,100,000","219,000,000","227,500,000","171,400,000","152,700,000","97,100,000","208,600,000","170,200,000","-69,500,000","110,900,000","89,700,000","63,000,000","58,200,000","50,100,000","41,000,000","37,600,000","37,700,000","32,000,000","27,800,000","25,900,000","18,800,000"
NetIncomeCommonStockholders,"-1,600,000,000","1,257,000,000","1,751,000,000","-123,000,000","251,000,000","-8,000,000","674,000,000","961,000,000","-4,242,000,000","740,000,000","817,000,000","1,115,200,000","544,600,000","388,800,000","634,000,000","810,200,000","519,400,000","440,200,000","344,100,000","233,200,000","402,872,000","341,200,000","260,400,000","192,400,000","141,700,000","110,700,000","95,800,000","78,100,000","68,200,000","65,000,000","65,500,000","52,500,000","43,500,000","32,200,000","23,900,000"
	NetIncome,"-1,600,000,000","1,257,000,000","1,751,000,000","-123,000,000","251,000,000","-8,000,000","674,000,000","961,000,000","-4,242,000,000","740,000,000","817,000,000","1,115,200,000","544,600,000","388,800,000","634,000,000","810,200,000","519,400,000","440,200,000","344,100,000","233,200,000","402,872,000","341,200,000","260,400,000","192,400,000","141,700,000","110,700,000","95,800,000","78,100,000","68,200,000","65,000,000","65,500,000","52,500,000","43,500,000","32,200,000","23,900,000"
