name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,03/31/1988,03/31/1987,03/31/1986
TotalAssets,"29,599,000,000","29,516,000,000","32,577,000,000","29,574,000,000","28,871,000,000","28,882,000,000","29,126,000,000","33,921,000,000","33,582,000,000","33,176,000,000","31,216,000,000","8,663,000,000","8,302,000,000","8,819,000,000","8,857,000,000","7,736,000,000","7,989,000,000","10,013,000,000","10,116,000,000","10,201,000,000","10,653,000,000","10,573,000,000","11,420,000,000","11,389,000,000","11,226,000,000","10,773,000,000","10,866,000,000","11,251,000,000","11,260,000,000","11,649,000,000","10,926,000,000","11,189,000,000","11,098,000,000","13,321,000,000","16,429,000,000","16,120,000,000","15,756,000,000","16,887,000,000","16,047,000,000","16,455,000,000","16,196,000,000","16,137,000,000","15,811,000,000","15,618,700,000","15,453,200,000","15,177,900,000","15,801,600,000","15,774,800,000","15,361,500,000","15,118,700,000","14,769,400,000","13,730,500,000","13,120,700,000","12,796,800,000","13,041,000,000","12,943,300,000","12,623,800,000","12,201,800,000","12,197,000,000","12,633,900,000","13,099,400,000","12,329,100,000","11,815,900,000","11,804,000,000","11,106,700,000","10,867,200,000","10,872,600,000","10,433,200,000","8,883,600,000","8,777,100,000","8,787,300,000","8,610,500,000","8,602,200,000","8,694,500,000","8,530,600,000","8,174,800,000","7,986,100,000","6,507,800,000","6,300,000,000","5,874,124,000","5,579,500,000","5,131,400,000","4,995,600,000","5,007,700,000","4,586,100,000","4,304,400,000","4,121,400,000","4,046,800,000","4,002,600,000","3,791,600,000","3,696,500,000","3,580,900,000","3,503,600,000","3,370,200,000","2,703,600,000","2,595,800,000","2,536,000,000","2,403,600,000","2,357,400,000","2,333,700,000","1,960,100,000","1,844,700,000","1,826,500,000","1,806,400,000","1,580,900,000","1,485,300,000","1,487,300,000","1,453,600,000","1,385,300,000","1,360,200,000","1,353,500,000","1,375,400,000","1,341,800,000","1,041,200,000","992,500,000","1,006,800,000","952,200,000","955,900,000","931,800,000","917,700,000","868,500,000","827,600,000","811,800,000","714,600,000","661,100,000","595,700,000","467,700,000"
	CurrentAssets,"8,183,000,000","8,490,000,000","8,190,000,000","9,066,000,000","8,522,000,000","8,815,000,000","8,816,000,000","9,617,000,000","9,521,000,000","9,440,000,000","9,575,000,000","3,247,000,000","3,048,000,000","3,326,000,000","3,404,000,000","3,412,000,000","3,861,000,000","4,445,000,000","4,796,000,000","4,905,000,000","5,186,000,000","5,076,000,000","5,649,000,000","5,628,000,000","5,408,000,000","5,327,000,000","5,360,000,000","5,673,000,000","5,618,000,000","5,468,000,000","4,799,000,000","4,883,000,000","4,671,000,000","6,676,000,000","7,780,000,000","7,557,000,000","7,465,000,000","8,607,000,000","8,149,000,000","8,422,000,000","8,297,000,000","8,155,000,000","7,784,000,000","7,707,200,000","7,421,900,000","6,813,700,000","7,010,200,000","6,923,200,000","6,991,100,000","6,696,900,000","7,760,100,000","6,706,400,000","6,173,900,000","6,014,800,000","6,271,100,000","6,305,900,000","5,911,100,000","5,433,800,000","5,308,000,000","5,689,800,000","6,182,400,000","5,270,000,000","4,781,100,000","4,867,200,000","4,379,200,000","4,258,700,000","4,221,700,000","4,088,100,000","3,529,000,000","3,381,900,000","3,379,800,000","3,304,200,000","3,431,400,000","3,526,700,000","3,415,800,000","3,204,000,000","3,436,100,000","3,049,300,000","2,891,100,000","2,766,335,000","2,729,700,000","2,556,000,000","2,485,900,000","2,669,000,000","2,300,700,000","2,155,900,000","2,032,000,000","1,982,600,000","1,864,900,000","1,665,100,000","1,630,600,000","1,612,400,000","1,625,800,000","1,556,200,000","1,170,400,000","1,144,300,000","1,153,300,000","1,068,200,000","1,072,400,000","1,081,500,000","915,800,000","840,000,000","841,500,000","857,100,000","766,300,000","782,100,000","789,300,000","747,800,000","688,700,000","647,900,000","638,600,000","666,200,000","621,100,000","596,600,000","597,300,000","617,800,000","596,500,000","594,000,000","567,600,000","556,500,000","518,100,000","494,900,000","485,200,000","427,500,000","399,100,000","384,300,000","300,200,000"
		CashCashEquivalentsAndShortTermInvestments,"2,560,000,000","2,880,000,000","1,868,000,000","2,899,000,000","2,475,000,000","2,780,000,000","2,579,000,000","2,648,000,000","2,926,000,000","2,671,000,000","2,517,000,000","1,263,000,000","1,111,000,000","1,054,000,000","1,000,000,000","1,178,000,000","1,830,000,000","1,818,000,000","2,199,000,000","2,098,000,000","2,393,000,000","1,923,000,000","2,440,000,000","2,443,000,000","2,284,000,000","2,095,000,000","1,929,000,000","2,054,000,000","2,198,000,000","1,850,000,000","1,000,000,000","1,093,000,000","898,000,000","978,000,000","1,666,000,000","1,837,000,000","1,629,000,000","2,657,000,000","2,435,000,000","2,784,000,000","2,427,000,000","2,407,000,000","1,920,000,000","2,297,300,000","1,673,100,000","741,600,000","615,600,000","698,900,000","589,100,000","490,800,000","1,829,400,000","1,050,100,000","726,000,000","703,200,000","1,008,000,000","1,290,700,000","773,200,000","404,600,000","427,300,000","1,010,300,000","753,600,000","546,300,000","359,900,000","609,700,000","148,400,000","199,100,000","143,300,000","299,600,000","161,000,000","132,200,000","123,300,000","149,100,000","124,200,000","112,300,000","85,600,000","184,700,000","171,300,000","135,100,000","121,200,000","260,403,000","239,400,000","262,900,000","233,400,000","602,600,000","168,000,000","242,100,000","200,000,000","274,700,000","94,000,000","67,900,000","75,800,000","110,700,000","91,900,000","41,900,000","18,900,000","104,900,000","50,700,000","26,200,000","27,200,000","155,300,000","28,500,000","13,400,000","39,200,000","126,800,000","54,800,000","112,900,000","106,400,000","111,500,000","99,000,000","55,200,000","76,700,000","115,700,000","46,300,000","57,100,000","44,500,000","73,300,000","32,500,000","66,200,000","93,700,000","119,200,000","49,000,000","69,100,000","73,100,000","76,400,000","64,500,000","70,600,000","12,600,000"
			CashAndCashEquivalents,"2,560,000,000","2,880,000,000","1,868,000,000","2,899,000,000","2,475,000,000","2,780,000,000","2,579,000,000","2,648,000,000","2,926,000,000","2,671,000,000","2,517,000,000","1,263,000,000","1,111,000,000","1,054,000,000","1,000,000,000","1,178,000,000","1,830,000,000","1,818,000,000","2,199,000,000","2,098,000,000","2,393,000,000","1,923,000,000","2,440,000,000","2,443,000,000","2,284,000,000","2,095,000,000","1,929,000,000","2,054,000,000","2,198,000,000","1,850,000,000","1,000,000,000","1,093,000,000","898,000,000","978,000,000","1,666,000,000","1,837,000,000","1,629,000,000","2,657,000,000","2,435,000,000","2,784,000,000","2,427,000,000","2,407,000,000","1,920,000,000","2,297,300,000","1,673,100,000","741,600,000","615,600,000","698,900,000","589,100,000","490,800,000","1,829,400,000","1,050,100,000","726,000,000","703,200,000","1,008,000,000","1,290,700,000","773,200,000","404,600,000","427,300,000","1,010,300,000","753,600,000","546,300,000","359,900,000","609,700,000","148,400,000","199,100,000","143,300,000","299,600,000","161,000,000","132,200,000","123,300,000","149,100,000","124,200,000","112,300,000","85,600,000","184,700,000","171,300,000","135,100,000","121,200,000","260,403,000","239,400,000","262,900,000","233,400,000","602,600,000","168,000,000","242,100,000","200,000,000","274,700,000","94,000,000","67,900,000","75,800,000","110,700,000","91,900,000","41,900,000","18,900,000","104,900,000","50,700,000","26,200,000","27,200,000","155,300,000","28,500,000","13,400,000","39,200,000","126,800,000","54,800,000","112,900,000","106,400,000","111,500,000","99,000,000","55,200,000","76,700,000","115,700,000","46,300,000","57,100,000","44,500,000","73,300,000","32,500,000","66,200,000","93,700,000","119,200,000","49,000,000","69,100,000","73,100,000","76,400,000","64,500,000","70,600,000","12,600,000"
		Receivables,"4,619,000,000","4,611,000,000","5,234,000,000","5,181,000,000","5,096,000,000","4,928,000,000","5,271,000,000","5,913,000,000","5,611,000,000","5,676,000,000","5,776,000,000","1,643,000,000","1,627,000,000","1,893,000,000","1,983,000,000","1,831,000,000","1,670,000,000","2,127,000,000","2,123,000,000","2,369,000,000","2,435,000,000","2,664,000,000","2,751,000,000","2,759,000,000","2,735,000,000","2,823,000,000","2,880,000,000","3,199,000,000","2,939,000,000","3,102,000,000","3,252,000,000","3,257,000,000","3,296,000,000","3,965,000,000","4,052,000,000","3,719,000,000","3,804,000,000","3,956,000,000","3,831,000,000","3,849,000,000","3,935,000,000","3,850,000,000","3,976,000,000","3,786,400,000","4,061,300,000","4,243,600,000","4,441,200,000","4,459,800,000","4,608,400,000","4,501,600,000","4,393,900,000","4,184,300,000","3,960,700,000","3,922,900,000","4,012,900,000","3,746,300,000","3,714,900,000","3,724,100,000","3,722,900,000","3,537,700,000","3,618,200,000","3,788,700,000","3,705,100,000","3,616,300,000","3,622,500,000","3,450,800,000","3,515,700,000","3,320,200,000","2,852,900,000","2,710,000,000","2,811,100,000","2,753,900,000","2,825,100,000","2,853,200,000","2,818,800,000","2,620,800,000","2,831,700,000","2,517,400,000","2,487,800,000","2,191,519,000","2,151,500,000","1,983,700,000","1,932,900,000","1,777,300,000","1,860,100,000","1,650,800,000","1,566,900,000","1,456,300,000","1,526,300,000","1,360,000,000","1,338,200,000","1,294,000,000","1,356,100,000","1,304,300,000","1,061,400,000","943,400,000","1,005,000,000","923,400,000","930,700,000","825,000,000","802,400,000","742,300,000","725,900,000","665,300,000","628,100,000","553,500,000","540,100,000","538,100,000","513,500,000","511,100,000","499,600,000","487,200,000","517,800,000","462,000,000","457,600,000","443,400,000","445,100,000","418,600,000","427,700,000","389,500,000","414,200,000","383,300,000","374,200,000","324,200,000","302,600,000","269,500,000","274,700,000"
			AccountsReceivable,"4,619,000,000","4,611,000,000","5,234,000,000","2,508,000,000","5,096,000,000","4,990,000,000","5,320,000,000","3,245,000,000","5,650,000,000","5,703,000,000","5,806,000,000","732,000,000","1,650,000,000","1,925,000,000","2,016,000,000","1,068,000,000","1,697,000,000","2,168,000,000","2,166,000,000","1,224,000,000","2,477,000,000","2,707,000,000","2,798,000,000","1,564,000,000","2,783,000,000","2,866,000,000","2,921,000,000","1,627,000,000","2,981,000,000","3,102,000,000",,"3,257,000,000","3,296,000,000","4,011,000,000","4,052,000,000","3,719,000,000","3,851,000,000","3,956,000,000","3,831,000,000","3,849,000,000","3,935,000,000","3,850,000,000","3,976,000,000","3,786,400,000","4,061,300,000","4,243,600,000","4,441,200,000","4,459,800,000","4,608,400,000","4,501,600,000","4,393,900,000","4,184,300,000","3,960,700,000","3,922,900,000","4,012,900,000","3,746,300,000","3,714,900,000","3,724,100,000","3,722,900,000","3,537,700,000","3,618,200,000","3,788,700,000","3,705,100,000","3,616,300,000","3,622,500,000","3,450,800,000","3,515,700,000","3,320,200,000","2,852,900,000","2,710,000,000","2,811,100,000","2,753,900,000","2,825,100,000","2,853,200,000","2,818,800,000","2,620,800,000",,,,"2,191,519,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"4,695,000,000","4,671,000,000","5,298,000,000",,"5,153,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"3,145,000,000",,"3,308,000,000","3,338,000,000",,"4,091,000,000","3,765,000,000",,"4,004,000,000","3,879,000,000","3,896,000,000","3,990,000,000","3,914,000,000","4,031,000,000","3,841,800,000",,,,"4,502,900,000",,,,"4,242,300,000",,,,"3,814,700,000",,,,"3,590,800,000",,,,"3,666,800,000",,,,"3,392,000,000",,,,"2,828,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-76,000,000","-60,000,000","-64,000,000",,"-57,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"-43,000,000",,"-51,000,000","-42,000,000",,"-39,000,000","-46,000,000",,"-48,000,000","-48,000,000","-47,000,000","-55,000,000","-64,000,000","-55,000,000","-55,400,000",,,,"-43,100,000",,,,"-58,000,000",,,,"-68,400,000",,,,"-53,100,000",,,,"-50,500,000",,,,"-71,800,000",,,,"-74,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,"2,673,000,000",,,,"2,668,000,000",,,,"911,000,000",,,,"763,000,000",,,,"1,145,000,000",,,,"1,195,000,000",,,,"1,572,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
