name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalAssets,"4,657,666,000","3,321,155,000","3,140,029,000","2,712,872,000","2,192,714,000","2,051,559,000","1,598,115,000","1,551,536,000","1,506,329,000","1,409,372,000","1,412,679,000","1,440,124,000","1,886,156,000","1,108,139,000","894,352,000","618,475,000","303,773,000","66,559,000","61,391,000","60,890,000","96,800,000","133,400,000","70,000,000"
	CurrentAssets,"2,918,732,000","2,087,587,000","1,890,186,000","1,584,988,000","1,131,010,000","1,105,916,000","840,375,000","813,179,000","753,970,000","728,014,000","658,586,000","682,349,000","802,484,000","688,471,000","508,943,000","344,766,000","167,954,000","39,866,000","26,117,000","24,085,000","39,800,000","82,000,000","42,800,000"
		CashCashEquivalentsAndShortTermInvestments,"1,451,722,000","1,054,357,000","819,144,000","734,414,000","457,518,000","468,010,000","209,826,000","191,187,000","170,663,000","187,235,000","183,528,000","181,341,000","267,591,000","321,058,000","219,932,000","124,198,000","19,245,000","12,021,000","8,818,000","7,151,000","15,800,000","55,600,000","7,500,000"
			CashAndCashEquivalents,"1,451,722,000","1,054,357,000","819,144,000","734,414,000","457,518,000","468,010,000","209,826,000","191,187,000","170,663,000","187,235,000","183,528,000","181,341,000","267,591,000","321,058,000","219,932,000","124,198,000","19,245,000","12,021,000","8,818,000","7,151,000","15,000,000","55,600,000","7,500,000"
				CashFinancial,"665,641,000",,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"786,081,000",,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,"800,000",,
		Receivables,"201,935,000","693,616,000","744,879,000","502,989,000","423,299,000","375,579,000","390,563,000","370,836,000","349,543,000","288,765,000","282,905,000","261,084,000","290,378,000","212,631,000","180,584,000","124,930,000","75,648,000","8,380,000","9,623,000","10,602,000","8,700,000","3,100,000","600,000"
			AccountsReceivable,"201,935,000","693,616,000","744,879,000","502,989,000","423,299,000","375,579,000","390,563,000","370,836,000","349,543,000","288,765,000","282,905,000","261,084,000","290,378,000","212,631,000","153,468,000","110,306,000","75,648,000","8,380,000","9,623,000",,,,
				GrossAccountsReceivable,"229,873,000","717,903,000","765,837,000","521,358,000",,"396,125,000","412,642,000","578,118,000","364,330,000",,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-27,938,000","-24,287,000","-20,958,000","-18,369,000",,"-20,546,000","-22,079,000","-207,282,000","-14,787,000",,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,"27,116,000","14,624,000",,,,,,,
		Inventory,,,"95,672,000","78,115,000","72,108,000","85,675,000","92,757,000","101,168,000","98,819,000","97,225,000","87,661,000","61,279,000","50,265,000","49,511,000","25,595,000","18,949,000",,,,,,,
		PrepaidAssets,"217,707,000","263,019,000","149,117,000","191,796,000","132,773,000","108,624,000","69,242,000","68,132,000","61,640,000","46,072,000","31,344,000","35,352,000","40,458,000","15,212,000","7,078,000","5,313,000","11,509,000","3,963,000","5,799,000",,,,
		RestrictedCash,"34,301,000","76,595,000","81,374,000","77,674,000","45,312,000","68,028,000","77,987,000","81,856,000","73,305,000","108,717,000","73,148,000","131,025,000","140,222,000","80,703,000","73,942,000","69,300,000","58,280,000","4,401,000","1,877,000",,,,
		CurrentDeferredAssets,,,,,,,,,,,,"8,539,000","13,570,000","9,356,000","1,812,000","1,637,000",,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,"8,539,000","13,570,000","9,356,000","1,812,000","1,637,000",,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,"0",,,,,,,,,,,,
		OtherCurrentAssets,"1,013,067,000",,,,,"108,600,000","69,200,000","68,100,000","61,700,000","46,100,000","31,400,000","3,729,000",,,,"439,000","3,272,000","11,101,000",,"6,332,000","15,300,000","23,300,000","34,700,000"
	TotalNonCurrentAssets,"1,738,934,000","1,233,568,000","1,249,843,000","1,127,884,000","1,061,704,000","945,643,000","757,740,000","738,357,000","752,359,000","681,358,000","754,093,000","757,775,000","1,083,672,000","419,668,000","385,409,000","273,709,000","135,819,000","26,693,000","35,274,000","36,805,000","57,000,000","51,400,000","27,200,000"
