name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalRevenue,"16,244,274,000","4,412,410,000","4,253,721,000","3,665,715,000","3,896,006,000","3,671,143,000","4,309,126,000","3,605,830,000","3,348,681,000","3,910,664,000","3,643,669,000","3,173,229,000","3,297,011,000","3,426,363,000","2,907,196,000","3,694,556,000","3,073,638,000","3,337,003,000","3,245,188,000","3,908,838,000","4,237,102,000","4,462,387,000","3,286,884,000","3,118,174,000","3,051,072,000","2,444,042,000","2,254,630,000","2,101,132,000","2,380,410,000","2,423,101,000","2,053,008,000","2,031,470,000","2,024,638,000","2,093,551,000","2,014,076,000","1,842,308,000","1,826,230,000","2,351,678,000","1,610,384,000","1,438,141,000","1,500,910,000","1,485,551,000","1,418,270,000","1,353,970,000","1,356,629,000","1,402,818,000","1,387,432,000","1,353,970,000","1,314,558,000","3,917,783,040","1,419,044,800","1,325,941,218","1,237,584,480","3,403,497,549","1,385,920,809","1,291,386,332.5","1,317,591,100.2","3,233,330,586.25","1,226,544,083.55","1,213,683,479","1,145,502,455.5","2,806,197,802","986,240,640","869,420,810","883,029,290","2,117,439,337.5","759,551,585","680,285,804","712,659,672","1,812,349,535","712,596,115","619,866,879.5","633,255,140","512,284,193.5","580,329,025.5","541,563,893","506,789,789","664,624,000","552,071,760","450,740,680","453,087,250","612,518,250","408,192,000","363,735,000","368,768,000"
	OperatingRevenue,"15,780,157,000","4,280,516,000","3,968,678,000","3,633,042,000","3,897,921,000","3,661,965,000","3,805,281,000","3,236,824,000","3,100,168,000","3,446,910,000","3,187,010,000","3,073,451,000","3,400,225,000","3,131,365,000","2,803,128,000","4,390,396,000","3,572,379,000","3,434,724,000","3,280,495,000","3,406,163,000","3,654,134,000","3,488,575,000","3,250,009,000","3,078,066,000","2,998,521,000","2,393,152,000","2,193,337,000","2,003,398,000","2,302,076,000","2,209,838,000","2,053,008,000","2,031,470,000","2,024,638,000","2,093,551,000","2,014,076,000","1,842,308,000","1,826,230,000","2,351,678,000","1,610,384,000","1,438,141,000","1,500,910,000","1,485,551,000","1,418,270,000","1,353,970,000","1,356,629,000","4,249,435,000","1,387,432,000","2,020,800,000","1,314,558,000","3,917,783,040","1,419,044,800","1,325,941,218","1,237,584,480","3,403,497,549","1,385,920,809","1,291,386,332.5","1,317,591,100.2","3,233,330,586.25","1,226,544,083.55","1,213,683,479","1,145,502,455.5","2,806,197,802","986,240,640","869,420,810","883,029,290","2,117,439,337.5","759,551,585","680,285,804","712,659,672","1,812,349,535","712,596,115","619,866,879.5","633,255,140","512,284,193.5","580,329,025.5","541,563,893","506,789,789","664,624,000","552,071,760","450,740,680","453,087,250","612,518,250","408,192,000","363,735,000","368,768,000"
CostOfRevenue,"11,760,176,000","2,389,514,000","3,340,594,000","2,970,627,000","2,730,735,000","3,120,055,000","3,459,741,000","2,997,886,000","2,460,196,000","3,618,124,000","2,843,575,000","2,446,823,000","2,244,039,000","3,396,123,000","2,404,053,000","2,231,913,000","2,469,490,000","2,493,831,000","3,183,363,000","3,244,007,000","3,607,811,000","4,151,076,000","2,670,941,000","2,834,896,000","2,401,752,000","1,371,247,000","1,964,638,000","1,820,162,000","1,881,951,000","3,415,711,000","1,076,671,000","1,137,267,000","1,357,218,000","1,522,214,000","1,425,874,000","1,279,450,000","1,229,477,000","1,635,818,000","1,063,095,000","1,045,446,000","1,138,622,000","1,952,982,000","675,270,000","504,421,000","655,420,000","949,764,000","915,171,000",,"866,699,000","197,463,840","775,929,840","817,750,710","455,339,346","2,618,885,577","585,944,216","200,041,627.5","702,961,833.6","230,315,344.45","548,489,838.6","600,208,286","687,099,959","-750,456,858","732,947,535","507,372,219","514,016,525","293,963,942.5","384,108,492.5","172,355,175","559,173,648","1,530,975,155","401,707,350","276,940,327.5","193,963,364","217,744,187.5","192,924,931.5","183,907,794.5","156,541,913","306,641,040","165,760,080","146,284,200","146,720,000","283,143,510","163,200,000","153,990,000","157,208,000"
GrossProfit,"4,484,098,000","2,022,896,000","913,127,000","695,088,000","1,165,271,000","551,088,000","849,385,000","607,944,000","888,485,000","292,540,000","800,094,000","726,406,000","1,052,972,000","30,240,000","503,143,000","1,462,643,000","604,148,000","843,172,000","61,825,000","664,831,000","629,291,000","311,311,000","615,943,000","283,278,000","649,320,000","1,072,795,000","289,992,000","280,970,000","498,459,000","-992,610,000","976,337,000","894,203,000","667,420,000","571,337,000","588,202,000","562,858,000","596,753,000","715,860,000","547,289,000","392,695,000","362,288,000","-467,431,000","743,000,000","849,549,000","701,209,000","453,054,000","472,261,000",,"447,859,000","3,720,319,200","643,114,960","508,190,508","782,245,134","784,611,972","799,976,593","1,091,344,705","614,629,266.6","3,003,015,241.8","678,054,244.95","613,475,193","458,402,496.5","3,556,654,660","253,293,105","362,048,591","369,012,765","1,823,475,395","375,443,092.5","507,930,629","153,486,024","281,374,380","310,888,765","342,926,552","439,291,776","294,540,006","387,404,094","357,656,098.5","350,247,876","357,982,960","386,311,680","304,456,480","306,367,250","329,374,740","244,992,000","209,745,000","211,560,000"
OperatingExpense,"1,400,173,000","-39,967,000","720,795,000","823,297,000","312,284,000","796,174,000","312,340,000","685,058,000","326,403,000","1,001,394,000","316,127,000","252,561,000","263,682,000","1,363,234,000","324,012,000","151,022,000","302,733,000","479,431,000","719,443,000","382,926,000","805,241,000","1,660,349,000","309,893,000","628,324,000","560,927,000","840,736,000","562,940,000","635,722,000","517,535,000","-838,797,000","611,282,000","650,863,000","206,492,000","407,326,000","209,905,000","213,795,000","143,576,000","16,870,000","150,772,000","192,301,000","96,655,000","-639,474,000","352,798,000","312,975,000","300,807,000","-42,805,000","121,686,000","804,765,000","58,023,000","3,309,236,080","291,467,040","105,747,030","346,770,402","375,873,644","501,134,101","509,228,546.75","340,608,381.4","2,684,692,796.25","498,500,491.95","420,892,506.5","313,155,349","3,440,103,687","56,673,957","216,248,025","206,897,955","2,037,078,267.5","302,077,015","478,922,170","229,950,480","-231,380,425","522,367,945","211,803,552","201,565,168","-44,176,339.5","329,120,431.5","230,102,413.5","219,631,951","260,206,720","181,665,040","177,611,680","167,727,000","260,951,290","110,592,000","123,723,000","157,724,000"
	SellingGeneralAndAdministration,"803,264,000","520,324,000","347,860,000","351,430,000","175,981,000","445,428,000","172,171,000","357,355,000","197,900,000","485,435,000","164,479,000","175,243,000","157,626,000","525,309,000","174,053,000","193,604,000","156,930,000","486,908,000","316,601,000","184,380,000","307,989,000","438,356,000","128,095,000","276,816,000","268,241,000","608,436,000","271,901,000","289,037,000","283,633,000","-725,682,000","415,646,000","435,967,000","128,312,000","187,204,000","147,142,000","127,210,000","97,173,000","138,881,000","94,030,000","99,139,000","78,098,000","-391,260,000","260,877,000","190,381,000","205,796,000","57,734,000","84,349,000",,"53,884,000","2,906,823,560","307,165,920","146,961,504","215,433,570","199,179,097","404,893,671","412,499,557.25","244,498,554.6","1,287,657,967.7","147,202,085.7","315,690,043","234,256,386",,,"140,554,248","130,994,270","801,555,412.5","164,783,120","145,779,628","157,325,760","213,797,460","146,152,435","141,014,235","131,329,240","-14,324,386.5","169,403,167.5","163,607,289.5","153,488,610","89,193,050","114,194,080","113,038,120","103,792,500","108,163,600","51,072,000","72,393,000","99,072,000"
		GeneralAndAdministrativeExpense,"596,205,000","520,324,000","347,860,000","351,430,000","129,301,000","445,428,000","141,591,000","357,355,000","155,059,000","485,435,000","124,040,000","132,438,000","116,719,000","525,309,000","121,124,000","119,710,000","109,237,000","486,908,000","316,601,000","101,487,000","307,989,000","438,356,000","87,919,000","276,816,000","268,241,000","512,821,000","271,901,000","289,037,000","283,633,000","-791,341,000","415,646,000","435,967,000","103,418,000","132,298,000","120,537,000","108,244,000","98,490,000","116,134,000","79,752,000","86,563,000","65,235,000",,,"177,571,000","194,823,000","62,527,000","77,723,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"433,069,000","520,324,000","347,860,000","351,430,000","92,416,000","445,428,000","97,518,000","357,355,000","117,824,000","485,435,000","91,025,000","97,185,000","88,422,000","525,309,000","84,447,000","85,771,000","80,541,000","486,908,000","316,601,000","76,099,000","307,989,000","438,356,000","67,616,000","276,816,000","268,241,000","416,980,000","271,901,000","289,037,000","283,633,000","-576,462,000","315,164,000","327,512,000",,,"68,061,000",,"48,434,000",,,,,,,"114,793,000",,,"210,437,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"163,136,000",,,,"36,885,000",,"44,073,000",,"37,235,000",,"33,015,000","35,253,000","28,297,000",,"36,677,000","33,939,000","28,696,000",,,"25,388,000",,,"20,303,000",,,,,,,"-214,879,000","100,482,000","108,455,000","103,418,000","310,597,000","52,476,000","108,244,000","50,056,000","116,134,000","79,752,000","86,563,000","65,235,000",,,"62,778,000","194,823,000","62,527,000","77,723,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"207,059,000",,,,"46,680,000",,"30,580,000",,"42,841,000",,"40,439,000","42,805,000","40,907,000",,"52,929,000","73,894,000","47,693,000",,,"82,893,000",,,"40,176,000",,,,,,,,,,"24,894,000","54,906,000","26,605,000","18,966,000","1,317,000","22,747,000","14,278,000","12,576,000","12,863,000",,,"12,810,000","10,973,000","-4,793,000","6,626,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
