Date,Open,High,Low,Close,Adj Close,Volume
2015-05-12,9.929881,9.983819,9.827400,9.940669,8.331747,3827700
2015-05-13,10.021575,10.043150,9.902913,9.919094,8.313664,3423200
2015-05-14,9.832794,9.935275,9.724919,9.746494,8.368315,1816900
2015-05-15,9.762675,9.870550,9.638619,9.832794,8.442410,1510400
2015-05-18,9.838188,9.848975,9.708738,9.795038,8.409993,1005600
2015-05-19,9.773463,9.778856,9.568501,9.590075,8.234014,1649500
2015-05-20,9.584682,9.600863,9.476807,9.536139,8.187703,1414600
2015-05-21,9.514564,9.622438,9.471414,9.519957,8.173809,773800
2015-05-22,9.482201,9.487595,9.261057,9.341964,8.020985,1739200
2015-05-26,9.304207,9.314995,9.099245,9.185545,7.886683,1368000
2015-05-27,9.142395,9.298814,9.110032,9.277239,7.965413,1526500
2015-05-28,9.234089,9.266451,9.163970,9.244876,7.937626,941000
2015-05-29,9.212514,9.298814,9.163970,9.174757,7.877422,2001300
2015-06-01,9.190939,9.190939,9.034520,9.034520,7.757013,1295900
2015-06-02,9.061489,9.115426,8.991370,9.012945,7.738491,1147800
2015-06-03,8.985976,8.991370,8.905070,8.921251,7.659761,1036200
2015-06-04,8.888889,8.915857,8.791801,8.829557,7.581035,728800
2015-06-05,8.786407,8.861920,8.694715,8.829557,7.581035,1393800
2015-06-08,8.834951,8.840345,8.748652,8.759439,7.520832,1193200
2015-06-09,8.770226,8.829557,8.716290,8.754045,7.516200,1056900
2015-06-10,8.824164,8.899676,8.727077,8.743258,7.506938,1308300
2015-06-11,8.721683,8.748652,8.592233,8.683927,7.455996,1221000
2015-06-12,8.683927,8.705502,8.646171,8.694715,7.465259,1695100
2015-06-15,8.662352,8.689321,8.586840,8.678533,7.451364,1780300
2015-06-16,8.689321,8.700108,8.613808,8.689321,7.460628,1010800
2015-06-17,8.673140,8.716290,8.516721,8.694715,7.465259,1634600
2015-06-18,8.710896,8.781014,8.662352,8.732471,7.497676,1424900
2015-06-19,8.716290,8.748652,8.425027,8.435815,7.242968,1276600
2015-06-22,8.527508,8.727077,8.527508,8.673140,7.446733,1004100
2015-06-23,8.662352,8.721683,8.586840,8.619202,7.400423,916600
2015-06-24,8.613808,8.619202,8.484358,8.484358,7.284647,811800
2015-06-25,8.495146,8.522115,8.473571,8.516721,7.312433,1513200
2015-06-26,8.511327,8.603021,8.468177,8.592233,7.377269,869500
2015-06-29,8.511327,8.527508,8.295577,8.311758,7.136453,864300
2015-06-30,8.360302,8.581446,8.360302,8.538296,7.330957,1246600
2015-07-01,8.581446,8.597627,8.365696,8.403452,7.215181,1228000
2015-07-02,8.441208,8.543690,8.403452,8.532902,7.326326,783100
2015-07-06,8.376483,8.408846,8.263215,8.349515,7.168871,1548200
2015-07-07,8.187702,8.279396,8.085221,8.247033,7.080880,1045400
