name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998
TotalAssets,"29,776,384,000","27,880,000,000","29,711,705,000","28,025,389,000","27,396,356,000","26,186,000,000","26,220,000,000","20,700,000,000","20,168,990,000","19,324,000,000","18,077,000,000","18,800,000,000","16,873,400,650.215","16,482,293,151.217","16,184,870,870.69","15,456,425,590.726","21,783,307,634.673","21,311,284,803.934","23,725,762,357.961","24,647,747,426.339","26,270,181,650.644","26,155,507,737.227","27,822,081,851.494","27,497,297,072.503","28,837,562,154.462","28,216,130,303.482","27,545,388,195.564","30,439,382,502.61","27,168,380,538.661","26,855,851,243.152","25,297,374,397.145","27,050,750,730.977","26,447,314,710.544","26,045,415,101.35","27,476,026,864.377","27,117,718,318.988","27,182,216,246.448","26,962,375,952.234","25,417,201,049.749","25,904,924,322.354","26,037,186,661.999","25,700,547,574.299","24,105,594,374.106","22,209,356,292.244","22,549,817,399.701","23,043,230,531.021","23,578,243,975.559","24,518,559,896.434","22,967,035,334.796","21,939,971,324.06","21,178,064,621.413","21,036,632,848.44","20,775,204,756.463","20,901,602,175.384","20,303,015,127.575","20,126,153,594.832","19,912,476,196.421","18,871,904,930.262","18,173,715,917.053","18,351,686,957.959","18,913,545,098.892","17,580,269,038","17,599,416,097.654","18,490,782,704.615","18,052,480,430.266","18,529,601,076.161","17,958,183,623.545","16,735,073,168.366","17,518,176,451.164","18,126,542,144.703","18,481,573,230.526","18,880,266,944.078","18,743,278,097.284","18,264,523,124.744","18,933,142,374.371","19,038,727,327.023","19,322,495,251.045","21,103,710,406.427","20,737,486,942.622","21,398,566,179.507","21,002,270,903.233","21,101,328,640.938","23,411,511,926.329","5,581,089,639.821","15,359,421,774.154"
	CurrentAssets,"6,581,254,000","6,289,000,000","6,366,998,000","6,986,968,000","6,383,986,000","6,449,000,000","6,855,000,000","4,786,000,000","4,545,421,000","4,163,000,000","3,766,000,000","4,238,000,000","4,782,008,538.469","4,513,136,290.213","4,293,346,259.034","4,277,101,617.434","11,158,121,982.089","4,496,114,773.488","5,043,342,728.069","6,234,871,746.307","6,486,973,123.035","5,671,071,266.389","6,021,276,296.517","6,277,196,373.723","7,402,809,026.497","6,461,389,376.678","6,250,528,819.995","7,115,414,793.526","4,803,217,587.95","4,195,387,694.901","4,034,838,661.266","4,833,734,408.732","4,864,250,779.75","4,463,759,765.09","4,283,769,757.296","4,700,075,215.56","4,886,980,064.953","4,880,049,413.218","4,295,643,161.418","4,790,577,221.892","5,068,339,117.331","5,533,944,774.466","4,826,931,204.827","4,825,020,436.797","4,689,467,843.443","4,324,837,819.083","5,063,985,710.145","4,884,807,688.041","4,539,460,434.74","3,870,493,580.806","3,391,051,102.964","3,457,100,548.846","3,082,486,449.854","3,257,699,606.104","3,096,674,930.452","3,077,566,318.312","2,527,482,628.519","2,349,015,673.684","2,412,396,601.59","2,552,892,240.387","2,734,346,120.125","2,380,869,640.465","2,199,383,382.556","2,374,521,291.622","1,927,577,961.037","1,949,708,620.726","2,657,969,776.533","1,950,558,737.417","1,698,860,790.68","1,869,672,666.935","1,728,458,159.023","1,739,350,442.307","1,707,555,345.578","1,593,324,195.894","1,699,452,366.991","1,566,920,614.635","1,604,033,100.046","2,153,771,244.337","2,102,317,113.369","2,046,636,529.452","1,998,984,298.243","2,153,528,169.64","3,991,221,752.146","539,821,323.759","1,290,162,140.445"
		CashCashEquivalentsAndShortTermInvestments,"2,059,380,000",,"1,582,690,000","2,056,384,000","2,046,670,000",,,,"1,580,543,000",,,,"2,796,486,527.019",,"1,894,523,500.326",,"1,759,435,189.815",,,,"2,962,945,555.891",,,,"4,480,517,141.619",,"3,701,450,464.466","4,189,699,964.182","2,145,731,030.734","1,652,210,282.343","1,413,248,276.433","2,242,969,040.131","2,351,011,024.267","1,790,537,138.03","1,586,957,211.589","2,042,153,599.381","2,025,570,619.114","1,555,556,928.145","1,286,997,946.143","1,960,833,701.011","2,239,833,198.606","2,456,659,657.543","1,791,251,401.791","2,196,047,206.267","1,352,001,099.019","979,672,911.87","224,847,059.698","975,529,622.387","188,304,363.884","772,841,552.919","716,583,662.326","766,573,735.063","734,360,564.283","1,014,304,240.047","878,235,820.279","837,350,539.15","653,637,830.129","537,237,346.385","802,371,159.412","935,258,756.505","935,207,650.518","696,398,366.402","610,529,458.139","716,814,887.387","494,138,934.748","576,812,103.935","532,523,310.869","55,250,865.528","271,152,824.212","318,413,744.38","355,301,104.586","290,129,672.173","317,238,058.432","236,017,740.509","266,330,089.771","191,077,705.607","197,584,443.778","610,471,724.525","201,073,890.578","340,438,561.65","367,522,832.38",,,,"34,560,529.528"
			CashAndCashEquivalents,"1,938,997,000",,"1,409,450,000","1,925,533,000","1,904,285,000",,,,"1,472,763,000",,,,"2,692,955,913.744",,"1,681,490,113.592",,"1,671,080,310.695",,,,"2,812,830,041.867",,,,"3,052,136,378.048",,"2,254,438,768.357","3,060,383,612.922","1,749,055,231.123","1,649,100,294.985","1,411,262,306.452","2,240,723,870.141","2,349,202,368.326","1,790,537,138.03","1,586,957,211.589","2,024,275,389.474","2,009,232,025.321","1,551,791,229.154","1,286,997,946.143","1,960,833,701.011","2,236,889,525.864","2,419,984,837.58","1,752,101,701.752","2,195,831,116.267","1,187,497,329.97","952,340,672.762","196,383,888.989","92,460,381.344","164,615,058.269","178,026,828.758","90,452,970.182","93,797,344.33","717,244,609.276","99,103,695.682","95,718,001.01","106,861,106.303","643,324,881.879","104,752,512.655","72,856,102.309","90,122,615.467","913,028,884.096","93,210,829.304","86,495,962.967","67,920,585.697","475,374,978.353","557,157,810.669","514,369,793.297","52,642,856.785","269,010,737.707","61,080,271.456","44,631,397.586","66,661,413.814","316,939,759.89","43,844,119.391","36,589,609.444","61,432,373.796","46,191,877.696","583,936,651.729","201,073,890.578","340,438,561.65","353,327,560.591",,,,"15,522,949.703"
				CashFinancial,,,"2,728,000","1,815,000","4,647,000",,,,"8,410,000",,,,"2,057,915.077",,"14,513,645.764",,"10,882,814.252",,,,"2,086,195.636",,,,"1,206,009.799",,,,"34,574,752.209",,,,,,,,,,,,,,,,"209,139,714.762","121,038,085.478","196,383,888.989",,"164,615,058.269",,,,"187,413,544.391",,,,"138,609,993.307",,,,"101,689,944.386",,,,"44,354,730.302",,,,"66,880,610.209",,,,"55,303,522.704",,,,,,,,,,,,
				CashEquivalents,,,"1,406,722,000","1,923,718,000","1,899,638,000",,,,"1,464,353,000",,,,"2,690,897,998.667",,"1,666,976,467.828",,"1,660,197,496.443",,,,"2,810,743,846.23",,,,"3,050,930,368.249",,,,"1,714,480,478.914",,,,,,,,,,,,,,,,"978,357,615.207","831,302,587.284",,,,,,,"529,831,064.885",,,,"504,714,888.572",,,,"811,338,939.709",,,,"431,020,248.051",,,,"202,130,127.498",,,,"261,636,237.185",,,,,,,,,,,,
			OtherShortTermInvestments,"120,383,000",,"173,240,000","130,851,000","142,385,000",,,,"107,780,000",,,,"103,530,613.274",,"213,033,386.734",,"88,354,879.12",,,,"150,115,514.024",,,,"1,428,380,763.572",,"1,447,011,696.109","1,129,316,351.26","396,675,799.611","3,109,987.358","1,985,969.981","2,245,169.99","1,808,655.941",,,"17,878,209.907","16,338,593.794","3,765,698.991",,,"2,943,672.742","36,674,819.963","39,149,700.039","216,090","164,503,769.049","27,332,239.108","28,463,170.709","883,069,241.043","23,689,305.615","594,814,724.161","626,130,692.143","672,776,390.732","17,115,955.007","915,200,544.365","782,517,819.269","730,489,432.847","10,312,948.25","432,484,833.73","729,515,057.104","845,136,141.038","22,178,766.423","603,187,537.098","524,033,495.172","648,894,301.691","18,763,956.395","19,654,293.266","18,153,517.571","2,608,008.742","2,142,086.505","257,333,472.924","310,669,706.999","223,468,258.358","298,298.542","192,173,621.118","229,740,480.327","129,645,331.811","151,392,566.082","26,535,072.796",,,"14,195,271.789",,,,"19,037,579.825"
		Receivables,"3,628,147,000",,"3,931,583,000","4,099,088,000","3,616,353,000",,,,"2,520,701,000",,,,"1,709,670,508.67",,"2,146,234,642.885",,"1,606,205,845.674",,,,"2,987,656,242.83",,,,"2,449,894,630.75",,"2,186,429,429.01","2,501,780,551.102","2,271,006,241.013","1,836,070,375.053","1,878,887,791.963","1,959,335,931.379","1,950,512,591.488","2,112,051,257.677","2,221,227,978.227","2,154,674,468.796","2,212,410,978.018","2,937,220,506.485","2,703,373,649.779","2,542,450,459.437","2,502,848,234.951","2,822,132,037.178","2,748,598,652.749","2,355,711,990.995","2,201,669,485.989","2,346,963,023.271","3,124,130,329.009","2,595,877,661.298","2,512,764,261.584","2,294,311,922.597","2,168,407,549.767","2,049,781,539.433","1,886,955,438.215","1,805,795,244.355","1,719,153,989.181","1,750,215,248.466","1,482,311,908.659","1,284,938,066.857","1,164,814,490.901","1,064,782,196.775","1,453,330,752.373","1,165,909,435.467","1,143,490,923.973","1,266,795,785.02","1,090,060,000.641","951,704,602.79","895,861,936.003","714,884,386.113","1,077,895,780.91","919,844,651.034","854,340,208.615","926,864,027.542","1,033,662,097.139","882,305,362.885","979,563,305.304","975,360,266.556","956,048,780.846","894,438,115.951","1,279,108,660.359","1,085,398,237.733","1,006,744,407.795",,,,"655,185,631.822"
			AccountsReceivable,"3,504,457,000",,"2,660,346,000","2,775,552,000","2,264,869,000",,,,"1,791,262,000",,,,"1,231,044,835.941",,"1,795,573,721.929",,"1,063,945,485.114",,,,"1,849,481,400.878",,,,"1,624,702,707.475",,"1,696,805,803.711","1,922,412,253.897","1,533,971,701.691","1,836,070,375.053","1,819,731,362.531","61,254,749.73","1,882,568,904.578","2,112,051,257.677","2,221,227,978.227","2,154,674,468.796","2,212,410,978.018","42,219,477.043","55,332,420.508","40,915,805.022","37,477,051.401","2,529,741,757.47","2,436,294,602.436","2,099,410,386.431","1,782,362,704.081","1,891,725,284.472","2,243,107,943.031","2,038,088,984.792","1,982,666,004.321","1,989,789,164.491","2,000,249,410.389","1,906,628,587.876","1,768,067,520.711","1,510,328,441.706","1,385,235,015.829","1,433,174,931.988","1,365,781,831.914","1,146,016,427.205","1,031,999,959.769","950,635,513.9","1,066,597,787.267","888,517,056.822","837,000,248.193","860,655,472.673","944,215,311.004","772,957,269.886","740,280,014.198","626,358,992.075","724,002,753.237","560,117,505.559","648,748,359.182","780,571,343.883","905,060,202.8","697,145,362.997","783,735,659.419","817,238,887.621","923,002,603.957",,,,,,,,
				GrossAccountsReceivable,,,"3,388,548,000","2,775,552,000","3,017,469,000",,,,"2,342,813,000",,,,"1,494,804,751.642",,,,"1,486,887,172.054",,,,"2,105,399,415.415",,,,"1,904,280,128.096",,,,"1,840,302,935.511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
