name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalAssets,"37,124,608,000","33,934,474,000","29,833,078,000","29,459,433,000","26,975,244,000","34,762,687,000","30,574,238,000","27,336,578,000","24,838,797,000","21,624,233,000","18,118,667,000","15,951,226,000","12,088,907,000","9,402,160,000","7,753,320,000","5,798,923,000","4,749,015,000","3,814,006,000","3,414,044,000","3,000,815,000","2,610,800,000","3,018,100,000","2,723,400,000","2,458,400,000","2,147,300,000","1,861,900,000","1,811,200,000","1,731,000,000","1,455,600,000","1,417,900,000","1,365,800,000"
	CurrentAssets,"5,273,339,000","5,057,390,000","3,279,108,000","3,554,603,000","2,592,244,000","5,416,021,000","4,072,015,000","3,589,884,000","3,253,938,000","2,527,446,000","1,839,541,000","2,108,451,000","1,292,039,000","1,350,080,000","1,563,238,000","586,803,000","396,014,000","394,792,000","272,421,000","394,427,000","200,500,000","246,400,000","282,000,000","325,900,000","217,800,000","156,400,000","249,400,000","247,000,000","109,700,000","111,000,000","112,300,000"
		CashCashEquivalentsAndShortTermInvestments,"2,027,972,000","1,555,634,000","834,228,000","1,599,895,000","718,506,000","2,087,213,000","1,318,209,000","876,435,000","615,726,000","788,853,000","685,751,000","331,311,000","54,231,000","218,255,000","643,811,000","20,980,000","4,443,000","9,848,000","2,512,000","20,152,000","24,800,000","6,300,000","9,300,000","7,600,000","23,000,000","5,800,000","103,100,000","132,600,000","3,800,000","3,600,000","15,300,000"
			CashAndCashEquivalents,"2,027,972,000","1,555,634,000","834,228,000","1,599,895,000","718,506,000","2,087,213,000","1,318,209,000","876,435,000","615,726,000","788,853,000","685,751,000","331,311,000","54,231,000","218,255,000","643,811,000","20,980,000","4,443,000","9,848,000","2,512,000","20,152,000","24,800,000","6,300,000","9,300,000","7,600,000","23,000,000","5,800,000","103,100,000","132,600,000","3,800,000","3,600,000","15,300,000"
		Receivables,"2,153,323,000","2,343,124,000","1,710,851,000","1,228,625,000","971,314,000","1,850,932,000","1,663,650,000","1,685,781,000","1,477,836,000","1,168,195,000","808,426,000","749,748,000","946,040,000","848,445,000","762,462,000","450,974,000","303,094,000","310,133,000","194,624,000","342,579,000","148,200,000","193,600,000","232,100,000","277,300,000","168,500,000","126,200,000","125,200,000","101,700,000","89,500,000","91,300,000","81,300,000"
			AccountsReceivable,"2,001,658,000","1,915,215,000","1,597,494,000","1,216,320,000","930,610,000","1,779,311,000","1,658,853,000","1,656,618,000","1,451,227,000","1,113,279,000","771,417,000","722,695,000","835,670,000","754,134,000","762,207,000","447,742,000","295,118,000","259,308,000","194,624,000",,,,,,,,,,,,
			TaxesReceivable,"151,665,000","427,909,000","113,357,000","12,305,000","40,704,000","71,621,000","4,797,000","29,163,000","26,609,000","54,916,000","37,009,000",,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,"27,053,000","110,370,000","94,311,000","255,000","3,232,000","7,976,000","50,825,000",,,,,,,,,,,,,
		Inventory,"767,297,000","859,359,000","483,865,000","350,017,000","598,935,000","706,597,000","563,268,000","683,187,000","590,594,000","415,792,000","261,723,000","187,970,000","102,322,000","113,591,000","63,215,000","40,037,000","21,922,000","18,928,000","18,871,000","16,623,000","18,800,000","39,600,000","32,000,000","20,700,000","11,700,000","15,700,000","14,100,000","9,500,000","13,200,000","13,200,000","15,200,000"
		CurrentDeferredAssets,,,,"169,387,000","147,812,000","19,618,000","244,606,000",,"0","9,260,000",,,"33,533,000",,"24,376,000","22,227,000","31,548,000",,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,"169,387,000","147,812,000","19,618,000","244,606,000",,"0","9,260,000",,,"33,533,000",,"24,376,000","22,227,000","31,548,000",,,,,,,,,,,,,,
		HedgingAssetsCurrent,"1,299,000","23,806,000","7,699,000",,"0","465,128,000","8,260,000","166,135,000",,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"323,448,000","275,467,000","242,465,000","206,679,000","155,677,000","286,533,000","274,022,000","178,346,000","569,782,000","145,346,000","83,641,000","839,422,000","155,913,000","169,789,000","69,374,000","52,585,000","35,007,000","55,883,000","56,414,000","15,073,000","8,700,000","6,900,000","8,600,000","20,300,000","14,600,000","8,700,000","7,000,000","3,200,000","3,200,000","2,900,000","500,000"
	TotalNonCurrentAssets,"31,851,269,000","28,877,084,000","26,553,970,000","25,904,830,000","24,383,000,000","29,346,666,000","26,502,223,000","23,746,694,000","21,584,859,000","19,096,787,000","16,279,126,000","13,842,775,000","10,796,868,000","8,052,080,000","6,190,082,000","5,212,120,000","4,353,001,000","3,419,214,000","3,141,623,000","2,606,388,000","2,410,300,000","2,771,700,000","2,441,400,000","2,132,500,000","1,929,500,000","1,705,500,000","1,561,800,000","1,484,000,000","1,345,900,000","1,306,900,000","1,253,500,000"
		NetPPE,"30,364,595,000","28,075,519,000","25,665,037,000","25,707,078,000","24,210,721,000","29,172,644,000","26,148,836,000","23,337,681,000","21,288,824,000","18,680,900,000","16,139,225,000","13,657,302,000","10,429,254,000","7,944,047,000","6,087,179,000","5,101,603,000","4,248,917,000","3,321,548,000","3,055,910,000","2,525,007,000","2,334,900,000","2,676,400,000","2,387,200,000","2,099,600,000","1,881,400,000","1,684,800,000","1,546,000,000","1,468,000,000","1,339,700,000","1,305,100,000","1,249,700,000"
			GrossPPE,"67,302,661,000","61,550,681,000","56,516,500,000","53,600,655,000","54,599,851,000","50,254,490,000","45,788,888,000","40,866,917,000","35,814,424,000","30,996,882,000","25,964,443,000","21,861,517,000","17,563,238,000","13,893,851,000","11,173,389,000","9,599,276,000","8,189,062,000","6,750,095,000","6,065,603,000","5,122,728,000","4,602,700,000","4,814,500,000","4,291,400,000","3,753,200,000","3,380,800,000","3,015,400,000","2,772,200,000","2,475,400,000","2,228,700,000","2,066,000,000","1,893,400,000"
				MineralProperties,"62,830,415,000","57,330,016,000","52,555,741,000","49,592,091,000","50,613,241,000","46,503,532,000","42,821,803,000","38,126,298,000",,,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,,,,,,,,,,,,"20,803,629,000","16,981,836,000","13,893,851,000","11,173,389,000","9,599,276,000","8,189,062,000","6,750,095,000","6,065,603,000",,,,,,,,,,,,
				MachineryFurnitureEquipment,,,,,,,,,,"1,733,073,000","1,350,132,000",,,,,,,,,,,,,,,,,,,,
				OtherProperties,"4,472,246,000","4,220,665,000","3,960,759,000","4,008,564,000","3,986,610,000","3,750,958,000","2,967,085,000","2,740,619,000",,"29,263,809,000","24,614,311,000","1,057,888,000","581,402,000",,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-36,938,066,000","-33,475,162,000","-30,851,463,000","-27,893,577,000","-30,389,130,000","-21,081,846,000","-19,640,052,000","-17,529,236,000","-14,525,600,000","-12,315,982,000","-9,825,218,000","-8,204,215,000","-7,133,984,000","-5,949,804,000","-5,086,210,000","-4,497,673,000","-3,940,145,000","-3,428,547,000","-3,009,693,000","-2,597,721,000","-2,267,800,000","-2,138,100,000","-1,904,200,000","-1,653,600,000","-1,499,400,000","-1,330,600,000","-1,226,200,000","-1,007,400,000","-889,000,000","-760,900,000","-643,700,000"
		NonCurrentDeferredAssets,"2,363,000","777,000","17,506,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"2,363,000","777,000","17,506,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"1,484,311,000","800,788,000","871,427,000","197,752,000","172,279,000","174,022,000","353,387,000","409,013,000","296,035,000","415,887,000","139,901,000","185,473,000","367,614,000","108,033,000","102,903,000","110,517,000","104,084,000","97,666,000","85,713,000","81,381,000","75,400,000","95,300,000","54,200,000","32,900,000","48,100,000","20,700,000","15,800,000","16,000,000","6,200,000","1,800,000","3,800,000"
TotalLiabilitiesNetMinorityInterest,"15,483,892,000","14,570,286,000","13,549,805,000","15,477,852,000","14,032,209,000","17,050,105,000","15,155,779,000","14,051,814,000","12,197,893,000","11,392,601,000","8,120,625,000","6,936,729,000","5,098,813,000","3,802,489,000","3,437,028,000","2,853,499,000","2,525,634,000","2,141,611,000","1,771,358,000","1,619,890,000","1,481,200,000","1,737,800,000","1,442,400,000","1,193,300,000","983,600,000","818,500,000","878,100,000","897,000,000","805,400,000","807,900,000","783,500,000"
	CurrentLiabilities,"4,486,988,000","3,728,364,000","2,725,542,000","2,027,291,000","1,819,287,000","3,384,308,000","2,861,716,000","2,924,058,000","2,522,319,000","2,220,099,000","1,345,560,000","1,764,916,000","1,474,170,000","1,255,012,000","1,172,041,000","632,204,000","476,519,000","276,351,000","310,847,000","369,678,000","218,600,000","262,600,000","291,000,000","317,400,000","169,300,000","164,600,000","217,900,000","194,700,000","113,300,000","110,000,000","81,300,000"
		PayablesAndAccruedExpenses,"2,850,250,000","2,581,547,000","2,092,415,000","1,726,357,000","1,657,117,000","3,092,240,000","2,464,578,000","2,286,833,000","2,223,298,000","1,786,074,000","1,108,283,000","1,208,474,000","1,256,787,000","1,027,556,000","820,450,000","475,697,000","282,379,000","236,200,000","276,125,000","246,030,000","172,800,000","206,300,000","235,700,000","277,600,000","133,700,000","131,200,000","156,800,000","130,600,000","84,300,000","84,300,000","61,200,000"
			Payables,"2,850,250,000","2,581,547,000","2,092,415,000","1,726,357,000","1,657,117,000","3,092,240,000","2,464,578,000","2,286,833,000","2,223,298,000","1,703,906,000","1,015,425,000","1,122,209,000","1,152,140,000","896,572,000","679,548,000","424,581,000","282,379,000","201,931,000","219,561,000","246,030,000","172,800,000","206,300,000","235,700,000","277,600,000","133,700,000","131,200,000","156,800,000","130,600,000","84,300,000","84,300,000","61,200,000"
				AccountsPayable,"2,429,127,000","2,239,850,000","1,847,131,000","1,511,826,000","1,471,953,000","2,860,548,000","2,254,418,000","2,078,948,000","2,033,615,000","1,664,944,000","979,139,000","1,122,209,000","1,152,140,000","896,572,000","679,548,000","424,581,000","282,379,000","201,931,000","219,561,000","246,030,000","172,800,000","206,300,000","235,700,000","277,600,000","133,700,000","131,200,000","156,800,000","130,600,000","84,300,000","84,300,000","61,200,000"
				TotalTaxPayable,"254,850,000","214,726,000","148,874,000","118,411,000","93,618,000","140,098,000","159,365,000","162,083,000","147,105,000",,,,,,,,,,,,,,,,,,,,,,
				DividendsPayable,"166,273,000","126,971,000","96,410,000","96,120,000","91,546,000","91,594,000","50,795,000","45,802,000","42,578,000","38,962,000","36,286,000",,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,,,,,,,,,,"82,168,000","92,858,000","86,265,000","104,647,000","130,984,000","140,902,000","51,116,000",,"34,269,000","56,564,000",,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"1,383,889,000","913,093,000","356,235,000","6,579,000","6,579,000","6,579,000","6,579,000","406,579,000",,"220,000,000","37,000,000","37,000,000",,,"126,075,000",,,,,,,,,,,"1,700,000","30,000,000",,,,
			CurrentDebt,"1,014,524,000","913,093,000","356,235,000","6,579,000","6,579,000","6,579,000","6,579,000","406,579,000",,"220,000,000","37,000,000","37,000,000",,,"126,075,000",,,,,,,,,,,"1,700,000","30,000,000",,,,
				OtherCurrentBorrowings,"1,014,524,000","913,093,000","356,235,000","6,579,000",,"6,579,000","6,579,000","406,579,000",,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"369,365,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,"0","110,743,000","0","22,838,000","135,989,000","70,042,000","35,414,000","368,231,000","108,980,000","144,615,000","164,659,000","103,933,000","73,611,000",,,,,,,,,,,,,,
			CurrentDeferredTaxesLiabilities,,,,,"0","110,743,000","0","22,838,000","135,989,000","41,703,000","35,414,000","368,231,000","108,980,000","144,615,000","164,659,000","103,933,000","73,611,000",,,,,,,,,,,,,,
		OtherCurrentLiabilities,"252,849,000","233,724,000","276,892,000","294,355,000","155,591,000","174,746,000","390,559,000","207,808,000","163,032,000","143,983,000","164,863,000","151,211,000","108,403,000","82,841,000","60,857,000","52,574,000","120,529,000","40,151,000","34,722,000","123,648,000","45,800,000","56,300,000","55,300,000","39,800,000","35,600,000","31,700,000","31,100,000","64,100,000","29,000,000","25,700,000","20,100,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"10,996,904,000","10,841,922,000","10,824,263,000","13,450,561,000","12,212,922,000","13,665,797,000","12,294,063,000","11,127,756,000","9,675,574,000","9,172,502,000","6,775,065,000","5,171,813,000","3,624,643,000","2,547,477,000","2,264,987,000","2,221,295,000","2,049,115,000","1,865,260,000","1,460,511,000","1,250,212,000","1,262,600,000","1,475,200,000","1,151,400,000","875,900,000","814,300,000","653,900,000","660,200,000","702,300,000","692,100,000","697,900,000","702,200,000"
