name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
TotalRevenue,"1,630,242,000","1,630,242,000","1,495,098,000","834,096,000","735,614,000","614,134,000","392,959,000","185,891,000","136,910,000","109,613,000","91,600,000","80,057,000"
	OperatingRevenue,"1,630,242,000","1,630,242,000","1,495,098,000","834,096,000","735,614,000","614,134,000","392,959,000","185,891,000","136,910,000","109,613,000","91,600,000","80,057,000"
CostOfRevenue,"276,418,000","276,418,000","213,461,000","97,485,000","62,691,000","51,640,000","36,599,000","21,190,000","20,239,000","26,221,000","24,300,000","18,433,000"
GrossProfit,"1,353,824,000","1,353,824,000","1,281,637,000","736,611,000","672,923,000","562,494,000","356,360,000","164,701,000","116,671,000","83,392,000","67,300,000","61,624,000"
OperatingExpense,"275,987,000","275,987,000","293,043,000","155,903,000","145,974,000","124,686,000","82,624,000","50,451,000","45,980,000","28,772,000","29,363,000","32,920,000"
	OperationAndMaintenance,"165,367,000","165,367,000","163,192,000","84,717,000","73,213,000","68,261,000","45,434,000","28,954,000","29,405,000",,,
	SellingGeneralAndAdministration,"110,620,000","110,620,000","129,851,000","71,186,000","72,761,000","56,425,000","37,190,000","21,497,000","16,575,000","17,302,000","18,477,000","23,268,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"11,470,000","10,886,000","9,652,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,"11,470,000","10,886,000","9,652,000"
OperatingIncome,"1,077,837,000","1,077,837,000","988,594,000","580,708,000","526,949,000","437,808,000","273,736,000","114,250,000","70,691,000","54,620,000","37,937,000","28,704,000"
NetNonOperatingInterestIncomeExpense,"-209,984,000","-209,984,000","-122,094,000","-36,181,000","-16,766,000","-45,661,000","-30,856,000","-1,672,000","-9,955,000","-5,050,000","-5,164,000","-5,187,000"
	InterestExpenseNonOperating,,,,,,"45,661,000","30,856,000",,,,,
	TotalOtherFinanceCost,"209,984,000","209,984,000","122,094,000","36,181,000","16,766,000",,,"1,672,000","9,955,000","5,050,000","5,164,000","5,187,000"
OtherIncomeExpense,"-705,771,000","-705,771,000","-195,152,000","27,377,000","37,918,000","8,006,000","2,349,000","1,242,000","7,701,000","3,826,000","498,000","1,115,000"
	EarningsFromEquityInterest,"163,279,000","163,279,000","61,778,000",,,"2,367,000",,,,,,
	SpecialIncomeCharges,"-873,651,000","-873,651,000","-261,941,000",,,,,,,"3,826,000","498,000","1,115,000"
		RestructuringAndMergernAcquisition,"19,344,000","19,344,000",,,,,,,,,,
		ImpairmentOfCapitalAssets,"854,307,000","854,307,000","261,941,000",,,,,,,,,
	OtherNonOperatingIncomeExpenses,"4,601,000","4,601,000","5,011,000","27,377,000","37,918,000","5,639,000","2,349,000","1,242,000","7,701,000",,,
PretaxIncome,"162,082,000","162,082,000","671,348,000","571,904,000","548,101,000","400,153,000","245,229,000","113,820,000","68,437,000","53,396,000","33,271,000","24,632,000"
TaxProvision,,,"0",,"10,147,000","6,703,000","12,456,000","4,053,000","13,131,000","20,807,000","14,030,000","10,601,000"
NetIncomeCommonStockholders,"109,392,000","109,392,000","241,729,000","418,313,000","413,352,000","327,897,000","196,917,000","100,651,000","31,420,000","32,589,000","19,241,000","14,031,000"
	NetIncome,"183,373,000","183,373,000","668,002,000","571,904,000","537,954,000","393,450,000","232,773,000","109,767,000","32,060,000","32,589,000","19,241,000","14,031,000"
		NetIncomeIncludingNoncontrollingInterests,"162,082,000","162,082,000","671,348,000","571,904,000","537,954,000","393,450,000","232,773,000","109,767,000","55,306,000","32,589,000","19,241,000","14,031,000"
			NetIncomeContinuousOperations,"162,082,000","162,082,000","671,348,000","571,904,000","537,954,000","393,450,000","232,773,000","109,767,000","55,306,000","32,589,000","19,241,000","14,031,000"
		MinorityInterests,"21,291,000","21,291,000","-3,346,000","-734,000",,,,,,,,
	PreferredStockDividends,,,"262,031,000","153,591,000","102,741,000","54,447,000","15,705,000","2,927,000","640,000",,,
	OtherunderPreferredStockDividend,"73,981,000","73,981,000","164,242,000","12,588,000","21,861,000","11,106,000","20,151,000","6,189,000",,,,
