name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
TotalRevenue,"1,630,242,000","425,859,000","408,434,000","406,167,000","389,782,000","384,791,000","364,584,000","269,761,000","232,842,000","224,511,000","207,193,000","198,966,000","203,426,000","212,173,000","170,836,000","172,004,000","180,601,000","165,921,000","148,789,000","144,613,000","154,811,000","112,136,000","95,844,000","91,568,000","62,573,000","50,807,000","45,882,000","44,837,000","44,365,000","41,790,000","34,452,000","29,665,000","31,003,000","30,388,000","27,420,000","25,179,000","26,626,000","27,298,000"
	OperatingRevenue,"1,630,242,000","425,859,000","408,434,000","406,167,000","389,782,000","384,791,000","364,584,000","269,761,000","232,842,000","224,511,000","207,193,000","198,966,000","203,426,000","212,173,000","170,836,000","172,004,000","180,601,000","165,921,000","148,789,000","144,613,000","154,811,000","112,136,000","95,844,000","91,568,000","62,573,000","50,807,000","45,882,000","44,837,000","44,365,000","41,790,000","34,452,000","29,665,000","31,003,000","30,388,000","27,420,000","25,179,000","26,626,000","27,298,000"
CostOfRevenue,"276,418,000","74,964,000","73,737,000","70,265,000","57,452,000","55,344,000","53,954,000","38,463,000","23,179,000","33,294,000","22,244,000","21,400,000","20,547,000","16,398,000","15,704,000","15,111,000","15,478,000","14,238,000","13,217,000","12,258,000","11,927,000","9,857,000","9,846,000","8,525,000","6,849,000","5,697,000","5,278,000","7,858,000","7,348,000","-1,056,000","8,109,000","6,162,000","7,024,000","6,734,000","5,424,000","9,176,000","4,887,000","6,838,000"
GrossProfit,"1,353,824,000","350,895,000","334,697,000","335,902,000","332,330,000","329,447,000","310,630,000","231,298,000","209,663,000","191,217,000","184,949,000","177,566,000","182,879,000","195,775,000","155,132,000","156,893,000","165,123,000","151,683,000","135,572,000","132,355,000","142,884,000","102,279,000","85,998,000","83,043,000","55,724,000","45,110,000","40,604,000","36,979,000","37,017,000","42,846,000","26,343,000","23,503,000","23,979,000","23,654,000","21,996,000","16,003,000","21,739,000","20,460,000"
OperatingExpense,"275,987,000","75,356,000","66,866,000","72,962,000","60,803,000","86,019,000","77,130,000","49,025,000","31,321,000","42,220,000","39,443,000","36,474,000","37,766,000","46,658,000","33,781,000","32,598,000","32,937,000","30,934,000","32,661,000","30,959,000","30,132,000","18,426,000","21,611,000","21,503,000","15,483,000","13,696,000","13,011,000","12,833,000","10,880,000","18,843,000","12,046,000","7,504,000","7,587,000","6,869,000","7,989,000","7,271,000","6,643,000","7,967,000"
	SellingGeneralAndAdministration,"110,620,000","27,449,000","23,845,000","26,406,000","32,920,000","41,361,000","29,038,000","24,438,000","13,145,000","18,974,000","18,839,000","15,893,000","17,480,000","23,566,000","16,112,000","16,791,000","16,292,000","12,840,000","14,205,000","13,727,000","15,653,000","6,259,000","9,901,000","10,556,000","7,359,000","5,835,000","5,279,000","6,104,000","4,248,000","2,481,000","5,211,000","4,334,000","4,549,000","3,934,000","5,154,000","4,412,000","3,802,000","5,155,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,835,000","3,170,000","3,038,000","2,935,000","2,835,000","2,859,000","2,841,000","2,812,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,835,000","3,170,000","3,038,000","2,935,000","2,835,000","2,859,000","2,841,000","2,812,000"
OperatingIncome,"1,077,837,000","275,539,000","267,831,000","262,940,000","271,527,000","243,428,000","233,500,000","182,273,000","178,342,000","148,997,000","145,506,000","141,092,000","145,113,000","149,117,000","121,351,000","124,295,000","132,186,000","120,749,000","102,911,000","101,396,000","112,752,000","83,853,000","64,387,000","61,540,000","40,241,000","31,414,000","27,593,000","24,146,000","26,137,000","24,003,000","14,297,000","15,999,000","16,392,000","16,785,000","14,007,000","8,732,000","15,096,000","12,493,000"
NetNonOperatingInterestIncomeExpense,"-209,984,000","-56,988,000","-53,923,000","-49,717,000","-49,356,000","-45,354,000","-41,005,000","-20,683,000","-10,833,000","-10,167,000","-9,426,000","-8,662,000","-7,926,000","10,545,000","-7,662,000","-9,391,000","-10,258,000","-11,300,000","-11,264,000","-11,640,000","-11,457,000","-9,912,000","-8,660,000","-6,629,000","-5,655,000","-1,059,000","-196,000","-6,485,000","-4,204,000","-4,301,000","-2,901,000","-1,214,000","-1,539,000","-699,000","-1,759,000","-1,298,000","-1,294,000","-1,304,000"
