name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
TotalAssets,"19,363,315,000","16,556,270,000","13,606,422,000","12,865,744,000","11,832,132,000","9,936,885,000","8,620,155,000","5,882,243,000","6,606,138,000","5,235,904,000","4,170,842,000","4,358,151,000","2,417,143,000","1,774,252,000","185,220,000","158,977,000","152,449,000","128,609,000","99,621,000","93,319,000","69,413,000","68,017,000","72,932,000","69,572,000"
	TotalInvestments,"13,207,513,000","11,242,061,000","8,412,125,000","7,037,337,000","7,454,355,000","6,004,149,000","5,519,798,000","3,352,875,000","3,335,199,000","2,429,106,000","1,641,842,000","1,298,905,000",,,,,,,,,,,"71,702,000","64,391,000"
		FixedMaturityInvestments,,,,,"790,866,000","813,233,000","859,387,000",,,"0","1,152,330,000","586,716,000",,,,,,,,,,,,
		EquityInvestments,"3,830,662,000","1,716,888,000","1,390,225,000","1,262,164,000","293,679,000","241,111,000","213,860,000","251,121,000","2,732,666,000","1,679,151,000","182,445,000","224,390,000",,,,,,,,,,,,
		TradingAssets,"6,346,329,000","7,248,793,000","5,802,676,000","4,483,289,000","5,106,735,000","3,982,421,000","3,563,752,000","2,367,798,000",,,,,,,,,,,,,,,,
		LongTermEquityInvestment,"326,277,000","204,507,000",,,,,,,,"0","20,850,000","20,850,000",,,,,,,,,,,,
			InvestmentsInOtherVenturesUnderEquityMethod,"326,277,000","204,507,000",,,,,,,,"0","20,850,000","20,850,000",,,,,,,,,,,,
		OtherShortTermInvestments,"179,825,000","114,116,000","180,211,000","223,186,000","95,972,000","130,516,000","313,506,000","319,111,000","410,269,000","515,241,000","286,217,000","466,949,000",,,,,,,,,,,,
			ShortTermInvestmentsAvailableForSale,"128,335,000",,,"268,000","8,622,000",,"32,504,000",,,"7,263,000","127,007,000","466,949,000",,,,,,,,,,,,
			ShortTermInvestmentsHeldToMaturity,,,,,,,,,,"0","159,210,000",,,,,,,,,,,,,
			ShortTermInvestmentsTrading,"51,490,000","114,116,000","180,211,000","222,918,000","87,350,000","130,516,000","281,002,000","319,111,000","410,269,000","507,978,000",,,,,,,,,,,,,,
		OtherInvestedAssets,"2,524,420,000","1,957,757,000","1,039,013,000","1,068,698,000","1,167,103,000","836,868,000","569,293,000","414,845,000","192,264,000","234,714,000",,,,,,,,,,,,,"71,702,000","64,391,000"
	CashAndCashEquivalents,"703,085,000","602,096,000","955,150,000","954,871,000","821,925,000","963,402,000","643,841,000","654,890,000","850,474,000","799,154,000","1,266,445,000","1,866,546,000","995,237,000","450,817,000","54,032,000","81,675,000","55,767,000","55,375,000","73,366,000","75,252,000","64,265,000","66,250,000","700,000","4,749,000"
	RestrictedCashAndCashEquivalents,"352,692,000","380,488,000","257,686,000","363,774,000","511,339,000","534,974,000","397,657,000","299,965,000","373,191,000","656,200,000","433,660,000","343,327,000","168,096,000","62,746,000",,,,,,,,,,
	ReinsuranceRecoverable,,,,,,,,,"1,789,582,000","961,442,000","638,262,000","672,696,000",,,,,,,,,,,,
	Receivables,"3,405,725,000","2,817,131,000","2,446,732,000","1,867,419,000","1,855,416,000","1,850,891,000","1,595,263,000","1,172,552,000","87,741,000","52,738,000","37,042,000","37,269,000","498,514,000","433,205,000",,,"120,000",,,,,,,
		AccountsReceivable,"3,405,725,000","2,817,131,000","2,446,732,000","1,867,419,000","1,855,416,000","1,801,800,000","1,550,918,000","1,138,318,000","50,258,000","24,790,000","17,657,000","15,992,000","25,379,000","17,758,000",,,,,,,,,,
		AccruedInterestReceivable,,,,,,"37,581,000","38,864,000","22,932,000","26,924,000","19,980,000","16,108,000","21,277,000","7,200,000","7,305,000",,,,,,,,,,
		TaxesReceivable,,,,,,"11,510,000","5,481,000","11,302,000","10,559,000","7,968,000","3,277,000","0",,,,,,,,,,,,
		OtherReceivables,,,,,,,,,,,,,"465,935,000","408,142,000",,,,,,,,,,
	PrepaidAssets,,"198,990,000","245,101,000","219,115,000","121,427,000","114,197,000",,,,,,,,,,,,,,,,,,
	DeferredPolicyAcquisitionCosts,"153,505,000","121,101,000","64,984,000","58,114,000","89,123,000","61,706,000",,,,,,,,,,,,,,,,,,
	DeferredTaxAssets,"170,984,000","10,124,000","13,001,000","11,374,000","121,035,000","50,506,000","34,295,000",,,,,,,,,"0",,,,,,,,
	NetPPE,,,,,,,,,,,,,,,,,,,"65,000","68,000","58,000","36,000","46,000","31,000"
	GoodwillAndOtherIntangibleAssets,"216,468,000","218,725,000","180,589,000","184,855,000","191,304,000","201,150,000","150,070,000","21,222,000","21,222,000","21,222,000","21,222,000","21,222,000","21,222,000","21,222,000",,,,,,,,,,
		Goodwill,"114,807,000","114,807,000","73,071,000","73,071,000","73,071,000","73,071,000","60,070,000","21,222,000","21,222,000","21,222,000","21,222,000",,"21,222,000","21,222,000",,,,,,,,,,
		OtherIntangibleAssets,"101,661,000","103,918,000","107,518,000","111,784,000","118,233,000","128,079,000","90,000,000",,,,,"21,222,000",,,,,,,,,,,,
	AssetsOfDiscontinuedOperations,,,"24,351,000","1,244,456,000",,,,,,,,,,,,,,,,,,,,
	OtherAssets,"1,153,343,000","965,554,000","1,006,703,000","924,429,000","666,208,000","155,910,000","279,231,000","380,739,000","148,729,000","316,042,000","132,369,000","118,186,000","734,074,000","806,262,000","131,188,000","77,302,000","96,562,000","73,234,000","26,190,000","17,999,000","5,090,000","1,731,000","484,000","401,000"
TotalLiabilitiesNetMinorityInterest,"14,506,964,000","12,642,281,000","10,460,474,000","10,054,912,000","9,311,349,000","7,414,065,000","6,642,632,000","4,107,010,000","4,922,727,000","4,020,083,000","3,094,690,000","3,486,920,000","1,903,107,000","1,400,122,000","20,097,000","12,803,000","6,517,000","8,360,000","1,964,000","1,916,000","819,000","1,073,000","3,268,000","21,430,000"
	PolicyReservesBenefits,"11,176,013,000","10,357,202,000","8,098,492,000","6,648,305,000","7,567,617,000","6,198,911,000","5,563,703,000","3,661,154,000","4,282,916,000","3,291,275,000","2,479,136,000","2,798,287,000","1,591,449,000","1,214,419,000",,,,,,,,,,
		UnpaidLossAndLossReserve,,,,,,,,,"4,282,916,000","3,291,275,000","2,479,136,000","2,798,287,000","1,591,449,000","1,214,419,000",,,,,,,,,,
		UnearnedPremiums,"746,775,000","842,618,000","583,197,000","548,343,000","542,771,000","468,626,000","70,698,000",,,,,,,,,,,,,,,,,
		FuturePolicyBenefits,"10,429,238,000","9,514,584,000","7,515,295,000","6,099,962,000","7,024,846,000","5,730,285,000","5,493,005,000","3,661,154,000",,,,,,,,,,,,,,,,
	PayablesAndAccruedExpenses,"373,180,000","388,086,000","236,697,000","394,021,000","274,598,000","425,894,000","401,852,000","239,404,000","301,508,000","375,900,000","275,308,000","629,825,000","211,253,000","93,564,000","8,387,000","3,967,000","2,999,000","6,638,000","899,000","741,000","176,000","529,000","47,000","881,000"
		Payables,"373,180,000","388,086,000","236,697,000","394,021,000","274,598,000","299,173,000","304,749,000","166,146,000","301,508,000","375,900,000","275,308,000","629,825,000","211,253,000","93,564,000","6,062,000","1,342,000","2,999,000","6,638,000","856,000","741,000",,,,
			AccountsPayable,"373,180,000","388,086,000","236,697,000","394,021,000","274,598,000","276,723,000","281,028,000","143,123,000","208,540,000","231,435,000","162,576,000","179,917,000","211,253,000","29,191,000","595,000","358,000","437,000","1,043,000","813,000","551,000",,,,
			TotalTaxPayable,,,,,,"22,450,000","23,721,000","23,023,000","16,985,000","50,075,000","51,854,000","19,034,000","0","1,542,000","5,467,000","639,000","2,562,000","5,595,000","43,000","190,000",,,,
