name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalAssets,"3,873,425,000","3,149,971,000","2,674,368,000","1,882,998,000","1,469,099,000","1,181,461,000","853,970,000","283,332,000","210,066,000"
	TotalInvestments,"3,429,620,000","2,791,018,000","2,305,065,000","1,615,102,000","1,276,634,000","1,057,613,000","332,555,000","247,414,000","171,091,000"
		EquityInvestments,"3,035,385,000","2,605,666,000","1,992,371,000","1,482,754,000","1,190,638,000","846,925,000","318,476,000","240,317,000","156,631,000"
		OtherShortTermInvestments,"315,362,000","154,400,000","312,694,000","132,348,000","85,996,000","210,688,000","14,079,000","7,097,000","14,460,000"
			ShortTermInvestmentsAvailableForSale,"315,362,000","154,400,000","312,694,000","132,348,000","85,996,000","210,688,000","14,079,000","7,097,000","14,460,000"
		OtherInvestedAssets,"78,873,000","30,952,000",,,,,,,
	CashAndCashEquivalents,"71,350,000","64,946,000","43,524,000","27,531,000","24,606,000","24,411,000","477,655,000","22,315,000","18,501,000"
	Receivables,"40,655,000","36,881,000","29,752,000","21,632,000","16,637,000","15,810,000","10,006,000","4,894,000","1,594,000"
		AccountsReceivable,"39,084,000","36,127,000","29,027,000","21,265,000","16,034,000","13,210,000","9,488,000","4,271,000","1,192,000"
		OtherReceivables,"1,571,000","754,000","725,000","367,000","603,000","2,600,000","518,000","623,000","402,000"
		ReceivablesAdjustmentsAllowances,"0","0","0","0","0","0","0","0","0"
	AccruedInvestmentIncome,"18,535,000","17,627,000","12,807,000","9,488,000","7,768,000","5,748,000","1,978,000","1,291,000","827,000"
	PrepaidAssets,"261,885,000","202,385,000","252,157,000","181,272,000","119,412,000","59,673,000","8,000,000",,
	DeferredPolicyAcquisitionCosts,"15,705,000","16,049,000","15,354,000","13,400,000","11,529,000","9,597,000","6,173,000","2,203,000","419,000"
	DeferredTaxAssets,,,,,,"0","10,346,000",,
	NetPPE,"17,308,000","7,629,000","6,979,000","8,119,000","9,021,000","5,841,000","4,411,000","3,626,000","15,678,000"
	OtherAssets,"18,367,000","13,436,000","8,730,000","6,454,000","3,492,000","2,768,000","2,846,000","1,589,000","1,956,000"
TotalLiabilitiesNetMinorityInterest,"888,580,000","784,254,000","733,932,000","539,225,000","349,858,000","225,723,000","131,829,000","64,209,000","34,005,000"
	PolicyReservesBenefits,"348,249,000","344,931,000","306,522,000","247,758,000","218,805,000","165,375,000","106,469,000","42,069,000","9,752,000"
		UnpaidLossAndLossReserve,"64,624,000","46,066,000","43,635,000","26,210,000","16,540,000","7,849,000","2,859,000","1,429,000","57,000"
		UnearnedPremiums,"278,887,000","295,467,000","259,672,000","219,616,000","201,045,000","156,948,000","103,399,000","40,570,000","9,695,000"
		FuturePolicyBenefits,"4,738,000","3,398,000","3,215,000","1,932,000","1,220,000","578,000","211,000","70,000","0"
	PayablesAndAccruedExpenses,"66,474,000","43,017,000","51,183,000","48,880,000","43,089,000","23,256,000","20,411,000","12,299,000","9,550,000"
		Payables,,"2,041,000","14,999,000","14,999,000","14,996,000",,,,
			OtherPayable,,"2,041,000","14,999,000","14,999,000","14,996,000",,,,
		CurrentAccruedExpenses,"66,474,000","40,976,000","36,184,000","33,881,000","28,093,000","23,256,000","20,411,000","12,299,000","9,550,000"
	LongTermDebtAndCapitalLeaseObligation,"224,237,000","223,664,000","248,591,000","100,000,000",,,,,
		LongTermDebt,"224,237,000","223,664,000","248,591,000","100,000,000",,,,,
	NonCurrentDeferredLiabilities,"249,620,000","172,642,000","127,636,000","142,587,000","87,964,000","37,092,000",,,
		NonCurrentDeferredTaxesLiabilities,"249,620,000","172,642,000","127,636,000","142,587,000","87,964,000","37,092,000",,,
	OtherLiabilities,,,,,,,"4,949,000","9,841,000","14,703,000"
TotalEquityGrossMinorityInterest,"2,984,845,000","2,365,717,000","1,940,436,000","1,343,773,000","1,119,241,000","955,738,000","722,141,000","219,123,000","176,061,000"
	StockholdersEquity,"2,984,845,000","2,365,717,000","1,940,436,000","1,343,773,000","1,119,241,000","955,738,000","722,141,000","219,123,000","176,061,000"
		CapitalStock,"1,476,000","1,472,000","1,476,000","1,397,000","1,390,000","1,388,000","1,297,000","439,000","380,000"
			CommonStock,"1,476,000","1,472,000","1,476,000","1,397,000","1,390,000","1,388,000","1,297,000","439,000","380,000"
		AdditionalPaidInCapital,"1,118,655,000","1,110,800,000","1,127,137,000","918,296,000","904,221,000","893,285,000","754,390,000","347,924,000","291,080,000"
		RetainedEarnings,"1,808,527,000","1,282,438,000","815,075,000","436,335,000","213,729,000","56,398,000","-32,099,000","-97,512,000","-83,969,000"
		TreasuryStock,,,,,,,"0","34,142,000","33,226,000"
		GainsLossesNotAffectingRetainedEarnings,"56,187,000","-28,993,000","-3,252,000","-12,255,000","-99,000","4,667,000","-1,447,000","2,414,000","1,796,000"
TotalCapitalization,"3,209,082,000","2,589,381,000","2,189,027,000","1,443,773,000","1,119,241,000","955,738,000","722,141,000","219,123,000","176,061,000"
CommonStockEquity,"2,984,845,000","2,365,717,000","1,940,436,000","1,343,773,000","1,119,241,000","955,738,000","722,141,000","219,123,000","176,061,000"
NetTangibleAssets,"2,984,845,000","2,365,717,000","1,940,436,000","1,343,773,000","1,119,241,000","955,738,000","722,141,000","219,123,000","176,061,000"
InvestedCapital,"3,209,082,000","2,589,381,000","2,189,027,000","1,443,773,000","1,119,241,000","955,738,000","722,141,000","219,123,000","176,061,000"
TangibleBookValue,"2,984,845,000","2,365,717,000","1,940,436,000","1,343,773,000","1,119,241,000","955,738,000","722,141,000","219,123,000","176,061,000"
TotalDebt,"224,237,000","223,664,000","248,591,000","100,000,000",,,,,
NetDebt,"152,887,000","158,718,000","205,067,000","72,469,000",,,,,
ShareIssued,"98,394,000","98,139,000","98,434,000","93,105,000","92,650,000","92,546,000","86,491,000","83,538,156","83,538,156"
OrdinarySharesNumber,"98,394,000","98,139,000","98,434,000","93,105,000","92,650,000","92,546,000","86,491,000","83,538,156","83,538,156"
