name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
TotalRevenue,"3,999,000,000","899,000,000","1,104,000,000","975,000,000","1,021,000,000","864,000,000","631,759,000","538,029,000","526,273,000","480,195,000","399,194,000","301,253,000","269,434,000","235,230,000","185,012,000","142,131,000","112,483,000","87,481,000","114,323,000","111,946,000","119,063,000","101,401,000","131,583,000","139,127,000","127,004,000","98,004,000","75,908,000","57,791,000","45,394,000","28,909,000","26,606,000","16,598,000","16,030,000","16,004,507","14,171,262","10,971,000","11,454,827","12,074,812","8,311,575"
	OperatingRevenue,"3,987,000,000","897,000,000","1,102,000,000","972,000,000","1,016,000,000","861,000,000","628,612,000","534,348,000","522,920,000","478,154,000","389,937,000","300,931,000","268,851,000","233,628,000","185,012,000","142,131,000","112,483,000","87,481,000","114,323,000","111,946,000","119,063,000","101,401,000","131,583,000","139,127,000","127,004,000","98,004,000","75,908,000","57,791,000","45,394,000","28,909,000","26,606,000","16,598,000","16,030,000","16,004,507","14,171,262","10,971,000","11,454,827","12,074,812","8,311,575"
CostOfRevenue,"2,401,000,000","628,000,000","626,000,000","580,000,000","567,000,000","503,000,000","370,492,000","248,690,000","222,317,000","191,054,000","170,301,000","142,893,000","121,869,000","102,134,000","83,889,000","76,049,000","66,707,000","68,254,000","74,011,000","83,530,000","85,243,000","90,528,000","86,097,000","68,129,000","59,071,000","44,730,000","34,015,000","25,940,000","23,098,000","17,600,000","44,128,000","932,000","9,970,000","847,806","768,254","588,000","620,946","2,291,789","724,237"
GrossProfit,"1,598,000,000","271,000,000","478,000,000","395,000,000","454,000,000","361,000,000","261,267,000","289,339,000","303,956,000","289,141,000","228,893,000","158,360,000","147,565,000","133,096,000","101,123,000","66,082,000","45,776,000","19,227,000","40,312,000","28,416,000","33,820,000","10,873,000","45,486,000","70,998,000","67,933,000","53,274,000","41,893,000","31,851,000","22,296,000","11,309,000","-17,522,000","15,666,000","6,060,000","15,156,701","13,403,008","10,383,000","10,833,881","9,783,023","7,587,338"
OperatingExpense,"225,000,000","64,000,000","72,000,000","46,000,000","43,000,000","42,000,000","29,448,000","22,488,000","22,653,000","21,495,000","15,230,000","15,721,000","15,257,000","16,686,000","14,044,000","13,021,000","12,210,000","16,014,000","10,515,000","9,452,000","9,489,000","9,436,000","7,587,000","7,482,000","4,741,000","5,211,000","4,167,000","2,428,000","2,913,000","2,647,000","-19,951,000","11,624,000","1,753,000","8,558,049","8,668,147","7,571,000","6,746,694","6,428,392","7,454,364"
	SellingGeneralAndAdministration,"213,000,000","60,000,000","70,000,000","44,000,000","39,000,000","39,000,000","27,554,000","21,161,000","21,342,000","20,610,000","14,869,000","15,364,000","14,907,000","16,363,000","13,750,000","12,751,000","11,956,000","15,768,000","10,270,000","9,214,000","9,309,000","9,266,000","7,423,000","7,355,000","4,637,000","5,139,000","4,100,000","2,382,000","2,868,000","2,604,000","6,332,000","1,654,000","1,732,000","1,191,402","1,427,052","755,000","820,265","601,048","1,207,691"
		GeneralAndAdministrativeExpense,"213,000,000","60,000,000","70,000,000","44,000,000","39,000,000","39,000,000","27,554,000","21,161,000","21,342,000","20,610,000","14,869,000","15,364,000","14,907,000","16,363,000","13,750,000","12,751,000","11,956,000","15,768,000","10,270,000","9,214,000","9,309,000","9,266,000","7,423,000","7,355,000","4,637,000","5,139,000","4,100,000","2,382,000","2,868,000","2,604,000",,,"1,732,000",,,,,,
			RentAndLandingFees,,,"126,000,000","128,000,000","127,000,000","109,000,000","75,872,000","49,111,000","42,647,000","37,345,000","38,411,000","32,498,000","28,989,000","26,626,000","23,348,000","22,180,000","18,677,000","18,223,000","17,508,000","22,189,000","20,472,000","22,456,000","23,168,000","13,805,000","10,496,000","7,915,000","5,790,000","4,964,000","6,087,000","5,435,000",,,"3,529,000",,,,,,
			OtherGandA,"165,000,000","60,000,000","22,000,000","44,000,000","39,000,000","39,000,000","27,554,000","21,161,000","21,342,000","20,610,000","14,869,000","15,364,000","14,907,000","16,363,000","13,750,000","12,751,000","11,956,000","15,768,000","10,270,000","9,214,000","9,309,000","9,266,000","7,423,000","7,355,000","4,637,000","5,139,000","4,100,000","2,382,000","2,868,000","2,604,000",,,"1,732,000",,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,066,000",,"4,664,942","4,281,341","3,680,000","3,824,672","3,616,694","4,254,871"
	OtherOperatingExpenses,"12,000,000","4,000,000","2,000,000","2,000,000","4,000,000","3,000,000","1,894,000","1,327,000","1,311,000","885,000","361,000","357,000","350,000","323,000","294,000","270,000","254,000","246,000","245,000","238,000","180,000","170,000","164,000","127,000","104,000","72,000","67,000","46,000","45,000","43,000","-9,981,000","3,904,000","21,000","2,701,705","2,959,754","3,136,000","2,101,757","2,210,650","1,991,802"
OperatingIncome,"1,373,000,000","207,000,000","406,000,000","349,000,000","411,000,000","319,000,000","231,819,000","266,851,000","281,303,000","267,646,000","213,663,000","142,639,000","132,308,000","116,410,000","87,079,000","53,061,000","33,566,000","3,213,000","29,797,000","18,964,000","24,331,000","1,437,000","37,899,000","63,516,000","63,192,000","48,063,000","37,726,000","29,423,000","19,383,000","8,662,000","2,429,000","4,042,000","4,307,000","6,598,652","4,734,861","2,812,000","4,087,187","3,354,631","132,974"
NetNonOperatingInterestIncomeExpense,"-174,000,000","-48,000,000","-39,000,000","-38,000,000","-49,000,000","-46,000,000","-37,931,000","-18,548,000","-17,096,000","-13,701,000","-10,892,000","-9,192,000","-8,245,000","-12,225,000","-10,418,000","-10,234,000","-10,019,000","-10,013,000","-10,106,000","-10,633,000","-10,274,000","-10,497,000","-10,424,000","-9,846,000","-7,739,000","-6,505,000","-5,950,000","-1,088,000","-535,000","-485,000","-426,000","-1,129,000","-1,172,000","-880,159","-711,098","-716,000","-598,509","-491,556","-473,124"
