name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
TotalRevenue,"1,672,671,000","1,697,678,000","1,552,479,000","1,457,070,000","1,337,001,000","1,349,063,000","1,050,523,000","1,003,789,000","1,105,219,000","1,184,916,000","1,044,457,000","815,681,000","811,890,000","775,812,000","750,859,000","711,135,000","638,247,000","605,876,000","603,540,000","584,472,000","567,532,000","517,600,000","473,500,000","419,600,000","389,200,000","338,500,000","311,200,000","312,600,000","294,100,000","246,500,000","211,800,000"
	NetInterestIncome,"1,329,297,000","1,311,369,000","1,208,900,000","1,059,896,000","944,675,000","924,905,000","710,097,000","740,186,000","914,688,000","870,967,000","774,243,000","510,515,000","499,771,000","480,342,000","471,515,000","447,783,000","387,291,000","361,940,000","382,151,000","368,917,000","365,342,000","352,300,000","327,400,000","304,300,000","285,900,000","246,400,000","227,900,000","226,900,000","219,800,000","176,200,000","153,000,000"
		InterestIncome,"1,436,646,000","1,404,011,000","1,245,757,000","1,103,690,000","987,757,000","969,209,000","760,448,000","796,804,000","1,004,836,000","1,015,159,000","969,368,000","738,159,000","814,716,000","904,056,000","825,252,000","665,934,000","521,117,000","510,477,000","596,169,000","715,427,000","708,170,000","633,900,000","619,500,000","572,300,000","534,200,000","471,100,000","376,000,000","364,900,000","390,400,000","421,900,000","361,900,000"
			InterestIncomeFromLoansAndLease,"1,251,932,000","1,217,306,000","1,073,051,000","955,637,000","876,472,000","874,892,000","700,525,000","757,197,000","967,601,000","967,737,000","914,545,000","659,537,000","681,849,000","727,581,000","678,349,000","570,778,000","466,312,000","444,639,000","490,526,000","566,592,000","584,475,000","510,300,000","478,500,000","429,000,000","410,700,000","380,700,000","301,000,000","271,800,000","275,600,000","290,300,000","266,400,000"
				InterestIncomeFromLoans,,,,,,,,,,,,,"681,849,000","727,581,000","678,349,000","570,778,000","466,312,000","444,639,000","490,526,000","566,592,000","584,475,000","510,300,000","478,500,000","429,000,000","410,700,000","380,700,000","301,000,000","271,800,000","275,600,000","290,300,000","266,400,000"
			InterestIncomeFromSecurities,"184,714,000","186,705,000","172,706,000","148,053,000","111,285,000","94,317,000","59,923,000","39,607,000","37,235,000","47,422,000","54,823,000","77,891,000","124,112,000","144,306,000","116,000,000","75,948,000","48,927,000","60,879,000","96,670,000","120,159,000","97,566,000","107,100,000","134,200,000","400,000","200,000","200,000","71,700,000","100,000","112,500,000","126,100,000","90,100,000"
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,"8,755,000","32,169,000","30,903,000","19,208,000",,,"8,973,000","28,676,000","26,129,000","16,500,000","6,700,000","142,900,000","123,300,000","90,200,000","3,300,000","93,000,000","2,300,000","5,400,000","5,300,000"
			OtherInterestIncome,,,,,,,,,,,,"731,000",,,,,"5,878,000","4,959,000",,,,,"100,000",,,,,,,"100,000","100,000"
		InterestExpense,"107,349,000","92,642,000","36,857,000","43,794,000","43,082,000","44,304,000","50,351,000","56,618,000","90,148,000","144,192,000","195,125,000","227,644,000","314,945,000","423,714,000","353,737,000","218,151,000","133,826,000","148,537,000","214,018,000","346,510,000","342,828,000","281,600,000","292,100,000","268,000,000","248,300,000","224,700,000","148,100,000","138,000,000","170,600,000","245,700,000","208,900,000"
			InterestExpenseForDeposit,"87,522,000","76,254,000","22,483,000","16,196,000","18,169,000","21,230,000","24,786,000","34,495,000","57,568,000","101,888,000","149,195,000","183,759,000","263,538,000","341,236,000","280,178,000","176,631,000","108,439,000","124,789,000","187,906,000","310,752,000","298,956,000","244,900,000","255,500,000","243,700,000","230,900,000","207,200,000","137,300,000","130,400,000","162,300,000","232,000,000","190,900,000"
			InterestExpenseForShortTermDebt,,,"3,657,000","4,838,000","1,965,000","4,660,000","9,177,000","2,724,000","5,107,000","5,993,000","5,189,000","4,882,000","17,502,000","55,126,000","41,431,000","14,966,000","3,611,000","2,795,000","4,528,000","20,643,000","31,219,000","23,900,000","25,900,000","23,400,000","16,400,000","15,800,000","8,300,000","6,100,000","7,200,000","11,300,000","15,500,000"
			InterestExpenseForLongTermDebtAndCapitalSecurities,"17,849,000","14,393,000","10,717,000","22,760,000","22,948,000","18,414,000","16,388,000","19,399,000","27,473,000","36,311,000","40,741,000","39,003,000","33,905,000","27,352,000","32,128,000","26,554,000","21,776,000","20,953,000","21,584,000","15,115,000","12,653,000","12,700,000","10,700,000","800,000","1,000,000","1,700,000","2,500,000","1,500,000","1,100,000","2,300,000","2,400,000"
			InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"1,978,000","1,995,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInterestExpense,,,,,,,,,,,,,,,,,,,,,,"100,000",,"100,000",,,,,,"100,000","100,000"
	NonInterestIncome,"343,374,000","386,309,000","343,579,000","397,174,000","392,326,000","424,158,000","340,426,000","263,603,000","190,531,000","313,949,000","270,214,000","305,166,000","312,119,000","295,470,000","279,344,000","263,352,000","250,956,000","243,936,000","221,389,000","215,555,000","202,190,000","165,300,000","146,100,000","115,300,000","103,300,000","92,100,000","83,300,000","85,700,000","74,300,000","70,300,000","58,800,000"
		TotalPremiumsEarned,,,,,,,,,,,,,,,"-659,000",,,,,,,,,,,,,,,,
		FeesAndCommissions,"343,438,000","340,138,000","331,138,000","351,317,000","324,649,000","395,991,000","314,204,000","289,975,000","289,848,000","310,104,000","307,637,000","298,359,000","296,587,000","286,301,000","232,746,000","221,210,000","135,967,000","128,331,000","183,032,000","170,479,000","148,512,000","139,800,000","121,400,000","100,800,000","90,700,000","83,600,000","75,900,000","69,700,000","65,800,000","49,400,000","39,300,000"
			FeesandCommissionIncome,"376,273,000","369,690,000","361,155,000","460,427,000","414,563,000","395,991,000","314,204,000","289,975,000","289,848,000","310,104,000","307,637,000","298,359,000","296,587,000","286,301,000","232,746,000","221,210,000","135,967,000","128,331,000","183,032,000","170,479,000","148,512,000","139,800,000","121,400,000","100,800,000","90,700,000","83,600,000","75,900,000","69,700,000","65,800,000","49,400,000","39,300,000"
				ServiceChargeOnDepositorAccounts,"262,414,000","257,639,000","250,487,000","361,243,000","323,192,000","301,369,000","236,960,000","219,653,000","222,638,000","63,775,000","73,762,000","78,028,000","82,349,000","77,827,000","72,561,000","77,376,000","81,478,000","78,273,000","75,870,000","70,066,000","59,384,000","55,200,000","47,100,000","41,700,000","40,700,000","39,900,000","38,600,000","43,300,000","42,100,000","38,500,000","31,500,000"
				TrustFeesbyCommissions,"100,652,000","99,241,000","97,966,000","86,719,000","80,221,000","82,865,000","66,115,000","59,628,000","57,236,000","54,974,000","51,378,000","46,071,000","48,198,000","49,305,000","21,586,000","18,588,000","16,913,000","15,005,000","14,897,000","15,114,000","14,814,000","13,800,000","12,700,000","11,300,000","10,000,000","8,900,000","8,200,000","7,200,000","6,100,000","4,900,000","4,200,000"
				CreditCard,,,,,,,,,,"110,822,000","107,575,000","95,376,000",,,,,,,,,,,,,,,,,,,
				OtherCustomerServices,"13,207,000","12,810,000","12,702,000","12,465,000","11,150,000","11,757,000","11,129,000","10,694,000","9,974,000","80,533,000","74,922,000","78,884,000","166,040,000","159,169,000","138,599,000","125,246,000","37,576,000","35,053,000","92,265,000","85,299,000","74,314,000","70,800,000","61,600,000","47,800,000","40,000,000","34,800,000","29,100,000","19,200,000","17,600,000","6,000,000","3,600,000"
			FeesandCommissionExpense,"32,835,000","29,552,000","30,017,000","109,110,000","89,914,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		GainLossonSaleofAssets,"-15,201,000","27,740,000","-7,259,000","4,293,000","26,673,000","10,817,000","29,096,000","0","2,277,000","-288,000","1,952,000","-511,000","8,128,000","1,376,000",,"-492,000","2,278,000","6,019,000","-1,081,000","7,489,000","5,895,000","6,800,000",,,,,,,"2,400,000",,
			GainOnSaleOfSecurity,"-15,201,000","27,740,000","-7,259,000","4,293,000","26,673,000","10,817,000","29,096,000","0","2,277,000","-288,000",,,"8,128,000","1,376,000",,"-492,000","1,852,000","309,000","-1,081,000","7,189,000","1,810,000","1,700,000",,,,,,,"2,400,000",,
			GainonSaleofInvestmentProperty,,,,,,,,,,,"1,952,000","-511,000",,,,,"426,000","5,710,000",,"300,000","4,085,000","5,100,000",,,,,,,,,
		OtherNonInterestIncome,"15,137,000","18,431,000","19,700,000","41,564,000","41,004,000","17,350,000","-2,874,000","-26,372,000","-101,594,000","4,133,000","-39,375,000","7,318,000","7,404,000","7,793,000","47,257,000","42,634,000","112,711,000","109,586,000","39,438,000","37,587,000","47,783,000","18,700,000","24,700,000","14,500,000","12,600,000","8,500,000","7,400,000","16,000,000","6,100,000","20,900,000","19,500,000"
CreditLossesProvision,"-48,046,000","-31,441,000","-28,468,000","-25,692,000","-32,941,000","-20,664,000","-640,000","32,255,000","-142,885,000","-232,277,000","-143,519,000","-79,364,000","-65,805,000","-33,594,000","-20,906,000","-33,109,000","-34,473,000","-24,187,000","-26,550,000","-24,134,000","-15,488,000","-11,700,000","-19,900,000","-8,700,000","-8,900,000","-5,400,000","-2,800,000","-15,200,000","-17,500,000","-15,600,000","-9,600,000"
NonInterestExpense,"1,083,541,000","1,057,023,000","1,040,492,000","1,013,410,000","953,483,000","1,024,741,000","833,225,000","771,380,000","768,164,000","792,925,000","733,376,000","657,652,000","606,481,000","574,664,000","534,007,000","499,356,000","479,579,000","465,088,000","433,447,000","422,597,000","394,784,000","375,600,000","342,900,000","300,800,000","278,700,000","245,900,000","230,600,000","213,200,000","199,200,000","187,600,000","159,900,000"
	OccupancyAndEquipment,"224,298,000","223,469,000","212,078,000","202,168,000","195,110,000","190,830,000","165,859,000","151,263,000","149,620,000","144,783,000","139,660,000","126,576,000","118,554,000","113,326,000","104,643,000","97,203,000","43,997,000","42,430,000","82,074,000","76,445,000","71,988,000","67,800,000","64,700,000","55,400,000","49,100,000","44,900,000","42,500,000","38,200,000","35,500,000","34,100,000","27,000,000"
		NetOccupancyExpense,"110,898,000","111,179,000","109,169,000","104,690,000","102,609,000","98,191,000","86,775,000","75,718,000","74,798,000","74,832,000","72,766,000","66,266,000",,,,,,,,,,,,,,,,,,,
		Equipment,"113,400,000","112,290,000","102,909,000","97,478,000","92,501,000","92,639,000","79,084,000","75,545,000","74,822,000","69,951,000","66,894,000","60,310,000",,,,,,,,,,,,,,,,,,,
	ProfessionalExpenseAndContractServicesExpense,,"12,801,000",,,,,,,,"6,306,000",,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"722,721,000","703,105,000","664,784,000","610,636,000","553,836,000","561,391,000","442,156,000","409,595,000","396,848,000","524,493,000","385,797,000","358,076,000","326,247,000","304,103,000","289,043,000","267,021,000","255,712,000","245,661,000","230,049,000","216,915,000","200,914,000","190,900,000","169,500,000","150,200,000","135,900,000","123,700,000","113,800,000","106,100,000","98,000,000","93,500,000","84,000,000"
		GeneralAndAdministrativeExpense,"711,284,000","691,668,000","664,784,000","610,636,000","553,836,000","561,391,000","442,156,000","409,595,000","396,848,000","516,536,000","385,797,000","358,076,000","318,149,000","296,604,000","281,831,000","267,021,000","255,712,000","245,661,000","230,049,000","216,915,000","200,914,000","190,900,000","169,500,000","150,200,000","135,900,000","123,700,000","113,800,000","106,100,000","98,000,000","93,500,000","84,000,000"
			SalariesAndWages,"690,423,000","671,613,000","645,894,000","588,445,000","532,869,000","543,051,000","429,177,000","399,420,000","386,192,000","380,614,000","362,630,000","328,732,000","318,149,000","296,604,000","281,831,000","267,021,000","255,712,000","245,661,000","230,049,000","216,915,000","200,914,000","190,900,000","169,500,000","150,200,000","135,900,000","123,700,000","113,800,000","106,100,000","98,000,000","93,500,000","84,000,000"
			InsuranceAndClaims,"11,470,000","10,664,000","18,890,000","22,191,000","20,967,000","18,340,000","12,979,000","10,175,000","10,656,000","16,459,000","23,167,000","29,344,000",,,,,,,,,,,,,,,,,,,
			OtherGandA,,"9,391,000",,,,,,,,"119,463,000",,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,"11,437,000",,,,,,,,"7,957,000",,,"8,098,000","7,499,000","7,212,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,"16,346,000",,,,,,,,"4,386,000",,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,"16,346,000",,,,,,,,"4,386,000",,,,,,,,,,,,,,,,,,,,,
			Amortization,,"16,346,000",,,,,,,,"4,386,000",,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,"16,346,000",,,,,,,,"4,386,000",,,,,,,,,,,,,,,,,,,,,
	OtherNonInterestExpense,"107,375,000","101,302,000","163,630,000","200,606,000","204,537,000","272,520,000","225,210,000","210,522,000","221,696,000","112,957,000","207,919,000","173,000,000","161,680,000","157,235,000","140,321,000","135,132,000","179,870,000","176,997,000","121,324,000","129,237,000","121,882,000","116,900,000","108,700,000","95,200,000","93,700,000","77,300,000","74,300,000","68,900,000","65,700,000","60,000,000","48,900,000"
SpecialIncomeCharges,"-19,679,000","-17,166,000","20,091,000","125,730,000","490,000","28,756,000","-13,064,000","0","0","150,417,000","136,000,000","104,434,000",,,,,,,,,,,,,,,,,,,
	GainOnSaleOfBusiness,,,,,,,,,,"150,417,000","136,000,000","104,434,000",,,,,,,,,,,,,,,,,,,
	RestructuringAndMergernAcquisition,"19,679,000","17,166,000","6,462,000","-125,730,000","-490,000","-28,756,000","13,064,000","0","0",,,,,,,,,,,,,,,,,,,,,,
	LossonExtinguishmentofDebt,,"0","-26,553,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherNonOperatingIncomeExpenses,,,,,,,,,,"-150,417,000","-136,000,000","-104,434,000",,,,,,,,,,,,,,,,,,,
PretaxIncome,"521,405,000","592,048,000","503,610,000","543,698,000","351,067,000","332,414,000","203,594,000","264,664,000","194,170,000","310,131,000","303,562,000","183,099,000","139,604,000","167,554,000","195,946,000","178,670,000","124,195,000","116,601,000","143,543,000","137,741,000","157,260,000","130,400,000","110,700,000","110,100,000","101,700,000","87,300,000","77,900,000","84,200,000","77,500,000","43,200,000","42,200,000"
TaxProvision,"118,224,000","134,677,000","103,297,000","219,946,000","125,585,000","122,028,000","65,032,000","96,965,000","59,822,000","115,103,000","110,518,000","66,768,000","48,546,000","58,937,000","69,455,000","65,808,000","49,352,000","41,414,000","50,787,000","50,805,000","58,949,000","48,600,000","39,700,000","39,500,000","36,200,000","30,400,000","26,900,000","28,600,000","25,700,000","14,000,000","13,800,000"
