name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
TotalRevenue,"1,226,000,000","2,113,000,000","711,000,000",,
	TotalPremiumsEarned,"34,000,000","40,000,000","54,000,000",,
	NetInvestmentIncome,"1,047,000,000","1,704,000,000","788,000,000",,
	NetRealizedGainLossOnInvestments,"0","199,000,000","-310,000,000",,
	FeeRevenueAndOtherIncome,"145,000,000","170,000,000","179,000,000",,
		FeesAndCommissions,"145,000,000","170,000,000","179,000,000",,
		OtherIncomeExpense,,,"68,000,000",,
TotalExpenses,"1,175,000,000","1,545,000,000","682,000,000",,
	LossAdjustmentExpense,"759,000,000","1,057,000,000","423,000,000",,
		NetPolicyholderBenefitsAndClaims,"759,000,000","1,057,000,000","423,000,000",,
			PolicyholderBenefitsGross,"881,000,000","1,258,000,000",,,
			PolicyholderBenefitsCeded,"204,000,000","201,000,000",,,
	PolicyAcquisitionExpense,"180,000,000","170,000,000","181,000,000",,
	SellingGeneralAndAdministration,"202,000,000","160,000,000","150,000,000",,
		GeneralAndAdministrativeExpense,"202,000,000","160,000,000","150,000,000",,
			OtherGandA,"202,000,000","160,000,000","150,000,000",,
	DepreciationAndAmortizationInIncomeStatement,"158,000,000","126,000,000","49,000,000",,
		Amortization,"158,000,000","126,000,000","49,000,000",,
	NetNonOperatingInterestIncomeExpense,"-32,000,000","-32,000,000","-29,000,000",,
		InterestExpenseNonOperating,"32,000,000","32,000,000","29,000,000",,
	SpecialIncomeCharges,,"0",,,
	OtherOperatingExpenses,,,"290,000,000",,
PretaxIncome,"51,000,000","568,000,000","29,000,000",,
TaxProvision,"53,000,000","61,000,000","16,000,000",,
NetIncomeCommonStockholders,"-33,000,000","476,000,000","-16,000,000",,
	NetIncome,"-2,000,000","507,000,000","13,000,000",,
		NetIncomeIncludingNoncontrollingInterests,"-2,000,000","507,000,000","13,000,000",,
			NetIncomeContinuousOperations,"-2,000,000","507,000,000","13,000,000",,
	PreferredStockDividends,"31,000,000","31,000,000","29,000,000",,
DilutedNIAvailtoComStockholders,"-33,000,000","476,000,000","-16,000,000",,
BasicEPS,,,"-0.07","0","0"
DilutedEPS,,,"-0.07","0","0"
BasicAverageShares,,,"216,020,000","214,370,000",
DilutedAverageShares,,,"216,020,000","214,370,000",
NetIncomeFromContinuingAndDiscontinuedOperation,"-2,000,000","507,000,000","13,000,000",,
NormalizedIncome,"-2,000,000","507,000,000","13,000,000",,
EBIT,"83,000,000","600,000,000","58,000,000",,
ReconciledDepreciation,"45,000,000","39,000,000","43,000,000",,
NetIncomeFromContinuingOperationNetMinorityInterest,"-2,000,000","507,000,000","13,000,000",,
TotalUnusualItemsExcludingGoodwill,,"0",,,
TotalUnusualItems,,"0",,,
TaxRateForCalcs,"0.27","0.11","0.27",,
TaxEffectOfUnusualItems,"0","0","0",,
InterestExpense,"32,000,000","32,000,000","29,000,000",,
