name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,02/29/2016
TotalAssets,"34,737,000,000","36,714,000,000","36,117,000,000","35,098,000,000","32,446,000,000","30,945,000,000","30,960,000,000","30,030,000,000","29,665,000,000","29,929,000,000","699,667,680","692,571,878","692,252,165","691,999,565","691,683,205","691,396,993","582,504","110,000"
	CurrentAssets,,,,,,,,,,,"5,865,619","215,608","900,007","1,112,538","1,231,367","1,372,308","0","0"
		CashCashEquivalentsAndShortTermInvestments,"21,916,000,000","969,000,000","24,897,000,000","24,134,000,000","22,962,000,000","571,000,000","959,000,000","1,710,000,000","22,523,000,000","1,240,000,000","479,025","134,748","805,053","1,016,157","1,141,908","1,335,633","0","0"
			CashAndCashEquivalents,"776,000,000","969,000,000","990,000,000","772,000,000","1,357,000,000","571,000,000","944,000,000","1,710,000,000","1,157,000,000","1,215,000,000","479,025","134,748","805,053","1,016,157","1,141,908","1,335,633","0","0"
				CashFinancial,,,,,,,,,,,,,,,,,"0","0"
			OtherShortTermInvestments,"21,140,000,000","23,726,000,000","23,907,000,000","23,362,000,000","21,605,000,000","0","15,000,000",,"21,366,000,000","25,000,000",,,,,,,,
		Receivables,"3,186,000,000","3,213,000,000","3,250,000,000","3,264,000,000","3,113,000,000","3,190,000,000","2,460,000,000","2,476,000,000","2,495,000,000","2,494,000,000",,,,,,,,
			AccountsReceivable,"3,186,000,000","3,213,000,000","3,250,000,000","3,264,000,000","3,113,000,000","3,190,000,000","2,460,000,000","2,476,000,000","2,495,000,000","2,494,000,000",,,,,,,,
		PrepaidAssets,,,,,,,,,,,"5,386,594","80,860","94,954","96,381","89,459","36,675",,
	TotalNonCurrentAssets,,,,,,,,,,,"693,802,061","692,356,270","691,352,158","690,887,027","690,451,838","690,024,685","582,504","110,000"
		GoodwillAndOtherIntangibleAssets,"2,496,000,000","1,922,000,000","1,864,000,000","1,888,000,000","1,888,000,000","1,826,000,000","1,672,000,000","1,560,000,000","1,430,000,000","1,332,000,000",,,,,,,,
			Goodwill,"467,000,000","467,000,000","467,000,000","467,000,000","467,000,000","467,000,000","467,000,000","476,000,000","476,000,000","476,000,000",,,,,,,,
			OtherIntangibleAssets,"2,029,000,000","1,455,000,000","1,397,000,000","1,421,000,000","1,421,000,000","1,359,000,000","1,205,000,000","1,084,000,000","954,000,000","856,000,000",,,,,,,,
		InvestmentsAndAdvances,"22,055,000,000","24,797,000,000","25,004,000,000","24,506,000,000","22,776,000,000","22,491,000,000","22,876,000,000","21,670,000,000","22,135,000,000","22,376,000,000","693,802,061","692,356,270","691,352,158","690,887,027","690,451,838",,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,"582,504","110,000"
		OtherNonCurrentAssets,,,,,,,,,,,,,,,,"690,024,685",,
TotalLiabilitiesNetMinorityInterest,"34,265,000,000","33,971,000,000","33,542,000,000","32,838,000,000","30,695,000,000","30,055,000,000","29,486,000,000","28,692,000,000","28,023,000,000","27,977,000,000","71,292,724","64,814,277","46,527,012","46,333,132","46,256,943","46,108,360","643,775","90,000"
	CurrentLiabilities,,,,,,,,,,,"26,742,724","20,264,277","822,784","787,498","880,387","849,882","643,775","90,000"
		PayablesAndAccruedExpenses,,,,,,,,,,,"26,742,724","20,264,277","822,784","787,498","880,387","849,882","643,775","90,000"
			Payables,,,,,,,,,,,"21,430,224","20,264,277","822,784","787,498","880,387","849,882",,"90,000"
				AccountsPayable,,,,,,,,,,,"20,294,491","19,908,544","497,051","491,765","614,654","614,149",,"90,000"
				DuetoRelatedPartiesCurrent,,,,,,,,,,,"1,135,733","355,733","325,733","295,733","265,733","235,733",,
				OtherPayable,,,,,,,,,,,,,,,"614,654","614,149",,
			CurrentAccruedExpenses,,,,,,,,,,,"5,312,500",,,,,,"643,775",
	TotalNonCurrentLiabilitiesNetMinorityInterest,,,,,,,,,,,"44,550,000","44,550,000","45,704,228","45,545,634","45,376,556","45,258,478","0","0"
		LongTermDebtAndCapitalLeaseObligation,"543,000,000","542,000,000","557,000,000","542,000,000","541,000,000","541,000,000","540,000,000","540,000,000","442,000,000","412,000,000",,,,,,,,
			LongTermDebt,"543,000,000","542,000,000","557,000,000","542,000,000","541,000,000","541,000,000","540,000,000","540,000,000","442,000,000","412,000,000",,,,,,,,
		NonCurrentDeferredLiabilities,,,,,,,,,,,"44,550,000","44,550,000","44,550,000","44,550,000","44,550,000","44,550,000",,
		NonCurrentAccruedExpenses,,,,,,,,,,,"0","0","1,154,228","995,634","826,556","708,478",,
		PreferredSecuritiesOutsideStockEquity,,,,,,,,,,,"623,374,950","622,757,600","640,725,150","640,666,430","640,426,260","640,288,630",,
		OtherNonCurrentLiabilities,,,,,,,,,,,"623,374,950","622,757,600","640,725,150","640,666,430","641,252,816","640,997,108",,
TotalEquityGrossMinorityInterest,"472,000,000","2,743,000,000","2,575,000,000","2,260,000,000","1,751,000,000","890,000,000","1,474,000,000","1,338,000,000","1,642,000,000","1,952,000,000","628,374,956","627,757,601","645,725,153","645,666,433","645,426,262","645,288,633","-61,271","20,000"
	StockholdersEquity,"472,000,000","2,743,000,000","2,575,000,000","2,260,000,000","1,751,000,000","890,000,000","1,474,000,000","1,338,000,000","1,642,000,000","1,952,000,000","628,374,956","627,757,601","645,725,153","645,666,433","645,426,262","645,288,633","-61,271","20,000"
		CapitalStock,"0","0","0","0","0","0","0","0","0","0","623,377,116","622,759,773","640,727,143","640,668,423","640,428,256","640,290,627","1,500","1,500"
			PreferredStock,"0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0"
			CommonStock,"0","0","0","0","0","0","0","0","0","0","623,377,116","622,759,773","640,727,143","640,668,423","640,428,256","640,290,627","1,500","1,500"
