name,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011
TotalAssets,"1,958,661,000","952,264,000","695,708,000","500,536,000","393,294,000","294,862,000","232,054,000","189,660,000","134,527,000","76,582,000"
	CurrentAssets,"665,713,000","642,257,000","479,362,000","339,789,000","264,745,000","207,580,000","160,899,000","129,676,000","92,249,000","45,942,000"
		CashCashEquivalentsAndShortTermInvestments,"261,719,000","337,160,000","244,627,000","153,879,000","99,416,000","63,186,000","50,184,000","56,081,000","41,293,000","12,153,000"
			CashAndCashEquivalents,"202,490,000","251,748,000","112,669,000","76,088,000","53,081,000","63,186,000","50,184,000","56,081,000","41,293,000","12,153,000"
				CashFinancial,"2,390,000","36,048,000",,,,,,,,
				CashEquivalents,"200,100,000","215,700,000",,,,,,,,
			OtherShortTermInvestments,"59,229,000","85,412,000","131,958,000","77,791,000","46,335,000",,,,,
		Receivables,,,,,,,,,"0","20,000"
			TaxesReceivable,,,,,,,,,"0","20,000"
		Inventory,"324,028,000","243,636,000","187,037,000","154,448,000","148,370,000","115,652,000","89,377,000","60,831,000","38,790,000","26,754,000"
		PrepaidAssets,"21,263,000","27,437,000","47,698,000","31,462,000","16,959,000","20,119,000","16,752,000","11,469,000","7,303,000","4,116,000"
		CurrentDeferredAssets,,,,,,"8,623,000","4,586,000","1,295,000","4,863,000","2,899,000"
			CurrentDeferredTaxesAssets,,,,,,"8,623,000","4,586,000","1,295,000","4,863,000","2,899,000"
		OtherCurrentAssets,"58,703,000","34,024,000",,,,,,,,
	TotalNonCurrentAssets,"1,292,948,000","310,007,000","216,346,000","160,747,000","128,549,000","87,282,000","71,155,000","59,984,000","42,278,000","30,640,000"
		NetPPE,"1,282,074,000","301,297,000","180,349,000","138,376,000","119,784,000","86,998,000","70,381,000","59,040,000","42,040,000","29,743,000"
			GrossPPE,"1,497,145,000","469,885,000","308,028,000","238,576,000","194,179,000","146,383,000","114,378,000","90,570,000","64,744,000","46,204,000"
				Properties,"0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"14,773,000","7,150,000",,,,,,,,
				MachineryFurnitureEquipment,"320,143,000","214,993,000","159,317,000","132,650,000","109,776,000","74,950,000","60,015,000","42,221,000","30,831,000","21,115,000"
				OtherProperties,"842,988,000",,,,,,,,,
