name,ttm,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010
TotalRevenue,"1,846,730,000","1,846,730,000","1,559,563,000","1,278,208,000","1,000,410,000","831,954,000","680,218,000","535,402,000","418,825,000","297,113,000","197,189,000","125,135,000"
	OperatingRevenue,"1,846,730,000","1,846,730,000","1,559,563,000","1,278,208,000","1,000,410,000","831,954,000","680,218,000","535,402,000","418,825,000","297,113,000","197,189,000","125,135,000"
CostOfRevenue,"1,172,764,000","1,172,764,000","994,478,000","814,795,000","643,373,000","540,020,000","442,427,000","347,386,000","268,989,000","192,252,000","131,046,000","85,040,000"
GrossProfit,"673,966,000","673,966,000","565,085,000","463,413,000","357,037,000","291,934,000","237,791,000","188,016,000","149,836,000","104,861,000","66,143,000","40,095,000"
OperatingExpense,"456,682,000","456,682,000","377,901,000","306,022,000","243,075,000","198,993,000","160,775,000","134,279,000","112,182,000","78,640,000","54,339,000","33,217,000"
	SellingGeneralAndAdministration,"456,682,000","456,682,000","377,901,000","306,022,000","243,075,000","198,993,000","160,775,000","134,279,000","112,182,000","78,640,000","54,339,000","33,217,000"
OperatingIncome,"217,284,000","217,284,000","187,184,000","157,391,000","113,962,000","92,941,000","77,016,000","53,737,000","37,654,000","26,221,000","11,804,000","6,878,000"
NetNonOperatingInterestIncomeExpense,"4,285,000","4,285,000","4,623,000","1,458,000","299,000","40,000","-125,000","-1,513,000","-2,374,000","16,000","-28,000","-73,000"
	TotalOtherFinanceCost,"-4,285,000","-4,285,000","-4,623,000","-1,458,000","-299,000","-40,000","125,000","1,513,000","2,374,000","-16,000","28,000","73,000"
OtherIncomeExpense,,,,,,"-325,000","-232,000","-266,000","-1,186,000",,,
	SpecialIncomeCharges,,,,,"0",,"-244,000","-266,000","-1,594,000",,"0",
		OtherSpecialCharges,,,,,,,"244,000","266,000","1,594,000",,,
	OtherNonOperatingIncomeExpenses,,,,,,"-325,000","12,000",,"408,000",,,
PretaxIncome,"221,569,000","221,569,000","191,807,000","158,849,000","114,261,000","92,656,000","76,659,000","51,958,000","34,094,000","26,237,000","11,776,000","6,805,000"
TaxProvision,"46,513,000","46,513,000","42,162,000","56,398,000","42,421,000","34,976,000","28,635,000","19,816,000","14,069,000","10,159,000","4,753,000","-4,853,000"
NetIncomeCommonStockholders,"175,056,000","175,056,000","149,645,000","102,451,000","71,840,000","57,680,000","48,004,000","31,677,000","-45,378,000","14,159,000","-813,000","4,043,000"
	NetIncome,"175,056,000","175,056,000","149,645,000","102,451,000","71,840,000","57,680,000","48,024,000","32,142,000","20,025,000","16,078,000","7,023,000","11,658,000"
		NetIncomeIncludingNoncontrollingInterests,"175,056,000","175,056,000","149,645,000","102,451,000","71,840,000","57,680,000","48,024,000","32,142,000","20,025,000","16,078,000","7,023,000","11,658,000"
			NetIncomeContinuousOperations,"175,056,000","175,056,000","149,645,000","102,451,000","71,840,000","57,680,000","48,024,000","32,142,000","20,025,000","16,078,000","7,023,000","11,658,000"
	PreferredStockDividends,,,,,,,,,"65,403,000",,"4,507,000",
	OtherunderPreferredStockDividend,,,,,"0",,"20,000","465,000","0","1,919,000","3,329,000","7,615,000"
DilutedNIAvailtoComStockholders,"175,056,000","175,056,000","149,645,000","102,451,000","71,840,000","57,680,000","48,004,000","31,677,000","-45,378,000","14,159,000","-813,000","4,043,000"
BasicEPS,,,"2.68","1.86","1.31","1.06","0.89","0.59","-1.28","0.28","-0.016","0.08"
DilutedEPS,,,"2.66","1.84","1.3","1.05","0.88","0.59","-1.28","0.28","-0.016","0.08"
BasicAverageShares,,,"55,763,034","55,208,246","54,845,708","54,513,622","54,219,801","53,294,805","35,444,200","49,739,728","50,256,845","50,256,845"
DilutedAverageShares,,,"56,220,864","55,561,472","55,128,870","54,793,301","54,573,855","53,741,860","35,444,200","49,740,237","50,256,845","50,256,845"
TotalOperatingIncomeAsReported,"217,284,000","217,284,000","187,184,000","157,391,000","113,962,000","92,941,000","77,016,000","53,737,000","37,654,000","26,221,000","11,804,000","6,878,000"
TotalExpenses,"1,629,446,000","1,629,446,000","1,372,379,000","1,120,817,000","886,448,000","739,013,000","603,202,000","481,665,000","381,171,000","270,892,000","185,385,000","118,257,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"175,056,000","175,056,000","149,645,000","102,451,000","71,840,000","57,680,000","48,024,000","32,142,000","20,025,000","16,078,000","7,023,000","11,658,000"
NormalizedIncome,"175,056,000","175,056,000","149,645,000","102,451,000","71,840,000","57,680,000","48,176,744","32,306,654","21,061,100","16,078,000","7,023,000","11,658,000"
NetInterestIncome,"4,285,000","4,285,000","4,623,000","1,458,000","299,000","40,000","-125,000","-1,513,000","-2,374,000","16,000","-28,000","-73,000"
EBIT,"217,284,000","217,284,000","187,184,000","157,391,000","113,962,000","92,941,000","77,016,000","53,737,000","37,654,000","26,221,000","11,804,000","6,878,000"
EBITDA,"272,263,000"
ReconciledCostOfRevenue,"1,172,764,000","1,172,764,000","994,478,000","814,795,000","643,373,000","540,020,000","442,427,000","347,386,000","268,989,000","192,252,000","131,046,000","85,040,000"
ReconciledDepreciation,"54,979,000","54,979,000","41,451,000","33,241,000","26,631,000","22,227,000","17,202,000","13,469,000","9,599,000","7,071,000","4,805,000","3,660,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"175,056,000","175,056,000","149,645,000","102,451,000","71,840,000","57,680,000","48,024,000","32,142,000","20,025,000","16,078,000","7,023,000","11,658,000"
TotalUnusualItemsExcludingGoodwill,,,,,"0",,"-244,000","-266,000","-1,594,000",,"0",
TotalUnusualItems,,,,,"0",,"-244,000","-266,000","-1,594,000",,"0",
NormalizedEBITDA,"272,263,000","272,263,000","228,635,000","190,632,000","140,593,000","115,168,000","94,462,000","67,472,000","48,847,000","33,292,000","16,609,000","10,538,000"
TaxRateForCalcs,"0.21","0.21","0.22","0.355","0.371","0.377","0.374","0.381","0.35","0.387","0.4","0.35"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","-91,256","-101,346","-557,900","0","0","0"
