name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalRevenue,"2,648,848,000","2,648,848,000","2,433,492,000","2,249,538,000","1,831,546,000","1,702,865,000","1,199,390,000","895,171,000","707,534,000","519,591,000","433,841,000","354,073,000","341,053,000"
	OperatingRevenue,"2,648,848,000","2,648,848,000","2,433,492,000","2,249,538,000","1,831,546,000","1,702,865,000","1,199,390,000","895,171,000","707,534,000","519,591,000","433,841,000","354,073,000","341,053,000"
CostOfRevenue,"530,669,000","530,669,000","487,695,000","429,613,000","355,414,000","331,073,000","173,337,000","134,030,000","115,446,000","135,715,000","118,737,000","0","0"
GrossProfit,"2,118,179,000","2,118,179,000","1,945,797,000","1,819,925,000","1,476,132,000","1,371,792,000","1,026,053,000","761,141,000","592,088,000","383,876,000","315,104,000","354,073,000","341,053,000"
OperatingExpense,"886,842,000","886,842,000","702,933,000","762,729,000","724,961,000","706,781,000","459,904,000","341,111,000","268,281,000","157,542,000","144,611,000","208,028,000","188,598,000"
	SellingGeneralAndAdministration,"612,016,000","612,016,000","571,765,000","671,544,000","519,413,000","515,047,000","377,744,000","267,772,000","215,124,000","121,371,000","110,866,000","179,660,000","161,358,000"
		GeneralAndAdministrativeExpense,"407,210,000","407,210,000","389,172,000","387,694,000","283,625,000","297,715,000","205,963,000","142,283,000","110,122,000","84,765,000","78,135,000","149,081,000","137,580,000"
			OtherGandA,"407,210,000","407,210,000","389,172,000","387,694,000","283,625,000","297,715,000","205,963,000","142,283,000","110,122,000","84,765,000","78,135,000","149,081,000","137,580,000"
		SellingAndMarketingExpense,"204,806,000","204,806,000","182,593,000","283,850,000","235,788,000","217,332,000","171,781,000","125,489,000","105,002,000","36,606,000","32,731,000","30,579,000","23,778,000"
	DepreciationAmortizationDepletionIncomeStatement,"274,210,000","274,210,000","274,609,000","264,560,000","203,256,000","193,453,000","112,361,000","72,737,000","52,036,000","36,171,000","33,745,000","28,368,000","27,240,000"
		DepreciationAndAmortizationInIncomeStatement,"274,210,000","274,210,000","274,609,000","264,560,000","203,256,000","193,453,000","112,361,000","72,737,000","52,036,000","36,171,000","33,745,000","28,368,000","27,240,000"
	OtherOperatingExpenses,"616,000","616,000","-143,441,000","-173,375,000","2,292,000","-1,719,000","-30,201,000","602,000","1,121,000",,,,
