name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
TotalRevenue,"1,150,261,000","1,147,000,000","1,142,000,000","1,042,770,000","761,366,000","619,773,000","586,430,000","497,618,000","472,913,000","436,492,000","403,301,000","380,414,000","355,096,000","276,564,000","268,112,000","246,356,000","248,199,000","424,048,000","401,986,000","253,825,000","211,200,000","195,300,000","164,300,000","134,100,000","96,000,000","92,300,000","89,100,000","86,200,000","76,700,000","62,300,000","51,100,000",,
	NetInterestIncome,"918,631,000","917,000,000","932,000,000","846,346,000","611,478,000","498,183,000","466,069,000","395,939,000","372,476,000","316,351,000","284,919,000","266,397,000","251,792,000","194,837,000","188,837,000","188,409,000","170,058,000","293,477,000","281,113,000","171,026,000","155,600,000","148,400,000","132,600,000","111,000,000","80,700,000","77,300,000","74,700,000","70,200,000","63,300,000","51,400,000","43,200,000",,
		InterestIncome,"1,243,140,000","1,247,000,000","1,170,000,000","980,238,000","678,929,000","546,756,000","508,755,000","440,283,000","431,531,000","390,968,000","373,650,000","387,576,000","409,781,000","368,890,000","342,422,000","297,189,000","254,448,000","423,313,000","426,784,000","296,693,000","290,900,000","254,900,000","236,000,000","195,500,000","139,000,000","135,400,000","124,900,000","125,500,000","125,800,000","124,200,000","112,500,000",,
			InterestIncomeFromLoansAndLease,"1,081,533,000","1,085,000,000","1,022,000,000","861,867,000","597,621,000","482,086,000","449,502,000","390,983,000","377,802,000","341,268,000","322,773,000","329,841,000","352,687,000","318,015,000","288,553,000","240,966,000","208,307,000","356,036,000","374,565,000","263,503,000","260,200,000","222,000,000","197,700,000","163,800,000","118,400,000","113,800,000","103,200,000","99,500,000","100,900,000","100,900,000","90,700,000",,
				InterestIncomeFromLoans,,,,,,,,,,"341,268,000","322,773,000",,"352,687,000","318,015,000","288,553,000","240,966,000","208,307,000","356,036,000","374,565,000","263,503,000","260,200,000","222,000,000","197,700,000","163,800,000","118,400,000","113,800,000","103,200,000","99,500,000","100,900,000","100,900,000","90,700,000",,
			InterestIncomeFromSecurities,"156,381,000","158,000,000","147,000,000","117,469,000","80,864,000","64,553,000","59,159,000","49,171,000","53,519,000","49,425,000","50,449,000","57,658,000","56,702,000","50,250,000","52,609,000","55,816,000","46,127,000","67,094,000","50,638,000","29,060,000","29,400,000","31,400,000","34,700,000","28,500,000","19,700,000","20,200,000","20,700,000","25,100,000","23,000,000","20,400,000","17,500,000",,
			OtherInterestIncome,,"4,000,000","1,000,000","902,000","444,000","117,000","94,000","129,000","210,000","275,000","428,000","77,000","392,000","625,000","1,260,000","407,000","14,000","183,000","1,581,000","4,130,000","1,300,000","1,500,000","3,600,000","3,200,000","900,000","1,400,000","1,000,000","900,000","1,900,000","2,900,000","4,300,000",,
		InterestExpense,"324,509,000","330,000,000","238,000,000","133,892,000","67,451,000","48,573,000","42,686,000","44,344,000","59,055,000","74,617,000","88,731,000","121,179,000","157,989,000","174,053,000","153,585,000","108,780,000","84,390,000","129,836,000","145,671,000","125,667,000","135,300,000","106,500,000","103,400,000","84,500,000","58,300,000","58,100,000","50,200,000","55,300,000","62,500,000","72,800,000","69,300,000",,
			InterestExpenseForDeposit,"216,467,000","217,000,000","142,000,000","71,582,000","41,239,000","31,207,000","29,603,000","29,441,000","42,513,000","53,535,000","64,524,000","85,699,000","111,568,000","124,276,000","106,679,000","66,112,000","52,400,000","93,315,000","114,104,000","106,608,000","110,300,000","90,300,000","92,000,000","74,700,000","52,000,000","51,600,000","44,300,000","49,600,000","56,500,000","66,500,000","64,000,000",,
			InterestExpenseForShortTermDebt,"67,760,000","80,000,000","75,000,000","43,969,000","12,183,000","7,075,000","5,638,000","4,423,000","5,162,000","6,711,000","8,143,000","8,520,000","13,030,000","19,435,000","15,785,000","14,501,000","7,278,000","9,810,000","10,878,000","11,695,000","16,900,000","11,300,000","6,800,000","6,200,000","2,800,000","3,200,000","3,100,000","3,000,000","3,500,000","4,400,000","3,900,000",,
