name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalAssets,"10,677,000,000","9,301,000,000","9,151,000,000","14,463,000,000","13,931,000,000","13,868,000,000","10,524,000,000","9,902,600,000","7,862,100,000","7,887,500,000","7,934,425,000","8,368,240,000","7,556,414,000","7,259,559,000","5,900,533,000","5,074,091,000","7,263,175,000","5,245,951,000","3,848,300,000","3,542,307,000"
	TotalInvestments,"4,384,000,000","3,549,000,000","3,371,000,000","4,284,000,000","4,853,000,000","4,669,000,000","3,791,000,000","4,053,000,000","4,051,700,000","4,358,500,000","4,685,400,000","4,376,493,000","3,345,210,000","3,957,642,000","3,344,139,000","2,798,270,000",,,,
		EquityInvestments,"3,224,000,000","2,797,000,000","2,816,000,000","3,185,000,000","3,192,000,000","3,393,000,000","3,246,000,000","3,494,300,000","3,377,300,000","3,569,500,000","3,616,700,000","2,925,345,000","2,917,844,000","3,109,271,000","2,634,619,000","2,289,887,000",,,,
		NetLoan,,,,,,,,,,,,,,,"64,438,000",,,,,
		LongTermEquityInvestment,"131,000,000","137,000,000","150,000,000","558,000,000","521,000,000","770,000,000","357,000,000","392,200,000","546,500,000","527,700,000","617,100,000","644,539,000",,,,,,,,
			InvestmentsInOtherVenturesUnderEquityMethod,"131,000,000","137,000,000","150,000,000","558,000,000","521,000,000","770,000,000","357,000,000","392,200,000","546,500,000","527,700,000","617,100,000","644,539,000",,,,,,,,
		OtherShortTermInvestments,"876,000,000","480,000,000","295,000,000","487,000,000","1,034,000,000","334,000,000","26,000,000","61,900,000","50,400,000","128,600,000","348,100,000","788,350,000","427,366,000","848,371,000","645,082,000","508,383,000",,,,
		OtherInvestedAssets,"153,000,000","135,000,000","110,000,000","54,000,000","106,000,000","172,000,000","162,000,000","104,600,000","77,500,000","132,700,000","103,500,000","18,259,000",,,,,,,,
	CashAndCashEquivalents,"992,000,000","1,257,000,000","1,110,000,000","1,323,000,000","780,000,000","700,000,000","1,969,000,000","1,131,900,000","665,700,000","580,800,000","202,100,000","315,297,000","569,562,000","676,444,000","462,157,000","268,414,000","459,655,000","482,600,000","491,709,000","214,398,000"
	RestrictedCashAndCashEquivalents,"384,000,000",,,,,,,,,,,,,,,,,,,
	Receivables,"346,000,000","310,000,000","317,000,000","531,000,000","496,000,000","563,000,000","508,000,000","479,000,000","327,300,000","286,400,000","310,600,000","406,063,000","295,094,000","277,504,000","178,998,000","145,447,000",,,,
		AccountsReceivable,"346,000,000","306,000,000","317,000,000","531,000,000","496,000,000","504,000,000","482,000,000","479,000,000","321,500,000","270,700,000","254,100,000","290,692,000",,"251,544,000","178,998,000","145,447,000",,,,
		NotesReceivable,,,,,,,,,,,,,,,"31,749,000","39,196,000",,,,
		TaxesReceivable,"0","4,000,000",,,,"59,000,000","26,000,000","0","5,800,000","15,700,000","56,500,000","115,371,000",,,,,,,,
		OtherReceivables,,,,,,,,,,,,,,"25,960,000","-31,749,000","-39,196,000",,,,
	PrepaidAssets,"432,000,000","377,000,000","398,000,000","639,000,000","615,000,000","484,000,000","721,000,000","673,400,000","653,600,000","389,100,000","332,000,000","632,527,000","436,392,000","271,732,000","377,049,000","311,730,000",,,,
	DeferredTaxAssets,,,,,,,,,"0","32,100,000","128,900,000","139,218,000",,,,,,,,
	NetPPE,"586,000,000","164,000,000","193,000,000","616,000,000","510,000,000","635,000,000","645,000,000","632,100,000","166,100,000","179,900,000","597,300,000","738,746,000","598,044,000","578,505,000","465,627,000","466,526,000",,,,
	GoodwillAndOtherIntangibleAssets,"3,553,000,000","3,644,000,000","3,762,000,000","7,070,000,000","6,677,000,000","6,817,000,000","2,890,000,000","2,933,200,000","1,611,000,000","1,669,900,000","1,678,100,000","1,759,896,000","1,555,501,000","1,333,623,000","1,051,526,000","959,600,000",,,,
		Goodwill,"2,727,000,000","2,726,000,000","2,746,000,000","5,065,000,000","4,760,000,000","4,721,000,000","1,901,000,000","1,908,500,000","1,452,200,000","1,470,700,000","1,455,200,000","1,581,658,000","1,339,705,000","1,154,298,000","1,051,526,000","959,600,000",,,,
		OtherIntangibleAssets,"826,000,000","918,000,000","1,016,000,000","2,005,000,000","1,917,000,000","2,096,000,000","989,000,000","1,024,700,000","158,800,000","199,200,000","222,900,000","178,238,000","215,796,000","179,325,000",,,,,,
