name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalAssets,"609,316,000","485,254,000","428,286,000","335,600,000","278,497,000","258,437,000","157,729,000","142,120,000","129,956,000"
	CurrentAssets,"281,813,000","231,947,000","202,948,000","182,912,000","131,941,000","112,609,000","84,385,000","65,141,000","52,490,000"
		CashCashEquivalentsAndShortTermInvestments,"43,736,000","27,958,000","35,947,000","35,280,000","6,944,000","4,212,000","1,683,000","15,000","114,000"
			CashAndCashEquivalents,"43,736,000","27,958,000","35,947,000","35,280,000","6,944,000","4,212,000","1,683,000","15,000","114,000"
		Receivables,"91,632,000","78,882,000","61,060,000","61,617,000","43,660,000","39,221,000","33,781,000","25,224,000","18,472,000"
			AccountsReceivable,"91,632,000","78,882,000","61,060,000","61,617,000","43,660,000","39,221,000","33,781,000","25,224,000","18,263,000"
				GrossAccountsReceivable,"92,442,000","79,482,000","61,736,000","62,014,000","44,067,000","39,569,000","34,147,000","25,664,000","18,635,000"
				AllowanceForDoubtfulAccountsReceivable,"-810,000","-600,000","-676,000","-397,000","-407,000","-348,000","-366,000","-440,000","-372,000"
			TaxesReceivable,,,,,,,,"0","209,000"
		Inventory,"128,505,000","107,140,000","84,841,000","71,243,000","68,202,000","59,191,000","42,783,000","34,255,000","29,531,000"
			RawMaterials,"87,779,000","75,652,000","51,371,000","46,679,000","43,468,000","39,655,000","30,299,000","25,822,000","21,761,000"
			WorkInProcess,"7,075,000","5,880,000","1,233,000","1,929,000","1,921,000","1,568,000","1,155,000","1,460,000","1,194,000"
			FinishedGoods,"33,651,000","25,608,000","32,237,000","22,635,000","22,813,000","17,968,000","11,329,000","6,973,000","6,576,000"
		PrepaidAssets,"17,940,000","17,967,000","21,100,000","14,772,000","13,135,000","5,687,000","2,648,000","2,242,000","1,768,000"
		CurrentDeferredAssets,,,,,,"4,298,000","3,490,000","3,405,000","2,605,000"
			CurrentDeferredTaxesAssets,,,,,,"4,298,000","3,490,000","3,405,000","2,605,000"
	TotalNonCurrentAssets,"327,503,000","253,307,000","225,338,000","152,688,000","146,556,000","145,828,000","73,344,000","76,979,000","77,466,000"
		NetPPE,"125,851,000","64,788,000","43,636,000","32,262,000","26,094,000","20,329,000","13,418,000","11,789,000","9,005,000"
			GrossPPE,"168,369,000","96,306,000","71,253,000","56,510,000","44,999,000","35,096,000","25,007,000","21,238,000","16,608,000"
				Properties,"0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"5,414,000",,,,,,,,
				BuildingsAndImprovements,"42,343,000","18,978,000","8,811,000","4,358,000","3,469,000","3,469,000",,,
				MachineryFurnitureEquipment,"89,299,000","66,942,000","52,523,000","44,069,000","34,560,000","25,656,000","19,482,000","16,509,000","13,787,000"
				OtherProperties,"17,472,000",,,,,,,,
				Leases,"13,841,000","10,386,000","9,919,000","8,083,000","6,970,000","5,971,000","5,525,000","4,729,000","2,821,000"
			AccumulatedDepreciation,"-42,518,000","-31,518,000","-27,617,000","-24,248,000","-18,905,000","-14,767,000","-11,589,000","-9,449,000","-7,603,000"
		GoodwillAndOtherIntangibleAssets,"175,476,000","172,824,000","178,482,000","115,636,000","118,502,000","123,929,000","59,209,000","63,525,000","68,005,000"
			Goodwill,"93,527,000","88,850,000","88,438,000","57,781,000","57,653,000","58,745,000","31,925,000","31,372,000","31,372,000"
			OtherIntangibleAssets,"81,949,000","83,974,000","90,044,000","57,855,000","60,849,000","65,184,000","27,284,000","32,153,000","36,633,000"
		NonCurrentDeferredAssets,"25,725,000","15,328,000","2,669,000","4,082,000","1,065,000","979,000","717,000","1,665,000","456,000"
			NonCurrentDeferredTaxesAssets,"25,725,000","15,328,000","2,669,000","4,082,000","1,065,000",,,,
		OtherNonCurrentAssets,"451,000","367,000","551,000","708,000","895,000","591,000",,,
TotalLiabilitiesNetMinorityInterest,"187,116,000","164,049,000","193,451,000","150,663,000","126,237,000","129,631,000","65,437,000","112,536,000","62,661,000"
