name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,06/30/1990,06/30/1989,06/30/1988,06/30/1987,06/30/1986
TotalRevenue,"636,019,000","608,842,000","542,506,000","445,408,000","408,850,000","379,108,000","353,672,000","327,865,000","309,539,000","313,814,000","322,314,000","331,801,000","273,647,000","248,287,000","210,130,000","174,633,000","141,958,000","125,914,000","112,384,000","95,625,000","54,774,000","44,393,000","40,200,000","32,400,000","30,900,000","20,400,000","18,000,000","17,500,000","13,200,000","9,800,000",,,,,,
	NetInterestIncome,"522,561,000","503,404,000","433,465,000","345,158,000","314,522,000","290,406,000","272,953,000","234,818,000","218,043,000","235,615,000","234,768,000","245,327,000","212,613,000","183,469,000","158,288,000","130,007,000","107,393,000","92,352,000","86,467,000","72,374,000","41,480,000","33,329,000","28,900,000","24,100,000","22,600,000","15,600,000","13,600,000","12,500,000","10,100,000","7,800,000",,,,,,
		InterestIncome,"562,926,000","546,177,000","468,996,000","375,022,000","344,153,000","319,681,000","299,919,000","263,576,000","253,757,000","280,109,000","288,402,000","302,494,000","302,985,000","304,760,000","253,326,000","189,985,000","147,285,000","130,830,000","133,989,000","137,920,000","78,837,000","58,921,000","51,100,000","44,000,000","41,200,000","28,800,000","23,100,000","21,700,000","19,200,000","17,200,000",,,,,,
			InterestIncomeFromLoansAndLease,"477,759,000","460,673,000","382,497,000","293,054,000","253,761,000","228,595,000","206,867,000","189,064,000","187,371,000","203,847,000","231,392,000","250,922,000","264,010,000","265,413,000","211,718,000","144,561,000","100,585,000","94,099,000","98,862,000","107,832,000","63,197,000","47,092,000","43,500,000","36,200,000","33,300,000","23,800,000","19,300,000","17,400,000","14,600,000","13,400,000",,,,,,
				InterestIncomeFromLoans,"477,759,000","460,673,000","382,497,000","293,054,000","253,761,000","228,595,000","206,867,000","189,064,000","187,371,000","203,847,000","231,392,000","250,922,000","264,010,000","265,413,000","211,718,000","144,561,000","100,585,000","94,099,000","98,862,000","107,832,000","63,197,000","47,092,000","43,500,000","36,200,000","33,300,000","23,800,000","19,300,000","17,400,000","14,600,000","13,400,000",,,,,,
			InterestIncomeFromSecurities,"85,167,000","85,504,000","86,499,000","81,968,000","90,392,000","91,086,000","93,052,000","74,512,000","66,386,000","76,262,000","57,010,000","51,572,000","38,975,000","39,347,000","41,608,000","45,424,000","46,700,000","36,731,000","35,127,000","30,088,000","15,640,000","11,829,000","7,600,000","7,800,000","7,800,000","5,000,000","3,700,000","4,300,000","4,600,000","3,800,000",,,,,,
			OtherInterestIncome,,,,,,,,,,,,,,,,,,,,,,,,,"100,000",,"100,000",,,,,,,,,
		InterestExpense,"40,365,000","42,773,000","35,531,000","29,864,000","29,631,000","29,275,000","26,966,000","28,758,000","35,714,000","44,494,000","53,634,000","57,167,000","90,372,000","121,291,000","95,038,000","59,978,000","39,892,000","38,478,000","47,522,000","65,546,000","37,357,000","25,592,000","22,200,000","19,900,000","18,600,000","13,200,000","9,500,000","9,200,000","9,100,000","9,400,000",,,,,,
			InterestExpenseForDeposit,"23,520,000","23,280,000","18,359,000","16,793,000","18,402,000","16,138,000","13,195,000","13,870,000","18,183,000","25,269,000","35,598,000","38,429,000","55,012,000","81,459,000","58,147,000","25,705,000","14,054,000","17,221,000","26,268,000","42,692,000","22,674,000","14,574,000","13,700,000","11,100,000","10,300,000","6,000,000","5,100,000","5,800,000","5,900,000","6,400,000",,,,,,
			InterestExpenseForShortTermDebt,,,,,,,,,,"1,353,000","284,000","1,961,000","8,752,000","5,953,000","3,763,000","21,489,000","18,540,000","16,860,000","16,959,000","18,280,000","13,454,000","9,337,000","7,600,000","7,600,000","7,300,000","6,000,000","3,800,000","2,800,000","2,300,000","1,500,000",,,,,,
			InterestExpenseForLongTermDebtAndCapitalSecurities,"12,964,000","15,799,000","14,924,000","11,213,000","10,022,000","12,116,000","12,906,000","14,021,000","16,223,000","17,648,000","16,145,000","14,770,000","22,785,000","26,434,000","26,510,000","6,455,000","806,000","109,000","88,000","247,000","280,000","363,000","200,000","200,000","200,000",,,"600,000","900,000","1,500,000",,,,,,
			InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"3,881,000","3,694,000","2,248,000","1,858,000","1,207,000","1,021,000","865,000","867,000","1,308,000","224,000","1,607,000","2,007,000","3,823,000","7,445,000","6,618,000","2,948,000","873,000","673,000","591,000","1,014,000","949,000","1,318,000","800,000","1,000,000","800,000","1,200,000","600,000",,,,,,,,,
			OtherInterestExpense,,,,,,,,,,,,"84,794,000",,,,"3,381,000","5,619,000","3,615,000","3,616,000","3,313,000",,,"100,000",,,,,,,,,,,,,
	NonInterestIncome,"113,458,000","105,438,000","109,041,000","100,250,000","94,328,000","88,702,000","80,719,000","93,047,000","91,496,000","78,199,000","87,546,000","86,474,000","61,034,000","64,818,000","51,842,000","44,626,000","34,565,000","33,562,000","25,917,000","23,251,000","13,294,000","11,064,000","11,300,000","8,300,000","8,300,000","4,800,000","4,400,000","5,000,000","3,100,000","2,000,000",,,,,,
		FeesAndCommissions,"60,984,000","61,439,000","71,909,000","60,088,000","54,028,000","51,538,000","49,202,000","54,460,000","49,706,000","48,113,000","47,946,000","45,871,000","47,506,000","45,486,000","37,072,000","30,812,000","24,260,000","19,756,000","18,207,000","16,348,000","7,839,000","9,928,000","9,600,000","7,500,000","7,200,000","3,900,000","3,500,000","4,000,000","2,100,000","1,500,000",,,,,,
			FeesandCommissionIncome,"69,570,000","73,247,000","81,692,000","72,077,000","67,018,000","61,597,000","58,785,000","54,460,000","49,706,000","48,113,000","47,946,000","45,871,000","47,506,000","45,486,000","37,072,000","30,812,000","24,260,000","19,756,000","18,207,000","16,348,000","7,839,000","9,928,000","9,600,000","7,500,000","7,200,000","3,900,000","3,500,000","4,000,000","2,100,000","1,500,000",,,,,,
				ServiceChargeOnDepositorAccounts,"69,570,000","73,247,000","81,692,000","72,077,000","67,018,000","61,597,000","58,785,000","54,460,000","49,706,000","44,194,000","43,040,000","40,465,000",,,,,,,,,,,,,,,,,,,,,,,,
				OtherCustomerServices,,,,,,,,,,"3,919,000","4,906,000","5,406,000",,,,,,,,,,,,,,,,,,,,,,,,
			FeesandCommissionExpense,,"11,808,000","9,783,000","11,989,000","12,990,000","10,059,000","9,583,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainLossonSaleofAssets,"41,665,000","34,951,000","26,021,000","29,779,000","32,143,000","26,408,000","19,609,000","28,218,000","32,227,000","21,478,000","32,055,000","32,918,000","7,504,000","13,275,000","10,816,000","10,910,000","8,015,000","11,927,000","5,694,000","4,196,000",,"6,000",,"200,000",,,,"100,000",,,,,,,,
			GainOnSaleOfSecurity,"1,537,000","887,000","-1,113,000","-660,000","-1,463,000","19,000","-188,000","-299,000","0",,,"5,995,000","-7,345,000","-8,000","-3,000","-138,000",,"1,253,000","238,000",,,"6,000",,"200,000",,,,"100,000",,,,,,,,
			GainonSaleofLoans,"40,128,000","34,064,000","27,134,000","30,439,000","33,606,000","26,389,000","19,797,000","28,517,000","32,227,000","21,132,000","27,233,000","26,923,000",,,,,,,,,,,,,,,,,,,,,,,,
			GainonSaleofInvestmentProperty,,,,,,,,,,"346,000","4,822,000",,"14,849,000","13,283,000","10,819,000","11,048,000","8,015,000","10,674,000","5,456,000","4,196,000",,,,,,,,,,,,,,,,
		OtherNonInterestIncome,"10,809,000","9,048,000","11,111,000","10,383,000","8,157,000","10,756,000","11,908,000","10,369,000","9,563,000","8,608,000","7,545,000","7,685,000","6,024,000","6,057,000","3,954,000","2,904,000","2,290,000","1,879,000","2,016,000","2,707,000","5,455,000","1,130,000","1,700,000","600,000","1,100,000","900,000","900,000","900,000","1,000,000","500,000",,,,,,
CreditLossesProvision,"-22,744,000","-57,000","-9,953,000","-10,824,000","-2,333,000","-2,284,000","-1,912,000","-6,887,000","-21,525,000","-64,500,000","-84,693,000","-124,618,000","-28,480,000","-6,680,000","-5,192,000","-6,023,000","-4,195,000","-3,809,000","-5,745,000","-4,525,000","-1,864,000","-1,506,000","-1,500,000","-700,000","-900,000","-300,000","-200,000","-200,000","-200,000","-200,000",,,,,,
NonInterestExpense,"353,622,000","341,088,000","303,726,000","251,452,000","243,022,000","222,170,000","198,865,000","195,317,000","193,421,000","191,965,000","187,948,000","148,056,000","145,909,000","137,917,000","112,550,000","90,926,000","72,133,000","65,944,000","57,813,000","57,350,000","31,266,000","24,026,000","21,500,000","17,200,000","17,500,000","10,700,000","9,400,000","8,900,000","6,400,000","4,900,000",,,,,,
	OccupancyAndEquipment,"38,931,000","39,324,000","35,221,000","30,522,000","29,846,000","34,502,000","30,409,000","24,875,000","23,837,000","23,599,000","24,261,000","23,471,000","21,674,000","19,152,000","15,268,000","12,851,000","10,797,000","9,931,000","9,591,000","8,679,000","4,830,000","3,251,000","2,600,000","1,900,000","1,700,000","1,100,000","900,000","1,000,000","500,000","400,000",,,,,,
		NetOccupancyExpense,"35,279,000","34,497,000","30,734,000","26,631,000","25,979,000","31,149,000","27,498,000","24,875,000","23,837,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		Equipment,,"4,827,000","4,487,000","3,891,000","3,867,000","3,353,000","2,911,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ProfessionalExpenseAndContractServicesExpense,,"11,233,000","10,438,000","8,285,000","9,145,000","8,008,000","7,027,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"276,991,000","272,571,000","241,794,000","200,686,000","193,706,000","169,020,000","152,166,000","121,989,000","111,195,000","103,482,000","106,737,000","91,442,000","89,016,000","85,376,000","65,419,000","51,385,000","39,955,000","36,173,000","30,448,000","27,941,000","16,214,000","12,639,000","10,900,000","9,200,000","8,600,000","5,200,000","4,500,000","4,200,000","3,300,000","2,500,000",,,,,,
		GeneralAndAdministrativeExpense,"266,271,000","261,950,000","232,228,000","192,281,000","185,273,000","160,359,000","144,254,000","115,076,000","104,782,000","97,013,000","99,906,000","84,965,000","82,027,000","79,070,000","65,419,000","51,385,000","39,955,000","36,173,000","30,448,000","27,941,000","16,214,000","12,639,000","10,900,000","9,200,000","8,600,000","5,200,000","4,500,000","4,200,000","3,300,000","2,500,000",,,,,,
			SalariesAndWages,"233,827,000","227,891,000","199,468,000","164,666,000","155,308,000","138,443,000","122,128,000","104,221,000","95,373,000","85,691,000","87,728,000","84,965,000","82,027,000","79,070,000","65,419,000","51,385,000","39,955,000","36,173,000","30,448,000","27,941,000","16,214,000","12,639,000","10,900,000","9,200,000","8,600,000","5,200,000","4,500,000","4,200,000","3,300,000","2,500,000",,,,,,
			InsuranceAndClaims,,,,,,,,,"6,085,000","8,169,000","9,121,000",,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"32,444,000","34,059,000","32,760,000","27,615,000","29,965,000","21,916,000","22,126,000","10,855,000","3,324,000","3,153,000","3,057,000",,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"10,720,000","10,621,000","9,566,000","8,405,000","8,433,000","8,661,000","7,912,000","6,913,000","6,413,000","6,469,000","6,831,000","6,477,000","6,989,000","6,306,000",,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"9,324,000","8,485,000","6,270,000","2,494,000","2,970,000","2,964,000","2,811,000","2,401,000","2,110,000","2,473,000","3,180,000","3,116,000",,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"9,324,000","8,485,000","6,270,000","2,494,000","2,970,000","2,964,000","2,811,000","2,401,000","2,110,000","2,473,000","3,180,000","3,116,000",,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,"9,324,000","8,485,000","6,270,000","2,494,000","2,970,000","2,964,000","2,811,000","2,401,000","2,110,000","2,473,000","3,180,000","3,116,000",,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"9,324,000","8,485,000","6,270,000","2,494,000","2,970,000","2,964,000","2,811,000","2,401,000","2,110,000","2,473,000","3,180,000","3,116,000",,,,,,,,,,,,,,,,,,,,,,,,
	SecuritiesAmortization,,"4,341,000","3,618,000","3,109,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonInterestExpense,"15,874,000","5,134,000","6,385,000","6,356,000","7,355,000","7,676,000","6,452,000","46,052,000","56,279,000","62,411,000","53,770,000","30,027,000","35,219,000","33,389,000","31,863,000","26,690,000","21,381,000","19,840,000","17,774,000","20,730,000","10,222,000","8,136,000","8,000,000","6,100,000","7,200,000","4,400,000","4,000,000","3,700,000","2,600,000","2,000,000",,,,,,
SpecialIncomeCharges,,"-8,503,000","-6,618,000","-2,130,000","-2,702,000","-4,528,000","-4,231,000","0","0","-40,159,000",,"-20,762,000",,,,,,,,,,,,,,,,,,,,,,,,
	RestructuringAndMergernAcquisition,,"8,503,000","6,618,000","2,130,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ImpairmentOfCapitalAssets,,,,,,,,"0","0","40,159,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	WriteOff,,,,,"2,702,000","4,528,000","4,231,000",,,,,"9,092,000",,,,,,,,,,,,,,,,,,,,,,,,
	OtherSpecialCharges,,,,,,,,,,,,"11,670,000",,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"251,364,000","259,194,000","222,209,000","181,002,000","160,793,000","150,126,000","148,664,000","125,661,000","94,593,000","17,190,000","49,673,000","38,365,000","99,258,000","103,690,000","92,388,000","77,684,000","65,630,000","56,161,000","48,826,000","33,715,000","21,583,000","18,810,000","17,000,000","14,500,000","12,500,000","9,300,000","8,400,000","8,400,000","6,600,000","4,700,000",,,,,,
