name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"48,841,000,000","45,408,000,000","35,046,000,000","32,872,000,000","31,997,000,000","35,355,000,000","35,448,000,000","34,309,000,000","34,883,000,000","32,545,000,000","31,077,000,000","28,373,000,000","25,733,000,000","22,376,000,000","19,591,000,000","17,544,000,000","16,183,000,000","11,731,000,000","11,069,000,000","7,987,000,000","7,774,000,000","4,572,000,000","4,091,000,000","3,299,000,000","3,164,000,000","2,673,000,000","2,635,000,000","4,222,000,000","6,207,000,000","6,573,000,000","6,548,600,000","6,118,100,000","5,031,800,000","4,552,500,000","4,448,100,000"
	CurrentAssets,"19,780,000,000","18,189,000,000","18,328,000,000","15,447,000,000","14,571,000,000","17,407,000,000","17,886,000,000","15,744,000,000","15,368,000,000","14,186,000,000","13,249,000,000","11,950,000,000","12,298,000,000","9,880,000,000","9,173,000,000","7,287,000,000","6,394,000,000","5,098,000,000","4,893,000,000","3,551,000,000","3,491,000,000","1,873,000,000","1,689,000,000","1,858,000,000","2,013,000,000","1,797,000,000","1,654,000,000","3,655,000,000","4,319,000,000","3,927,000,000","3,990,100,000","3,635,800,000","3,033,900,000","2,646,300,000","2,177,600,000"
		CashCashEquivalentsAndShortTermInvestments,"902,000,000","963,000,000","2,983,000,000","2,334,000,000","2,785,000,000","4,388,000,000","5,301,000,000","3,296,000,000","2,649,000,000","2,613,000,000","2,263,000,000","1,621,000,000","2,891,000,000","1,604,000,000","2,331,000,000","976,000,000","860,000,000","328,000,000","442,000,000","177,000,000","270,000,000","127,000,000","336,000,000","516,000,000","215,000,000","382,000,000","94,000,000","513,000,000","513,000,000","115,000,000","14,400,000","227,800,000","178,400,000","195,300,000","13,400,000"
			CashAndCashEquivalents,"902,000,000","963,000,000","2,983,000,000","2,334,000,000","2,785,000,000","4,388,000,000","5,301,000,000","3,296,000,000","2,649,000,000","2,613,000,000","2,263,000,000","1,621,000,000","2,891,000,000","1,604,000,000","2,331,000,000","976,000,000","860,000,000","328,000,000","442,000,000","177,000,000","270,000,000","127,000,000","336,000,000","516,000,000","215,000,000","382,000,000","94,000,000","513,000,000","513,000,000","115,000,000","14,400,000","227,800,000","178,400,000","195,300,000","13,400,000"
		Receivables,"11,401,000,000","10,335,000,000","8,857,000,000","3,611,000,000","3,446,000,000","4,050,000,000","4,402,000,000","4,204,000,000","4,452,000,000","3,848,000,000","3,678,000,000","3,469,000,000","2,874,000,000","2,341,000,000","2,034,000,000","1,459,000,000","1,378,000,000","1,074,000,000","996,000,000","798,000,000","1,950,000,000","316,000,000","234,000,000","97,000,000","105,000,000","104,000,000","62,000,000","496,000,000","444,000,000","3,096,000,000","3,227,900,000","553,300,000","2,427,800,000","1,947,500,000","1,589,100,000"
			AccountsReceivable,"3,544,000,000","3,759,000,000","3,617,000,000","3,611,000,000","3,446,000,000","4,050,000,000","4,402,000,000","4,204,000,000","4,452,000,000","3,848,000,000","3,678,000,000","3,469,000,000","2,874,000,000","2,341,000,000","2,034,000,000","1,459,000,000","1,378,000,000","1,074,000,000","996,000,000",,,,,,,,,,,,,,,,
			OtherReceivables,"7,857,000,000","6,576,000,000","5,240,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"6,306,000,000","5,977,000,000","5,303,000,000","8,805,000,000","7,723,000,000","7,812,000,000","7,748,000,000","7,740,000,000","2,310,000,000","2,158,000,000","6,575,000,000","6,318,000,000","5,958,000,000","5,472,000,000","4,391,000,000","4,100,000,000","3,708,000,000","3,319,000,000","3,026,000,000","2,191,000,000","961,000,000","952,000,000","702,000,000","558,000,000","567,000,000","351,000,000","442,000,000","1,550,000,000","2,606,000,000","486,000,000","515,300,000","2,807,300,000","368,200,000","379,900,000","529,900,000"
			RawMaterials,"1,733,000,000","1,504,000,000","1,357,000,000","6,697,000,000","5,733,000,000","5,881,000,000","6,038,000,000","6,073,000,000","1,031,000,000","965,000,000","1,129,000,000","1,001,000,000","804,000,000","711,000,000","505,000,000","392,000,000","389,000,000","396,000,000","361,000,000",,,,,,,,,,,,,,,,
			WorkInProcess,"4,419,000,000","4,357,000,000","3,872,000,000","2,058,000,000","1,889,000,000","1,828,000,000","1,635,000,000","1,518,000,000","1,202,000,000","1,124,000,000","907,000,000","876,000,000","774,000,000","715,000,000","701,000,000","651,000,000","614,000,000","750,000,000","643,000,000",,,,,,,,,,,,,,,,
			FinishedGoods,"154,000,000","116,000,000","74,000,000","50,000,000","101,000,000","103,000,000","75,000,000","149,000,000","77,000,000","69,000,000","60,000,000","100,000,000","30,000,000","44,000,000","71,000,000","119,000,000","103,000,000","230,000,000","254,000,000",,,,,,,,,,,,,,,,
			OtherInventories,,"5,977,000,000",,"3,523,000,000","3,366,000,000","3,221,000,000","2,968,000,000","2,776,000,000",,,"4,479,000,000","4,341,000,000","4,350,000,000","4,002,000,000","3,114,000,000","2,938,000,000","2,602,000,000","1,943,000,000","1,768,000,000",,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,"109,000,000","7,000,000","343,000,000",,"69,000,000",,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"1,171,000,000","914,000,000","1,185,000,000","697,000,000","617,000,000","1,157,000,000","435,000,000","504,000,000","5,957,000,000","5,567,000,000","733,000,000","542,000,000","575,000,000","354,000,000","410,000,000","409,000,000","448,000,000","308,000,000","429,000,000","385,000,000","310,000,000","478,000,000","417,000,000","687,000,000","1,126,000,000","960,000,000","1,056,000,000","1,096,000,000","756,000,000","230,000,000","232,500,000","47,400,000","59,500,000","123,600,000","45,200,000"
	TotalNonCurrentAssets,"29,061,000,000","27,219,000,000","16,718,000,000","17,425,000,000","17,426,000,000","17,948,000,000","17,562,000,000","18,565,000,000","19,515,000,000","18,359,000,000","17,828,000,000","16,423,000,000","13,435,000,000","12,496,000,000","10,418,000,000","10,257,000,000","9,789,000,000","6,633,000,000","6,176,000,000","4,436,000,000","4,283,000,000","2,699,000,000","2,402,000,000","1,441,000,000","1,151,000,000","876,000,000","981,000,000","567,000,000","1,888,000,000","2,646,000,000","2,558,500,000","2,482,300,000","1,997,900,000","1,906,200,000","2,270,500,000"
		NetPPE,"4,475,000,000","4,348,000,000","3,517,000,000","3,467,000,000","3,466,000,000","3,329,000,000","3,415,000,000","3,403,000,000","3,284,000,000","2,971,000,000","2,912,000,000","2,872,000,000","2,472,000,000","2,168,000,000","2,125,000,000","2,169,000,000","2,085,000,000","1,856,000,000","1,768,000,000","1,294,000,000","1,169,000,000","698,000,000","592,000,000","441,000,000","398,000,000","264,000,000","302,000,000","322,000,000","1,029,000,000","1,556,000,000","1,812,500,000","1,700,000,000","1,496,300,000","1,364,300,000","1,173,100,000"
			GrossPPE,"9,761,000,000","9,403,000,000","8,237,000,000","7,929,000,000","7,676,000,000","7,292,000,000","7,248,000,000","7,003,000,000","6,518,000,000","5,959,000,000","5,677,000,000","5,340,000,000","4,729,000,000","4,188,000,000","4,314,000,000","4,202,000,000","3,903,000,000","3,469,000,000","3,538,000,000","2,640,000,000","2,388,000,000","1,726,000,000","1,692,000,000","1,395,000,000","1,208,000,000","1,073,000,000","1,158,000,000","1,034,000,000","3,085,000,000","3,976,000,000","3,999,900,000","3,621,900,000","3,166,600,000","2,813,100,000","2,451,100,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,
				LandAndImprovements,"400,000,000","386,000,000","357,000,000","333,000,000","328,000,000","331,000,000","337,000,000","340,000,000","321,000,000","283,000,000","270,000,000","227,000,000","221,000,000","169,000,000","216,000,000","225,000,000","205,000,000","192,000,000","159,000,000",,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"3,232,000,000","3,011,000,000","2,837,000,000","2,745,000,000","2,666,000,000","2,518,000,000","2,508,000,000","2,442,000,000","2,172,000,000","2,084,000,000","2,069,000,000","1,863,000,000","1,576,000,000","1,385,000,000","1,303,000,000","1,320,000,000","1,188,000,000","1,096,000,000","1,090,000,000",,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"5,441,000,000","5,534,000,000","4,736,000,000","4,582,000,000","4,394,000,000","4,182,000,000","4,156,000,000","3,966,000,000","3,712,000,000","3,388,000,000","3,195,000,000","2,957,000,000","2,640,000,000","2,473,000,000","2,583,000,000","2,500,000,000","2,303,000,000","2,013,000,000","2,065,000,000",,,,,,,,,,,,,,,,
				OtherProperties,,,,,,,,,,,,,,,"75,000,000","78,000,000","76,000,000","77,000,000","76,000,000",,,,,,,,,,,,,,,,
				ConstructionInProgress,"688,000,000","472,000,000","307,000,000","269,000,000","288,000,000","261,000,000","247,000,000","255,000,000","313,000,000","204,000,000","143,000,000","293,000,000","292,000,000","161,000,000","137,000,000","79,000,000","131,000,000","91,000,000","148,000,000",,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-5,286,000,000","-5,055,000,000","-4,720,000,000","-4,462,000,000","-4,210,000,000","-3,963,000,000","-3,833,000,000","-3,600,000,000","-3,234,000,000","-2,988,000,000","-2,765,000,000","-2,468,000,000","-2,257,000,000","-2,020,000,000","-2,189,000,000","-2,033,000,000","-1,818,000,000","-1,613,000,000","-1,770,000,000","-1,346,000,000","-1,219,000,000","-1,028,000,000","-1,100,000,000","-954,000,000","-810,000,000","-809,000,000","-856,000,000","-712,000,000","-2,056,000,000","-2,420,000,000","-2,187,400,000","-1,921,900,000","-1,670,300,000","-1,448,800,000","-1,278,000,000"
		GoodwillAndOtherIntangibleAssets,"21,992,000,000","22,179,000,000","12,616,000,000","12,123,000,000","12,206,000,000","12,643,000,000","13,194,000,000","13,431,000,000","15,389,000,000","14,641,000,000","14,367,000,000","13,030,000,000","9,914,000,000","9,725,000,000","7,585,000,000","7,405,000,000","7,113,000,000","4,070,000,000","3,758,000,000","2,531,000,000","2,513,000,000","1,525,000,000","1,204,000,000",,,,,,,,"34,100,000",,,,"250,800,000"
			Goodwill,"19,677,000,000","19,594,000,000","11,914,000,000","11,445,000,000","11,443,000,000","11,731,000,000","11,977,000,000","12,048,000,000","13,576,000,000","12,649,000,000","12,269,000,000","11,413,000,000","8,942,000,000","8,541,000,000","6,687,000,000","6,451,000,000","6,083,000,000","3,510,000,000","3,110,000,000",,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"2,315,000,000","2,585,000,000","702,000,000","678,000,000","763,000,000","912,000,000","1,217,000,000","1,383,000,000","1,813,000,000","1,992,000,000","2,098,000,000","1,617,000,000","972,000,000","1,184,000,000","898,000,000","954,000,000","1,030,000,000","560,000,000","648,000,000","2,531,000,000","2,513,000,000","1,525,000,000","1,204,000,000",,,,,,,,"34,100,000",,,,"250,800,000"
		OtherNonCurrentAssets,"2,594,000,000","692,000,000","585,000,000","1,835,000,000","1,754,000,000","1,976,000,000","953,000,000","1,731,000,000","842,000,000","747,000,000","549,000,000","521,000,000","1,049,000,000","603,000,000","708,000,000","683,000,000","591,000,000","707,000,000","650,000,000","611,000,000","601,000,000","476,000,000","606,000,000","1,000,000,000","753,000,000","612,000,000","679,000,000","245,000,000","859,000,000","1,090,000,000","711,900,000","782,300,000","501,600,000","541,900,000","846,600,000"
