name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997
TotalRevenue,"2,659,069,000","2,823,901,000","2,908,565,000","2,750,816,000","2,585,070,000",,"2,415,472,000","2,359,994,000","2,184,303,000","1,948,253,000","1,726,041,000","1,311,463,000","1,038,319,000","1,249,711,000","964,429,000","773,946,904.89","653,170,624.866","532,831,241.129","466,020,558.066","378,476,027.22","320,144,168.675","305,649,846.246","227,515,710.161","141,143,295.775","86,976,365.282"
	OperatingRevenue,"2,659,069,000","2,823,901,000","2,908,565,000","2,750,816,000","2,585,070,000",,"2,415,472,000","2,359,994,000","2,184,303,000","1,948,253,000","1,726,041,000","1,311,463,000","1,038,319,000","1,249,711,000","964,429,000","773,946,904.89","653,170,624.866","532,831,241.129","466,020,558.066","378,476,027.22","320,144,168.675","305,649,846.246","227,515,710.161","141,143,295.775","86,976,365.282"
CostOfRevenue,"2,008,802,000","2,119,440,000","2,102,612,000","1,949,597,000","1,865,367,000",,"1,830,135,000","1,701,311,000","1,550,266,000","1,552,128,000","1,288,293,000","947,206,000","807,986,000","847,392,000","655,280,000","521,605,119.112","450,101,152.539","378,315,043.729","325,619,893.209","272,200,913.015","252,737,311.351","218,444,669.196","167,864,028.219","107,962,592.204","67,581,635.298"
GrossProfit,"650,267,000","704,461,000","805,953,000","801,219,000","719,703,000",,"585,337,000","658,683,000","634,037,000","396,125,000","437,748,000","364,257,000","230,333,000","402,319,000","309,149,000","252,341,785.778","203,069,472.326","154,516,197.401","140,400,664.857","106,275,114.206","67,406,857.324","87,205,177.05","59,651,681.943","33,180,703.57","19,394,729.984"
OperatingExpense,"321,446,000","340,487,000","368,546,000","377,323,000","336,433,000",,"315,168,000","286,015,000","282,563,000","226,035,000","199,132,000","154,674,000","134,785,000","210,385,000","125,372,000","116,885,311.66","100,406,412.076","85,086,758.538","52,621,673.31","40,280,188.4","48,240,167.406","38,398,041.134","31,074,828.741","16,339,742.548","10,697,093.528"
	SellingGeneralAndAdministration,"321,446,000","340,487,000","368,546,000","377,323,000","336,433,000",,"315,168,000","286,015,000","282,563,000","226,035,000","199,132,000","154,674,000","134,785,000","151,453,000","110,979,000","84,470,610.783","74,818,065.626","62,834,631.578","52,621,673.31","40,280,188.4","48,240,168.041","32,154,555.378","26,378,633.2","13,633,159.515","8,997,554.655"
		GeneralAndAdministrativeExpense,,"121,273,000","135,735,000","141,325,000","121,702,000",,,"107,543,000","115,526,000","89,601,000",,,,,,,,,,,,,,,
			OtherGandA,,"121,273,000","135,735,000","141,325,000","121,702,000",,,"107,543,000","115,526,000","89,601,000",,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,"219,214,000","232,811,000","235,998,000","214,731,000",,,"178,472,000","167,037,000","136,434,000",,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,"58,932,000","38,777,000","32,414,700.878","25,588,345.59","22,252,126.959","17,464,301.086","11,084,645.096","10,278,097.02","6,243,485.756","4,696,196.222","2,706,583.033","1,699,538.15"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,"58,932,000","38,777,000","32,414,700.878","25,588,345.59","22,252,126.959","17,464,301.086","11,084,645.096","10,278,097.02","6,243,485.756","4,696,196.222","2,706,583.033","1,699,538.15"
			Amortization,,,,,,,,,,,,,,"58,932,000",,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,"58,932,000",,,,,,,,,,,
