name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,03/31/2014
TotalRevenue,"973,400,000","452,100,000","294,000,000","71,100,000","156,200,000","399,300,000","230,300,000","44,700,000","124,821,000","265,825,000","172,330,000","28,205,000","51,096,000","209,051,000","127,935,000","15,695,000","41,921,000","115,504,000","17,263,000"
	OperatingRevenue,"973,400,000","452,100,000","294,000,000","71,100,000","156,200,000","399,300,000","230,300,000","44,700,000","124,821,000","265,825,000","172,330,000","28,205,000","51,096,000","209,051,000","127,935,000","15,695,000","41,921,000","115,504,000","17,263,000"
CostOfRevenue,"371,300,000","153,700,000","133,600,000","30,200,000","53,800,000","142,000,000","101,800,000","16,100,000","46,564,000","96,805,000","85,237,000","14,963,000","23,306,000","88,767,000","68,601,000","11,036,000","23,099,000","51,575,000","14,708,000"
GrossProfit,"602,100,000","298,400,000","160,400,000","40,900,000","102,400,000","257,300,000","128,500,000","28,600,000","78,257,000","169,020,000","87,093,000","13,242,000","27,790,000","120,284,000","59,334,000","4,659,000","18,822,000","63,929,000","2,555,000"
OperatingExpense,"381,100,000","137,000,000","85,000,000","68,400,000","90,700,000","117,400,000","63,500,000","48,500,000","63,430,000","79,195,000","38,859,000","28,000,000","56,395,000","63,970,000","31,662,000","19,539,000","28,234,000","33,037,000","21,298,000"
	SellingGeneralAndAdministration,"339,600,000","123,600,000","73,500,000","57,500,000","85,000,000","112,100,000","59,900,000","45,100,000","60,942,000","76,791,000","36,545,000","25,832,000","54,695,000","62,005,000","30,172,000","18,093,000","27,252,000","31,933,000","20,494,000"
	DepreciationAmortizationDepletionIncomeStatement,"41,500,000","13,400,000","11,500,000","10,900,000","5,700,000","5,300,000","3,600,000","3,400,000","2,488,000","2,404,000","2,314,000","2,168,000","1,700,000","1,965,000","1,490,000","1,446,000","982,000","1,104,000","804,000"
		DepreciationAndAmortizationInIncomeStatement,"41,500,000","13,400,000","11,500,000","10,900,000","5,700,000","5,300,000","3,600,000","3,400,000","2,488,000","2,404,000","2,314,000","2,168,000","1,700,000","1,965,000","1,490,000","1,446,000","982,000","1,104,000","804,000"
OperatingIncome,"221,000,000","161,400,000","75,400,000","-27,500,000","11,700,000","139,900,000","65,000,000","-19,900,000","14,827,000","89,825,000","48,234,000","-14,758,000","-28,605,000","56,314,000","27,672,000","-14,880,000","-9,412,000","30,892,000","-18,743,000"
NetNonOperatingInterestIncomeExpense,"-20,000,000","-5,800,000","-5,900,000","-5,200,000","-3,100,000","-3,900,000","-4,100,000","-3,100,000","-2,811,000","-3,386,000","-3,599,000","-3,092,000","-1,342,000","-3,087,000","-2,438,000","-3,095,000","-1,979,000","-2,215,000","-1,788,000"
	InterestIncomeNonOperating,"500,000","100,000","0","100,000","300,000","0","100,000","100,000","146,000","21,000","2,000",,"0","0",,,"1,000","0","1,000"
	InterestExpenseNonOperating,"19,700,000","5,700,000","5,800,000","5,100,000","3,100,000","3,800,000","4,100,000","3,100,000","2,810,000","3,296,000","3,507,000","3,064,000","4,012,000","3,045,000","2,402,000","2,094,000","1,950,000","2,207,000","1,688,000"
	TotalOtherFinanceCost,"800,000","200,000","100,000","200,000","300,000","100,000","100,000","100,000","174,000","90,000","92,000","28,000","-2,670,000","42,000","36,000","1,001,000","30,000","8,000","101,000"
OtherIncomeExpense,,,,"-7,000,000",,,,,,,,,,,,,,,
	SpecialIncomeCharges,,"0","0","-7,000,000",,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,"7,000,000",,,,,,,,,,,,,,,
PretaxIncome,"194,000,000","155,600,000","69,500,000","-39,700,000","8,600,000","136,000,000","60,900,000","-23,000,000","12,016,000","86,439,000","44,635,000","-17,850,000","-29,947,000","53,227,000","25,234,000","-17,975,000","-11,391,000","28,677,000","-20,531,000"
TaxProvision,"35,800,000","37,600,000","8,900,000","-10,300,000","-400,000","32,600,000","11,000,000","-4,300,000","3,924,000","23,514,000","7,508,000","-5,761,000","-6,516,000","14,139,000","5,216,000","-3,939,000","-2,189,000","7,231,000","-5,054,000"
NetIncomeCommonStockholders,"158,200,000","118,000,000","60,600,000","-29,400,000","9,000,000","103,400,000","49,900,000","-18,700,000","8,092,000","62,925,000","37,127,000","-12,089,000","-24,694,000","39,088,000","20,018,000","-14,036,000","-9,912,000","21,446,000","-15,477,000"
	NetIncome,"158,200,000","118,000,000","60,600,000","-29,400,000","9,000,000","103,400,000","49,900,000","-18,700,000","8,092,000","62,925,000","37,127,000","-12,089,000","-23,431,000","39,088,000","20,018,000","-14,036,000","-9,202,000","21,446,000","-15,477,000"
		NetIncomeIncludingNoncontrollingInterests,"158,200,000","118,000,000","60,600,000","-29,400,000","9,000,000","103,400,000","49,900,000","-18,700,000","8,092,000","62,925,000","37,127,000","-12,089,000","-23,431,000","39,088,000","20,018,000","-14,036,000","-9,202,000","21,446,000","-15,477,000"
			NetIncomeContinuousOperations,"158,200,000","118,000,000","60,600,000","-29,400,000","9,000,000","103,400,000","49,900,000","-18,700,000","8,092,000","62,925,000","37,127,000","-12,089,000","-23,431,000","39,088,000","20,018,000","-14,036,000","-9,202,000","21,446,000","-15,477,000"
DilutedNIAvailtoComStockholders,"158,200,000","118,000,000","60,600,000","-29,400,000","9,000,000","103,400,000","49,900,000","-18,700,000","8,092,000","62,925,000","37,127,000","-12,089,000","-24,694,000","39,088,000","20,018,000","-14,036,000","-9,912,000","21,446,000","-15,477,000"
BasicEPS,,"1.08","0.55","-0.27",,"0.94","0.46","-0.17","0.08","0.59","0.35","-0.11","-0.23","0.368","0.188","-0.132",,"0.202","-0.146"
DilutedEPS,,"1.07","0.55","-0.27",,"0.93","0.45","-0.17","0.07","0.56","0.33","-0.11","-0.23","0.362","0.185","-0.132",,"0.198","-0.146"
BasicAverageShares,,"109,646,184","109,539,715","110,012,100",,"109,717,345","109,320,152","108,660,494","108,074,609","107,442,446","106,992,382","106,500,498","101,062,660","106,308,154","106,308,154","106,308,154",,"106,308,154","106,308,154"
DilutedAverageShares,,"110,581,202","110,831,032","110,012,100",,"111,729,981","111,836,092","108,660,494","111,629,427","111,612,786","111,478,881","106,500,498","103,155,814","108,059,624","108,059,624","108,059,624",,"108,059,624","107,988,361"
TotalOperatingIncomeAsReported,"221,000,000","161,400,000","75,400,000","-27,500,000","11,700,000","139,900,000","65,000,000","-19,900,000","14,827,000","89,825,000","48,234,000","-14,758,000","-28,605,000","56,314,000","27,672,000","-14,880,000","-9,412,000","30,892,000","-18,743,000"
TotalExpenses,"752,400,000","290,700,000","218,600,000","98,600,000","144,500,000","259,400,000","165,300,000","64,600,000","109,994,000","176,000,000","124,096,000","42,963,000","79,701,000","152,737,000","100,263,000","30,575,000","51,333,000","84,612,000","36,006,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"158,200,000","118,000,000","60,600,000","-29,400,000","9,000,000","103,400,000","49,900,000","-18,700,000","8,092,000","62,925,000","37,127,000","-12,089,000","-23,431,000","39,088,000","20,018,000","-14,036,000","-9,202,000","21,446,000","-15,477,000"
NormalizedIncome,"158,200,000","118,000,000","60,600,000","-24,216,120.907","9,000,000","103,400,000","49,900,000","-18,700,000","8,092,000","62,925,000","37,127,000","-12,089,000","-23,431,000","39,088,000","20,018,000","-14,036,000","-9,202,000","21,446,000","-15,477,000"
InterestIncome,"500,000","100,000","0","100,000","300,000","0","100,000","100,000","146,000","21,000","2,000",,"0","0",,,"1,000","0","1,000"
InterestExpense,"19,700,000","5,700,000","5,800,000","5,100,000","3,100,000","3,800,000","4,100,000","3,100,000","2,810,000","3,296,000","3,507,000","3,064,000","4,012,000","3,045,000","2,402,000","2,094,000","1,950,000","2,207,000","1,688,000"
NetInterestIncome,"-20,000,000","-5,800,000","-5,900,000","-5,200,000","-3,100,000","-3,900,000","-4,100,000","-3,100,000","-2,811,000","-3,386,000","-3,599,000","-3,092,000","-1,342,000","-3,087,000","-2,438,000","-3,095,000","-1,979,000","-2,215,000","-1,788,000"
EBIT,"213,700,000","161,300,000","75,300,000","-34,600,000","11,700,000","139,800,000","65,000,000","-19,900,000","14,826,000","89,735,000","48,142,000","-14,786,000","-25,935,000","56,272,000","27,636,000","-15,881,000","-9,441,000","30,884,000","-18,843,000"
EBITDA,"265,000,000"
ReconciledCostOfRevenue,"361,500,000","150,600,000","131,000,000","27,800,000","52,100,000","140,900,000","100,900,000","15,100,000","44,104,000","95,909,000","84,651,000","14,068,000","22,956,000","88,193,000","68,058,000","10,583,000","22,808,000","51,575,000","14,483,000"
ReconciledDepreciation,"51,300,000","16,500,000","14,100,000","13,300,000","7,400,000","6,400,000","4,500,000","4,400,000","4,948,000","3,300,000","2,900,000","3,063,000","2,050,000","2,539,000","2,033,000","1,899,000","1,273,000","1,104,000","1,029,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"158,200,000","118,000,000","60,600,000","-29,400,000","9,000,000","103,400,000","49,900,000","-18,700,000","8,092,000","62,925,000","37,127,000","-12,089,000","-23,431,000","39,088,000","20,018,000","-14,036,000","-9,202,000","21,446,000","-15,477,000"
TotalUnusualItemsExcludingGoodwill,,"0","0","-7,000,000",,,,,,,,,,,,,,,
TotalUnusualItems,,"0","0","-7,000,000",,,,,,,,,,,,,,,
NormalizedEBITDA,"265,000,000","177,800,000","89,400,000","-14,300,000","19,100,000","146,200,000","69,500,000","-15,500,000","19,774,000","93,035,000","51,042,000","-11,723,000","-23,885,000","58,811,000","29,669,000","-13,982,000","-8,168,000","31,988,000","-17,814,000"
TaxRateForCalcs,"0.185","0.242","0.128","0.259","0.265","0.24","0.181","0.187","0.327","0.272","0.168","0.323","0.218","0.266","0.207","0.219","0.192","0.252","0.246"
TaxEffectOfUnusualItems,"0","0","0","-1,816,120.907","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
