name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalRevenue,"1,910,100,000","1,958,100,000","1,932,100,000","1,716,500,000","1,598,600,000","3,051,500,000","3,243,000,000","3,060,700,000","3,155,500,000","3,211,900,000","2,675,000,000","2,825,000,000","3,317,000,000","3,115,200,000","2,826,500,000","2,569,500,000","2,259,900,000","1,980,500,000","1,817,200,000","1,723,200,000","1,597,400,000","1,471,900,000","1,463,400,000","1,479,700,000"
	OperatingRevenue,"1,910,100,000","1,958,100,000","1,932,100,000","1,716,500,000","1,598,600,000","3,051,500,000","3,243,000,000","3,060,700,000","3,155,500,000","3,211,900,000","2,675,000,000","2,825,000,000","3,317,000,000","3,115,200,000","2,826,500,000","2,569,500,000","2,259,900,000","1,980,500,000","1,817,200,000","1,723,200,000","1,597,400,000","1,471,900,000","1,463,400,000","1,479,700,000"
CostOfRevenue,"1,145,400,000","1,164,400,000","1,165,400,000","1,053,200,000","942,700,000","1,884,000,000","2,050,600,000","1,918,600,000","1,989,200,000","2,053,400,000","1,729,600,000","1,900,700,000","2,338,700,000","2,147,400,000","1,845,000,000","1,689,800,000","1,431,500,000","1,289,800,000","1,148,900,000","1,092,900,000","973,900,000","856,200,000","884,800,000","908,300,000"
GrossProfit,"764,700,000","793,700,000","766,700,000","663,300,000","655,900,000","1,167,500,000","1,192,400,000","1,142,100,000","1,166,300,000","1,158,500,000","945,400,000","924,300,000","978,300,000","967,800,000","981,500,000","879,700,000","828,400,000","690,700,000","668,300,000","630,300,000","623,500,000","615,700,000","578,600,000","571,400,000"
OperatingExpense,"361,400,000","363,500,000","443,500,000","390,500,000","386,300,000","645,900,000","717,800,000","579,100,000","1,041,800,000","697,100,000","648,600,000","759,900,000","814,900,000","732,800,000","889,800,000","726,200,000","706,500,000","520,500,000","579,400,000","469,200,000","456,600,000","452,900,000","462,700,000","509,300,000"
	SellingGeneralAndAdministration,"296,900,000","299,000,000","307,000,000","302,600,000","308,800,000","569,700,000","624,500,000","505,700,000","608,700,000","628,600,000","588,300,000","656,400,000","732,200,000","653,200,000","712,500,000","553,000,000","546,600,000","365,600,000","433,100,000","336,100,000","323,100,000","321,300,000","321,400,000","374,000,000"
		GeneralAndAdministrativeExpense,,,,,"308,800,000","569,700,000","624,500,000",,"608,700,000","628,600,000","588,300,000","656,400,000","732,200,000",,,,,,,,,,,
			SalariesAndWages,,,,,"500,000","4,500,000","39,500,000",,"71,200,000","63,400,000","77,100,000","85,600,000","56,800,000",,,,,,,,,,,
			OtherGandA,,,,,"309,300,000","574,200,000","664,000,000",,"537,500,000","565,200,000","511,200,000","570,800,000","675,400,000",,,,,,,,,,,
	ResearchAndDevelopment,"64,500,000","64,500,000","62,700,000","53,500,000","48,800,000","69,600,000","79,500,000","65,200,000","64,500,000","68,500,000","60,300,000","70,100,000","82,700,000","79,600,000","63,800,000","59,200,000","51,100,000","52,000,000","51,700,000","44,100,000","45,700,000","42,400,000","47,400,000","42,400,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,"113,500,000","114,000,000","108,800,000","102,900,000","94,600,000","89,000,000","87,800,000","89,200,000","93,900,000","92,900,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,"113,500,000","114,000,000","108,800,000","102,900,000","94,600,000","89,000,000","87,800,000","89,200,000","93,900,000","92,900,000"
	ProvisionForDoubtfulAccounts,,"0","0","10,000,000",,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,"73,800,000","24,400,000","28,700,000","6,600,000","13,800,000","8,200,000","368,600,000",,,"33,400,000",,,,,,,,,,,,
OperatingIncome,"403,300,000","430,200,000","323,200,000","272,800,000","269,600,000","521,600,000","474,600,000","563,000,000","124,500,000","461,400,000","296,800,000","164,400,000","163,400,000","235,000,000","91,700,000","153,500,000","121,900,000","170,200,000","88,900,000","161,100,000","166,900,000","162,800,000","115,900,000","62,100,000"
NetNonOperatingInterestIncomeExpense,"-75,000,000","-76,700,000","-80,200,000","-79,500,000","-80,500,000","-100,400,000","-125,800,000","-171,800,000","-45,500,000","-42,100,000","-40,300,000","-38,300,000","-54,200,000",,,,,,,,,,,
	InterestIncomeNonOperating,,,,,"1,000,000","500,000","1,400,000","1,000,000","1,000,000","1,200,000","1,000,000",,,,,,,,,,,,,
	InterestExpenseNonOperating,"75,000,000","76,700,000","80,200,000","79,500,000","81,500,000","100,900,000","127,200,000","172,800,000","46,500,000","43,300,000","41,300,000","38,300,000","54,200,000",,,,,,,,,,,
OtherIncomeExpense,"-122,500,000","-170,000,000","1,900,000","17,600,000","-23,100,000","-111,600,000","-14,500,000","-30,600,000","-21,200,000","-35,800,000","-16,600,000","-33,400,000","32,000,000","-86,700,000","27,300,000","11,500,000","-408,200,000","-223,300,000","-6,900,000","18,300,000","-158,500,000","52,500,000","-310,400,000","100,500,000"
	GainOnSaleOfSecurity,,"-3,700,000","1,400,000","-6,600,000","2,400,000","11,900,000","2,300,000","-13,000,000","-1,000,000","-2,600,000","-4,400,000",,,,,,,,,,,,,
	EarningsFromEquityInterest,"24,900,000","27,800,000","31,800,000","25,900,000","29,800,000","20,400,000","19,700,000","22,900,000","18,500,000","15,200,000","17,800,000",,,,,,,,,,,,,
	SpecialIncomeCharges,"-66,000,000","-110,100,000","-58,500,000","-3,000,000","-52,200,000","-83,600,000","-40,500,000","-49,700,000","-23,500,000","-48,400,000","-30,000,000","-33,400,000","32,000,000","-86,700,000","27,300,000","11,500,000","-408,200,000","-223,300,000","-6,900,000","18,300,000","-158,500,000","52,500,000","-310,400,000","100,500,000"
		RestructuringAndMergernAcquisition,"17,400,000","17,300,000","53,700,000","29,600,000","41,100,000","87,200,000","22,400,000","12,500,000","6,900,000","6,900,000","11,200,000",,,,,,,"14,800,000","30,100,000",,,,,
		OtherSpecialCharges,"48,600,000","92,800,000","4,800,000","-26,600,000","11,100,000","-3,600,000","18,100,000","37,200,000","16,600,000","41,500,000","18,800,000",,,,,,,"208,500,000","-23,200,000",,,,,
		GainOnSaleOfPPE,,,,,,,,,,"-400,000","0",,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-78,000,000","-84,000,000","27,200,000","1,300,000","-3,100,000","-60,300,000","4,000,000","9,200,000","-15,200,000",,,,,,,,,,,,,,,
