name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
TotalRevenue,"1,910,100,000","421,500,000","504,500,000","470,500,000","513,600,000","469,500,000","520,000,000","494,900,000","485,700,000","431,500,000","459,500,000","429,500,000","429,500,000","398,000,000","440,800,000","404,500,000","390,500,000","362,800,000","758,700,000","790,100,000","782,100,000","720,600,000","804,100,000","856,400,000","838,000,000","744,500,000","776,700,000","771,300,000","802,800,000","709,900,000","797,800,000","776,600,000","826,700,000","754,400,000","825,600,000","864,200,000","826,400,000","695,700,000","693,000,000","682,100,000","685,000,000","614,900,000","678,300,000","753,600,000","711,000,000","682,100,000","768,400,000","889,400,000","900,000,000","759,200,000","803,700,000","783,100,000","812,800,000","715,600,000","697,400,000","741,400,000","729,100,000","658,600,000","636,400,000","653,400,000","676,500,000","603,200,000","589,100,000","579,900,000","572,400,000","518,500,000","500,300,000","524,100,000","505,500,000","450,600,000","453,400,000","478,700,000","476,300,000","419,800,000","429,100,000","448,100,000","456,600,000","414,500,000","453,200,000","394,700,000","384,600,000","364,900,000","381,200,000","372,200,000","373,000,000","345,400,000","372,400,000","380,300,000","369,900,000","340,800,000"
	OperatingRevenue,"1,910,100,000","421,500,000","504,500,000","470,500,000","513,600,000","469,500,000","520,000,000","494,900,000","485,700,000","431,500,000","459,500,000","429,500,000","429,500,000","398,000,000","440,800,000","404,500,000","390,500,000","362,800,000","758,700,000","790,100,000","782,100,000","720,600,000","804,100,000","856,400,000","838,000,000","744,500,000","776,700,000","771,300,000","802,800,000","709,900,000","797,800,000","776,600,000","826,700,000","754,400,000","825,600,000","864,200,000","826,400,000","695,700,000","693,000,000","682,100,000","685,000,000","614,900,000","678,300,000","753,600,000","711,000,000","682,100,000","768,400,000","889,400,000","900,000,000","759,200,000","803,700,000","783,100,000","812,800,000","715,600,000","697,400,000","741,400,000","729,100,000","658,600,000","636,400,000","653,400,000","676,500,000","603,200,000","589,100,000","579,900,000","572,400,000","518,500,000","511,300,000","521,000,000","503,400,000","450,600,000","453,400,000","478,700,000","471,600,000","413,500,000","429,100,000","448,100,000","450,300,000","395,700,000","453,200,000","394,700,000","384,600,000","364,900,000","381,200,000","372,200,000","373,000,000","345,400,000","372,400,000","380,300,000","369,900,000","340,800,000"
CostOfRevenue,"1,145,400,000","261,900,000","299,800,000","279,500,000","304,200,000","280,900,000","323,700,000","292,700,000","287,000,000","262,000,000","292,000,000","256,200,000","260,200,000","244,800,000","279,000,000","236,300,000","217,300,000","210,100,000","472,000,000","478,200,000","471,500,000","462,300,000","529,600,000","528,600,000","517,100,000","475,300,000","486,400,000","486,600,000","499,500,000","446,100,000","497,500,000","491,800,000","522,600,000","477,300,000","538,300,000","548,700,000","522,500,000","443,900,000","451,300,000","436,600,000","440,500,000","401,200,000","430,100,000","491,100,000","470,400,000","513,300,000","561,500,000","633,400,000","635,300,000","527,200,000","616,400,000","518,400,000","533,900,000","478,700,000","453,000,000","483,800,000","470,200,000","438,000,000","431,400,000","426,000,000","439,700,000","392,700,000","380,900,000","361,300,000","357,600,000","331,700,000","326,900,000","336,500,000","329,700,000","296,600,000","289,800,000","300,500,000","297,000,000","261,600,000","271,000,000","283,700,000","285,200,000","253,000,000","307,000,000","233,000,000","221,000,000","212,900,000","220,500,000","214,100,000","214,600,000","208,800,000","222,500,000","228,500,000","224,200,000","209,600,000"
GrossProfit,"764,700,000","159,600,000","204,700,000","191,000,000","209,400,000","188,600,000","196,300,000","202,200,000","198,700,000","169,500,000","167,500,000","173,300,000","169,300,000","153,200,000","161,800,000","168,200,000","173,200,000","152,700,000","286,700,000","311,900,000","310,600,000","258,300,000","274,500,000","327,800,000","320,900,000","269,200,000","290,300,000","284,700,000","303,300,000","263,800,000","300,300,000","284,800,000","304,100,000","277,100,000","287,300,000","315,500,000","303,900,000","251,800,000","241,700,000","245,500,000","244,500,000","213,700,000","248,200,000","262,500,000","240,600,000","168,800,000","206,900,000","256,000,000","264,700,000","232,000,000","187,300,000","264,700,000","278,900,000","236,900,000","244,400,000","257,600,000","258,900,000","220,600,000","205,000,000","227,400,000","236,800,000","210,500,000","208,200,000","218,600,000","214,800,000","186,800,000","173,400,000","187,600,000","175,800,000","154,000,000","163,600,000","178,200,000","179,300,000","158,200,000","158,100,000","164,400,000","171,400,000","161,500,000","146,200,000","161,700,000","163,600,000","152,000,000","160,700,000","158,100,000","158,400,000","136,600,000","149,900,000","151,800,000","145,700,000","131,200,000"
OperatingExpense,"361,400,000","88,100,000","91,600,000","89,100,000","92,600,000","90,200,000","96,600,000","164,000,000","98,800,000","84,100,000","114,200,000","100,200,000","96,400,000","79,700,000","129,200,000","91,100,000","84,100,000","81,900,000","186,200,000","153,400,000","154,500,000","151,800,000","250,800,000","148,700,000","159,800,000","158,500,000","80,000,000","160,100,000","173,600,000","165,400,000","525,100,000","168,800,000","190,400,000","177,000,000","172,600,000","182,700,000","184,200,000","161,700,000","168,600,000","157,600,000","161,000,000","161,400,000","190,900,000","176,500,000","185,600,000","202,700,000","253,100,000","188,300,000","208,100,000","178,800,000","146,900,000","203,500,000","208,800,000","185,600,000","262,200,000","209,200,000","231,800,000","186,600,000","190,600,000","172,200,000","182,600,000","163,200,000","204,700,000","181,000,000","166,400,000","154,400,000","35,400,000","191,200,000","147,900,000","130,600,000","184,700,000","143,200,000","125,000,000","126,500,000","114,800,000","120,400,000","111,200,000","122,800,000","111,500,000","107,500,000","118,500,000","119,100,000","115,500,000","113,900,000","114,100,000","109,500,000","122,000,000","115,100,000","112,900,000","112,800,000"
	SellingGeneralAndAdministration,"296,900,000","71,100,000","75,300,000","74,200,000","76,300,000","73,200,000","79,900,000","75,600,000","82,200,000","69,300,000","95,300,000","70,500,000","70,300,000","66,500,000","107,300,000","67,100,000","66,400,000","68,000,000","164,800,000","131,800,000","135,900,000","137,200,000","227,600,000","124,000,000","136,100,000","136,800,000","59,100,000","143,400,000","155,700,000","147,500,000","139,900,000","153,400,000","154,900,000","160,500,000","140,800,000","168,700,000","167,500,000","151,600,000","140,400,000","146,600,000","152,500,000","147,300,000","129,200,000","177,000,000","167,900,000","182,300,000","233,800,000","167,800,000","186,900,000","157,100,000","205,800,000","155,700,000","163,500,000","140,200,000","216,700,000","164,500,000","188,300,000","143,000,000","148,600,000","128,600,000","138,900,000","119,300,000","164,000,000","141,000,000","127,100,000","114,500,000","-3,200,000","153,200,000","108,400,000","91,800,000","145,600,000","106,300,000","89,400,000","91,800,000","78,400,000","87,200,000","79,800,000","90,700,000","77,200,000","74,700,000","85,600,000","85,600,000","83,500,000","81,000,000","81,400,000","75,400,000","81,300,000","80,800,000","78,700,000","80,600,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,"107,300,000",,,,"164,800,000","131,800,000","135,900,000",,"227,600,000","124,000,000","136,100,000",,,"143,400,000","155,700,000","147,500,000","139,900,000","153,400,000","154,900,000","160,500,000","140,800,000","168,700,000","167,500,000","151,600,000","140,400,000","146,600,000","152,500,000","147,300,000","129,200,000","177,000,000","167,900,000","182,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,"500,000",,,,"0","4,500,000","0",,"7,900,000","23,700,000","7,900,000",,,"18,200,000","18,100,000","18,600,000","18,000,000","17,600,000","16,800,000","18,800,000","15,900,000","15,900,000","15,100,000","16,500,000","19,800,000","19,100,000","18,400,000","19,800,000","21,700,000","21,500,000","20,500,000","21,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,"107,800,000",,,,"164,800,000","136,300,000","135,900,000",,"235,500,000","147,700,000","144,000,000",,,"125,200,000","137,600,000","128,900,000","121,900,000","135,800,000","138,100,000","141,700,000","124,900,000","152,800,000","152,400,000","135,100,000","120,600,000","127,500,000","134,100,000","127,500,000","107,500,000","155,500,000","147,400,000","160,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"64,500,000","17,000,000","16,300,000","14,900,000","16,300,000","17,000,000","16,200,000","15,700,000","16,100,000","14,700,000","14,100,000","13,300,000","12,900,000","13,200,000","12,600,000","12,100,000","12,400,000","11,700,000","16,400,000","17,400,000","17,900,000","17,900,000","18,200,000","20,500,000","20,300,000","20,500,000","16,700,000","15,000,000","16,600,000","16,900,000","16,600,000","15,400,000","16,000,000","16,500,000","19,400,000","16,800,000","16,700,000","15,600,000","15,400,000","14,800,000","14,800,000","15,300,000","17,300,000","16,600,000","17,600,000","18,600,000","19,300,000","20,500,000","21,200,000","21,700,000","24,600,000","19,500,000","17,700,000","17,800,000","17,700,000","15,500,000","15,100,000","15,500,000","14,100,000","14,900,000","15,100,000","15,100,000","12,300,000","13,100,000","13,000,000","12,700,000","11,800,000","11,900,000","14,200,000","14,100,000","15,100,000","12,400,000","12,300,000","11,900,000","11,800,000","11,400,000","10,700,000","10,200,000","12,400,000","11,200,000","10,800,000","11,300,000","10,600,000","10,600,000","10,100,000","11,100,000","15,500,000","10,900,000","10,600,000","10,400,000"
