name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999
TotalAssets,"992,968,000,000","931,796,000,000","916,776,000,000","860,165,000,000","861,395,000,000","856,240,000,000","911,507,000,000","938,555,000,000","923,225,000,000","911,332,000,000","848,942,000,000","884,547,000,000","1,119,796,000,000","838,201,000,000","706,804,000,000","531,379,000,000","403,799,000,000","355,574,000,000","312,218,000,000","289,760,000,000","250,491,000,000"
	CashCashEquivalentsAndFederalFundsSold,"219,237,000,000","269,805,000,000","230,873,000,000","238,636,000,000","252,848,000,000","237,254,000,000","272,536,000,000","263,674,000,000","308,061,000,000","281,874,000,000","219,233,000,000","244,425,000,000","217,538,000,000","88,419,000,000","93,880,000,000","48,622,000,000","33,943,000,000","50,594,000,000","34,560,000,000","83,729,000,000","149,907,000,000"
		CashAndCashEquivalents,"133,546,000,000","130,547,000,000","110,051,000,000","121,711,000,000","75,105,000,000","57,600,000,000","61,133,000,000","72,669,000,000","56,008,000,000","39,788,000,000","74,954,000,000","15,740,000,000","11,882,000,000","6,293,000,000","10,261,000,000","4,365,000,000","7,087,000,000","4,822,000,000","6,909,000,000","4,736,000,000","3,055,000,000"
			CashEquivalents,,,,,,,,,,,,,,,,,,,,"3,870,000,000",
			CashAndDueFromBanks,"133,546,000,000","130,547,000,000","110,051,000,000","121,711,000,000","75,105,000,000","57,600,000,000","61,133,000,000","72,669,000,000","56,008,000,000","39,788,000,000","74,954,000,000","15,740,000,000","11,882,000,000","6,293,000,000","10,261,000,000","4,365,000,000","7,087,000,000","4,822,000,000","6,909,000,000","866,000,000","3,055,000,000"
		RestrictedCashAndInvestments,,,"312,000,000,000",,"56,838,000,000","51,716,000,000","49,671,000,000","49,671,000,000","64,264,000,000","53,731,000,000",,"106,664,000,000","119,939,000,000",,,,,,,,
			RestrictedCashAndCashEquivalents,,,,,,,,,,"53,731,000,000",,,,,,,,,,,
		MoneyMarketInvestments,"85,691,000,000","139,258,000,000","120,822,000,000","116,925,000,000","120,905,000,000","127,938,000,000","161,732,000,000","141,334,000,000","187,789,000,000","188,355,000,000","144,279,000,000","122,021,000,000","85,717,000,000","82,126,000,000","83,619,000,000","44,257,000,000","26,856,000,000","45,772,000,000","27,651,000,000","78,993,000,000","146,852,000,000"
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"85,691,000,000","139,258,000,000","120,822,000,000","116,925,000,000","120,905,000,000","127,938,000,000","161,732,000,000","141,334,000,000","187,789,000,000","188,355,000,000","144,279,000,000","122,021,000,000","85,717,000,000","82,126,000,000","83,619,000,000","44,257,000,000","26,856,000,000","45,772,000,000","27,651,000,000","78,993,000,000","146,852,000,000"
				SecurityAgreeToBeResell,"85,691,000,000","139,258,000,000","120,822,000,000","116,925,000,000","120,905,000,000","127,938,000,000","161,732,000,000","141,334,000,000","187,789,000,000","188,355,000,000","144,279,000,000",,,,,,,,,,
