name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
TotalRevenue,"2,992,300,000","710,100,000","725,700,000","746,600,000","809,900,000","804,900,000","792,100,000","828,400,000","875,100,000","852,000,000","781,800,000","760,600,000","769,100,000","730,200,000","667,700,000"
	OperatingRevenue,"2,992,300,000","710,100,000","725,700,000","746,600,000","809,900,000","804,900,000","792,100,000","828,400,000","875,100,000","852,000,000","781,800,000","760,600,000","769,100,000","730,200,000","667,700,000"
CostOfRevenue,"1,901,300,000","454,300,000","464,300,000","474,200,000","508,500,000","497,600,000","482,100,000","501,200,000","517,600,000","516,100,000","479,800,000","449,800,000","450,700,000","443,400,000","423,300,000"
GrossProfit,"1,091,000,000","255,800,000","261,400,000","272,400,000","301,400,000","307,300,000","310,000,000","327,200,000","357,500,000","335,900,000","302,000,000","310,800,000","318,400,000","286,800,000","244,400,000"
OperatingExpense,"776,400,000","195,200,000","188,900,000","193,000,000","199,300,000","202,100,000","187,200,000","208,600,000","213,500,000","213,900,000","193,300,000","198,700,000","197,100,000","190,200,000","177,300,000"
	SellingGeneralAndAdministration,"767,900,000","192,900,000","186,400,000","191,200,000","197,400,000","199,200,000","185,400,000","203,500,000","210,400,000","209,600,000","193,500,000","198,800,000","197,200,000","190,100,000","174,100,000"
		GeneralAndAdministrativeExpense,"767,900,000","192,900,000","186,400,000","191,200,000","197,400,000","199,200,000","185,400,000","203,500,000","210,400,000","209,600,000","193,500,000","198,800,000","197,200,000","190,100,000","174,100,000"
			SalariesAndWages,"2,300,000","500,000","500,000","700,000","600,000","1,300,000","700,000","800,000","600,000","1,000,000",,"2,600,000","1,600,000","1,600,000",
			OtherGandA,"770,200,000","193,400,000","186,900,000","191,900,000","198,000,000","200,500,000","184,700,000","202,700,000","209,800,000","208,600,000","193,500,000","201,400,000","195,600,000","188,500,000","174,100,000"
	OtherOperatingExpenses,"8,500,000","2,300,000","2,500,000","1,800,000","1,900,000","2,900,000","1,800,000","5,100,000","3,100,000","4,300,000","-200,000","-100,000","-100,000","100,000","3,200,000"
OperatingIncome,"314,600,000","60,600,000","72,500,000","79,400,000","102,100,000","105,200,000","122,800,000","118,600,000","144,000,000","122,000,000","108,700,000","112,100,000","121,300,000","96,600,000","67,100,000"
NetNonOperatingInterestIncomeExpense,"-149,800,000","-34,700,000","-41,000,000","-36,000,000","-38,100,000","-37,000,000","-35,100,000","-39,200,000","-39,200,000","-58,700,000","-54,300,000","-53,800,000","-67,800,000","-54,100,000","-52,900,000"
	InterestIncomeNonOperating,"6,600,000","2,000,000","2,300,000","1,200,000","1,100,000","1,100,000","1,000,000","1,000,000","600,000","1,100,000","1,300,000","1,200,000","1,000,000","1,100,000","1,000,000"
	InterestExpenseNonOperating,"139,900,000","34,300,000","34,700,000","34,700,000","36,200,000","35,600,000","33,600,000","37,700,000","37,200,000","41,800,000","55,600,000","52,100,000","51,500,000","50,900,000","53,900,000"
	TotalOtherFinanceCost,"16,500,000","2,400,000","8,600,000","2,500,000","3,000,000","2,500,000","2,500,000","2,500,000","2,600,000","18,000,000",,"2,900,000","17,300,000","4,300,000",
OtherIncomeExpense,"-7,600,000","-2,100,000","-4,200,000","-1,500,000","200,000","-2,800,000","-3,900,000","-5,200,000","-400,000","-22,200,000","-30,200,000","-24,300,000","-40,700,000","-4,000,000","-1,500,000"
	GainOnSaleOfSecurity,"-400,000","-300,000","-200,000","400,000","-300,000","900,000","300,000","-3,900,000","2,900,000","9,400,000","-9,800,000","-12,500,000","-34,900,000","-200,000","4,000,000"
	SpecialIncomeCharges,"-7,300,000","-1,700,000","-4,000,000","-2,000,000","400,000","-3,700,000","-3,700,000","-1,600,000","-3,700,000","-31,700,000","-18,700,000","-9,600,000","-6,200,000","-3,800,000","-5,600,000"
		RestructuringAndMergernAcquisition,"6,600,000","1,700,000","4,000,000","1,300,000","-400,000","3,700,000","3,700,000","1,400,000","3,600,000","4,400,000","15,900,000","9,600,000","6,200,000","3,800,000","3,800,000"
		ImpairmentOfCapitalAssets,,,"0","700,000","0","0","0","200,000","100,000","300,000","2,800,000","0",,"0","1,800,000"
		OtherSpecialCharges,,,,,,,"0",,,"27,000,000",,,,,
