name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,09/30/2012,09/30/2011,09/30/2010
TotalRevenue,"141,514,000","141,514,000","83,096,000","62,390,000","42,067,000","31,402,000","25,864,000","14,611,000","17,288,782","1,953,000","15,336,453"
	NetInterestIncome,"11,959,000","11,959,000","-2,527,000","-3,659,000","4,783,000","38,897,000","26,950,000","17,309,000","-287,126","11,444,000","-369,540"
		InterestIncome,"76,200,000","76,200,000","74,347,000","61,813,000","50,024,000","38,897,000","26,950,000","17,365,000","287,126","11,739,000","369,540"
		InterestExpense,"64,241,000","64,241,000","76,874,000","65,472,000","45,241,000",,,"56,000","287,126","295,000","369,540"
	NonInterestIncome,"129,555,000","129,555,000","85,623,000","66,049,000","37,284,000","-7,495,000","-1,086,000","-2,698,000",,"-9,491,000",
		FeesAndCommissions,"15,074,000","15,074,000","5,927,000","2,973,000","1,816,000","1,451,000","1,900,000","1,483,000",,"877,000",
			FeesandCommissionIncome,"15,074,000","15,074,000","5,927,000","2,973,000","1,816,000","1,451,000","1,900,000","1,483,000",,"877,000",
OtherNonOperatingIncomeExpenses,,,,,,,,,"51,936",,"70,496"
PretaxIncome,"90,017,000","90,017,000","43,942,000","31,920,000","14,897,000","8,152,000","9,796,000","-12,885,000","3,804,466","-5,012,000","14,080,537"
TaxProvision,"8,097,000","8,097,000","2,144,000","885,000","141,000","118,000","26,000","-251,000",,"0",
NetIncomeCommonStockholders,"81,564,000","81,564,000","41,577,000","30,856,000","14,652,000","7,958,000","9,607,000","-10,459,000","9,311,874","-5,012,000","14,080,537"
	NetIncome,"81,564,000","81,564,000","41,577,000","30,856,000","14,652,000","7,958,000","9,607,000","-10,459,000","3,804,466","-5,012,000","14,080,537"
		NetIncomeIncludingNoncontrollingInterests,"81,920,000","81,920,000","41,798,000","31,035,000","14,756,000","8,034,000","9,770,000","-12,634,000","3,804,466","-5,012,000","14,080,537"
			NetIncomeContinuousOperations,"81,920,000","81,920,000","41,798,000","31,035,000","14,756,000","8,034,000","9,770,000","-12,634,000","3,804,466","-5,012,000","14,080,537"
		MinorityInterests,"-356,000","-356,000","-221,000","-179,000","-104,000","-76,000","-163,000","2,175,000",,,
DilutedNIAvailtoComStockholders,"81,564,000","81,564,000","41,577,000","30,856,000","14,652,000","7,958,000","9,607,000","-10,459,000","9,311,874","-5,012,000","14,080,537"
BasicEPS,,,"0.75","0.57","0.32","0.21","0.43","-0.68","0.6","-0.331","0.931"
DilutedEPS,,,"0.75","0.57","0.32","0.21","0.43","-0.68","0.6","-0.331","0.931"
BasicAverageShares,,,"52,780,449","50,361,672","40,290,717","30,761,151","20,656,826","15,716,250","15,127,372","15,127,372","15,127,372"
DilutedAverageShares,,,"52,780,449","50,361,672","40,290,717","30,761,151","20,656,826","15,716,250","15,127,372","15,127,372","15,127,372"
NetIncomeFromContinuingAndDiscontinuedOperation,"81,564,000","81,564,000","41,577,000","30,856,000","14,652,000","7,958,000","9,607,000","-10,459,000","3,804,466","-5,012,000","14,080,537"
NormalizedIncome,"81,564,000","81,564,000","41,577,000","30,856,000","14,652,000","7,958,000","9,607,000","-10,459,000","3,804,466","-5,012,000","14,080,537"
ReconciledDepreciation,"3,593,000","3,593,000","15,253,000","13,171,000","7,658,000","3,950,000","522,000","652,000","792,157","1,020,000","3,759,744"
NetIncomeFromContinuingOperationNetMinorityInterest,"81,564,000","81,564,000","41,577,000","30,856,000","14,652,000","7,958,000","9,607,000","-10,459,000","3,804,466","-5,012,000","14,080,537"
TaxRateForCalcs,"0.05","0.05","0.13","0.028","0","0.01","0.003","0.019","0.35","0","0.35"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0"
