name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001
TotalAssets,"15,305,112,700,000","13,280,073,600,000","11,367,308,800,000","9,066,980,500,000","7,736,723,300,000","6,259,015,800,000","5,125,407,300,000","4,370,906,100,000","3,571,155,700,000","2,920,236,300,000","2,416,520,400,000","2,020,744,800,000","1,507,240,000,000","1,015,582,946,478","792,380,386,006","530,039,273,748","426,676,809,855","310,943,161,233","242,519,201,471","161,128,500,000"
	CashCashEquivalentsAndFederalFundsSold,"866,187,200,000","939,947,200,000","1,374,864,700,000","622,711,200,000","536,356,800,000","520,135,500,000","612,045,600,000","492,771,000,000","365,380,100,000","288,902,100,000","317,661,700,000","196,721,600,000","153,052,000,000","93,584,475,668","75,773,106,655","46,327,508,508","56,503,256,480","31,601,899,116","34,518,213,884","27,893,000,000"
		CashAndCashEquivalents,"866,187,200,000","855,413,900,000","719,031,000,000","566,712,600,000","531,198,300,000","515,345,900,000","551,045,600,000","421,398,800,000","341,288,900,000","288,902,100,000","297,558,500,000","171,224,400,000","153,052,000,000","93,584,475,668","71,566,707,791","37,620,085,380","32,997,832,370","23,876,779,806","34,518,213,884","26,121,100,000"
			CashFinancial,"722,051,200,000",,"1,046,882,100,000","379,105,500,000","300,583,100,000","275,222,900,000","253,456,300,000","146,274,000,000",,,,,,,,,,,,
			CashEquivalents,,,,,,,,,,,,,"147,136,000,000","80,736,159,232",,,,,,
			CashAndDueFromBanks,"144,136,000,000","734,872,600,000","574,151,000,000","430,708,600,000","377,671,700,000","341,124,300,000","370,835,200,000","218,740,200,000","188,043,000,000","288,902,100,000","297,558,500,000","171,224,400,000","5,916,000,000","12,848,316,436","71,566,707,791","37,620,085,380","32,997,832,370","23,876,779,806","34,518,213,884","26,121,100,000"
			InterestBearingDepositsAssets,,"120,541,300,000","144,880,000,000","136,004,000,000","153,526,600,000","174,221,600,000","180,210,400,000","202,658,600,000","153,245,900,000",,,,,,,,,,,
		RestrictedCashAndInvestments,,"8,319,800,000","5,815,100,000","5,998,600,000","4,138,600,000","3,197,000,000","3,677,400,000","4,372,200,000","3,222,900,000",,"103,200,000",,,,,"8,707,423,128","3,561,822,295","7,725,119,310",,
		MoneyMarketInvestments,,"76,213,500,000","650,018,600,000","50,000,000,000","1,019,900,000","1,592,600,000","57,322,600,000","67,000,000,000","20,868,300,000",,"20,000,000,000","25,497,200,000",,,"4,206,398,864",,"19,943,601,815",,,"1,771,900,000"
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,"76,213,500,000","650,018,600,000","50,000,000,000","1,019,900,000","1,592,600,000","57,322,600,000","67,000,000,000","20,868,300,000",,"20,000,000,000","25,497,200,000",,,"4,206,398,864",,"19,943,601,815",,,"1,771,900,000"
				SecurityAgreeToBeResell,,"76,213,500,000","650,018,600,000","50,000,000,000","1,019,900,000","1,592,600,000","57,322,600,000","67,000,000,000","20,868,300,000",,"20,000,000,000","25,497,200,000",,,,,,,,"1,771,900,000"
