name,ttm,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012
TotalRevenue,"6,146,000,000","1,385,000,000","1,644,000,000","1,624,000,000","1,493,000,000","1,446,000,000","1,612,000,000","1,600,000,000","1,389,000,000","1,183,000,000","1,370,000,000","1,352,000,000","1,873,000,000","1,634,000,000","2,008,000,000","2,016,000,000","1,781,000,000","1,648,000,000","2,012,000,000","2,006,000,000","2,221,000,000","1,786,000,000","2,488,000,000","2,447,000,000","2,161,000,000","1,865,000,000","2,297,000,000","2,257,000,000","2,068,000,000","1,994,000,000","2,146,000,000","2,059,000,000","1,836,000,000"
	OperatingRevenue,"6,146,000,000","1,385,000,000","1,644,000,000","1,624,000,000","1,493,000,000","1,446,000,000","1,612,000,000","1,600,000,000","1,389,000,000","1,183,000,000","1,370,000,000","1,352,000,000","1,873,000,000","1,634,000,000","2,008,000,000","2,016,000,000","1,781,000,000","1,648,000,000","2,012,000,000","2,006,000,000","2,221,000,000","1,786,000,000","2,488,000,000","2,447,000,000","2,161,000,000","1,865,000,000","2,297,000,000","2,257,000,000","2,068,000,000","1,994,000,000","2,146,000,000","2,059,000,000","1,836,000,000"
CostOfRevenue,"3,743,000,000","840,000,000","1,004,000,000","991,000,000","908,000,000","874,000,000","983,000,000","978,000,000","837,000,000","715,000,000","828,000,000","813,000,000","1,242,000,000","1,074,000,000","1,325,000,000","1,336,000,000","1,172,000,000","1,097,000,000","1,346,000,000","1,341,000,000","1,572,000,000","1,307,000,000","1,762,000,000","1,725,000,000","1,530,000,000","1,320,000,000","1,629,000,000","1,596,000,000","1,470,000,000","1,407,000,000","1,530,000,000","1,465,000,000","1,313,000,000"
GrossProfit,"2,403,000,000","545,000,000","640,000,000","633,000,000","585,000,000","572,000,000","629,000,000","622,000,000","552,000,000","468,000,000","542,000,000","539,000,000","631,000,000","560,000,000","683,000,000","680,000,000","609,000,000","551,000,000","666,000,000","665,000,000","649,000,000","479,000,000","726,000,000","722,000,000","631,000,000","545,000,000","668,000,000","661,000,000","598,000,000","587,000,000","616,000,000","594,000,000","523,000,000"
OperatingExpense,"1,672,000,000","402,000,000","431,000,000","422,000,000","417,000,000","423,000,000","416,000,000","409,000,000","394,000,000","348,000,000","357,000,000","359,000,000","455,000,000","422,000,000","448,000,000","438,000,000","424,000,000","415,000,000","433,000,000","443,000,000","482,000,000","368,000,000","524,000,000","532,000,000","509,000,000","458,000,000","508,000,000","511,000,000","498,000,000","524,000,000","502,000,000","491,000,000","480,000,000"
	SellingGeneralAndAdministration,"1,566,000,000","373,000,000","405,000,000","396,000,000","392,000,000","396,000,000","391,000,000","384,000,000","372,000,000","326,000,000","336,000,000","338,000,000","431,000,000","398,000,000","424,000,000","414,000,000","401,000,000","388,000,000","405,000,000","415,000,000","447,000,000","344,000,000","467,000,000","468,000,000","447,000,000","397,000,000","447,000,000","450,000,000","439,000,000","438,000,000","418,000,000","408,000,000","397,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"106,000,000","29,000,000","26,000,000","26,000,000","25,000,000","27,000,000","25,000,000","25,000,000","22,000,000","22,000,000","21,000,000","21,000,000","24,000,000","24,000,000","24,000,000","24,000,000","23,000,000","27,000,000","28,000,000","28,000,000","35,000,000","24,000,000","57,000,000","64,000,000","62,000,000","61,000,000","61,000,000","61,000,000","59,000,000","86,000,000","84,000,000","83,000,000","83,000,000"
		DepreciationAndAmortizationInIncomeStatement,"106,000,000","29,000,000","26,000,000","26,000,000","25,000,000","27,000,000","25,000,000","25,000,000","22,000,000","22,000,000","21,000,000","21,000,000","24,000,000","24,000,000","24,000,000","24,000,000","23,000,000","27,000,000","28,000,000","28,000,000","35,000,000","24,000,000","57,000,000","64,000,000","62,000,000","61,000,000","61,000,000","61,000,000","59,000,000","86,000,000","84,000,000","83,000,000","83,000,000"
OperatingIncome,"731,000,000","143,000,000","209,000,000","211,000,000","168,000,000","149,000,000","213,000,000","213,000,000","158,000,000","120,000,000","185,000,000","180,000,000","176,000,000","138,000,000","235,000,000","242,000,000","185,000,000","136,000,000","233,000,000","222,000,000","167,000,000","111,000,000","202,000,000","190,000,000","122,000,000","87,000,000","160,000,000","150,000,000","100,000,000","63,000,000","114,000,000","103,000,000","43,000,000"
NetNonOperatingInterestIncomeExpense,"-110,000,000","-27,000,000","-27,000,000","-28,000,000","-28,000,000","-29,000,000","-32,000,000","-35,000,000","-33,000,000","-31,000,000","-35,000,000","-49,000,000","-49,000,000","-50,000,000","-65,000,000","-69,000,000","-85,000,000","-83,000,000","-99,000,000","-106,000,000","-106,000,000","-114,000,000","-115,000,000","-116,000,000","-116,000,000","-119,000,000","-118,000,000","-144,000,000","-147,000,000","-169,000,000","-165,000,000","-158,000,000","-166,000,000"
	InterestIncomeNonOperating,"0","0","0","0","0","0","0","0","1,000,000","1,000,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"110,000,000","27,000,000","27,000,000","28,000,000","28,000,000","29,000,000","32,000,000","35,000,000","34,000,000","32,000,000","36,000,000","49,000,000","49,000,000","50,000,000","65,000,000","69,000,000","85,000,000","83,000,000","99,000,000","106,000,000","106,000,000","114,000,000","115,000,000","116,000,000","116,000,000","119,000,000","118,000,000","144,000,000","147,000,000","169,000,000","165,000,000","158,000,000","166,000,000"
OtherIncomeExpense,"-8,000,000","-6,000,000","-4,000,000",,"2,000,000","0","-69,000,000","-2,000,000","-7,000,000","-6,000,000","-81,000,000",,"-5,000,000","2,000,000","-63,000,000","-5,000,000","-122,000,000","-6,000,000","-104,000,000","-1,000,000",,"-106,000,000","4,000,000","-4,000,000","-6,000,000","-9,000,000",,"-66,000,000","-41,000,000","-641,000,000",,,"-220,000,000"
	SpecialIncomeCharges,"-8,000,000","-6,000,000","-4,000,000","0","2,000,000","0","-69,000,000","-2,000,000","-7,000,000","-6,000,000","-81,000,000","0","-3,000,000","2,000,000","-63,000,000","-5,000,000","-122,000,000","-6,000,000","-104,000,000","0","0","-106,000,000","0","-4,000,000","-5,000,000","-9,000,000","0","-46,000,000","-40,000,000","-641,000,000","0","0","-220,000,000"
		RestructuringAndMergernAcquisition,"8,000,000","6,000,000","4,000,000","0","-2,000,000","0","0","2,000,000","7,000,000","3,000,000","3,000,000","0","0","-7,000,000","4,000,000","5,000,000","7,000,000","6,000,000","4,000,000","0","0","0","0","4,000,000","3,000,000","9,000,000",,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,
		OtherSpecialCharges,,,,,,"0","69,000,000",,,"3,000,000","78,000,000",,"3,000,000","5,000,000","59,000,000",,"115,000,000","0","100,000,000",,,"106,000,000",,,"2,000,000","0",,"46,000,000","40,000,000","489,000,000",,,"220,000,000"
	OtherNonOperatingIncomeExpenses,,,,,,,,,,,,,"-2,000,000",,,,,"0",,"-1,000,000",,"0","4,000,000",,"-1,000,000","0",,"-20,000,000","-1,000,000",,,,
PretaxIncome,"613,000,000","110,000,000","178,000,000","183,000,000","142,000,000","120,000,000","112,000,000","176,000,000","118,000,000","83,000,000","69,000,000","131,000,000","122,000,000","90,000,000","107,000,000","168,000,000","-22,000,000","47,000,000","30,000,000","115,000,000","61,000,000","-109,000,000","91,000,000","70,000,000","0","-41,000,000","42,000,000","-60,000,000","-88,000,000","-747,000,000","-51,000,000","-55,000,000","-343,000,000"
TaxProvision,"162,000,000","32,000,000","47,000,000","48,000,000","35,000,000","30,000,000","30,000,000","46,000,000","29,000,000","101,000,000","23,000,000","50,000,000","37,000,000","38,000,000","43,000,000","66,000,000","-8,000,000","-930,000,000","15,000,000","13,000,000","-181,000,000","2,000,000","31,000,000","22,000,000","1,000,000","16,000,000","-9,000,000","12,000,000","43,000,000","-33,000,000","2,000,000","1,000,000","33,000,000"
NetIncomeCommonStockholders,"452,000,000","78,000,000","132,000,000","135,000,000","107,000,000","92,000,000","82,000,000","131,000,000","89,000,000","-9,000,000","452,000,000","442,000,000","85,000,000","52,000,000","60,000,000","98,000,000","-14,000,000","871,000,000","250,000,000","109,000,000","242,000,000","-93,000,000","60,000,000","48,000,000","-12,000,000","-66,000,000","51,000,000","-72,000,000","-87,000,000","78,000,000","-50,000,000","-56,000,000","-360,000,000"
	NetIncome,"452,000,000","78,000,000","132,000,000","135,000,000","107,000,000","92,000,000","82,000,000","131,000,000","89,000,000","-9,000,000","452,000,000","442,000,000","85,000,000","52,000,000","60,000,000","98,000,000","-14,000,000","871,000,000","250,000,000","109,000,000","242,000,000","-93,000,000","60,000,000","48,000,000","-12,000,000","-66,000,000","51,000,000","-72,000,000","-131,000,000","-713,000,000","-50,000,000","-56,000,000","-360,000,000"
		NetIncomeIncludingNoncontrollingInterests,"452,000,000","78,000,000","132,000,000","135,000,000","107,000,000","92,000,000","82,000,000","131,000,000","89,000,000","-9,000,000","452,000,000","442,000,000","85,000,000","52,000,000","60,000,000","98,000,000","-14,000,000","871,000,000","250,000,000","109,000,000","242,000,000","-93,000,000","60,000,000","48,000,000","-12,000,000","-66,000,000","51,000,000","-72,000,000","-131,000,000","-713,000,000","-50,000,000","-56,000,000","-360,000,000"
			NetIncomeContinuousOperations,"451,000,000","78,000,000","131,000,000","135,000,000","107,000,000","90,000,000","82,000,000","130,000,000","89,000,000","-18,000,000","46,000,000","81,000,000","85,000,000","52,000,000","64,000,000","102,000,000","-14,000,000","977,000,000","15,000,000","102,000,000","242,000,000","-111,000,000","60,000,000","48,000,000","-1,000,000","-57,000,000","51,000,000","-72,000,000","-131,000,000","-714,000,000","-53,000,000","-56,000,000","-376,000,000"
			NetIncomeDiscontinuousOperations,"1,000,000","0","1,000,000","0",,"2,000,000","0","1,000,000","0","9,000,000","406,000,000","361,000,000","0","0","-4,000,000","-4,000,000","0","-106,000,000","235,000,000","7,000,000","0","18,000,000","0","0","-11,000,000","-9,000,000","0","0","0","1,000,000","3,000,000","0","16,000,000"
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-44,000,000",,,,
DilutedNIAvailtoComStockholders,"452,000,000","78,000,000","132,000,000","135,000,000","107,000,000","92,000,000","82,000,000","131,000,000","89,000,000","-9,000,000","452,000,000","442,000,000","85,000,000","52,000,000","60,000,000","98,000,000","-14,000,000","871,000,000","250,000,000","109,000,000","242,000,000","-93,000,000","60,000,000","48,000,000","-12,000,000","-66,000,000","51,000,000","-72,000,000","-87,000,000","78,000,000","-50,000,000","-56,000,000","-360,000,000"
BasicEPS,,"0.48","0.8","0.8","0.63","0.53","0.45","0.72","0.48","-0.05","2.43","2.24","0.42","0.26","0.3","0.49","-0.07","4.39","1.27","0.55","1.24",,"0.31","0.25","-0.06","-0.34","0.27","-0.47","-0.473",,"-0.272","-0.305","-1.959"
DilutedEPS,,"0.48","0.8","0.79","0.63","0.52","0.45","0.71","0.48","-0.05","2.42","2.22","0.42","0.26","0.3","0.49","-0.07","4.33","1.24","0.54","1.21",,"0.3","0.24","-0.06","-0.34","0.26","-0.47","-0.473",,"-0.272","-0.305","-1.959"
BasicAverageShares,,"161,436,000","164,638,000","169,546,000","170,000,000","174,831,000","182,730,000","182,992,000","184,326,000","184,831,000","185,651,000","197,752,000","200,708,000","199,888,000","199,593,000","199,250,000","198,808,000","198,276,000","197,529,000","196,893,000","195,347,000",,"194,288,000","194,227,000","192,859,000","191,858,000","191,750,000","153,433,000","183,770,155",,"183,770,155","183,770,155","183,770,155"
DilutedAverageShares,,"162,040,000","165,142,000","170,057,000","170,712,000","175,593,000","183,579,000","183,822,000","185,155,000","184,831,000","186,652,000","198,954,000","203,017,000","202,587,000","202,007,000","201,978,000","198,808,000","201,156,000","201,546,000","201,809,000","200,716,000",,"200,151,000","200,454,000","192,859,000","191,858,000","197,392,000","153,433,000","183,770,155",,"183,770,155","183,770,155","183,770,155"
