name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,07/31/2002,07/31/2001,07/31/2000,07/31/1999,07/31/1998,07/31/1997,07/31/1996,07/31/1995,07/31/1994,07/31/1993,07/31/1992,07/31/1991,07/31/1990,07/31/1989
TotalRevenue,"17,486,578,000","17,486,578,000","17,714,666,000","14,251,299,000","10,535,700,000","13,237,920,000","19,764,327,000","20,160,560,000","20,090,724,000","15,439,528,000","8,322,929,000","4,834,268,000","5,867,668,000","4,791,742,000","4,023,217,000","3,212,745,000","2,246,373,000","1,403,244,000","448,637,000","888,906,000","1,142,130,000","965,946,000","598,000,000","589,600,000","721,300,000","676,300,000","614,800,000","552,300,000","630,600,000","506,700,000","488,500,000","437,800,000","380,100,000"
	OperatingRevenue,"17,486,578,000","17,486,578,000","17,714,666,000","14,251,299,000","10,535,700,000","13,237,920,000","19,764,327,000","20,160,560,000","20,090,724,000","15,439,528,000","8,322,929,000","4,834,268,000","5,867,668,000","4,791,742,000","4,023,217,000","3,212,745,000","2,246,373,000","1,403,244,000","448,637,000","888,906,000","1,142,130,000","965,946,000","598,000,000","589,600,000","721,300,000","676,300,000","614,800,000","552,300,000","630,600,000","506,700,000","488,500,000","437,800,000","380,100,000"
CostOfRevenue,"14,428,309,000","14,428,309,000","14,378,106,000","11,877,736,000","9,128,954,000","10,585,369,000","17,591,766,000","17,695,673,000","16,083,511,000","13,428,159,000","7,871,563,000","4,238,008,000","5,548,641,000","4,213,181,000","3,558,350,000","2,637,083,000","1,836,686,000","1,286,903,000","419,496,000","699,624,000","873,363,000","802,392,000","429,800,000","518,800,000","656,600,000","600,500,000","554,100,000","485,500,000","568,500,000","474,200,000","448,400,000","380,400,000","313,000,000"
GrossProfit,"3,058,269,000","3,058,269,000","3,336,560,000","2,373,563,000","1,406,746,000","2,652,551,000","2,172,561,000","2,464,887,000","4,007,213,000","2,011,369,000","451,366,000","596,260,000","319,027,000","578,561,000","464,867,000","575,662,000","409,687,000","116,341,000","29,141,000","189,282,000","268,767,000","163,554,000","168,200,000","70,800,000","64,700,000","75,800,000","60,700,000","66,800,000","62,100,000","32,500,000","40,100,000","57,400,000","67,100,000"
OperatingExpense,"1,748,288,000","1,748,288,000","1,576,262,000","1,559,108,000","1,144,487,000","1,181,219,000","1,259,549,000","1,218,813,000","1,123,067,000","279,821,000","188,368,000","515,949,000","118,695,000","112,229,000","102,976,000","308,160,000","264,173,000","56,274,000","20,751,000","146,236,000","150,860,000","136,770,000","129,200,000","38,100,000","37,300,000","37,400,000","33,300,000","23,300,000","23,500,000","19,400,000","20,000,000","16,700,000","16,500,000"
	SellingGeneralAndAdministration,"354,236,000","354,236,000","290,424,000","264,874,000","125,648,000","120,846,000","114,609,000","127,963,000","128,101,000","120,114,000","70,839,000","60,343,000","54,906,000","68,773,000","63,255,000","264,343,000","223,692,000","34,782,000","9,025,000","118,537,000","123,533,000","109,274,000","102,800,000","13,700,000","17,100,000","18,100,000","17,500,000","12,400,000","12,200,000","9,300,000","13,000,000","10,200,000","10,000,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"159,707,000","117,529,000","98,751,000","63,789,000","43,456,000","39,721,000","43,817,000","40,481,000","36,275,000","11,726,000","27,699,000","27,327,000","27,496,000","26,400,000","24,400,000","20,200,000","19,300,000","15,800,000","10,900,000","11,300,000","10,100,000","7,000,000","6,500,000","6,500,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,"159,707,000","117,529,000","98,751,000","63,789,000","43,456,000","39,721,000","43,817,000","40,481,000","36,275,000","11,726,000","27,699,000","27,327,000","27,496,000","26,400,000","24,400,000","20,200,000","19,300,000","15,800,000","10,900,000","11,300,000","10,100,000","7,000,000","6,500,000","6,500,000"
	OtherOperatingExpenses,"1,394,052,000","1,394,052,000","1,285,838,000","1,294,234,000","1,018,839,000","1,060,373,000","1,144,940,000","1,090,850,000","994,966,000",,,"356,855,000","267,942,000",,,,,"-14,783,000",,,,,,,,,,,,,,,
OperatingIncome,"1,309,981,000","1,309,981,000","1,760,298,000","814,455,000","262,259,000","1,471,332,000","913,012,000","1,246,074,000","2,884,146,000","1,731,548,000","262,998,000","80,311,000","200,332,000","466,332,000","361,891,000","267,502,000","145,514,000","60,067,000","8,390,000","43,046,000","117,907,000","26,784,000","39,000,000","32,700,000","27,400,000","38,400,000","27,400,000","43,500,000","38,600,000","13,100,000","20,100,000","40,700,000","50,600,000"
