name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,12/31/2003
TotalAssets,"2,678,600,000","2,545,600,000","3,078,600,000","2,982,800,000","2,789,800,000","2,734,800,000","2,421,500,000","2,968,700,000","2,895,100,000","3,422,500,000","3,410,000,000","3,560,300,000","2,565,400,000","2,532,600,000","2,613,900,000","2,386,300,000","2,477,900,000","2,421,500,000","2,415,100,000","2,388,900,000","2,374,900,000","2,364,498,000","2,435,684,000","2,856,589,000","2,473,701,000","2,343,447,000","2,254,003,000","2,089,300,000","1,703,944,000","1,618,097,000","1,530,792,000","1,532,406,000","1,446,209,000","1,388,056,000","1,399,619,000","1,358,004,000","1,232,220,000","1,248,356,000","1,197,178,000","1,186,749,000","1,146,050,000","1,218,486,000","1,152,584,000","1,140,526,000","1,121,318,000","1,144,276,000","1,131,691,000","1,117,898,000","1,067,243,000","1,044,787,000","1,018,250,000","1,008,068,000","1,016,933,000","937,644,000","941,014,000","878,166,000","837,801,000","827,402,000","837,024,000","855,804,000","948,701,000","916,142,000","903,964,000"
	CurrentAssets,"1,488,200,000","1,389,300,000","1,920,100,000","1,835,100,000","1,805,000,000","1,756,500,000","1,436,300,000","1,951,100,000","1,860,300,000","2,274,100,000","2,269,400,000","2,409,500,000","1,462,500,000","1,559,400,000","1,661,300,000","1,474,100,000","1,566,300,000","1,492,100,000","1,460,700,000","1,428,200,000","1,393,400,000","1,436,832,000","1,494,789,000","1,936,104,000","1,643,120,000","1,578,833,000","1,503,965,000","1,346,014,000","963,848,000","925,187,000","846,102,000","844,984,000","768,819,000","733,874,000","738,618,000","705,735,000","595,586,000","621,981,000","575,307,000","559,720,000","513,502,000","574,524,000","517,560,000","507,563,000","484,768,000","509,165,000","513,146,000","522,856,000","487,096,000","475,258,000","452,400,000","446,751,000","455,707,000","375,798,000","392,756,000","334,606,000","299,551,000","280,622,000","274,223,000","283,179,000","369,913,000","309,095,000","277,743,000"
		CashCashEquivalentsAndShortTermInvestments,"839,400,000","715,200,000","1,254,900,000","1,209,000,000","1,198,900,000","1,110,500,000","839,400,000","1,330,200,000","1,278,800,000","1,636,300,000","1,624,100,000","1,782,900,000","844,000,000","788,300,000","936,700,000","774,200,000","889,800,000","813,200,000","749,600,000","715,500,000","645,400,000","678,134,000","773,517,000","1,261,921,000","972,974,000","892,548,000","849,703,000","722,474,000","333,534,000","321,722,000","286,166,000","305,861,000","258,775,000","261,521,000","254,467,000","260,766,000","190,550,000","193,490,000","170,218,000","165,271,000","150,801,000","215,401,000","181,436,000","194,733,000","150,847,000","149,394,000","162,386,000","191,146,000","187,407,000","160,845,000","147,044,000","162,207,000","154,323,000","123,273,000","169,312,000","109,221,000","88,248,000","105,180,000","100,728,000","103,744,000","201,577,000","164,669,000","150,679,000"
			CashAndCashEquivalents,"839,400,000","715,200,000","1,254,900,000","1,209,000,000","1,198,900,000","1,110,500,000","839,400,000","1,330,200,000","1,278,800,000","1,636,300,000","1,624,100,000","1,782,900,000","844,000,000","788,300,000","936,700,000","774,200,000","889,800,000","813,200,000","749,600,000","715,500,000","645,400,000","678,134,000","773,517,000","1,261,921,000","972,974,000","892,548,000","849,703,000","722,474,000","333,534,000","321,722,000","286,166,000","305,861,000","258,775,000","261,521,000","254,467,000","260,766,000","190,550,000","193,490,000","170,218,000","165,271,000","150,801,000","215,401,000","181,436,000","194,733,000","150,847,000","149,394,000","162,386,000","191,146,000","187,407,000","160,845,000","147,044,000","162,207,000","154,323,000","123,273,000","169,312,000","109,221,000","88,248,000","105,180,000","100,728,000","103,744,000","201,577,000","164,669,000","150,679,000"
		Receivables,"79,700,000","100,400,000","98,100,000","92,600,000","70,500,000","99,400,000","100,000,000","103,300,000","93,300,000","95,200,000","89,700,000","100,200,000","70,300,000","87,900,000","94,100,000","89,900,000","69,900,000","89,900,000","96,500,000","86,800,000","83,600,000","100,560,000","103,782,000","118,610,000","100,326,000","109,830,000","110,790,000","112,041,000","116,139,000","114,161,000","108,633,000","106,647,000","89,660,000","112,475,000","116,555,000","107,893,000","85,612,000","91,394,000","85,411,000","87,484,000","76,958,000","84,747,000","78,711,000","72,300,000","70,002,000","73,058,000","74,154,000","74,105,000","58,729,000","56,978,000","49,609,000","49,268,000","51,758,000","47,932,000","48,365,000","45,829,000","37,266,000","40,787,000","41,303,000","40,353,000","29,546,000","33,408,000","31,977,000"
			AccountsReceivable,"79,700,000","100,400,000","98,100,000","92,600,000","70,500,000","99,400,000","100,000,000","103,300,000","93,300,000","95,200,000","89,700,000","100,200,000","70,300,000","87,900,000","94,100,000","89,900,000","69,900,000","89,900,000","96,500,000","86,800,000","83,600,000","100,560,000","103,782,000","118,610,000","100,326,000","109,830,000","110,790,000","112,041,000","116,139,000","114,161,000","108,633,000","106,647,000","91,910,000","112,475,000","116,555,000","107,893,000","88,814,000","91,394,000","85,411,000","87,484,000","76,958,000","84,747,000","78,711,000","72,300,000","70,002,000","73,058,000","74,154,000","74,105,000","58,729,000","56,978,000","49,609,000","49,268,000","51,758,000","47,932,000","48,365,000","45,829,000","37,266,000","40,787,000","41,303,000","40,353,000","29,546,000","33,408,000","31,977,000"
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116,190,000","111,433,000","109,457,000",,"114,674,000","118,991,000","110,788,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,029,000","-2,800,000","-2,810,000",,"-2,199,000","-2,436,000","-2,895,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,250,000",,,,"-3,202,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"436,200,000","420,100,000","426,600,000","407,500,000","381,800,000","347,500,000","315,100,000","333,000,000","341,200,000","354,200,000","378,600,000","375,000,000","371,300,000","371,700,000","322,500,000","336,500,000","332,000,000","315,600,000","321,900,000","335,000,000","377,700,000","367,827,000","343,447,000","324,992,000","351,201,000","347,735,000","331,529,000","334,412,000","339,411,000","313,581,000","262,386,000","250,541,000","247,696,000","222,501,000","219,034,000","184,321,000","182,467,000","183,144,000","152,035,000","146,440,000","145,962,000","133,376,000","125,870,000","115,705,000","134,492,000","136,566,000","132,956,000","126,512,000","128,648,000","126,547,000","125,450,000","130,114,000","146,036,000","124,230,000","110,146,000","106,042,000","109,785,000","86,376,000","77,639,000","69,100,000","71,092,000","77,751,000","59,397,000"
