name,ttm,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014
TotalRevenue,"1,148,052,000","1,084,385,000","963,364,000","872,091,000","693,765,000","680,872,000","592,450,000"
	OperatingRevenue,"1,148,052,000","1,084,385,000","963,364,000","872,091,000","693,765,000","680,872,000","592,450,000"
CostOfRevenue,,,"636,631,000","582,244,000","461,609,000","475,100,000","414,918,000"
GrossProfit,,,"326,733,000","289,847,000","232,156,000","205,772,000","177,532,000"
OperatingExpense,,,"112,287,000","107,852,000","105,756,000","75,091,000","74,684,000"
	SellingGeneralAndAdministration,"802,782,000","795,119,000","710,117,000","79,502,000","84,118,000","56,194,000","53,169,000"
		GeneralAndAdministrativeExpense,"802,782,000","795,119,000","710,117,000","79,502,000","84,118,000","56,194,000","53,169,000"
			SalariesAndWages,,"692,073,000","636,631,000",,,,
			RentAndLandingFees,"44,514,000","38,672,000","28,560,000","27,094,000","26,459,000","24,253,000","22,386,000"
			OtherGandA,"66,195,000","64,374,000","44,926,000","52,408,000","57,659,000","31,941,000","30,783,000"
	DepreciationAmortizationDepletionIncomeStatement,"15,946,000","14,475,000","7,905,000","8,853,000","7,499,000","5,508,000","6,040,000"
		DepreciationAndAmortizationInIncomeStatement,"15,946,000","14,475,000","7,905,000","8,853,000","7,499,000","5,508,000","6,040,000"
	ProvisionForDoubtfulAccounts,,,,"4,008,000","2,538,000",,"2,465,000"
	OtherOperatingExpenses,,,"13,779,000","15,489,000","11,601,000","13,389,000","13,010,000"
OperatingIncome,,,"214,446,000","181,995,000","126,400,000","130,681,000","102,848,000"
NetNonOperatingInterestIncomeExpense,,,,,,"4,214,000",
	InterestIncomeNonOperating,,,,,,"4,214,000",
	TotalOtherFinanceCost,,,,,,"-4,214,000",
OtherIncomeExpense,,,"3,390,000","-3,508,000","-770,000","-2,760,000","2,478,000"
	EarningsFromEquityInterest,,,,,,"-733,000",
	SpecialIncomeCharges,,,,,"-2,538,000","-2,027,000",
		WriteOff,,,,,"2,538,000","2,027,000",
	OtherNonOperatingIncomeExpenses,"-26,950,000","-27,436,000","-10,389,000","-3,508,000","-770,000",,"2,478,000"
PretaxIncome,"227,206,000","224,320,000","217,836,000","178,487,000","125,630,000","132,135,000","105,326,000"
TaxProvision,"57,079,000","65,214,000","45,553,000","70,144,000","55,863,000","52,196,000","43,898,000"
NetIncomeCommonStockholders,"170,127,000","159,106,000","172,283,000","108,343,000","69,741,000","79,754,000","61,320,000"
	NetIncome,"170,127,000","159,106,000","172,283,000","108,343,000","69,741,000","79,881,000","61,320,000"
		NetIncomeIncludingNoncontrollingInterests,"170,127,000","159,106,000","172,283,000","108,343,000","69,767,000","79,939,000","61,428,000"
			NetIncomeContinuousOperations,"170,127,000","159,106,000","172,283,000","108,343,000","69,767,000","79,939,000","61,428,000"
		MinorityInterests,,,,"0","-26,000","-58,000","-108,000"
	OtherunderPreferredStockDividend,,,,,,"127,000",
DilutedNIAvailtoComStockholders,"170,127,000","159,106,000","172,283,000","108,343,000","69,741,000","79,754,000","61,320,000"
BasicEPS,,"2.56","2.76","1.77","1.18","1.32","1.014"
DilutedEPS,,"2.42","2.6","1.63","1.1","1.32","1.014"
BasicAverageShares,,"62,213,414","62,494,275","61,100,497","59,044,981","60,354,118","60,462,053"
DilutedAverageShares,,"65,846,132","66,324,093","66,579,130","63,475,903","60,354,118","60,462,053"
TotalOperatingIncomeAsReported,,,"214,446,000","181,995,000","126,400,000","128,654,000","102,848,000"
RentExpenseSupplemental,"44,514,000","38,672,000","28,560,000","27,094,000","26,459,000","24,253,000","22,386,000"
TotalExpenses,,,"748,918,000","690,096,000","567,365,000","550,191,000","489,602,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"170,127,000","159,106,000","172,283,000","108,343,000","69,741,000","79,881,000","61,320,000"
NormalizedIncome,"170,127,000","159,106,000","172,283,000","108,343,000","69,741,000","81,107,335","61,320,000"
InterestIncome,,,,,,"4,214,000",
NetInterestIncome,,,,,,"4,214,000",
EBIT,,,"214,446,000","181,995,000","126,400,000","130,681,000","102,848,000"
ReconciledCostOfRevenue,,,"636,631,000","582,244,000","461,609,000","475,100,000","414,918,000"
ReconciledDepreciation,"15,946,000","14,475,000","7,905,000","8,853,000","7,499,000","5,508,000","6,040,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"170,127,000","159,106,000","172,283,000","108,343,000","69,741,000","79,881,000","61,320,000"
TotalUnusualItemsExcludingGoodwill,,,,,"-2,538,000","-2,027,000",
TotalUnusualItems,,,,,"-2,538,000","-2,027,000",
NormalizedEBITDA,,,"222,351,000","190,848,000","133,899,000","138,216,000","108,888,000"
TaxRateForCalcs,"0.251","0.291","0.209","0.393","0.4","0.395","0.35"
TaxEffectOfUnusualItems,"0","0","0","0","0","-800,665","0"
