name,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015
TotalAssets,"360,591,000","293,795,000","240,617,000","196,636,000","201,500,000"
	CurrentAssets,"79,252,000","69,844,000","52,154,000","86,617,000","89,137,000"
		CashCashEquivalentsAndShortTermInvestments,"49,357,000","47,596,000","32,286,000","68,584,000","67,089,000"
			CashAndCashEquivalents,"49,357,000","47,596,000","32,286,000","68,584,000","67,089,000"
		Receivables,"22,948,000","18,160,000","15,426,000","14,680,000","18,822,000"
			AccountsReceivable,"20,320,000","14,924,000","12,113,000","11,828,000","15,869,000"
			DuefromRelatedPartiesCurrent,"2,628,000","3,236,000","3,313,000","2,852,000","2,953,000"
		PrepaidAssets,"4,714,000","2,301,000","2,593,000","1,555,000","1,506,000"
		RestrictedCash,"2,233,000","1,787,000","1,849,000","1,798,000","1,720,000"
	TotalNonCurrentAssets,"281,339,000","223,951,000","188,463,000","110,019,000","112,363,000"
		NetPPE,"8,108,000","4,782,000","4,063,000","4,612,000","5,678,000"
			GrossPPE,"17,811,000","14,305,000","15,337,000","15,469,000","19,657,000"
				Properties,"0","0","0","0","0"
				MachineryFurnitureEquipment,"11,884,000","11,841,000","11,525,000","11,491,000","15,809,000"
				Leases,"5,927,000","2,464,000","3,812,000","3,978,000","3,848,000"
			AccumulatedDepreciation,"-9,703,000","-9,523,000","-11,274,000","-10,857,000","-13,979,000"
		InvestmentsAndAdvances,"154,491,000","137,253,000","120,147,000","102,749,000","103,360,000"
			LongTermEquityInvestment,"135,239,000","120,969,000",,,
			OtherInvestments,"19,252,000","16,284,000",,,
		NonCurrentDeferredAssets,"107,726,000","73,381,000","61,223,000",,
			NonCurrentDeferredTaxesAssets,"107,726,000","73,381,000","61,223,000",,
		OtherNonCurrentAssets,"11,014,000","8,535,000","3,030,000","2,658,000","3,325,000"
TotalLiabilitiesNetMinorityInterest,"190,869,000","157,721,000","153,990,000","308,574,000","127,810,000"
	CurrentLiabilities,"107,225,000","59,655,000","17,902,000","14,056,000","14,027,000"
		PayablesAndAccruedExpenses,"95,009,000","51,563,000","14,485,000","10,027,000","9,078,000"
			Payables,"95,009,000","51,563,000","14,485,000","10,027,000","9,078,000"
				AccountsPayable,"2,619,000","1,700,000","1,366,000","641,000","1,667,000"
				DividendsPayable,"22,754,000","15,730,000","2,385,000","9,386,000","7,411,000"
				DuetoRelatedPartiesCurrent,"69,636,000","34,133,000","10,734,000",,
				OtherPayable,"69,636,000","34,133,000","10,734,000",,
		PensionandOtherPostRetirementBenefitPlansCurrent,"12,216,000","8,092,000","3,417,000","4,029,000","4,949,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"83,644,000","98,066,000","136,088,000","294,518,000","113,783,000"
		LongTermDebtAndCapitalLeaseObligation,"70,954,000","84,162,000","84,310,000","243,317,000","107,719,000"
			LongTermDebt,"70,954,000","84,162,000","84,310,000","243,317,000","107,719,000"
		NonCurrentDeferredLiabilities,"3,704,000","6,245,000","45,166,000","45,166,000","1,960,000"
			NonCurrentDeferredRevenue,"3,704,000","6,245,000","45,166,000","45,166,000","1,960,000"
		OtherNonCurrentLiabilities,"8,986,000","7,659,000","6,612,000","6,035,000","4,104,000"
TotalEquityGrossMinorityInterest,"169,722,000","136,074,000","86,627,000","-111,938,000","73,690,000"
	StockholdersEquity,"110,226,000","78,426,000","60,042,000","-123,306,000","56,238,000"
		CapitalStock,"51,000","48,000","47,000",,
			PreferredStock,,,"0",,
			CommonStock,"51,000","48,000","47,000",,
		AdditionalPaidInCapital,"92,482,000","73,829,000","61,845,000",,
		RetainedEarnings,"17,686,000","4,549,000","612,000",,
		TreasuryStock,,"0","2,151,000",,
		GainsLossesNotAffectingRetainedEarnings,"7,000","0","-311,000",,
	MinorityInterest,"59,496,000","57,648,000","26,585,000","11,368,000","17,452,000"
TotalCapitalization,"181,180,000","162,588,000","144,352,000","120,011,000","163,957,000"
CommonStockEquity,"110,226,000","78,426,000","60,042,000","-123,306,000","56,238,000"
NetTangibleAssets,"110,226,000","78,426,000","60,042,000","-123,306,000","56,238,000"
WorkingCapital,"-27,973,000","10,189,000","34,252,000","72,561,000","75,110,000"
InvestedCapital,"181,180,000","162,588,000","144,352,000","120,011,000","163,957,000"
TangibleBookValue,"110,226,000","78,426,000","60,042,000","-123,306,000","56,238,000"
TotalDebt,"70,954,000","84,162,000","84,310,000","243,317,000","107,719,000"
NetDebt,"21,597,000","36,566,000","52,024,000","174,733,000","40,630,000"
ShareIssued,"50,883,916","48,839,544","47,086,288","45,005,761","45,005,761"
OrdinarySharesNumber,"50,883,916","48,839,544","46,971,759","45,005,761","45,005,761"
TreasurySharesNumber,,"0","114,529",,
