name,ttm,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014
TotalRevenue,"264,104,000","252,179,000","244,033,000","179,820,000","180,797,000","155,385,000","139,764,000"
	OperatingRevenue,"264,104,000","252,179,000","244,033,000","179,820,000","180,797,000","155,385,000","139,764,000"
CostOfRevenue,"94,851,000","97,719,000","82,868,000","72,116,000","92,065,000","60,157,000","55,950,000"
GrossProfit,"169,253,000","154,460,000","161,165,000","107,704,000","88,732,000","95,228,000","83,814,000"
OperatingExpense,"57,515,000","50,236,000","38,212,000","31,589,000","26,898,000","26,865,000","24,760,000"
	SellingGeneralAndAdministration,"57,515,000","50,236,000","38,212,000","31,589,000","26,898,000","26,865,000","24,760,000"
		GeneralAndAdministrativeExpense,"57,515,000","50,236,000","38,212,000","31,589,000","26,898,000","26,865,000","24,760,000"
			OtherGandA,"57,515,000","50,236,000","38,212,000","31,589,000","26,898,000","26,865,000","24,760,000"
OperatingIncome,"111,738,000","104,224,000","122,953,000","76,115,000","61,834,000","68,363,000","59,054,000"
NetNonOperatingInterestIncomeExpense,"-2,280,000","-2,784,000","-5,461,000","-14,245,000","-12,447,000","-5,796,000","-8,361,000"
	InterestIncomeNonOperating,"712,000","255,000","528,000","320,000","194,000","87,000","142,000"
	InterestExpenseNonOperating,"2,992,000","3,039,000","5,989,000","14,565,000","12,641,000","5,883,000","8,503,000"
OtherIncomeExpense,"15,576,000","28,117,000","22,138,000","12,884,000","7,334,000","9,418,000","16,206,000"
	EarningsFromEquityInterest,"11,437,000","7,202,000","17,102,000","12,801,000","1,518,000","10,474,000","16,905,000"
	OtherNonOperatingIncomeExpenses,"4,139,000","20,915,000","5,036,000","83,000","5,816,000","-1,056,000","-699,000"
PretaxIncome,"125,034,000","129,557,000","139,630,000","74,754,000","56,721,000","71,985,000","66,899,000"
TaxProvision,"16,464,000","30,560,000","33,333,000","316,000","869,000","483,000","-128,000"
NetIncomeCommonStockholders,"48,225,000","33,573,000","17,341,000","612,000","57,107,000","0","62,462,000"
	NetIncome,"48,225,000","33,573,000","17,341,000","612,000","57,107,000","0","62,462,000"
		NetIncomeIncludingNoncontrollingInterests,"108,570,000","98,997,000","106,297,000","74,438,000","55,852,000","71,502,000","67,027,000"
			NetIncomeContinuousOperations,"108,570,000","98,997,000","106,297,000","74,438,000","55,852,000","71,502,000","67,027,000"
		MinorityInterests,"-60,345,000","-65,424,000","-88,956,000","-73,826,000","1,255,000","-71,502,000","-4,565,000"
AverageDilutionEarnings,,,,"9,000",,,
DilutedNIAvailtoComStockholders,"48,225,000","33,573,000","17,341,000","621,000","57,107,000","0","62,462,000"
BasicEPS,,"1.41","0.94","0.03","3.345","0","3.659"
DilutedEPS,,"1.4","0.93","0.03","3.345","0","3.659"
BasicAverageShares,,"23,836,401","18,414,715","17,788,363","17,070,505","17,070,505","17,070,505"
DilutedAverageShares,,"24,298,795","18,990,369","18,341,079","17,070,505","17,070,505","17,070,505"
TotalExpenses,"152,366,000","147,955,000","121,080,000","103,705,000","118,963,000","87,022,000","80,710,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"48,225,000","33,573,000","17,341,000","612,000","57,107,000","0","62,462,000"
NormalizedIncome,"48,225,000","33,573,000","17,341,000","612,000","57,107,000","0","62,462,000"
InterestIncome,"712,000","255,000","528,000","320,000","194,000","87,000","142,000"
InterestExpense,"2,992,000","3,039,000","5,989,000","14,565,000","12,641,000","5,883,000","8,503,000"
NetInterestIncome,"-2,280,000","-2,784,000","-5,461,000","-14,245,000","-12,447,000","-5,796,000","-8,361,000"
EBIT,"128,026,000","132,596,000","145,619,000","89,319,000","69,362,000","77,868,000","75,402,000"
EBITDA,"131,625,000"
ReconciledCostOfRevenue,"94,851,000","97,719,000","82,868,000","72,116,000","92,065,000","60,157,000","55,950,000"
ReconciledDepreciation,"3,599,000","2,979,000","1,891,000","1,915,000","2,027,000","1,867,000","1,853,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"48,225,000","33,573,000","17,341,000","612,000","57,107,000","0","62,462,000"
NormalizedEBITDA,"131,625,000","135,575,000","147,510,000","91,234,000","71,389,000","79,735,000","77,255,000"
TaxRateForCalcs,"0.132","0.236","0.239","0.004","0.015","0.007","0.35"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0"
