name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,03/31/2016
TotalAssets,"469,379,000","445,382,000","392,844,000","360,591,000","363,852,000","356,241,000","306,735,000","293,795,000","273,046,000","271,178,000","264,543,000","240,617,000","201,991,000","207,122,000","196,636,000"
	CurrentAssets,"111,404,000","102,310,000","90,281,000","79,252,000","102,980,000","95,681,000","77,268,000","69,844,000","89,610,000","72,012,000","73,472,000","52,154,000","72,013,000","81,560,000","86,617,000"
		CashCashEquivalentsAndShortTermInvestments,"81,599,000","71,899,000","58,871,000","49,357,000","78,941,000","75,181,000","53,641,000","47,596,000","68,677,000","48,940,000","46,471,000","32,286,000","54,441,000","58,214,000","68,584,000"
			CashAndCashEquivalents,"81,599,000","71,899,000","58,871,000","49,357,000","78,941,000","75,181,000","53,641,000","47,596,000","68,677,000","48,940,000","46,471,000","32,286,000","54,441,000","58,214,000","68,584,000"
				CashFinancial,,,,,,,,,,,,,,"58,214,000",
		Receivables,"22,123,000","21,826,000","24,106,000","22,948,000","19,471,000","15,469,000","18,673,000","18,160,000","17,562,000","19,154,000","22,425,000","15,426,000","14,000,000","19,911,000","14,680,000"
			AccountsReceivable,"19,456,000","17,628,000","19,647,000","20,320,000","16,963,000","13,678,000","16,710,000","14,924,000","13,287,000","16,429,000","19,474,000","12,113,000","10,795,000","16,969,000","11,828,000"
			DuefromRelatedPartiesCurrent,"2,667,000","4,198,000","4,459,000","2,628,000","2,508,000","1,791,000","1,963,000","3,236,000","4,275,000","2,725,000","2,951,000","3,313,000","3,205,000","2,942,000","2,852,000"
		PrepaidAssets,"4,587,000","5,401,000","4,802,000","4,714,000","2,368,000","2,855,000","3,153,000","2,301,000","1,584,000","2,135,000","2,719,000","2,593,000","1,777,000","1,640,000","1,555,000"
		RestrictedCash,"3,095,000","3,184,000","2,502,000","2,233,000","2,200,000","2,176,000","1,801,000","1,787,000","1,787,000","1,783,000","1,857,000","1,849,000","1,795,000","1,795,000","1,798,000"
	TotalNonCurrentAssets,"357,975,000","343,072,000","302,563,000","281,339,000","260,872,000","260,560,000","229,467,000","223,951,000","183,436,000","199,166,000","191,071,000","188,463,000","129,978,000","125,562,000","110,019,000"
		NetPPE,"15,876,000","17,715,000","18,928,000","8,108,000","8,125,000","7,096,000","5,800,000","4,782,000","4,061,000","3,999,000","4,014,000","4,063,000","3,959,000","4,267,000","4,612,000"
			GrossPPE,"15,876,000","17,715,000","18,928,000","17,811,000",,,,"14,305,000",,,,"15,337,000",,,"15,469,000"
				Properties,,,,"0",,,,"0",,,,"0",,,"0"
				MachineryFurnitureEquipment,"7,280,000","8,026,000","8,158,000","11,884,000",,,,"11,841,000",,,,"11,525,000",,,"11,491,000"
				OtherProperties,"8,596,000","9,689,000","10,770,000",,,,,,,,,,,,
				Leases,,,,"5,927,000",,,,"2,464,000",,,,"3,812,000",,,"3,978,000"
			AccumulatedDepreciation,,,,"-9,703,000",,,,"-9,523,000",,,,"-11,274,000",,,"-10,857,000"
		InvestmentsAndAdvances,"193,168,000","174,134,000","168,436,000","154,491,000","147,411,000","134,256,000","141,164,000","137,253,000","130,765,000","127,090,000","124,027,000","120,147,000","118,437,000","114,625,000","102,749,000"
			LongTermEquityInvestment,,,,"135,239,000",,,,"120,969,000",,,,,,"98,280,000",
			OtherInvestments,,,,"19,252,000",,,,"16,284,000",,,,,,,
		NonCurrentDeferredAssets,"138,378,000","140,745,000","104,822,000","107,726,000","95,006,000","108,439,000","72,798,000","73,381,000","39,766,000","58,596,000","59,435,000","61,223,000",,,
			NonCurrentDeferredTaxesAssets,"138,378,000","140,745,000","104,822,000","107,726,000","95,006,000","108,439,000","72,798,000","73,381,000","39,766,000","58,596,000","59,435,000","61,223,000",,,
		OtherNonCurrentAssets,"10,553,000","10,478,000","10,377,000","11,014,000","10,330,000","10,769,000","9,705,000","8,535,000","8,844,000","9,481,000","3,595,000","3,030,000","7,582,000","6,670,000","2,658,000"
TotalLiabilitiesNetMinorityInterest,"253,029,000","240,751,000","215,009,000","190,869,000","190,721,000","194,094,000","161,810,000","157,721,000","165,028,000","167,843,000","166,949,000","153,990,000","326,221,000","310,758,000","308,574,000"
	CurrentLiabilities,"148,747,000","135,834,000","104,541,000","107,225,000","107,152,000","109,367,000","65,873,000","59,655,000","43,259,000","31,944,000","31,368,000","17,902,000","34,381,000","18,692,000","14,056,000"
		PayablesAndAccruedExpenses,"122,446,000","115,145,000","88,851,000","95,009,000","74,354,000","78,968,000","44,087,000","51,563,000","15,208,000","11,405,000","19,825,000","14,485,000","9,616,000","490,000","10,027,000"
			Payables,"122,446,000","115,145,000","88,851,000","95,009,000","74,354,000","78,968,000","44,087,000","51,563,000","15,208,000","11,405,000","19,825,000","14,485,000","9,616,000","490,000","10,027,000"
				AccountsPayable,"2,511,000","1,964,000","2,749,000","2,619,000","2,445,000","476,000","405,000","1,700,000","1,080,000","783,000","1,326,000","1,366,000","1,622,000","490,000","641,000"
				DividendsPayable,"18,531,000","11,859,000","16,330,000","22,754,000","13,531,000","13,444,000","9,347,000","15,730,000","7,692,000","0","7,765,000","2,385,000","7,994,000",,"9,386,000"
				DuetoRelatedPartiesCurrent,"101,404,000","101,322,000","69,772,000","69,636,000","58,378,000","65,048,000","34,335,000","34,133,000","6,436,000","10,622,000","10,734,000","10,734,000",,,
				OtherPayable,,"101,322,000","69,772,000","69,636,000","58,378,000","65,048,000","34,335,000","34,133,000","6,436,000","10,622,000","10,734,000","10,734,000",,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"26,301,000","20,689,000","15,690,000","12,216,000","32,798,000","30,399,000","21,786,000","8,092,000","28,051,000","20,539,000","11,543,000","3,417,000","24,765,000","18,202,000","4,029,000"
		CurrentDeferredLiabilities,,,,,,,,,,,,,,"45,166,000",
			CurrentDeferredRevenue,,,,,,,,,,,,,,"45,166,000",
	TotalNonCurrentLiabilitiesNetMinorityInterest,"104,282,000","104,917,000","110,468,000","83,644,000","83,569,000","84,727,000","95,937,000","98,066,000","121,769,000","135,899,000","135,581,000","136,088,000","291,840,000","292,066,000","294,518,000"
		LongTermDebtAndCapitalLeaseObligation,"76,642,000","79,578,000","81,691,000","70,954,000","71,878,000","72,802,000","83,707,000","84,162,000","84,617,000","85,072,000","83,745,000","84,310,000","241,417,000","242,446,000","243,317,000"
			LongTermDebt,"67,245,000","69,107,000","70,030,000","70,954,000","71,878,000","72,802,000","83,707,000","84,162,000","84,617,000","85,072,000","83,745,000","84,310,000","241,417,000","242,446,000","243,317,000"
			LongTermCapitalLeaseObligation,"9,397,000","10,471,000","11,661,000",,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"3,704,000","3,704,000","3,704,000","3,704,000","3,704,000","3,704,000","3,704,000","6,245,000","31,422,000","45,166,000","45,166,000","45,166,000","45,166,000","45,166,000","45,166,000"
			NonCurrentDeferredRevenue,"3,704,000","3,704,000","3,704,000","3,704,000","3,704,000","3,704,000","3,704,000","6,245,000","31,422,000","45,166,000","45,166,000","45,166,000","45,166,000","45,166,000","45,166,000"
		EmployeeBenefits,,,,,,,,,,,,,,"18,202,000",
		OtherNonCurrentLiabilities,"23,936,000","21,635,000","25,073,000","8,986,000","7,987,000","8,221,000","8,526,000","7,659,000","5,730,000","5,661,000","6,670,000","6,612,000","5,257,000","4,454,000","6,035,000"
TotalEquityGrossMinorityInterest,"216,350,000","204,631,000","177,835,000","169,722,000","173,131,000","162,147,000","144,925,000","136,074,000","108,018,000","103,335,000","97,594,000","86,627,000","-124,230,000","-103,636,000","-111,938,000"
	StockholdersEquity,"143,573,000","136,761,000","115,330,000","110,226,000","103,606,000","101,316,000","83,535,000","78,426,000","57,843,000","65,646,000","62,877,000","60,042,000","-134,739,000","-114,709,000","-123,306,000"
		CapitalStock,"52,000","52,000","51,000","51,000","50,000","49,000","48,000","48,000","47,000","47,000","47,000","47,000",,,
			PreferredStock,"0","0","0",,"0","0",,,,"0","0","0",,,
			CommonStock,"52,000","52,000","51,000","51,000","50,000","49,000","48,000","48,000","47,000","47,000","47,000","47,000",,,
