name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalRevenue,"654,906,000","655,211,000","656,343,000","546,032,000","487,339,000","424,014,000","381,902,000","248,757,000","193,144,000","182,564,000","181,463,000","122,969,000","114,769,000","93,741,000","81,950,000","65,143,000","43,192,000",,"7,574,000","9,344,000"
	NetInterestIncome,"563,472,000","563,217,000","561,013,000","455,905,000","405,958,000","355,712,000","317,018,000","202,595,000","155,600,000","141,255,000","116,414,000","92,310,000","86,052,000","67,987,000","62,823,000","49,456,000","25,101,000",,"12,871,000","9,344,000"
		InterestIncome,"710,676,000","717,988,000","685,368,000","520,251,000","436,537,000","377,436,000","335,888,000","217,126,000","177,135,000","171,806,000","151,122,000","132,253,000","145,718,000","141,765,000","123,763,000","85,458,000","36,681,000",,"20,361,000","18,216,000"
			InterestIncomeFromLoansAndLease,"652,645,000","658,345,000","630,596,000","479,189,000","403,394,000","344,290,000","306,345,000","198,536,000","159,359,000","155,954,000","137,862,000","118,208,000","127,812,000","120,067,000","100,152,000","65,244,000","29,264,000",,,
				InterestIncomeFromLoans,"652,645,000","658,345,000","630,596,000","479,189,000","403,394,000","344,290,000","306,345,000","198,536,000","159,359,000","155,954,000","137,862,000","118,208,000","127,812,000","120,067,000","100,152,000","65,244,000","29,264,000",,,
			InterestIncomeFromSecurities,"53,226,000","54,421,000","50,090,000","38,743,000","32,663,000","32,889,000","29,396,000","18,307,000","17,380,000","15,423,000","12,815,000","13,914,000","17,460,000","21,190,000","22,632,000","19,829,000","7,221,000",,,
			InterestIncomeFromDeposits,"4,761,000","5,188,000","4,649,000","2,309,000","471,000","233,000","97,000","254,000","379,000","418,000","408,000","116,000","133,000","166,000","139,000","101,000","38,000",,,
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"44,000","34,000","33,000","10,000","9,000","24,000","50,000","29,000","17,000","11,000","37,000","15,000","313,000","342,000","840,000","284,000","158,000",,,
		InterestExpense,"147,204,000","154,771,000","124,355,000","64,346,000","30,579,000","21,724,000","18,870,000","14,531,000","21,535,000","30,551,000","34,708,000","39,943,000","59,666,000","73,778,000","60,940,000","36,002,000","11,580,000",,"7,490,000","8,872,000"
			InterestExpenseForDeposit,"110,296,000","114,104,000","79,589,000","33,777,000","15,926,000","12,971,000","12,796,000","9,744,000","14,989,000","22,968,000","24,302,000","27,442,000","45,593,000","56,232,000","46,213,000","26,883,000","7,606,000",,,
			InterestExpenseForLongTermDebtAndCapitalSecurities,"34,469,000","38,069,000","42,943,000","29,650,000","14,077,000","8,128,000","5,354,000","4,359,000","6,138,000","7,100,000","9,909,000","12,018,000","12,369,000","11,984,000","9,618,000","6,063,000","3,408,000",,,
			InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"2,439,000","2,598,000","1,823,000","919,000","576,000","625,000","720,000","428,000","408,000","483,000","497,000","471,000","1,704,000","5,562,000","5,109,000","3,056,000","566,000",,,
			OtherInterestExpense,,,,,,,,,,,,"54,896,000",,,,,,,,
	NonInterestIncome,"91,434,000","91,994,000","95,330,000","90,127,000","81,381,000","68,302,000","64,884,000","46,162,000","37,544,000","41,309,000","65,049,000","30,659,000","28,717,000","25,754,000","19,127,000","15,687,000","18,091,000",,"-5,297,000","0"
		TotalPremiumsEarned,"2,576,000","2,752,000","2,856,000","1,989,000","1,412,000","1,199,000","1,210,000","836,000","873,000","1,128,000","1,383,000","1,981,000",,,,,,,,
		FeesAndCommissions,"70,839,000","70,638,000","71,861,000","71,299,000","67,659,000","60,496,000","56,595,000","38,596,000","31,845,000","26,320,000","22,928,000","23,590,000","26,265,000","19,249,000","14,341,000","12,527,000","8,219,000",,,
			FeesandCommissionIncome,"78,176,000","78,163,000","79,483,000","77,961,000","73,401,000","65,662,000","61,903,000","42,803,000","35,020,000","26,320,000","22,928,000","23,590,000","26,265,000","19,249,000","14,341,000","12,527,000","8,219,000",,,
				ServiceChargeOnDepositorAccounts,"76,575,000","76,597,000","77,931,000","76,283,000","71,944,000","63,281,000","60,525,000","42,803,000","35,020,000","14,087,000","13,600,000","14,551,000","13,656,000","11,202,000","9,447,000","8,319,000","5,914,000",,,
				TrustFeesbyCommissions,"1,601,000","1,566,000","1,552,000","1,678,000","1,457,000","2,381,000","1,378,000",,,"1,856,000","1,180,000","881,000","73,000","131,000","671,000","458,000","158,000",,,
				OtherCustomerServices,,,,,,,,,,"10,377,000","8,148,000","8,158,000","12,536,000","7,916,000","4,223,000","3,750,000","2,147,000",,,
			FeesandCommissionExpense,"7,337,000","7,525,000","7,622,000","6,662,000","5,742,000","5,166,000","5,308,000","4,207,000","3,175,000",,,,,,,,,,,
		DividendIncome,"12,044,000","7,707,000","5,757,000","3,485,000","3,091,000","1,698,000","1,611,000","1,028,000","1,167,000",,,,,,,,,,,
		InvestmentBankingProfit,,,,,,,,,,"2,993,000","3,111,000",,,,,,,,,
		GainLossonSaleofAssets,"-3,319,000","2,328,000","2,967,000","3,895,000","1,203,000","228,000","2,374,000","1,897,000","364,000","2,580,000","-4,483,000","-21,000","6,332,000","306,000","236,000","455,000","4,187,000",,,
			GainOnSaleOfSecurity,"-5,820,000","-2,000","0","2,132,000","669,000","4,000","0","111,000","9,000","2,248,000","-3,643,000","1,000","6,102,000",,"1,000","-74,000","4,161,000",,,
			GainonSaleofLoans,"1,673,000","1,573,000","566,000","738,000","1,088,000","541,000","183,000","135,000","404,000","259,000","-932,000","7,000",,,,,,,,
			GainonSaleofInvestmentProperty,"828,000","757,000","2,401,000","1,025,000","-554,000","-317,000","2,191,000","1,651,000","-49,000","73,000","92,000","-29,000","230,000","306,000","235,000","529,000","26,000",,,
		OtherNonInterestIncome,"9,294,000","8,569,000","11,889,000","9,459,000","8,016,000","4,681,000","3,094,000","3,805,000","3,295,000","8,288,000","42,110,000","5,109,000","-3,880,000","6,199,000","4,550,000","2,705,000","5,685,000",,"-5,297,000",
CreditLossesProvision,"-88,148,000","-1,325,000","-4,322,000","-44,250,000","-18,608,000","-25,164,000","-22,664,000","-5,180,000","-2,750,000","-3,500,000","-72,850,000","-11,150,000","-27,016,000","-3,242,000","-2,307,000","-3,827,000","-2,290,000",,"-2,220,000","-1,708,000"
NonInterestExpense,"276,931,000","267,365,000","249,898,000","207,803,000","186,352,000","176,980,000","175,949,000","121,123,000","90,315,000","94,722,000","85,001,000","72,883,000","75,717,000","61,535,000","56,478,000","44,935,000","26,131,000",,"10,052,000","8,364,000"
	OccupancyAndEquipment,"35,502,000","35,452,000","33,960,000","30,611,000","26,129,000","25,967,000","25,031,000","17,168,000","14,500,000","14,197,000","13,164,000","10,599,000","11,053,000","9,459,000","8,712,000","6,869,000","3,750,000",,,
	ProfessionalExpenseAndContractServicesExpense,"15,582,000","15,230,000","10,001,000","8,352,000","6,255,000","5,254,000","4,212,000","3,321,000","2,720,000",,,,,,,,,,,
	SellingGeneralAndAdministration,"190,360,000","188,438,000","180,314,000","148,116,000","133,069,000","115,165,000","99,787,000","75,325,000","62,664,000","47,426,000","42,394,000","36,249,000","35,566,000","30,496,000","31,696,000","23,901,000","14,123,000",,,
		GeneralAndAdministrativeExpense,"185,498,000","183,751,000","175,842,000","144,913,000","129,737,000","112,179,000","97,219,000","73,496,000","60,217,000","47,426,000","42,394,000","36,249,000","35,566,000","30,496,000","29,313,000","23,901,000","14,123,000",,,
			SalariesAndWages,"157,262,000","155,779,000","144,826,000","120,628,000","103,112,000","88,583,000","77,937,000","59,161,000","48,096,000","42,825,000","38,881,000","33,035,000","35,566,000","30,496,000","29,313,000","23,901,000","14,123,000",,,
			InsuranceAndClaims,"7,201,000","7,314,000","11,658,000","7,751,000","11,533,000","7,829,000","6,826,000","5,298,000","4,087,000",,,,,,,,,,,
			OtherGandA,"21,035,000","20,658,000","19,358,000","16,534,000","15,092,000","15,767,000","12,456,000","9,037,000","8,034,000","4,601,000","3,513,000","3,214,000",,,,,,,,
		SellingAndMarketingExpense,"4,862,000","4,687,000","4,472,000","3,203,000","3,332,000","2,986,000","2,568,000","1,829,000","2,447,000",,,,,,"2,383,000",,,,,
	DepreciationAmortizationDepletionIncomeStatement,"6,255,000","6,324,000","6,455,000","4,207,000","3,132,000","4,079,000","4,630,000","3,624,000","2,761,000",,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"6,255,000","6,324,000","6,455,000","4,207,000","3,132,000","4,079,000","4,630,000","3,624,000","2,761,000",,,,,,,,,,,
			Amortization,"6,255,000","6,324,000","6,455,000","4,207,000","3,132,000","4,079,000","4,630,000","3,624,000","2,761,000",,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"6,255,000","6,324,000","6,455,000","4,207,000","3,132,000","4,079,000","4,630,000","3,624,000","2,761,000",,,,,,,,,,,
	SecuritiesAmortization,,,"0","0","772,000","9,391,000","25,752,000","10,401,000","1,721,000",,,,,,,,,,,
	OtherNonInterestExpense,"29,232,000","21,921,000","19,168,000","16,517,000","16,995,000","17,124,000","16,537,000","11,284,000","9,391,000","33,099,000","29,443,000","26,035,000","29,098,000","21,580,000","16,070,000","14,165,000","8,258,000",,,
IncomefromAssociatesandOtherParticipatingInterests,,,,,,,,,,,"0","0",,,,,,,,
SpecialIncomeCharges,"-711,000","-900,000","-6,603,000","-22,896,000","267,000","-3,379,000","-6,116,000","-17,981,000","-1,628,000","0",,,,,,,,,,
	GainOnSaleOfBusiness,"0","-3,000","-120,000","-960,000","700,000",,,,,"0",,,,,,,,,,
	RestructuringAndMergernAcquisition,,"0","6,013,000","21,936,000","433,000","3,165,000","6,438,000","18,378,000","1,952,000",,,,,,,,,,,
	OtherSpecialCharges,,"897,000","470,000",,,"214,000","-322,000","-397,000","-324,000",,,,,,,,,,,
PretaxIncome,"289,116,000","385,621,000","395,520,000","271,083,000","282,646,000","218,491,000","177,173,000","104,473,000","98,451,000","84,342,000","23,612,000","38,936,000","12,036,000","28,964,000","23,165,000","16,381,000","14,189,000",,"5,953,000","2,167,000"
TaxProvision,"70,420,000","96,082,000","95,117,000","136,000,000","105,500,000","80,292,000","64,110,000","37,953,000","35,429,000","29,601,000","6,021,000","12,130,000","1,920,000","8,519,000","7,247,000","4,935,000","5,030,000",,"2,076,000","811,000"
NetIncomeCommonStockholders,"218,696,000","289,539,000","300,403,000","135,083,000","177,146,000","138,199,000","113,063,000","66,520,000","63,022,000","52,913,000","14,911,000","24,230,000","10,116,000","20,445,000","15,559,000","10,872,000","8,630,000","3,769,000","3,877,000","1,356,000"
	NetIncome,"218,696,000","289,539,000","300,403,000","135,083,000","177,146,000","138,199,000","113,063,000","66,520,000","63,022,000","54,741,000","17,591,000","26,806,000","10,116,000","20,445,000","15,918,000","11,446,000","9,159,000","3,769,000","3,877,000","1,356,000"
		NetIncomeIncludingNoncontrollingInterests,"218,696,000","289,539,000","300,403,000","135,083,000","177,146,000","138,199,000","113,063,000","66,520,000","63,022,000","54,741,000","17,591,000","26,806,000","10,116,000","20,445,000","15,918,000","11,446,000","9,741,000","3,769,000","3,877,000","1,356,000"
			NetIncomeContinuousOperations,"218,696,000","289,539,000","300,403,000","135,083,000","177,146,000","138,199,000","113,063,000","66,520,000","63,022,000","54,741,000","17,591,000","26,806,000","10,116,000","20,445,000","15,918,000","11,446,000","9,159,000","3,769,000","3,877,000","1,356,000"
		MinorityInterests,,,,,,,,,,,,,,,,,"-582,000",,"0","0"
	PreferredStockDividends,,,,,,,,,,"1,828,000","2,680,000","2,576,000",,,"359,000","574,000","529,000",,,
DilutedNIAvailtoComStockholders,"218,696,000","289,539,000","300,403,000","135,083,000","177,146,000","138,199,000","113,063,000","66,520,000","63,022,000","52,913,000","14,911,000","24,230,000","10,116,000","20,445,000","15,559,000","10,872,000","8,630,000","3,769,000","3,877,000","1,356,000"
BasicEPS,,"1.725","1.73","0.9","1.26","1.01","0.855","0.575","0.56","0.465","0.133","0.257","0.116","0.25","0.225","0.194","0.227","0.139","0.164","0.063"
DilutedEPS,,"1.725","1.73","0.89","1.26","1.01","0.85","0.57","0.558","0.463","0.13","0.255","0.114","0.246","0.21","0.173","0.198","0.139","0.162","0.061"
BasicAverageShares,,"167,804,000","173,657,000","150,806,000","140,418,000","136,616,000","131,902,000","115,816,000","112,548,000","113,664,000","113,444,000","94,507,600","87,190,400","81,642,555","69,099,409","56,156,243","37,949,472","69,518,699","23,619,877","21,479,040"
DilutedAverageShares,,"167,804,000","174,124,000","151,528,000","140,713,000","137,130,000","132,662,000","116,504,000","113,260,000","114,448,000","114,400,000","95,537,200","89,377,200","83,038,154","73,936,368","63,004,566","46,488,816","69,518,699","23,926,629","22,219,697"
InterestIncomeAfterProvisionForLoanLoss,"475,324,000","561,892,000","556,691,000","411,655,000","387,350,000","330,548,000","294,354,000","197,415,000","152,850,000","137,755,000","43,564,000","81,160,000","59,036,000","64,745,000","60,516,000","45,629,000","22,811,000",,"10,651,000","7,636,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"218,696,000","289,539,000","300,403,000","135,083,000","177,146,000","138,199,000","113,063,000","66,520,000","63,022,000","54,741,000","17,591,000","26,806,000","10,116,000","20,445,000","15,918,000","11,446,000","9,159,000","3,769,000","3,877,000","1,356,000"
