name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
TotalRevenue,"10,054,406,000","9,985,803,000","13,201,995,000","12,461,543,000","11,571,668,000","10,629,719,000","10,371,390,000","9,560,647,000","8,939,967,000","8,530,242,000","7,526,790,000","6,538,336,000","6,394,874,000","5,920,190,000","5,153,097,000","4,635,929,000","4,060,266,000","3,353,805,000","2,825,001,000","2,558,243,000","2,381,721,000","2,285,700,000","1,921,700,000","1,518,100,000","830,000,000","616,200,000","486,600,000"
	OperatingRevenue,"10,054,406,000","9,985,803,000","13,201,995,000","12,461,543,000","11,571,668,000","10,629,719,000","10,371,390,000","9,560,647,000","8,939,967,000","8,530,242,000","7,526,790,000","6,538,336,000","6,394,874,000","5,920,190,000","5,153,097,000","4,635,929,000","4,060,266,000","3,353,805,000","2,825,001,000","2,558,243,000","2,381,721,000","2,285,700,000","1,921,700,000","1,518,100,000","830,000,000","616,200,000","486,600,000"
CostOfRevenue,"6,969,171,000","6,894,917,000","9,606,911,000","9,062,440,000","8,337,699,000","7,617,460,000","7,460,075,000","6,904,633,000","6,432,454,000","6,112,187,000","5,355,914,000","4,621,516,000","4,510,336,000","4,201,906,000","3,673,042,000","3,318,993,000","2,983,860,000","2,426,611,000","2,030,097,000","1,858,919,000","1,700,058,000","1,559,000,000","1,299,900,000","1,052,900,000","576,800,000","419,600,000","340,100,000"
GrossProfit,"3,085,235,000","3,090,886,000","3,595,084,000","3,399,103,000","3,233,969,000","3,012,259,000","2,911,315,000","2,656,014,000","2,507,513,000","2,418,055,000","2,170,876,000","1,916,820,000","1,884,538,000","1,718,284,000","1,480,055,000","1,316,936,000","1,076,406,000","927,194,000","794,904,000","699,324,000","681,663,000","726,700,000","621,800,000","465,200,000","253,200,000","196,600,000","146,500,000"
OperatingExpense,"2,350,699,000","2,357,920,000","2,701,876,000","2,539,734,000","2,416,504,000","2,243,356,000","2,196,173,000","1,978,960,000","1,873,360,000","1,835,906,000","1,637,460,000","1,449,715,000","1,441,695,000","1,332,025,000","1,175,158,000","1,035,848,000","863,319,000","693,475,000","598,635,000","551,574,000","554,050,000","607,400,000","525,600,000","402,800,000","223,500,000","197,600,000","156,000,000"
	SellingGeneralAndAdministration,"2,350,699,000","2,357,920,000","2,701,876,000","2,539,734,000","2,416,504,000","2,243,356,000","2,196,173,000","1,978,960,000","1,873,360,000","1,835,906,000","1,637,460,000","1,449,715,000","1,441,695,000","1,332,025,000","1,175,158,000","1,035,848,000","863,319,000","693,475,000","598,635,000","551,574,000","520,288,000","579,100,000","505,600,000","388,400,000","215,600,000","191,600,000","152,200,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,"33,762,000","28,300,000","20,000,000","14,400,000","7,900,000","6,000,000","3,800,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,"33,762,000","28,300,000","20,000,000","14,400,000","7,900,000","6,000,000","3,800,000"
	OtherOperatingExpenses,,,"38,756,000",,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"734,536,000","732,966,000","893,208,000","859,369,000","817,465,000","768,903,000","715,142,000","677,054,000","634,153,000","582,149,000","533,416,000","467,105,000","442,843,000","386,259,000","304,897,000","281,088,000","213,087,000","233,719,000","196,269,000","147,750,000","127,613,000","119,300,000","96,200,000","62,400,000","29,700,000","-1,000,000","-9,500,000"
