name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalRevenue,"11,212,000,000","11,212,000,000","10,063,000,000","8,170,196,000","6,538,631,000","5,774,624,000","4,964,728,000","4,168,629,000","3,224,527,000","2,249,597,000","1,738,493,710","1,260,191,124","764,248,607","235,304,997"
	OperatingRevenue,"11,060,000,000","11,060,000,000","9,997,000,000","8,129,939,000","6,623,561,000","6,110,851,000","5,265,228,000","4,420,845,000","3,419,278,000","2,385,578,000","1,838,350,482","1,333,862,703","809,853,834","249,408,416"
	ExciseTaxes,,,"0","0","116,149,000","336,227,000","300,500,000","252,216,000","194,751,000","135,981,000","99,856,772","73,671,579","45,605,227","14,103,419"
CostOfRevenue,"7,190,000,000","7,190,000,000","6,476,000,000","5,674,151,000","4,932,173,000","4,512,147,000","3,878,027,000","3,181,666,000","2,453,902,000","1,703,337,000","1,180,202,047","1,004,472,153","687,364,048","228,361,572"
GrossProfit,"4,022,000,000","4,022,000,000","3,587,000,000","2,496,045,000","1,606,458,000","1,262,477,000","1,086,701,000","986,963,000","770,625,000","546,260,000","558,291,663","255,718,971","76,884,559","6,943,425"
OperatingExpense,"1,914,000,000","1,914,000,000","1,243,000,000","1,058,532,000","735,559,000","661,323,000","697,337,000","606,419,000","550,892,000","439,114,000","301,984,742","179,304,611","230,537,897","144,254,160"
	SellingGeneralAndAdministration,"1,961,000,000","1,961,000,000","1,438,000,000","1,103,652,000","707,503,000","684,456,000","699,935,000","618,241,000","527,228,000","439,114,000","301,984,742","179,304,611","230,537,897","144,254,160"
		GeneralAndAdministrativeExpense,"1,535,000,000","1,535,000,000","1,090,000,000","888,693,000","560,978,000","504,888,000","512,500,000","480,112,000","424,414,000","344,360,000","231,198,341","121,486,443","189,727,636","126,672,885"
			SalariesAndWages,"14,000,000","14,000,000","18,000,000","6,221,000","1,560,000","5,903,000","7,217,000","8,700,000","15,488,000","13,273,000",,,,
			RentAndLandingFees,"460,000,000","460,000,000","221,000,000","191,502,000","67,277,000","95,977,000","163,155,000","186,656,000","191,538,000","153,229,000",,,,
			OtherGandA,"1,061,000,000","1,061,000,000","851,000,000","690,970,000","492,141,000","403,008,000","342,128,000","284,756,000","217,388,000","177,858,000","231,198,341","121,486,443","189,727,636","126,672,885"
		SellingAndMarketingExpense,"426,000,000","426,000,000","348,000,000","214,959,000","146,525,000","179,568,000","187,435,000","138,129,000","102,814,000","94,754,000","70,786,401","57,818,168","40,810,261","17,581,275"
