name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
TotalRevenue,"1,911,000,000","1,937,000,000","1,903,000,000","1,702,000,000","1,396,000,000","1,189,000,000","1,043,276,000","1,076,140,000","1,130,520,000","1,358,312,000","922,108,000","1,100,340,000","1,850,134,000","1,468,162,000","1,252,409,000","929,108,000","563,976,000"
	NetInterestIncome,"1,093,000,000","1,083,000,000","929,000,000","683,000,000","527,000,000","425,000,000","343,880,000","247,947,000","206,477,000","193,934,000","106,295,000","52,185,000","105,204,000","226,984,000","187,624,000","103,177,000","21,830,000"
		InterestIncome,"1,687,000,000","1,726,000,000","1,392,000,000","908,000,000","606,000,000","492,000,000","416,152,000","299,667,000","268,427,000","280,190,000","172,504,000","121,618,000","437,172,000","782,197,000","672,057,000","273,222,000","79,518,000"
		InterestExpense,"594,000,000","643,000,000","463,000,000","225,000,000","79,000,000","67,000,000","72,272,000","51,720,000","61,950,000","86,256,000","66,209,000","69,433,000","331,968,000","555,213,000","484,433,000","170,045,000","57,688,000"
	NonInterestIncome,"818,000,000","854,000,000","974,000,000","1,019,000,000","869,000,000","764,000,000","699,396,000","828,193,000","924,043,000","1,164,378,000","815,813,000","1,048,155,000","1,744,930,000","1,241,178,000","1,064,785,000","825,931,000","542,146,000"
		FeesAndCommissions,"926,000,000","821,000,000","897,000,000","730,000,000","684,000,000","684,000,000","588,979,000","554,937,000","458,574,000","456,212,000","386,765,000","353,030,000","359,529,000","261,104,000","174,437,000","132,156,000","111,988,000"
			FeesandCommissionIncome,"926,000,000","821,000,000","897,000,000","730,000,000","684,000,000","684,000,000","588,979,000","554,937,000","458,574,000","456,212,000","386,765,000","353,030,000","359,529,000","261,104,000","174,437,000","132,156,000","111,988,000"
				ServiceChargeOnDepositorAccounts,,"88,000,000","95,000,000","83,000,000","72,000,000","67,000,000","40,149,000","52,821,000","45,960,000",,,,,,,,
				SecuritiesActivities,"802,000,000","706,000,000","777,000,000","647,000,000","612,000,000","617,000,000","548,830,000","502,116,000","412,614,000",,,,,,,,
				OtherCustomerServices,"59,000,000","27,000,000","25,000,000",,,,,,,,,,,,,,
		TradingGainLoss,,"27,000,000","39,000,000","40,000,000","163,000,000","269,000,000","261,147,000","245,207,000","435,097,000","665,180,000","368,634,000","633,865,000","1,303,994,000","888,065,000","805,110,000","640,383,000","423,186,000"
		ForeignExchangeTradingGains,,"-60,000,000","-19,000,000","110,000,000","-40,000,000","-206,000,000","-185,239,000",,,,,,,,,,
		GainLossonSaleofAssets,,"61,000,000","45,000,000","16,000,000","49,000,000","-1,000,000","20,147,000","22,187,000","20,709,000","0","0","0","0","0","0","0","0"
			GainOnSaleOfSecurity,,"61,000,000","45,000,000","16,000,000","49,000,000","-1,000,000","20,147,000","22,187,000","20,709,000","0","0","0","0","0","0","0","0"
		OtherNonInterestIncome,"-27,000,000","5,000,000","12,000,000","123,000,000","13,000,000","18,000,000","14,362,000","5,862,000","9,663,000","42,986,000","60,414,000","61,260,000","81,407,000","92,009,000","85,238,000","53,392,000","6,972,000"
CreditLossesProvision,"-8,000,000","-44,000,000","-4,000,000","-2,000,000","-6,000,000","-146,000,000",,,,,"0",,,,,,
NonInterestExpense,"777,000,000","736,000,000","703,000,000","651,000,000","629,000,000","585,000,000","537,153,000","624,862,000","603,520,000","617,244,000","581,289,000","555,847,000","600,385,000","536,593,000","490,848,000","359,810,000","273,978,000"
	OccupancyAndEquipment,"63,000,000","60,000,000","49,000,000","47,000,000","51,000,000","44,000,000","39,369,000","38,923,000","38,875,000",,,,,,,,
		NetOccupancyExpense,"63,000,000","60,000,000","49,000,000","47,000,000","51,000,000","44,000,000","39,369,000","38,923,000","38,875,000",,,,,,,,
	SellingGeneralAndAdministration,"714,000,000","676,000,000","654,000,000","604,000,000","578,000,000","541,000,000","497,784,000","585,939,000","564,645,000","580,158,000","543,953,000","515,507,000","562,722,000","510,111,000","468,151,000","339,393,000","257,618,000"
		GeneralAndAdministrativeExpense,"714,000,000","676,000,000","654,000,000","604,000,000","578,000,000","541,000,000","497,784,000","585,939,000","564,645,000","580,158,000","543,953,000","515,507,000","562,722,000","510,111,000","468,151,000","339,393,000","257,618,000"
			SalariesAndWages,"297,000,000","288,000,000","264,000,000","249,000,000","242,000,000","227,000,000","204,805,000","205,329,000","244,504,000","216,309,000","200,155,000","175,827,000","158,018,000","118,770,000","110,125,000","90,175,000","79,150,000"
			OtherGandA,"417,000,000","388,000,000","390,000,000","355,000,000","336,000,000","314,000,000","292,979,000","380,610,000","320,141,000","363,849,000","343,798,000","339,680,000","404,704,000","391,341,000","358,026,000","249,218,000","178,468,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"37,086,000","37,336,000","40,340,000","37,663,000","26,482,000","22,697,000","20,417,000","16,360,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,"37,086,000","37,336,000","40,340,000","37,663,000","26,482,000","22,697,000","20,417,000","16,360,000"
SpecialIncomeCharges,,"-44,000,000","-4,000,000","-2,000,000","-6,000,000","-146,000,000",,,,,,,,,,,
	WriteOff,,"44,000,000","4,000,000","2,000,000","6,000,000","146,000,000",,,,,,,,,,,
PretaxIncome,"1,126,000,000","1,157,000,000","1,196,000,000","1,049,000,000","761,000,000","458,000,000","506,123,000","451,278,000","527,000,000","741,068,000","340,819,000","544,493,000","1,249,749,000","931,569,000","761,561,000","569,298,000","289,998,000"
TaxProvision,"71,000,000","68,000,000","71,000,000","256,000,000","62,000,000","43,000,000","47,254,000","33,685,000","30,014,000","53,889,000","60,413,000","54,379,000","128,371,000","63,037,000","27,392,000","33,778,000","19,555,000"
NetIncomeCommonStockholders,"158,000,000","161,000,000","169,000,000","793,000,000","699,000,000","415,000,000","44,533,000","417,593,000","40,668,000","687,179,000","280,406,000","490,114,000","1,121,378,000","868,532,000","734,169,000","535,520,000","270,443,000"
	NetIncome,"158,000,000","161,000,000","169,000,000","793,000,000","699,000,000","415,000,000","44,533,000","417,593,000","40,668,000","687,179,000","280,406,000","490,114,000","1,121,378,000","868,532,000","734,169,000","535,520,000","270,443,000"
		NetIncomeIncludingNoncontrollingInterests,"1,055,000,000","1,089,000,000","1,125,000,000","793,000,000","699,000,000","415,000,000","458,869,000","417,593,000","496,986,000","687,179,000","280,406,000","490,114,000","1,121,378,000","868,532,000","734,169,000","535,520,000","270,443,000"
			NetIncomeContinuousOperations,"1,055,000,000","1,089,000,000","1,125,000,000","793,000,000","699,000,000","415,000,000","458,869,000","417,593,000","496,986,000","687,179,000","280,406,000","490,114,000","1,121,378,000","868,532,000","734,169,000","535,520,000","270,443,000"
		MinorityInterests,"-897,000,000","-928,000,000","-956,000,000","-717,000,000",,"-366,000,000","-414,336,000",,"-456,318,000",,,,,,,,
DilutedNIAvailtoComStockholders,"158,000,000","161,000,000","169,000,000","793,000,000","699,000,000","415,000,000","44,533,000","417,593,000","40,668,000","687,179,000","280,406,000","490,114,000","1,121,378,000","868,532,000","734,169,000","535,520,000","270,443,000"
BasicEPS,,"2.11","2.3","1.09","1.28","0.8","0.79","0.74","0.89","1.41","-0.22","0.88","2.3","1.2","1.835","1.338","0.676"
DilutedEPS,,"2.1","2.28","1.07","1.25","0.78","0.77","0.73","0.89","1.4","-0.22","0.87","2.24","1.16","1.835","1.338","0.676"
BasicAverageShares,,"415,420,852","413,792,769","411,705,299","409,429,377","407,025,939","404,535,568","402,264,195","400,199,839","398,276,891","396,931,651","397,816,879","398,136,615","400,143,760","400,187,953","400,187,953","400,187,953"
DilutedAverageShares,,"415,420,852","413,792,769","411,705,299","409,429,377","407,025,939","404,535,568","402,264,195","400,199,839","493,428,571","396,931,651","563,333,333","500,580,357","400,143,760","400,187,953","400,187,953","400,187,953"
InterestIncomeAfterProvisionForLoanLoss,"1,085,000,000","1,039,000,000","925,000,000","681,000,000","521,000,000","279,000,000","343,880,000","247,947,000","206,477,000","193,934,000","106,295,000","52,185,000","105,204,000","226,984,000","187,624,000","103,177,000","21,830,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"158,000,000","161,000,000","169,000,000","793,000,000","699,000,000","415,000,000","44,533,000","417,593,000","40,668,000","687,179,000","280,406,000","490,114,000","1,121,378,000","868,532,000","734,169,000","535,520,000","270,443,000"
NormalizedIncome,"158,000,000","161,000,000","169,000,000","793,000,000","699,000,000","415,000,000","44,533,000","417,593,000","40,668,000","687,179,000","280,406,000","490,114,000","1,121,378,000","868,532,000","734,169,000","535,520,000","270,443,000"
ReconciledDepreciation,,"52,000,000","26,000,000","25,000,000","25,000,000","22,000,000","19,679,000","19,244,000","19,269,000","18,700,000","18,702,000","21,074,000","17,897,000","12,068,000","11,630,000","10,913,000","9,049,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"158,000,000","161,000,000","169,000,000","793,000,000","699,000,000","415,000,000","44,533,000","417,593,000","40,668,000","687,179,000","280,406,000","490,114,000","1,121,378,000","868,532,000","734,169,000","535,520,000","270,443,000"
TotalUnusualItemsExcludingGoodwill,,"-44,000,000","-4,000,000","-2,000,000","-6,000,000","-146,000,000",,,,,,,,,,,
TotalUnusualItems,,"-44,000,000","-4,000,000","-2,000,000","-6,000,000","-146,000,000",,,,,,,,,,,
