name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"5,271,000,000","1,106,000,000","1,325,000,000","1,425,000,000","1,415,000,000","1,410,000,000","1,371,000,000","1,371,000,000","1,404,000,000","1,361,000,000","1,440,000,000","1,322,000,000","1,295,000,000","1,338,000,000","1,383,000,000","1,377,000,000","1,265,000,000","1,427,000,000","1,379,000,000","1,196,000,000","1,402,767,000","1,403,026,000","1,559,467,000","1,535,544,000","1,612,673,000","1,416,075,000","1,444,960,000","1,770,066,000","1,640,441,000","1,503,798,000","1,762,461,000","1,906,654,000","1,499,328,000","1,226,697,000","1,346,544,000","1,082,590,000","898,485,000"
	OperatingRevenue,"5,271,000,000","1,106,000,000","1,325,000,000","1,425,000,000","1,415,000,000","1,410,000,000","1,371,000,000","1,371,000,000","1,404,000,000","1,361,000,000","1,440,000,000","1,322,000,000","1,295,000,000","1,338,000,000","1,383,000,000","1,377,000,000","1,265,000,000","1,427,000,000","1,379,000,000","1,196,000,000","1,402,767,000","1,403,026,000","1,559,467,000","1,535,544,000","1,612,673,000","1,416,075,000","1,444,960,000","1,770,066,000","1,640,441,000","1,334,255,000","1,762,461,000","1,906,654,000","1,499,328,000","1,226,697,000","1,346,544,000","1,082,590,000","898,485,000"
CostOfRevenue,"3,454,000,000","770,000,000","853,000,000","917,000,000","914,000,000","903,000,000","913,000,000","913,000,000","973,000,000","932,000,000","970,000,000","907,000,000","937,000,000","922,000,000","922,000,000","960,000,000","899,000,000","894,000,000","891,000,000","860,000,000","956,569,000","889,703,000","982,003,000","993,447,000","1,049,420,000","889,385,000","938,540,000","1,052,176,000","981,471,000","956,727,000","990,873,000","1,066,408,000","901,054,000","716,073,000","771,792,000","700,516,000","529,405,000"
GrossProfit,"1,817,000,000","336,000,000","472,000,000","508,000,000","501,000,000","507,000,000","458,000,000","458,000,000","431,000,000","429,000,000","470,000,000","415,000,000","358,000,000","416,000,000","461,000,000","417,000,000","366,000,000","533,000,000","488,000,000","336,000,000","446,198,000","513,323,000","577,464,000","542,097,000","563,253,000","526,690,000","506,420,000","717,890,000","658,970,000","547,071,000","771,588,000","840,246,000","598,274,000","510,624,000","574,752,000","382,074,000","369,080,000"
OperatingExpense,"1,073,000,000","260,000,000","271,000,000","268,000,000","274,000,000","1,163,000,000","262,000,000","286,000,000","-554,000,000","262,000,000","290,000,000","271,000,000","242,000,000","-145,000,000","792,000,000","268,000,000","259,000,000","501,000,000","291,000,000","229,000,000","131,687,000","159,856,000","315,186,000","464,350,000","320,001,000","397,545,000","283,958,000","324,995,000","295,962,000","334,160,000","288,487,000","303,052,000","255,377,000","257,386,000","288,748,000","191,507,000","164,340,000"
	SellingGeneralAndAdministration,"1,011,000,000","231,000,000","261,000,000","261,000,000","258,000,000","272,000,000","254,000,000","259,000,000","270,000,000","249,000,000","254,000,000","248,000,000","246,000,000","266,000,000","277,000,000","260,000,000","235,000,000","303,000,000","249,000,000","214,000,000","246,879,000","254,765,000","292,687,000","283,419,000","294,505,000","329,185,000","264,887,000","296,198,000","276,347,000","309,710,000","268,642,000","288,269,000","239,753,000","229,782,000","202,586,000","171,834,000","149,812,000"
		GeneralAndAdministrativeExpense,"886,000,000","696,000,000","62,000,000","65,000,000","63,000,000","740,000,000","63,000,000","62,000,000","70,000,000","679,000,000","60,000,000","65,000,000","66,000,000","75,000,000","80,000,000","81,000,000","80,000,000","697,000,000","83,000,000","78,000,000","76,954,000","748,915,000","76,642,000","74,554,000","74,293,000","806,946,000","68,355,000","71,144,000","67,642,000","774,905,000","59,084,000","59,965,000","64,418,000","56,674,000","48,502,000","43,862,000","46,851,000"
			SalariesAndWages,"286,000,000"
			InsuranceAndClaims,"499,000,000"
			OtherGandA,"101,000,000","-89,000,000","62,000,000","65,000,000","63,000,000","-110,000,000","63,000,000","62,000,000","70,000,000","-100,000,000","60,000,000","65,000,000","66,000,000","80,000,000","80,000,000","81,000,000","80,000,000","-57,000,000","83,000,000","78,000,000","76,954,000","-92,370,000","76,642,000","74,554,000","74,293,000","-105,331,000","68,355,000","71,144,000","67,642,000","-85,276,000","59,084,000","59,965,000","64,418,000","56,674,000","48,502,000","43,862,000","46,851,000"
