name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"30,836,000,000","32,194,000,000","33,297,000,000","27,452,000,000","23,399,000,000","25,188,000,000","34,669,000,000","31,299,000,000","29,715,000,000","30,714,000,000","24,946,000,000","21,398,000,000","31,578,436,134","25,443,440,262","24,787,977,633","28,213,745,784","22,459,803,216","19,207,780,497","17,041,233,868","17,244,508,118","17,828,434,313","10,258,969,907","9,002,012,384","10,669,049,321","10,383,034,124","9,284,974,093","10,914,574,274","8,902,965,316","8,951,938,970","9,180,032,355","13,021,691,219","10,006,948,466","7,104,986,877","7,040,025,991","6,696,036,459","8,397,036,209"
	OperatingRevenue,"32,701,000,000","34,002,000,000","34,964,000,000","29,125,000,000","25,049,000,000","26,756,000,000","36,231,000,000","32,722,000,000","31,053,000,000","30,474,000,000","24,946,000,000","21,292,000,000","31,239,679,456","25,069,023,736","24,504,892,824","29,075,473,892","22,408,207,343","19,094,422,259","16,890,147,938","17,153,772,684","17,828,434,313","10,258,969,907","9,002,012,384","10,669,049,321","10,383,034,124","9,284,974,093","10,914,574,274","8,902,965,316","8,951,938,970","9,180,032,355","13,021,691,219","10,006,948,466","7,104,986,877","7,040,025,991","6,696,036,459","8,397,036,209"
	ExciseTaxes,"1,865,000,000","1,808,000,000","1,667,000,000","1,673,000,000","1,650,000,000","1,568,000,000","1,562,000,000","1,423,000,000","1,338,000,000",,,,,,,"1,278,055,588",,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"28,462,000,000","29,064,000,000","29,217,000,000","26,015,000,000","21,972,000,000","22,168,000,000","29,237,000,000","26,553,000,000","23,694,000,000","23,053,000,000","18,998,000,000","16,038,000,000","18,997,085,964","17,605,521,899","17,270,503,262","20,538,434,702","16,035,517,159","13,605,564,859","13,295,561,851","13,306,271,888","13,654,769,046","7,264,033,565","6,380,030,960","7,590,993,567","7,487,049,472","6,446,959,367","7,672,043,765","6,216,044,480","6,398,982,835","6,833,025,191","8,445,655,956","5,066,010,423","3,850,990,217","4,152,956,465","4,298,991,852","5,325,038,445"
GrossProfit,"2,374,000,000","3,130,000,000","4,080,000,000","1,437,000,000","1,427,000,000","3,020,000,000","5,432,000,000","4,746,000,000","6,021,000,000","7,661,000,000","5,948,000,000","5,360,000,000","12,581,350,170","7,837,918,363","7,517,474,371","7,675,311,082","6,424,286,057","5,602,215,638","3,745,672,017","3,938,236,230","4,173,665,267","2,994,936,342","2,621,981,424","3,078,055,754","2,895,984,652","2,838,014,726","3,242,530,509","2,686,920,836","2,552,956,135","2,347,007,164","4,576,035,263","4,940,938,043","3,253,996,660","2,887,069,526","2,397,044,607","3,071,997,764"
OperatingExpense,"868,000,000","947,000,000","927,000,000","1,076,000,000","1,223,000,000","1,190,000,000","1,142,000,000","1,205,000,000","1,164,000,000","3,252,000,000","3,133,000,000","3,155,000,000","7,306,945,119","3,421,392,392","3,388,863,001","3,750,436,097","3,389,728,822","3,327,321,912","1,934,214,668","1,895,893,028","1,918,116,377","1,854,890,046","1,836,996,904","1,842,030,021","1,853,912,567","1,865,966,730","2,158,507,505","1,819,962,934","2,016,020,343","1,874,971,112","3,064,609,674","3,900,057,904","2,460,868,528","1,801,949,318","1,225,107,029","1,261,009,367"
	SellingGeneralAndAdministration,"853,000,000","900,000,000","908,000,000","893,000,000","1,129,000,000","1,117,000,000","1,075,000,000","1,082,000,000","1,081,000,000","1,168,000,000","1,070,000,000","1,106,000,000","5,265,905,780","1,334,789,949","1,283,783,784","1,576,927,550","1,217,902,568","1,324,230,323",,,,,,,,,,,,,,"1,466,010,423","1,034,955,858","942,949,968","882,060,489","939,046,554"
		GeneralAndAdministrativeExpense,,"1,043,000,000","1,015,000,000","893,000,000","1,129,000,000","1,117,000,000","1,075,000,000","1,082,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,"143,000,000","107,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,"900,000,000","908,000,000","893,000,000","1,129,000,000","1,117,000,000","1,075,000,000","1,082,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"764,000,000","747,000,000","781,000,000","728,508,985","779,620,618","830,615,098","895,452,960","908,327,334","749,710,164","703,493,862","716,332,378","724,355,129","666,956,019","647,058,824","685,060,758","710,977,114","745,977,638","924,253,051","833,995,234","893,960,585","833,025,191","1,025,403,085","815,055,009","461,942,257","391,942,820","343,046,541","321,962,813"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,"781,000,000","728,508,985","779,620,618","830,615,098","895,452,960","908,327,334","749,710,164","703,493,862","716,332,378","724,355,129","666,956,019","647,058,824","685,060,758","710,977,114","745,977,638","924,253,051","833,995,234","893,960,585","833,025,191","1,025,403,085","815,055,009","461,942,257","391,942,820","343,046,541","321,962,813"
	OtherTaxes,,"1,808,000,000","1,667,000,000","1,673,000,000","1,650,000,000","1,568,000,000","1,562,000,000","1,423,000,000","1,338,000,000","1,320,000,000","1,316,000,000","1,268,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"15,000,000","47,000,000","19,000,000","183,000,000","94,000,000","73,000,000","67,000,000","123,000,000","83,000,000",,,,"1,312,530,354","1,306,981,825","1,274,464,119","1,278,055,587","1,263,498,920","1,253,381,425","1,230,720,806","1,179,560,650","1,193,761,248","1,187,934,027","1,189,938,080","1,156,969,263","1,142,935,453","1,119,989,092","1,234,254,454","985,967,700","1,122,059,758","1,041,945,921","2,039,206,589","1,618,992,472","963,970,413","467,056,530","-1",
OperatingIncome,"1,506,000,000","2,183,000,000","3,153,000,000","361,000,000","204,000,000","1,830,000,000","4,290,000,000","3,541,000,000","4,857,000,000","4,409,000,000","2,815,000,000","2,205,000,000","5,274,405,051","4,416,525,971","4,128,611,370","3,924,874,985","3,034,557,235","2,274,893,726","1,811,457,349","2,042,343,202","2,255,548,890","1,140,046,296","784,984,520","1,236,025,733","1,042,072,085","972,047,996","1,084,023,004","866,957,902","536,935,792","472,036,052","1,511,425,589","1,040,880,139","793,128,132","1,085,120,208","1,171,937,578","1,810,988,397"
NetNonOperatingInterestIncomeExpense,"-84,000,000","-93,000,000","-108,000,000","-78,000,000","-65,000,000","-39,000,000","-4,000,000","-11,000,000","1,000,000","-3,000,000","-7,000,000","-5,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,"-4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"84,000,000","93,000,000","108,000,000","78,000,000","65,000,000","39,000,000","0","11,000,000","1,000,000","3,000,000","7,000,000","5,000,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-29,000,000","-44,000,000","28,000,000","299,000,000","2,305,000,000","132,000,000","735,000,000","207,000,000","135,000,000",,"146,000,000",,"338,756,678","374,416,526","283,084,809","417,490,406","51,595,872","243,462,579","152,659,742","92,327,284","223,455,309","88,975,694","143,034,056","452,894,925","125,942,168","158,985,547","-84,724,365","-121,922,160","73,998,729","30,968,338","-160,074,237","119,050,376","99,976,139","113,060,429","99,986,190","137,005,452"
	GainOnSaleOfSecurity,"108,000,000","99,000,000","135,000,000","299,000,000","2,305,000,000","132,000,000","735,000,000","207,000,000","135,000,000",,"146,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,"338,756,678","374,416,526","283,084,809","417,490,406","51,595,872","243,462,579","152,659,742","92,327,284","223,455,309","88,975,694","143,034,056","452,894,925","125,942,168","158,985,547","-84,724,365","-121,922,160","73,998,729","30,968,338","-160,074,237","119,050,376","99,976,139","113,060,429","99,986,190","137,005,452"
	OtherNonOperatingIncomeExpenses,"-137,000,000","-143,000,000","-107,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
