name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"519,428,000","502,747,000","383,241,000","338,408,000","310,240,000","287,137,000","263,602,000","246,830,000","234,808,000","219,779,000","210,409,000","187,532,000","145,546,000","128,234,000","129,299,000","132,993,000","126,171,000","123,567,000","123,388,000","111,869,000","88,565,000","76,621,000","72,200,000","65,000,000","57,600,000","55,400,000","53,000,000","47,500,000","51,000,000","52,600,000",,,,,,
	NetInterestIncome,"404,914,000","393,135,000","298,165,000","258,860,000","227,844,000","214,928,000","196,042,000","182,578,000","172,799,000","167,079,000","163,961,000","150,694,000","117,462,000","96,183,000","102,655,000","105,843,000","97,816,000","95,773,000","100,031,000","90,591,000","72,147,000","61,828,000","59,100,000","52,200,000","44,900,000","43,900,000","41,500,000","34,400,000","33,900,000","31,000,000",,,,,,
		InterestIncome,"462,851,000","447,014,000","323,701,000","277,194,000","246,637,000","235,545,000","216,459,000","205,914,000","196,192,000","195,751,000","202,724,000","202,689,000","176,388,000","159,738,000","167,693,000","155,661,000","134,613,000","128,306,000","140,825,000","145,069,000","127,566,000","112,006,000","108,700,000","93,800,000","77,300,000","73,000,000","68,600,000","61,100,000","65,900,000","80,900,000",,,,,,
			InterestIncomeFromLoansAndLease,"427,966,000","412,351,000","294,452,000","253,223,000","224,479,000","214,949,000","197,426,000","190,522,000","179,297,000","174,932,000","177,730,000","172,757,000","151,105,000","135,391,000","136,387,000","121,241,000","100,230,000","95,666,000","98,667,000","101,479,000","92,243,000","81,296,000","76,400,000","66,700,000","57,800,000","55,900,000","52,100,000","46,700,000","54,100,000","71,700,000",,,,,,
				InterestIncomeFromLoans,"427,966,000","412,351,000","294,452,000","253,223,000","224,479,000","214,949,000","197,426,000","190,522,000","179,297,000","174,932,000","177,730,000","172,757,000","151,105,000","135,391,000","136,387,000","121,241,000","100,230,000","95,666,000","98,667,000","101,479,000","92,243,000","81,296,000","76,400,000","66,700,000","57,800,000","55,900,000","52,100,000","46,700,000","54,100,000","71,700,000",,,,,,
			InterestIncomeFromSecurities,"32,944,000","32,456,000","26,573,000","22,553,000","20,968,000","20,247,000","18,754,000","15,192,000","16,763,000","20,657,000","24,657,000","29,642,000","25,135,000","22,879,000","29,792,000","33,905,000","34,383,000","32,640,000","41,780,000","42,911,000","34,657,000","30,127,000","31,500,000","26,900,000","19,200,000","16,200,000","16,200,000","13,700,000","11,300,000","6,900,000",,,,,,
			InterestIncomeFromDeposits,,,,,,,,,,,,,,,,,,,,,"6,000","5,000",,,,,,,,"100,000",,,,,,
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"1,941,000","2,207,000","2,676,000","1,418,000","1,190,000","349,000","279,000","200,000","132,000","162,000","337,000","290,000","148,000","1,468,000","1,514,000","515,000",,,"378,000","679,000","660,000","578,000","800,000","200,000","200,000","1,000,000","300,000","700,000","500,000","2,100,000",,,,,,
			OtherInterestIncome,,,,,,,,,,,,,,,,,,,,,,,,,"100,000","-100,000",,,,"100,000",,,,,,
		InterestExpense,"57,937,000","53,879,000","25,536,000","18,334,000","18,793,000","20,617,000","20,417,000","23,336,000","23,393,000","28,672,000","38,763,000","51,995,000","58,926,000","63,555,000","65,038,000","49,818,000","36,797,000","32,533,000","40,794,000","54,478,000","55,419,000","50,178,000","49,600,000","41,600,000","32,400,000","29,100,000","27,100,000","26,700,000","32,000,000","49,900,000",,,,,,
