name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016,06/30/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
TotalAssets,"888,520,000,000","922,391,000,000","909,945,000,000","904,935,000,000","884,603,000,000","903,499,000,000","843,878,000,000","862,051,000,000","842,216,000,000","885,659,000,000","837,855,000,000","862,039,000,000","864,920,000,000","1,053,383,000,000","987,706,000,000","990,987,000,000","1,162,128,000,000","1,248,096,000,000","1,231,121,000,000","1,241,729,000,000","1,273,580,000,000","1,229,235,000,000","1,242,844,000,000","1,260,698,000,000","1,267,385,000,000","1,236,218,000,000","1,159,972,000,000","1,187,915,000,000","1,184,337,000,000","1,271,836,000,000","1,334,821,543,020","1,374,252,471,930","1,369,946,000,000","1,302,538,948,140","1,314,578,222,460","1,306,377,536,310","1,319,333,143,270","1,281,822,915,600","1,226,306,111,200","1,219,484,718,080","1,221,770,859,400","1,200,075,221,190","1,157,759,243,190","1,134,482,000,000","1,104,839,127,630","1,036,140,033,060","865,561,254,080","865,288,834,020","870,746,325,120","828,925,631,520","777,411,746,130","784,170,979,200","727,217,363,180","730,870,141,750","717,017,486,910","720,688,856,140","716,270,388,400","748,014,359,400","706,347,089,430","742,429,395,000","706,070,600,400","715,126,280,600","651,974,373,680","612,837,323,780","557,327,332,040","552,891,077,500","494,260,462,710","449,825,721,840","444,759,279,900","423,968,216,000","392,703,477,048","399,865,904,746","407,654,159,025","409,111,905,312","278,392,357,971","266,576,337,580","256,575,709,010","242,598,998,015"
TotalLiabilitiesNetMinorityInterest,"836,631,000,000","867,981,000,000","859,221,000,000","851,312,000,000","834,752,000,000","854,808,000,000","794,734,000,000","811,692,000,000","794,353,000,000","835,954,000,000","792,245,000,000","815,398,000,000","817,577,000,000","987,411,000,000","933,025,000,000","935,831,000,000","1,109,286,000,000","1,191,199,000,000","1,181,248,000,000","1,190,282,000,000","1,227,351,000,000","1,183,426,000,000","1,198,745,000,000","1,212,226,000,000","1,223,640,000,000","1,191,986,000,000","1,122,936,000,000","1,150,333,000,000","1,153,657,000,000","1,241,329,000,000","1,305,825,030,580","1,348,647,824,930","1,339,981,000,000","1,268,950,118,210","1,274,963,743,000","1,265,212,204,200","1,278,844,853,420","1,239,565,955,040","1,184,876,379,690","1,180,728,905,480","1,186,722,901,000","1,161,656,155,510","1,119,362,557,320","1,097,052,000,000","1,067,643,370,080","1,003,123,600,490","836,222,245,120","837,473,856,180","420,779,600,640","401,371,551,620","752,611,013,110","760,771,404,750","705,383,581,760","709,396,546,250","694,637,939,430","700,212,870,940","692,558,918,800","721,145,740,700","680,786,004,300","716,428,175,100","677,592,174,000","686,007,623,200","622,913,360,120","579,245,844,320","521,131,982,860","517,819,101,500","458,129,239,680","416,116,360,080","411,677,204,900","393,125,550,120","363,171,939,012","375,421,503,842","378,269,174,575","380,784,457,977","257,513,106,123","244,145,409,536","235,809,331,438","224,078,544,756"
TotalEquityGrossMinorityInterest,"51,889,000,000","54,410,000,000","50,724,000,000","53,623,000,000","49,851,000,000","48,691,000,000","49,144,000,000","50,359,000,000","47,863,000,000","49,705,000,000","45,610,000,000","46,641,000,000","47,343,000,000","65,972,000,000","54,681,000,000","55,156,000,000","52,842,000,000","56,897,000,000","49,873,000,000","51,447,000,000","46,229,000,000","45,809,000,000","44,099,000,000","48,472,000,000","43,745,000,000","44,232,000,000","37,036,000,000","37,582,000,000","30,680,000,000","30,507,000,000","28,996,512,440","25,604,647,000","29,965,000,000","33,588,829,930","39,614,479,460","41,165,332,110","40,488,289,850","42,256,960,560","41,429,731,510","38,755,812,600","35,047,958,400","38,419,065,680","38,396,685,870","37,430,000,000","37,195,757,550","33,016,432,570","29,339,008,960","27,814,977,840","449,966,724,480","427,554,079,900","24,800,733,020","23,399,574,450","21,833,781,420","21,473,595,500","22,379,547,480","20,475,985,200","23,711,469,600","26,868,618,700","25,561,085,130","26,001,219,900","28,478,426,400","29,118,657,400","29,061,013,560","33,591,479,460","36,195,349,180","35,071,976,000","36,131,223,030","33,709,361,760","33,082,075,000","30,842,665,880","29,531,538,036","24,444,400,904","29,384,984,450","28,327,447,335","20,879,251,848","22,430,928,044","20,766,377,572","18,520,453,259"
	StockholdersEquity,"50,996,000,000","53,511,000,000","49,862,000,000","52,788,000,000","49,048,000,000","47,957,000,000","48,429,000,000","49,685,000,000","47,257,000,000","49,086,000,000","44,972,000,000","46,022,000,000","46,767,000,000","53,503,000,000","46,634,000,000","47,166,000,000","49,511,000,000","55,877,000,000","48,946,000,000","50,616,000,000","45,452,000,000","45,067,000,000","43,370,000,000","47,475,000,000","42,734,000,000","43,235,000,000","36,121,000,000","36,515,000,000","29,605,000,000","29,370,000,000","27,398,924,280","23,696,001,430","28,060,000,000","31,588,582,720","37,288,008,420","38,988,740,490","38,378,362,730","40,319,687,280","38,480,802,030","36,906,470,480","33,237,804,600","36,640,344,120","38,396,685,870","37,430,000,000","35,533,986,390","31,559,201,300","27,128,919,680","26,052,215,280","27,139,163,520","26,296,160,680","23,073,717,770","21,544,902,750","20,205,938,390","19,554,316,250","20,418,335,220","18,758,513,840","22,181,437,600","25,394,338,200","24,097,754,310","24,417,238,800","27,093,568,200","27,676,879,750","27,769,483,940","32,488,428,280","35,119,293,930","34,118,796,700","35,157,308,830","32,888,185,920","32,259,128,200","30,091,153,420","28,913,785,866","24,140,369,022","29,040,265,575","28,065,050,409","20,694,342,942","22,220,248,876","20,562,293,043","18,291,832,295"
		CapitalStock,"39,000,000","17,116,000,000","39,000,000",,"17,088,000,000","17,088,000,000","17,045,000,000","17,043,000,000","16,989,000,000","931,000,000","928,000,000","928,000,000","928,000,000","926,000,000","925,000,000",,"919,000,000",,"919,000,000",,"42,452,000,000",,"919,000,000",,"919,000,000",,"919,000,000",,"495,000,000",,"496,372,940",,,"20,895,270","556,240,570","119,130,900","214,982,070","9,097,249,680","744,809,270","215,113,080","8,880,162,200","296,178,590","295,508,500","35,363,000,000","295,682,940","296,229,120","1,282,087,840","1,416,965,160","1,439,639,040","1,836,786,580","1,780,215,260","1,926,731,100","1,880,754,040","2,059,312,500","2,147,994,380","2,284,560,960","2,227,605,800","2,579,130,400","2,546,780,060","2,673,997,200","2,648,526,600","2,553,647,350","2,425,477,720","857,046,960","785,257,880","524,196,300","1,039,504,340","468,575,280","482,950,000",,,,,,,,,
			PreferredStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,895,270","21,261,970","119,130,900","214,982,070","214,836,720","215,183,960","215,113,080",,"296,178,590","295,508,500",,"295,682,940","296,229,120","1,282,087,840","1,416,965,160","1,439,639,040","1,836,786,580","1,780,215,260","1,926,731,100","1,880,754,040","2,059,312,500","2,147,994,380","2,284,560,960","2,227,605,800","2,579,130,400","2,546,780,060","2,673,997,200","2,648,526,600","2,553,647,350","2,425,477,720","857,046,960","785,257,880","524,196,300","499,876,370","468,575,280","482,950,000",,,,,,,,,
			CommonStock,"39,000,000","17,116,000,000","39,000,000",,"17,088,000,000","17,088,000,000","17,045,000,000","17,043,000,000","16,989,000,000","931,000,000","928,000,000","928,000,000","928,000,000","926,000,000","925,000,000",,"919,000,000",,"919,000,000",,"42,452,000,000",,"919,000,000",,"919,000,000",,"919,000,000",,"495,000,000",,"496,372,940",,,,"534,978,600",,,"8,882,412,960","529,625,310",,"8,880,162,200",,,"35,363,000,000",,,,,,,,,,,,,,,,,,,,,,,"539,627,970",,,,,,,,,,,
		AdditionalPaidInCapital,"17,078,000,000",,"17,077,000,000",,"17,088,000,000","17,088,000,000","17,045,000,000","17,043,000,000","16,989,000,000","16,055,000,000","16,054,000,000","16,054,000,000","16,053,000,000","16,050,000,000","16,046,000,000",,"16,034,000,000",,"16,034,000,000",,"3,000,000,000",,"37,451,000,000",,"16,034,000,000",,"16,034,000,000",,"9,182,000,000",,"9,204,090,420",,,,"8,753,072,940",,,,"8,348,228,420","8,864,550,000",,"36,717,895,060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RetainedEarnings,"29,866,000,000","34,930,000,000","28,528,000,000",,"28,339,000,000","27,374,000,000","27,022,000,000","27,679,000,000","24,371,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,932,393,680","17,797,889,200","2,004,774,300","36,708,065,870",,"33,025,636,980","29,531,883,260","26,384,600,560","26,698,776,000","24,036,069,120","22,854,722,280","21,981,132,490","19,077,726,150","17,421,309,950",,"17,447,927,730","21,932,190,280",,"24,154,106,900","22,557,997,610","23,752,032,600","23,440,225,200","21,727,121,150","19,210,039,080",,,,"7,555,785,370",,,,,,,,,,,
		TreasuryStock,"10,000,000","5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
