name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"10,219,900,000","10,221,300,000","9,714,400,000","7,882,400,000","7,846,600,000","7,613,800,000","7,537,100,000","7,122,300,000","6,956,200,000","7,014,600,000","6,531,900,000","6,027,600,000","6,962,700,000","6,554,200,000","6,190,800,000","6,274,300,000","6,387,000,000","5,863,400,000","6,203,600,000","6,723,200,000","5,625,845,000","4,427,300,000","3,844,300,000","3,125,800,000","2,537,500,000","2,179,700,000","1,984,300,000","1,793,900,000","1,804,400,000","1,677,500,000","1,368,200,000","1,256,900,000","1,191,900,000","943,200,000","814,400,000","666,700,000"
	OperatingRevenue,"8,592,400,000","8,625,100,000","8,031,600,000","7,882,400,000","7,846,600,000","7,613,800,000","7,537,100,000","7,122,300,000","6,956,200,000","7,014,600,000","6,531,900,000","6,027,600,000","6,962,700,000","6,554,200,000","6,190,800,000","6,274,300,000","6,387,000,000","5,863,400,000","6,203,600,000","6,723,200,000","5,625,845,000","4,427,300,000","3,844,300,000","3,125,800,000","2,537,500,000","2,179,700,000","1,984,300,000","1,793,900,000","1,804,400,000","1,677,500,000","1,368,200,000","1,256,900,000","1,191,900,000","943,200,000","814,400,000","666,700,000"
CostOfRevenue,"8,751,100,000","8,729,100,000","8,336,200,000","5,068,100,000","5,038,100,000","4,857,700,000","4,820,400,000","4,545,500,000","4,391,900,000","0","0","0",,,,,,,,,"187,063,000","215,900,000","179,100,000","1,554,000,000","1,240,700,000","1,058,800,000","965,000,000","847,200,000","953,500,000","816,500,000","714,200,000","650,800,000","631,300,000","519,800,000","453,000,000","10,000,000"
GrossProfit,"1,468,800,000","1,492,200,000","1,378,200,000","2,814,300,000","2,808,500,000","2,756,100,000","2,716,700,000","2,576,800,000","2,564,300,000","7,014,600,000","6,531,900,000","6,027,600,000",,,,,,,,,"5,812,908,000","4,643,200,000","4,023,400,000","1,571,800,000","1,296,800,000","1,120,900,000","1,019,300,000","946,700,000","850,900,000","861,000,000","654,000,000","606,100,000","560,600,000","423,400,000","361,400,000","676,700,000"
OperatingExpense,"355,000,000","372,300,000","369,400,000","1,840,700,000","1,870,500,000","1,885,000,000","1,928,100,000","1,917,900,000","1,886,000,000","6,326,400,000","5,979,300,000","5,681,700,000","6,355,900,000","6,167,300,000","6,058,400,000","6,385,800,000","6,419,100,000","5,635,600,000","5,785,700,000","6,321,200,000","4,979,386,000","4,041,800,000","3,526,200,000","1,081,100,000","898,900,000","828,800,000","785,600,000","688,500,000","662,100,000","642,200,000","485,600,000","453,400,000","422,100,000","341,200,000","267,800,000","615,600,000"
	SellingGeneralAndAdministration,"74,800,000","93,800,000","166,500,000","1,840,700,000","1,870,500,000","1,885,000,000","1,928,100,000","1,917,900,000","1,886,000,000","6,326,400,000","5,979,300,000","5,681,700,000","6,355,900,000","6,184,000,000","6,023,100,000","6,287,200,000","5,983,300,000","5,337,400,000","5,645,600,000","5,845,000,000","4,679,845,000","3,825,900,000","3,347,100,000","950,300,000","795,400,000","737,600,000","710,000,000","618,500,000","622,500,000","578,500,000","436,800,000","412,900,000","397,200,000","320,200,000","254,700,000","605,600,000"
		GeneralAndAdministrativeExpense,,,,"1,840,700,000","1,870,500,000","1,885,000,000","1,928,100,000","1,917,900,000","1,886,000,000","6,326,400,000","5,979,300,000","5,681,700,000",,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,"4,402,100,000","4,117,000,000","3,961,200,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,"1,840,700,000","1,870,500,000","1,885,000,000","1,928,100,000","1,917,900,000","1,886,000,000","1,924,300,000","1,862,300,000","1,720,500,000",,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"280,200,000","278,500,000","202,900,000",,,,,,,,,,,,,,,"11,300,000","13,000,000","173,100,000","299,541,000","215,900,000","179,100,000","130,800,000","103,500,000","91,200,000","75,600,000","70,000,000","39,600,000","63,700,000","48,800,000","40,500,000","24,900,000","21,000,000","13,100,000","10,000,000"
