name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"22,085,000,000","22,376,000,000","23,306,000,000","21,743,000,000","21,079,000,000","22,365,000,000","23,617,000,000","29,080,000,000","27,833,000,000","26,034,000,000","25,179,000,000","23,366,000,000","24,829,000,000","21,890,000,000","21,995,000,000","24,097,000,000","25,548,000,000","25,179,000,000","24,976,000,000","26,363,000,000","28,180,000,000","24,573,000,000","19,541,000,000","20,096,000,000","20,143,000,000","19,797,000,000","14,966,000,000","13,685,000,000","13,598,000,000","12,703,000,000","12,960,000,000","11,378,000,000","9,533,000,000","7,763,000,000","5,500,000,000","4,501,900,000"
	OperatingRevenue,"22,085,000,000","22,376,000,000","23,306,000,000","21,743,000,000","21,079,000,000","22,365,000,000","23,617,000,000","29,080,000,000","27,833,000,000","26,034,000,000","25,179,000,000","23,366,000,000","24,829,000,000","21,890,000,000","21,995,000,000","24,097,000,000","25,548,000,000","25,179,000,000","24,976,000,000","26,363,000,000","28,180,000,000","24,573,000,000","19,541,000,000","20,096,000,000","20,143,000,000","19,797,000,000","14,966,000,000","13,685,000,000","13,598,000,000","12,703,000,000","12,960,000,000","11,378,000,000","9,533,000,000","7,763,000,000","5,500,000,000","4,501,900,000"
CostOfRevenue,"15,085,000,000","15,268,000,000","15,555,000,000","15,300,000,000","15,152,000,000","15,468,000,000","16,254,000,000","21,223,000,000","20,587,000,000","18,960,000,000","18,482,000,000","15,220,000,000","18,742,000,000","16,060,000,000","16,248,000,000","18,139,000,000","18,996,000,000","18,803,000,000","18,256,000,000","19,409,000,000","20,082,000,000","18,105,000,000","14,761,000,000","14,973,000,000","14,901,000,000","13,896,000,000","11,143,000,000","10,191,000,000","10,137,000,000","9,341,000,000","9,263,000,000","7,918,000,000","6,715,000,000","5,660,000,000","4,293,000,000","3,477,000,000"
GrossProfit,"7,000,000,000","7,108,000,000","7,751,000,000","6,443,000,000","5,927,000,000","6,897,000,000","7,363,000,000","7,857,000,000","7,246,000,000","7,074,000,000","6,697,000,000","8,146,000,000","6,087,000,000","5,830,000,000","5,747,000,000","5,958,000,000","6,552,000,000","6,376,000,000","6,720,000,000","6,954,000,000","8,098,000,000","6,468,000,000","4,780,000,000","5,123,000,000","5,242,000,000","5,901,000,000","3,823,000,000","3,494,000,000","3,461,000,000","3,362,000,000","3,697,000,000","3,460,000,000","2,818,000,000","2,103,000,000","1,207,000,000","1,024,900,000"
OperatingExpense,"4,735,000,000","4,719,000,000","5,283,000,000","4,599,000,000","4,327,000,000","4,513,000,000","4,900,000,000","5,669,000,000","5,355,000,000","4,755,000,000","4,896,000,000","4,866,000,000","4,762,000,000","4,120,000,000","4,296,000,000","4,572,000,000","3,812,000,000","4,974,000,000","4,980,000,000","5,561,000,000","5,590,000,000","4,927,000,000","3,764,000,000","3,977,000,000","3,822,000,000","3,380,000,000","2,810,000,000","2,684,000,000","3,008,000,000","2,409,000,000","2,474,000,000","1,850,000,000","1,479,000,000","1,313,000,000","750,000,000","889,000,000"
	SellingGeneralAndAdministration,"3,250,000,000","3,243,000,000","3,784,000,000","3,087,000,000","2,936,000,000","3,051,000,000","3,314,000,000","3,937,000,000","3,703,000,000","3,277,000,000","3,248,000,000","3,206,000,000","3,233,000,000","2,865,000,000","2,923,000,000","2,963,000,000","2,005,000,000","3,083,000,000","3,144,000,000","3,426,000,000","3,387,000,000","3,181,000,000","2,397,000,000","2,514,000,000","2,434,000,000","2,175,000,000","1,774,000,000","1,633,000,000","2,008,000,000","1,574,000,000","1,674,000,000","1,200,000,000","944,000,000","836,000,000","355,000,000","551,000,000"
		GeneralAndAdministrativeExpense,"1,672,000,000","1,683,000,000","2,217,000,000","1,653,000,000","1,575,000,000","1,645,000,000","1,793,000,000","2,205,000,000","2,092,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"32,000,000","36,000,000","494,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,652,000,000","1,647,000,000","1,723,000,000","1,653,000,000","1,575,000,000","1,645,000,000","1,793,000,000","2,205,000,000","2,092,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"1,578,000,000","1,560,000,000","1,567,000,000","1,434,000,000","1,361,000,000","1,406,000,000","1,521,000,000","1,732,000,000","1,611,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,314,000,000","1,306,000,000","1,328,000,000","1,343,000,000","1,227,000,000","1,294,000,000","1,406,000,000","1,547,000,000","1,486,000,000","1,332,000,000","1,456,000,000","1,472,000,000","1,347,000,000","1,086,000,000","1,158,000,000","1,376,000,000","1,565,000,000","1,644,000,000","1,587,000,000","1,870,000,000","1,916,000,000","1,520,000,000","1,186,000,000","1,258,000,000","1,194,000,000","1,031,000,000","885,000,000","898,000,000","850,000,000","700,000,000","667,000,000","559,000,000","446,000,000","398,000,000","326,000,000","267,000,000"
		DepreciationAndAmortizationInIncomeStatement,"1,314,000,000","1,306,000,000","1,328,000,000","1,343,000,000","1,227,000,000","1,294,000,000","1,406,000,000","1,547,000,000","1,486,000,000","1,332,000,000","1,456,000,000","1,472,000,000","1,347,000,000","1,086,000,000","1,158,000,000","1,376,000,000","1,565,000,000","1,644,000,000","1,587,000,000","1,870,000,000","1,916,000,000","1,520,000,000","1,186,000,000","1,258,000,000","1,194,000,000","1,031,000,000","885,000,000","898,000,000","850,000,000","700,000,000","667,000,000","559,000,000","446,000,000","398,000,000","326,000,000","267,000,000"
	OtherTaxes,"171,000,000","170,000,000","171,000,000","169,000,000","164,000,000","168,000,000","180,000,000","185,000,000","166,000,000","146,000,000","192,000,000","188,000,000","182,000,000","169,000,000","215,000,000",,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,"233,000,000","242,000,000","247,000,000","249,000,000","265,000,000","287,000,000","226,000,000","181,000,000","205,000,000","194,000,000","174,000,000","151,000,000","153,000,000","150,000,000","135,000,000","133,000,000","91,000,000","89,000,000","79,000,000","69,000,000","71,000,000"
OperatingIncome,"2,265,000,000","2,389,000,000","2,468,000,000","1,844,000,000","1,600,000,000","2,384,000,000","2,463,000,000","2,188,000,000","1,891,000,000","2,319,000,000","1,801,000,000","3,280,000,000","1,325,000,000","1,710,000,000","1,451,000,000","1,386,000,000","2,740,000,000","1,402,000,000","1,740,000,000","1,393,000,000","2,508,000,000","1,541,000,000","1,016,000,000","1,146,000,000","1,420,000,000","2,521,000,000","1,013,000,000","810,000,000","453,000,000","953,000,000","1,223,000,000","1,610,000,000","1,339,000,000","790,000,000","457,000,000","135,900,000"
NetNonOperatingInterestIncomeExpense,"-475,000,000","-491,000,000","-536,000,000","-572,000,000","-520,000,000","-555,000,000","-607,000,000","-612,000,000","-672,000,000","-541,000,000","-608,000,000","-669,000,000","-492,000,000","-297,000,000","-521,000,000",,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"210,000,000","215,000,000","198,000,000","186,000,000","175,000,000","89,000,000","70,000,000","57,000,000","71,000,000",,,"33,000,000","80,000,000","154,000,000","130,000,000",,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"685,000,000","706,000,000","734,000,000","758,000,000","695,000,000","644,000,000","677,000,000","669,000,000","743,000,000","541,000,000","608,000,000","702,000,000","572,000,000","451,000,000","651,000,000",,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,"491,000,000","536,000,000","572,000,000","520,000,000","555,000,000","607,000,000","612,000,000","672,000,000","541,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-620,000,000","-294,000,000","-151,000,000","-424,000,000","-124,000,000","-563,000,000","-984,000,000","-727,000,000","-195,000,000","-320,000,000","-371,000,000","-1,412,000,000","-1,986,000,000","241,000,000","2,258,000,000","-207,000,000","-1,251,000,000","-290,000,000","-586,000,000","-1,729,000,000","-969,000,000","-552,000,000","-128,000,000","-640,000,000","-88,000,000",,,,,,,,"24,000,000","82,000,000","118,000,000","114,000,000"
	EarningsFromEquityInterest,,,,,,,,,,,,"-49,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-620,000,000","-294,000,000","-151,000,000","-424,000,000","-124,000,000","-563,000,000","-984,000,000","-727,000,000","-195,000,000","-320,000,000","-371,000,000","-1,412,000,000","-1,986,000,000","241,000,000","2,258,000,000","-207,000,000","-1,251,000,000","-290,000,000","-586,000,000","-1,729,000,000","-969,000,000","-552,000,000","-128,000,000","-640,000,000","-88,000,000",,,,,,,,"24,000,000","82,000,000","118,000,000","114,000,000"
		RestructuringAndMergernAcquisition,"44,000,000","36,000,000","29,000,000","67,000,000","54,000,000","24,000,000","846,000,000","210,000,000","109,000,000","102,000,000","394,000,000","1,353,000,000","370,000,000","95,000,000","300,000,000","358,000,000","211,000,000","298,000,000","695,000,000","1,117,000,000",,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,"0","0","6,000,000","0","137,000,000","100,000,000","514,000,000",,,,"0","1,777,000,000","0","759,000,000",,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,"53,000,000",,"435,000,000",,"228,000,000",,,,"218,000,000","-23,000,000","59,000,000","-155,000,000","-327,000,000","1,471,000,000","-151,000,000","1,040,000,000","-8,000,000","-109,000,000","612,000,000",,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,"-523,000,000","-205,000,000","-122,000,000","5,000,000","-70,000,000","-174,000,000","-38,000,000","-3,000,000","-86,000,000",,,"-59,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,,"0","6,000,000","9,000,000","4,788,000,000",,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,170,000,000","1,604,000,000","1,781,000,000","848,000,000","956,000,000","1,266,000,000","872,000,000","849,000,000","1,024,000,000","1,458,000,000","822,000,000","1,199,000,000","-1,153,000,000","1,654,000,000","3,188,000,000","586,000,000","746,000,000","346,000,000","371,000,000","-1,265,000,000","485,000,000","285,000,000","316,000,000","-113,000,000","633,000,000","1,872,000,000","664,000,000","500,000,000","206,000,000","638,000,000","946,000,000","1,405,000,000","1,198,000,000","681,000,000","454,000,000","159,000,000"
TaxProvision,"622,000,000","634,000,000","445,000,000","-1,085,000,000","247,000,000","466,000,000","123,000,000","-523,000,000","331,000,000","311,000,000","221,000,000","469,000,000","162,000,000","415,000,000","1,889,000,000","-285,000,000","206,000,000","-92,000,000","-54,000,000","-270,000,000","117,000,000","86,000,000","80,000,000","38,000,000","330,000,000","719,000,000","232,000,000","211,000,000","64,000,000","239,000,000","377,000,000","541,000,000","444,000,000","274,000,000","149,000,000","28,000,000"
