name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
TotalRevenue,"722,557,000","187,943,000","189,233,000","179,232,000","166,149,000","173,872,000","148,512,000","177,213,000","182,779,000","181,594,000","182,909,000","179,306,000","176,376,000","176,822,000","177,215,000","168,126,000","168,774,000","163,270,000","159,516,000","162,580,000","160,137,000","152,974,000","150,046,000","147,717,000","144,936,000","141,132,000","125,705,000","119,915,000","114,247,000","112,130,000","111,989,000","104,642,000","102,140,000","98,086,000","93,175,000","90,911,000","87,963,000","84,239,000","83,332,000","77,454,000","69,286,000","65,863,000","56,814,000","45,741,000","44,575,000","44,487,000","36,508,000","35,280,000","28,210,000","25,804,000","23,191,000","22,965,000","23,340,000","18,803,000","24,026,000","26,225,000","28,729,000","29,743,000","25,155,000","100,083,000","-9,752,000","5,168,000","1,915,000"
	OperatingRevenue,"722,557,000","187,943,000","189,233,000","179,232,000","166,149,000","173,872,000","148,512,000","177,213,000","182,779,000","181,594,000","182,909,000","179,306,000","176,376,000","176,822,000","177,215,000","168,126,000","168,774,000","163,270,000","159,516,000","162,580,000","160,137,000","152,974,000","150,046,000","147,717,000","144,936,000","141,132,000","125,705,000","119,915,000","114,247,000","112,130,000","111,989,000","104,642,000","102,140,000","98,086,000","93,175,000","90,911,000","87,963,000","84,239,000","83,332,000","77,454,000","69,286,000","65,863,000","56,814,000","45,741,000","44,575,000","44,487,000","36,508,000","35,280,000","28,210,000","25,804,000","23,191,000","22,965,000","23,340,000","18,803,000","24,026,000","26,225,000","28,729,000","29,743,000","25,155,000","100,083,000","-9,752,000","5,168,000","1,915,000"
PretaxIncome,"273,428,000","54,159,000","80,910,000","73,014,000","65,345,000","67,463,000","42,789,000","73,425,000","76,195,000","78,009,000","68,935,000","74,282,000","64,108,000","73,264,000","83,453,000","71,728,000","72,765,000","71,124,000","68,850,000","71,659,000","73,301,000","67,066,000","64,624,000","62,133,000","24,782,000","54,934,000","44,596,000","45,334,000","43,600,000","42,256,000","35,530,000","40,425,000","38,264,000","30,631,000","33,633,000","32,365,000","30,227,000","28,942,000","26,372,000","26,800,000","23,063,000","22,387,000","17,828,000","9,553,000","12,120,000","-139,938,000","9,147,000","7,002,000","7,909,000","6,154,000","3,994,000","3,630,000","4,036,000","456,000","6,714,000","9,213,000","11,672,000","-7,919,000","9,456,000","10,952,000","-43,726,000","14,454,000","11,832,000"
TaxProvision,"86,590,000","14,647,000","32,180,000","21,042,000","18,721,000","19,305,000","9,459,000","19,201,000","19,098,000","20,084,000","73,689,000","28,437,000","24,475,000","27,244,000","22,751,000","28,287,000","28,410,000","27,498,000","24,448,000","22,865,000","26,939,000","25,119,000","21,547,000","23,092,000","9,596,000","20,516,000","17,089,000","16,053,000","15,524,000","15,089,000","14,159,000","15,936,000","14,292,000","11,696,000","12,551,000","12,398,000","10,604,000","10,728,000","9,497,000","10,242,000","7,787,000","9,077,000","7,355,000","4,081,000","5,042,000","-56,979,000","3,656,000","2,786,000","2,905,000","2,197,000","1,142,000","729,000","1,042,000","-11,564,000","2,363,000","2,933,000","3,960,000","-2,980,000","3,495,000","3,953,000","-14,770,000","3,681,000","3,790,000"
NetIncomeCommonStockholders,"186,838,000","39,512,000","48,730,000","51,972,000","46,624,000","48,158,000","33,330,000","54,224,000","57,097,000","57,925,000","-4,754,000","45,845,000","39,633,000","46,020,000","60,702,000","43,441,000","44,355,000","43,626,000","44,402,000","48,794,000","46,362,000","41,947,000","43,077,000","39,041,000","15,186,000","34,418,000","27,507,000","29,281,000","28,076,000","27,167,000","21,371,000","24,489,000","23,972,000","18,935,000","21,082,000","19,967,000","19,623,000","18,214,000","16,875,000","16,558,000","15,276,000","13,310,000","10,473,000","5,472,000","7,078,000","-82,959,000","5,491,000","4,216,000","5,004,000","3,957,000","2,852,000","2,901,000","2,994,000","12,020,000","4,351,000","6,280,000","7,712,000","-4,939,000","5,961,000","6,999,000","-28,956,000","10,773,000","8,042,000"
	NetIncome,"186,838,000","39,512,000","48,730,000","51,972,000","46,624,000","48,158,000","33,330,000","54,224,000","57,097,000","57,925,000","-4,754,000","45,845,000","39,633,000","46,020,000","60,702,000","43,441,000","44,355,000","43,626,000","44,402,000","48,794,000","46,362,000","41,947,000","43,077,000","39,041,000","15,186,000","34,418,000","27,507,000","29,281,000","28,076,000","27,167,000","21,371,000","24,489,000","23,972,000","18,935,000","21,082,000","19,967,000","19,623,000","18,214,000","16,875,000","16,558,000","15,276,000","13,310,000","10,473,000","5,472,000","7,078,000","-82,959,000","5,491,000","4,216,000","5,004,000","3,957,000","2,852,000","2,901,000","2,994,000","12,020,000","4,351,000","6,280,000","7,712,000","-4,939,000","5,961,000","6,999,000","-28,956,000","10,773,000","8,042,000"
		NetIncomeIncludingNoncontrollingInterests,"186,838,000","39,512,000","48,730,000","51,972,000","46,624,000","48,158,000","33,330,000","54,224,000","57,097,000","57,925,000","-4,754,000","45,845,000","39,633,000","46,020,000","60,702,000","43,441,000","44,355,000","43,626,000","44,402,000","48,794,000","46,362,000","41,947,000","43,077,000","39,041,000","15,186,000","34,418,000","27,507,000","29,281,000","28,076,000","27,167,000","21,371,000","24,489,000","23,972,000","18,935,000","21,082,000","19,967,000","19,623,000","18,214,000","16,875,000","16,558,000","15,276,000","13,310,000","10,473,000","5,472,000","7,078,000","-82,959,000","5,491,000","4,216,000","5,004,000","3,957,000","2,852,000","2,901,000","2,994,000","12,020,000","4,351,000","6,280,000","7,712,000","-4,939,000","5,961,000","6,999,000","-28,956,000","10,773,000","8,042,000"
			NetIncomeContinuousOperations,"186,838,000","39,512,000","48,730,000","51,972,000","46,624,000","48,158,000","33,330,000","54,224,000","57,097,000","57,925,000","-4,754,000","45,845,000","39,633,000","46,020,000","60,702,000","43,441,000","44,355,000","43,626,000","44,402,000","48,794,000","46,362,000","41,947,000","43,077,000","39,041,000","15,186,000","34,418,000","27,507,000","29,281,000","28,076,000","27,167,000","21,371,000","24,489,000","23,972,000","18,935,000","21,082,000","19,967,000","19,623,000","18,214,000","16,875,000","16,558,000","15,276,000","13,310,000","10,473,000","5,472,000","7,078,000","-82,959,000","5,491,000","4,216,000","5,004,000","3,957,000","2,852,000","2,901,000","2,994,000","12,020,000","4,351,000","6,280,000","7,712,000","-4,939,000","5,961,000","6,999,000","-28,956,000","10,773,000","8,042,000"
DilutedNIAvailtoComStockholders,"186,838,000","39,512,000","48,730,000","51,972,000","46,624,000","48,158,000","33,330,000","54,224,000","57,097,000","57,925,000","-4,754,000","45,845,000","39,633,000","46,020,000","60,702,000","43,441,000","44,355,000","43,626,000","44,402,000","48,794,000","46,362,000","41,947,000","43,077,000","39,041,000","15,186,000","34,418,000","27,507,000","29,281,000","28,076,000","27,167,000","21,371,000","24,489,000","23,972,000","18,935,000","21,082,000","19,967,000","19,623,000","18,214,000","16,875,000","16,558,000","15,276,000","13,310,000","10,473,000","5,472,000","7,078,000","-82,959,000","5,491,000","4,216,000","5,004,000","3,957,000","2,852,000","2,901,000","2,994,000","12,020,000","4,351,000","6,280,000","7,712,000","-4,939,000","5,961,000","6,999,000","-28,956,000","10,773,000","8,042,000"
BasicEPS,,"0.17","0.19","0.2","0.18","0.18","0.12","0.19","0.2","0.2","-0.02","0.16","0.14","0.16","0.18","0.15","0.15","0.14","0.14","0.15","0.14","0.12","0.13","0.11","0.04","0.102","0.094","0.106","0.102","0.098","0.078","0.09","0.086","0.071",,"0.075","0.071","0.067",,"0.059","0.055","0.047","0.039",,"0.027","-0.314","0.02",,"0.02","0.016","0.012",,"0.012","0.043","0.016",,"0.027","-0.024","0.02",,"-0.098","0.036","0.027"
