name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
TotalAssets,"4,107,700,000","3,846,800,000","3,700,200,000","3,601,700,000","3,723,600,000","3,631,500,000","3,740,200,000","3,386,100,000","3,671,000,000","12,438,000,000","11,129,100,000","10,480,200,000","11,552,700,000","7,430,000,000","7,063,400,000","7,276,700,000","5,937,600,000","5,389,600,000","4,508,400,000","4,611,400,000","4,529,800,000","5,048,800,000","6,220,500,000","5,491,200,000","5,879,000,000","100,854,000,000"
	CurrentAssets,"1,736,800,000","1,645,100,000","1,478,700,000","1,401,800,000","1,497,700,000","1,636,200,000","1,665,500,000","1,540,400,000","1,762,000,000","4,394,000,000","4,255,800,000","4,064,200,000","4,929,800,000","3,347,700,000","2,772,000,000","2,329,200,000","2,105,500,000","1,700,500,000","1,458,800,000","1,506,300,000","1,628,300,000","2,382,400,000","2,377,400,000","2,289,100,000","2,502,000,000",
		CashCashEquivalentsAndShortTermInvestments,"612,100,000","561,200,000","389,800,000","460,700,000","480,600,000","589,400,000","620,200,000","582,700,000","690,000,000","1,032,000,000","1,215,600,000","964,900,000","1,840,000,000","937,100,000","451,000,000","262,900,000","414,200,000","202,200,000","121,300,000","88,700,000","181,700,000","880,900,000","192,200,000","121,900,000","94,000,000","568,000,000"
			CashAndCashEquivalents,"612,100,000","561,200,000","389,800,000","460,700,000","415,700,000","584,000,000","507,300,000","544,500,000","690,000,000","1,032,000,000","1,215,600,000","964,900,000","1,840,000,000","937,100,000","451,000,000","262,900,000","414,200,000","202,200,000","121,300,000","88,700,000","181,700,000","880,900,000","192,200,000","121,900,000","94,000,000","568,000,000"
			OtherShortTermInvestments,,,,,"64,900,000","5,400,000","112,900,000","38,200,000",,,,,,,,,,,,,,,,,,
		Receivables,"596,400,000","561,800,000","629,600,000","523,900,000","584,900,000","500,100,000","496,700,000","440,300,000","396,000,000","1,944,000,000","1,796,700,000","1,961,100,000","1,935,000,000","1,288,900,000","1,273,700,000","1,174,300,000","974,600,000","868,300,000","741,700,000","814,900,000","834,700,000","842,600,000","1,252,400,000","1,189,800,000","1,257,000,000","16,999,000,000"
			AccountsReceivable,"562,300,000","531,700,000","601,400,000","513,500,000","554,000,000","476,800,000","463,900,000","396,900,000",,,,,"1,935,000,000","1,288,900,000","1,273,700,000","1,174,300,000","974,600,000","868,300,000","741,700,000",,,,,,,
			NotesReceivable,"6,200,000","3,700,000","3,900,000","4,200,000","3,900,000","6,100,000","6,300,000","5,600,000",,,,,,,,,,,,,,,,,,
			OtherReceivables,"39,200,000","44,700,000","40,400,000","21,600,000","43,100,000","30,500,000","39,100,000","50,700,000",,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,"-11,300,000","-18,300,000","-16,100,000","-15,400,000","-16,100,000","-13,300,000","-12,600,000","-12,900,000",,,,,,,,,,,,,,,,,,
		Inventory,"392,900,000","380,500,000","311,900,000","295,200,000","292,700,000","302,300,000","315,900,000","304,200,000","254,000,000","856,000,000","802,300,000","803,800,000","887,600,000","755,900,000","666,900,000","708,400,000","578,500,000","552,900,000","528,900,000","531,300,000","545,800,000","578,900,000","812,800,000","856,900,000","908,000,000","1,049,000,000"
			RawMaterials,"228,300,000","251,700,000","222,500,000","199,500,000","205,900,000","209,900,000","252,100,000","228,300,000","125,000,000","317,000,000","253,200,000","365,500,000","438,800,000","355,500,000","320,600,000","324,900,000","312,800,000","280,300,000","272,000,000",,,,,,,
			WorkInProcess,"83,900,000","66,800,000","54,800,000","60,500,000","56,000,000","59,900,000","94,800,000","60,500,000","49,000,000","88,000,000","56,700,000","323,000,000","305,200,000","278,600,000","269,500,000","294,600,000","182,400,000","195,900,000","172,300,000",,,,,,,
			FinishedGoods,"80,700,000","62,000,000","55,900,000","53,000,000","60,900,000","70,500,000","49,900,000","64,100,000","62,000,000","231,000,000","176,700,000","196,200,000","240,200,000","203,800,000","159,500,000","187,900,000","159,400,000","147,600,000","152,000,000",,,,,,,
			OtherInventories,,,,,,,,,"65,000,000","296,000,000","390,400,000",,,,,,,,,,,,,,,
